marital_status,gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Single,Non-binary,205.24091940089545,283.6581116874829,-43.1982246100438,-158.35942720408565,48.543569766907005,-34.63859145037959,A,E,46.520024985289325,182.028238771041,100.79883861161403,-89.03154565231411,A,A,1
Married,F,40.653371024088656,127.07893788571954,127.7371793963188,111.54408215496025,103.67489282366469,-34.90691877106267,D,D,-82.71566938222823,142.1767571956175,-32.048548038312234,-111.59986845679467,E,A,1
Divorced,Non-binary,45.26405853495186,-22.231740546683064,28.54375707492021,-192.1037404904081,-42.016247808106435,-76.5804697220328,D,E,17.98651565591797,115.35673014680854,102.19085540962611,30.474118339769134,A,C,1
Widowed,Non-binary,-12.742927591958434,195.70716547686385,83.84047703780404,-137.67496340383266,-106.08075712441713,-99.81634637253988,D,C,-4.573668984949661,260.3800092881062,87.29066517357583,208.24040803483902,C,A,0
Divorced,Non-binary,-138.19711986284432,-108.7720568891773,-159.11676917421295,14.209733695583479,116.16138882087859,56.406552740235526,C,C,121.2687496457819,-144.85977968716108,-19.362309265023132,-79.35271115122585,D,B,1
Married,Female,3.5560235500982973,-47.90595555172952,52.412821865337854,117.35490309416659,-105.68395291591115,125.86573998177879,B,D,104.82153325679415,-222.36425597848003,-99.72020129629264,-36.052175721419516,B,E,0
Married,F,-47.9738038699199,222.02664242780733,-17.185392262728776,-122.84481260321725,157.94664107933934,107.02527279864728,B,E,-91.90367945017678,6.981831575000939,12.551375643272292,-96.36515161387419,A,A,0
Divorced,Non-binary,-2.700852940659692,11.230789143295764,74.11018928039283,39.49952673378718,-39.74170571778707,-142.98559969322838,A,E,47.65911171104864,154.7488455186004,-97.91588506759727,-82.19436743980945,A,E,0
Married,Other,57.288546532674225,-18.356151436227428,-140.3826630740078,-53.574567589940905,-30.536443761452915,-157.8251731736925,B,A,-29.06201704092306,53.69781548090562,-23.247901645956162,-15.659421890565623,A,D,0
Married,Non-binary,7.7279113444614005,80.76603932749279,-109.04957143117448,12.704611480538484,150.5998573586389,140.12827884977722,C,E,52.05832813910146,-70.80814038667611,-249.3198271943061,62.77983342446479,C,D,1
Divorced,Female,60.65560470421061,47.0429232287811,126.9406452584501,17.462795692281098,-48.392283880796974,-56.49860706505099,A,E,189.5623433875098,-106.5937832364267,101.14013532570496,-72.34577186188625,A,E,1
Widowed,M,5.735446593207199,-21.39303913975383,19.252983242142573,-107.2793670215147,-63.143653015321355,-83.65991805102314,A,E,-173.12344802402785,-125.26435287989686,22.7042173749926,-30.152110128249976,A,A,1
Divorced,Other,91.76475252786706,15.989267544954883,-62.88971321982607,-23.933034826255856,-254.4673339901185,23.041063800009685,C,D,-86.85096793948442,195.95402238541766,79.6720987850512,87.21815603988678,B,E,1
Divorced,Non-binary,5.377649278925297,-7.448566878631478,-72.2130965351884,3.328209564450286,75.14260788133768,59.53844438234387,A,A,-86.99085058504508,-81.57094274340275,-44.025307949921064,28.71230637830182,B,B,1
Widowed,Non-binary,-207.23835065555977,27.68585125303011,10.845297380346867,-93.47304431520887,-97.66504151637962,-14.403315841847169,E,A,-112.20232481750053,41.57726124435883,-167.50177536518183,-28.182389177352434,A,C,1
Widowed,Male,-121.4039544001926,-132.80223366218254,26.428364894346274,114.66175752206982,-50.058145941675505,152.22792327117745,D,C,-37.167989719094194,13.574941694927576,-78.36712943136341,18.429849280043783,E,A,1
Married,Non-binary,-109.6038983870332,63.398685032016225,118.56949588493029,-176.93823696058905,40.487297972553826,43.13612027792304,E,B,-167.77550769132216,-37.61857843026675,9.323115261017003,69.85782518695923,D,D,1
Divorced,Female,51.456428445638814,44.2966018119542,29.41579767526223,31.38212773118646,99.83256880301286,-105.36681958672189,D,C,-219.13735357882695,-94.36773727004062,-87.42772017478633,31.35110489233814,C,C,0
Married,Female,4.84658942511141,25.47918012194113,-78.96491766324404,-249.7661808954588,180.4644352487438,-137.34096159745124,D,E,6.013328697394712,140.05580965076783,-0.5649027725096326,56.39529299659172,D,D,0
