civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Divorced,E,-50.29132533570482,B,E,-48.24928475212875,E,206.24186237863836,-58.44466304529099,A,-47.29997111923627,E,0
Divorced,D,-11.636027917879831,E,E,77.08548984965212,C,-179.67856507262348,-50.58808021089818,A,99.85770465128908,A,1
Divorced,C,95.27371362072992,C,A,-69.66639933575429,E,19.436660285248124,15.435299816602502,B,66.61071362732072,D,1
Divorced,C,46.275835178335655,B,D,63.327391515935304,C,-45.90551627972811,-107.77700377403715,D,-48.98899437561382,C,1
Widowed,D,148.56097613486114,C,D,93.5557393503497,C,-172.17378124031276,-59.23787752126975,C,43.28493246731856,A,1
Divorced,C,-105.41628198446385,C,C,95.61501716094493,A,-83.31091282377817,30.463559237249687,A,-149.31438561304728,E,0
Married,B,55.72085664643806,B,D,-43.519515742902826,D,238.78112586668823,-5.963227281801688,B,-156.42495923954922,D,1
Divorced,B,178.95602498406586,D,B,253.11915644457824,C,52.879849681464265,-62.947369387337446,C,-110.49749792005656,E,0
Widowed,B,195.8877525238827,B,B,76.69097759312228,D,28.321138289440885,10.524201719526461,E,25.269836652684297,D,1
Widowed,C,114.10868287379907,D,B,-124.0606286946259,A,-169.07858986766425,49.85029440364288,A,-35.202751494838374,A,0
Divorced,C,-9.732923659165337,D,E,99.50929373647782,C,43.789686713372035,43.17037665094682,A,4.052317101966714,B,0
Divorced,E,-116.53888956129228,B,D,240.82814438641878,C,-63.12570189499146,15.838064675749575,A,38.98093183511037,A,0
Married,A,114.88898371079136,B,E,166.43496892924298,D,59.21039547574766,-63.56160654130502,B,-19.926502194793358,C,0
Married,A,-208.90220024143917,B,A,-24.472325758637613,D,9.862593862266431,-63.18437705443686,B,-20.155772997142453,B,1
Widowed,D,20.272586772262137,D,E,-48.63943320280154,C,28.90175273382649,87.42017211552545,C,205.59839774857474,A,1
Widowed,E,-235.16913242386443,C,D,-94.0236397607055,C,99.43955083305326,-25.826827082223563,B,-72.13482006705017,D,0
Widowed,E,-26.65806833928045,B,E,52.78365030056271,B,-61.51661907041477,14.750564227260565,D,-49.86599506945534,B,1
Single,A,-15.876293281924433,D,A,-95.39816413716295,E,-131.3370739334069,-175.70388310151276,C,-69.68019408089248,A,0
Divorced,D,-128.4796260136657,C,E,32.71203053342929,D,14.103364263566185,73.72260363892799,C,-21.53599066952407,C,1
Married,E,23.13204311286991,D,E,-139.94695891196108,E,56.901285748912265,73.07086496972033,C,-53.53023563064433,D,1
Widowed,D,-216.82998482029686,A,A,94.00391026733584,B,-151.16857181363835,-149.81965796113707,E,22.347392319723948,C,0
Single,E,-162.19043326960278,C,A,21.590709869410436,B,130.53942966831954,83.90050558157053,E,-85.49515755874575,C,0
Single,E,-166.44987199893586,A,C,215.17906430075882,D,-147.48337330085428,-22.164125131563175,C,-70.85458317551594,A,1
Single,B,139.41313728185824,C,D,-232.24231151946265,D,-7.624341603205166,63.19338455117974,B,-23.543168661018544,E,1
Married,D,29.404494668561114,A,E,105.19023464119151,D,-9.41060024211756,145.23902436689374,A,264.62206713923473,C,1
Married,A,-18.386393976497327,D,A,67.95774357738092,A,-110.50852913353557,-40.56184723985019,B,54.323409794154685,D,0
Widowed,D,-5.781182502714238,B,D,-45.624641362437636,C,50.487240041641854,-10.718841770932064,D,-94.92078882162403,D,1
Widowed,B,-109.73688935435395,A,B,73.21619602826489,C,79.52362591953826,42.031231320088466,B,183.10894118473715,C,1
Divorced,B,190.7287249500598,B,B,95.84293099683818,B,69.77256069219216,-20.10076644715662,E,-78.49401816944834,A,1
Married,D,-17.168846157063513,B,A,-71.69944444565624,D,-87.09534989841683,92.74305516951381,B,-107.84090234598358,C,0
Married,B,139.15742142428687,A,E,-81.97119554393691,A,5.340123684502029,119.24325583390024,B,16.86053265385759,A,1
Widowed,C,-40.84993425912199,A,D,-56.84234946367822,D,-0.5782591154229175,80.00665139656822,D,-134.8311054110235,D,1
Married,B,-22.48897517782073,E,E,-127.53591440293069,C,78.73444928071413,43.231151670412146,C,26.555149287141894,D,0
Married,B,72.78512411885505,C,A,-149.87435907209442,B,29.043572911687033,117.43142837414405,D,62.592969100230135,B,1
Married,C,-10.313452778583086,E,A,-221.86877190766606,C,-0.7516938186591426,-134.38124798287836,A,-40.36913621086804,E,1
Divorced,B,138.92259277093842,B,E,-15.048410833485473,B,-257.2286189280635,-15.409925803201254,C,-12.853501943634454,D,0
Divorced,B,61.52098894825983,E,C,20.627272835154187,A,42.94177662144376,-81.5902109304875,A,23.914423442811074,A,0
Married,C,-86.23726836865968,B,E,-21.61945599053768,A,5.738542659492548,201.47868087214974,C,13.906012592872386,A,0
Divorced,E,-31.183599922938082,C,C,24.824687410742474,A,65.50620184015213,-100.2078218667277,A,-18.790932932082157,E,0
Widowed,C,43.92809226737294,B,E,38.33482164410838,D,61.679293868981645,64.06295857338237,D,38.97982217095418,B,1
Married,E,-66.29107486603402,C,B,-4.107776815593493,A,84.80857279102794,32.786165194192165,B,188.76231622621137,B,1
Divorced,B,80.04179978127188,A,E,119.46218053950071,B,91.56860393093889,129.39180536424266,B,65.44478042165548,E,0
Married,B,-103.1177056117482,B,A,-70.58478777616192,C,-46.83123452718313,-12.586251038030898,B,-140.6242917266481,C,1
Married,C,8.185732812878452,B,D,293.61164224158773,E,-55.519888852861484,104.4014352587381,C,170.2336754327458,D,1
Widowed,A,132.41804798692817,E,D,-173.5706474789701,A,183.9826548598898,-82.87391655355452,E,-18.68754642046285,E,0
Divorced,B,-16.795139956599836,C,A,57.898073360430445,B,-160.1235293774086,149.67707033275974,C,286.5666689862603,E,0
Single,C,138.358145074227,D,A,6.6456114613075625,B,53.7886357305111,113.10249158161565,E,92.66753806496398,A,1
Widowed,A,60.481071824265285,E,C,63.16290450003091,D,159.7183355275771,-295.2986171007464,E,-35.681451986888305,A,0
Widowed,C,-96.00488327826864,A,B,153.9139385964654,E,17.890326018257678,-31.94223060121228,C,20.067658701222538,A,0
Married,E,-181.1539902892832,C,E,-69.60977071796272,E,-55.060257817076376,-38.53567533516979,E,61.639237185355775,D,1
Married,C,64.35168970724975,C,A,56.951649831743254,A,49.46328457309847,-57.67001074683557,B,127.35867286271163,A,0
Single,C,-160.30180392891648,A,A,-151.42722026577033,A,-61.56858310416414,-75.44027736183381,E,-32.73829788159278,E,1
Single,A,200.90709065372837,C,E,-72.05806061594534,B,-140.03670199363756,56.552488248191956,E,-37.46294635467893,D,0
Widowed,A,-41.703276856956116,A,C,211.35796121898082,D,140.64054723125216,83.89410268167283,B,38.512924031665705,A,0
Single,E,57.35722744353623,A,B,1.6334516633982654,B,12.299196585658075,112.9781100789068,C,-136.4935738658507,A,0
Divorced,C,64.76963892761366,C,A,5.320426169111786,A,67.43521466367824,-43.019899951560184,C,-163.07342475378098,C,0
Single,E,-54.44198212240246,C,B,-92.14484807256292,D,-3.759134034164518,-103.14525345518264,D,-19.2566454910572,C,1
Widowed,B,-16.84021525710858,B,E,-62.69141077890227,B,151.89073131319716,-94.06931077964295,D,-57.99441217007837,D,0
Widowed,B,176.39126389511466,C,B,-68.76032538712104,E,145.4805148839653,79.36238925262607,B,-19.489540811969743,C,0
Single,E,-79.4048598694044,A,D,-76.21324985525935,B,147.9005227652917,67.8181703268257,E,211.55350224360058,E,1
Widowed,A,-71.6001772051486,B,C,57.966385598112815,B,73.71157789086195,-30.435259841951673,B,202.99041125972727,E,0
