Religion,ethnic_group,AGE,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Jewish,African American,30,No,-1.4947816333667037,C,B,B,121.18481493618052,-86.41666359218446,98.45090653452363,-46.788748762916626,B,-34.24569343267264,50.9356116111456,A,D,A,B,-100.47865323419418,0
Jewish,Asian,45,Veteran,-10.678124815780556,B,B,A,115.93938324300024,205.20273944898287,-12.490439776495368,89.00171073104585,C,-22.902210285855972,-116.60545032099334,D,C,D,D,34.75217256478148,0
Muslim,Hispanic,78,Veteran,-144.50012739670908,A,E,E,129.48206668214215,36.50389630790505,-63.21927942797707,54.154989364116865,D,-106.39892895248413,62.52679175421266,A,C,E,A,27.478089125312614,1
None,Black,47,Veteran,-130.17664857942552,E,B,A,219.87615100379574,-42.429086094577166,-40.89834290827869,57.054605090217855,E,162.997195019378,26.684313280734244,A,E,B,D,-93.2797032630388,1
Other,Black,45,Non-Veteran,-83.79613980974204,C,E,B,-163.07734364979402,-76.47609995573319,-205.92969207025723,-32.53528293618251,C,104.84920672107847,38.21992551414964,A,D,A,D,26.258068652636346,0
Hindu,Other,61,No,89.4800470092467,A,E,E,-44.465547191454355,-53.317812925994545,3.7611428745082045,57.45632875394641,E,101.37645065726706,-103.90702238018746,B,E,D,C,82.29307320926628,0
None,Hispanic,30,No,-34.297935632582494,B,B,D,307.8488528120336,30.96357550344042,91.89037919991601,-28.182297039434445,A,151.3113464010419,-107.64197557409936,A,A,C,C,-160.67080670658626,0
Hindu,Asian,40,No,33.71394774817804,A,A,E,48.99305181194169,-17.179192865282307,-27.932009556111048,33.73610739039835,B,105.50133298856062,127.67930623599857,C,C,E,B,29.89729191681932,0
Other,Hispanic,51,No,-68.48894683578052,A,D,D,-106.60061195103196,-68.2957050999763,81.64154651633024,44.89514170683187,A,-42.237427045406065,49.047888187211655,C,C,E,D,59.78797285633788,1
Christian,Asian,56,No,-87.56207377415794,C,A,C,67.32103039978035,191.91756955630316,-47.92045723672312,-7.399113545328301,D,151.1230261574828,-174.96508559503096,A,C,C,B,-83.08687274543472,0
Other,Asian,18,Veteran,-116.82743738916754,C,E,C,21.532846792914903,187.10100709933772,83.27474892578962,-135.49212599946003,C,-217.99782969090637,86.01665783809722,E,A,C,E,43.384363976355885,1
Jewish,White,39,Non-Veteran,199.14964873612877,A,D,B,-47.14637077862442,-77.86231846437096,73.91063440558791,-35.398669022007525,B,-12.575362682389368,-182.6730783145527,E,E,E,C,67.79602460350496,0
Hindu,White,69,Yes,146.44329432524304,C,B,B,-79.36800321936053,129.15856118350865,-29.317559667360676,-105.9697772559994,E,-60.20655343852209,261.13680110168497,B,B,C,C,-175.54548061302836,1
Other,African American,66,Yes,37.00874499114756,D,B,A,109.92233069918574,119.50623719053152,-44.61558224112496,-169.8451366833172,A,-7.562456345016305,-10.209234900626278,E,B,D,C,36.88071263382746,1
Muslim,Black,65,Yes,-60.66320566823337,C,C,B,-68.49053831880019,34.77690223032452,39.095749980508096,86.71320459985876,D,-41.65022324952927,-8.60269223909583,C,C,D,A,-148.22089722317747,0
Hindu,White,58,Yes,-82.20505017225625,A,C,C,-116.53057174808905,35.07095186991439,-44.649935115888454,158.01427620923866,E,20.62859750867926,-125.53494108914755,B,D,E,C,58.44120483875629,1
None,Black,22,Yes,-13.524759059057384,E,D,C,-86.8506593261025,124.33615466234895,-177.1041929729485,-94.63993434542836,D,55.51121584361529,167.41094493204852,B,B,A,C,86.68392588905934,0
None,Black,55,No,-94.09091910425111,B,B,E,72.0045290380061,99.85628886803454,104.2328228047235,-166.94970713072843,C,-54.902657585176684,99.07105702437141,E,A,E,E,-197.90162494699922,0
Muslim,Asian,77,Yes,-172.407927167718,A,D,C,-45.87363895345477,80.72537525352861,-13.890706782312318,-105.14416519537487,C,53.66545767395099,142.4601994448237,E,C,D,B,18.175064418992655,0
Christian,Asian,52,Yes,210.37785943355445,B,B,A,-79.5973134889722,72.42367971503198,61.15507277125256,-132.0996506991121,A,159.1091050341623,0.02259262223332134,B,D,E,A,-27.994557843119498,0
Buddhist,Asian,63,Non-Veteran,-53.03224751189218,B,D,D,95.12076823898882,143.25510412333887,32.925138708383415,-14.269663962805629,B,-127.20759383513649,-13.29511974637128,A,B,E,D,58.672160013372284,0
Other,Other,23,Veteran,4.5309901349882855,D,C,D,-7.655969539901837,-1.414747044952677,31.465331948325918,-21.880428792535522,D,88.45060293856858,-78.78993385228874,E,E,A,E,-93.10421515824055,0
Muslim,White,21,Veteran,105.60606328352338,B,C,A,-122.8452210367037,-140.64071785828364,14.673924481468111,-131.6986157295576,D,-101.02713541117112,44.4704726206876,A,D,E,B,-88.48599112562974,1
Christian,Hispanic,69,Non-Veteran,28.670914360130844,A,E,D,118.12828611340989,-81.30246898592274,36.23042031363602,-77.90338569519996,C,51.47098838971173,20.10877328967178,D,C,D,A,58.44062900645923,1
None,Other,65,Yes,90.75746670974316,C,E,E,113.27083227551103,36.629955647747416,21.571036193333377,9.335641001184204,E,166.3326133672213,15.132012309670003,A,C,C,D,-28.893441971361877,0
Muslim,White,66,No,55.9155392059816,B,B,C,-30.98983393504527,-24.2014452487019,-66.3395648140613,-129.41731956366712,D,-84.41081187628589,24.07085738565175,C,D,A,B,-105.80473613006617,1
Jewish,White,57,Yes,-12.27874773253258,D,E,B,98.93209286468606,141.72709489204175,79.64113881889877,24.482430002377793,D,-47.07475194937628,-63.96458427246251,A,A,C,C,-76.80348829908044,0
Buddhist,Black,33,Veteran,-7.1956751361089895,D,B,E,-158.18367133659413,26.589522559596684,33.967220850198984,141.82858607669183,C,-143.77445546094793,132.88880542826004,C,D,D,C,-69.32544995452619,1
