married,Age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Married,70,E,15.874085238545312,E,-58.85655618206308,B,-95.34212117440902,D,29.278285872041803,-1.580902944478361,B,0
Married,52,D,-37.24944181745741,D,-116.83052117576756,E,128.83486719874213,A,-130.3743161812224,-67.54765210971549,E,1
Single,87,C,33.23183581924491,C,37.511177724294456,E,63.69314961054491,A,76.84453315769207,-64.28389129276698,C,1
Widowed,42,D,-45.66419431222934,D,44.76221885447001,C,74.51058217649631,A,-91.06112252701483,162.96943667774897,B,1
Divorced,40,A,142.21047646592123,D,-237.32094943855762,B,13.92444943584072,E,96.17875343658613,-43.329159206071,E,0
Married,88,C,-66.14346198325988,C,-67.85999117411467,E,-145.12847957160668,A,26.71607208962326,20.075112614363142,E,0
Divorced,47,D,-72.86414022668274,A,26.29275130888709,E,54.980999929317456,E,-57.22259255604841,75.85558708072772,C,1
Married,90,D,-158.60749963804025,D,-99.90788679678428,E,-73.59737289498672,B,-137.9044765621347,55.465597204745684,B,1
Married,88,A,-151.6473879484377,E,105.5969257573911,C,-192.41284721961017,A,37.638773398013065,-190.01516556317927,B,0
Married,44,C,-7.116682708210701,B,-11.512086967021046,B,-4.412387493646834,D,-152.1730692188686,61.470358582942175,A,0
Divorced,80,E,-139.92887752081953,A,-97.75058134426169,C,41.63881601160059,B,36.955542827167534,-153.25535898725445,C,0
Married,84,D,-100.97242668611013,D,-33.968251894295534,E,-155.5871794846575,C,94.92189242931948,-14.294644326178622,D,0
Single,37,C,-85.07266775585062,E,-18.21337308029062,C,30.029056800112492,E,319.2493446675554,151.65541105268338,D,1
Married,82,B,55.769658194460206,A,63.489358633143546,A,-217.90465437883827,B,57.505517694995724,13.152720040140286,B,0
Divorced,91,E,13.603121171271033,E,23.546143209289617,E,53.85501866662623,A,125.22555276213313,9.814464585964263,B,0
Widowed,88,D,93.57229976994994,E,208.93638889221955,A,3.079342094624461,B,141.25563474764908,68.48657608053665,E,0
Widowed,77,C,-263.2780639895113,D,-175.55298457149453,C,-102.40183494108268,C,147.9161014289919,37.45608418957916,A,1
Widowed,45,C,126.55917264833793,D,176.6667835760008,A,134.3551801184064,E,-77.36567263452166,-60.63429531602736,D,1
Married,37,E,127.34305586510708,D,35.70959926370213,D,-26.13999506196111,B,-4.162459062963561,-120.07291858498203,D,0
Divorced,33,A,-57.60637590323472,B,-82.70398130791956,B,-142.25578297609002,E,96.79262985864032,-60.734955771470645,D,0
Married,32,A,-163.13730326631725,C,45.472998982679194,D,-21.744633748406347,A,41.92844844625286,-138.055077911858,E,0
Divorced,50,B,-136.37964221623486,D,119.851853336916,A,39.94749506967119,C,-16.95543788399181,87.39295833340852,A,0
Divorced,58,C,75.53692753460099,D,7.638061953708631,D,-101.15680110804553,A,-120.58502767599883,-78.12882963653259,C,1
Single,30,D,35.602599521958446,B,39.79092282824188,B,-27.319051095006998,B,8.51196354922463,43.31116186381951,E,1
Married,74,D,221.551174699021,B,-52.77617776459434,E,-110.78614668507447,B,-113.32559800966644,131.1063163134141,E,0
Divorced,44,E,75.9267238412627,D,155.92009467738575,D,119.71717827043665,C,-35.76827218320657,-61.68262323672684,B,0
Divorced,82,E,8.509929564659759,C,9.21609380768296,E,-100.78161543582098,D,-252.46108833166662,-163.90537824059595,E,1
Single,54,C,26.805999767705824,A,17.88168189359787,B,-6.205340602052865,E,23.184254174825224,-93.56640608859963,A,1
Single,33,C,-163.91123786741096,D,23.374985546370688,D,-32.299876358900406,B,26.311293390071484,14.54544992299611,D,1
Single,36,C,-95.65785942422775,E,201.73558494024348,E,44.91067195238797,B,-77.149983372367,-48.13460279565601,D,0
Widowed,70,C,101.05323588430517,A,15.8856176783909,C,-35.834741545292765,C,-15.710694904757801,9.92274007061961,D,1
Married,40,A,143.67965080278523,B,1.3808990618750834,C,30.803161801110292,D,94.4164015075215,-72.22039307932053,A,1
Married,70,C,-42.61341099289058,E,-70.594787522321,A,98.26461861260127,B,40.44207827411162,-11.12364276948242,E,0
Widowed,21,C,29.933858020356585,C,18.285755796218005,B,94.23419744410086,E,-34.37980814868933,-10.357117902172492,B,0
Single,56,C,-122.06968147482877,B,-88.27058601448805,D,-58.49409190603366,A,11.530034451716203,20.173605274230642,B,0
Single,81,B,-123.14568570851551,E,-103.13022862718373,A,-36.415266250926976,B,-78.9166932808733,85.82083467303812,C,1
Widowed,40,D,142.7805854120019,E,89.4191491655015,E,-207.75335166228768,D,47.98496696667375,-176.24835728639124,D,0
Divorced,24,E,-68.9380899459268,C,-60.17685520169991,B,-62.20703366139141,C,65.27167851591116,65.98876451962866,C,1
Widowed,53,A,-15.84542578496461,D,130.00358254660003,A,-53.790712618707346,A,-30.248835359383637,-55.23447658605932,A,1
Widowed,59,A,102.47542936742616,A,-26.86375983412976,D,1.3856819189540923,B,-116.24439192730736,-80.72892576478415,E,1
Divorced,49,C,49.369531925976176,B,-97.29090057761634,E,59.206673425613424,C,-102.24791639969266,51.04096698841345,C,1
Divorced,19,B,174.2604076537614,A,-31.613440157115907,A,149.97820256069727,E,28.882367544989673,22.968614984969697,E,0
Married,96,C,15.188936204405564,C,-88.88907318366292,E,15.852582782412759,D,37.40540123494361,16.90663505168704,C,1
