AGE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
66,7.367102981815468,E,A,B,-67.6707787850662,-86.004062782026,B,69.33185433503223,1
68,21.13367111163626,A,C,A,-187.04051585735425,162.4930819596261,C,54.48587110401735,0
65,-48.093041946751555,D,C,B,-170.8438517372388,7.377490955002306,B,221.3507080262131,1
50,167.47938998826706,A,E,C,100.03360009096696,-64.66661996342033,C,-219.10279760158886,1
25,85.24681315914272,A,E,E,-141.58383951989674,-117.71754912444874,E,279.984241798705,1
65,-144.85159532059373,C,A,D,-22.65841992392871,19.027114285200675,C,133.26456836308026,0
46,48.99053367786145,C,D,C,32.30965013314612,-109.07538924830303,D,144.16682062916314,0
43,169.09374109279128,C,C,D,143.310106877502,9.513392391535316,E,-20.684867089292354,1
30,16.172936475464457,D,E,A,3.7605535173110964,-74.1634014031369,E,-94.79789244076957,1
23,15.6283312560052,D,D,C,-70.53744663193086,150.3038699326786,B,153.41453249986142,1
34,32.719377703643524,B,D,B,4.715155668554207,183.47641042242182,E,88.32178219102038,1
75,62.6547243432659,B,D,C,111.07332807966672,119.18910009123071,B,9.49669878649365,0
39,-45.353973098207334,B,D,A,43.80998525493951,-189.30987829241047,B,-96.75498855112487,1
51,-30.623108059976406,E,C,C,3.4542012243949123,-14.763637579861596,D,142.7747803325045,0
56,30.852330021383466,A,A,E,23.41707758219515,-103.57261757705443,E,-86.44337246551227,0
24,153.338911655427,A,E,E,-97.70060236430376,-114.95053353111877,D,30.859155644720822,1
50,126.97751120643316,B,C,B,7.198206567366166,134.76828750199542,A,80.15031811007674,1
23,0.006162673079960701,A,B,D,-235.38932177220184,29.965762141065245,B,-91.87572956048676,0
76,-0.8403090814343647,D,A,B,8.643561559942516,166.17153710281332,A,-27.489589640777172,1
19,32.679451779543875,E,D,C,69.26077680827382,14.567675379754656,B,68.21202545690457,0
78,-6.835459456499045,B,A,D,-59.421315286653645,40.31410110463674,A,-45.553546592227576,1
55,68.97838002471741,C,E,D,107.92628971016403,94.64736988074704,E,75.70989744162267,0
19,-25.1262333167585,D,A,C,121.14234907165975,-146.5151973554805,E,28.035669517663813,1
45,-111.80366424107547,E,A,B,-175.49741205309343,-63.18023261621298,E,-62.47591226821311,1
31,152.56258032992628,B,E,A,-28.665393427475035,-12.224135046105214,C,-72.33636982073199,0
31,-65.92579782192442,B,E,B,-112.88711851747013,-55.81886375522658,D,-85.81242920607309,0
21,89.76071366291364,A,C,D,75.04839145935507,-59.34367681555999,B,26.53211941409585,1
55,-142.15766043550454,C,D,D,-57.74738620897968,102.04813349984043,E,-225.03000742959475,0
50,99.00767120149936,E,D,B,73.93978043113727,50.283011669068365,B,-2.575743908509031,1
34,-187.67766676024485,C,C,C,69.66537027160925,179.83136579021996,D,-158.37710124764857,0
48,-13.600828019021263,C,A,A,-17.6053385587197,70.3559311000832,B,112.77380063963611,0
21,78.55924212399115,A,A,E,-33.556053989864324,-70.9099507511871,E,64.21031660022804,0
64,42.7768311317976,B,D,D,102.6175393539529,-65.96279621685228,D,36.2195323881212,0
56,-46.73763391851126,C,C,D,-65.90886198948293,114.22780411116769,A,-92.58506993822515,1
65,123.21742031016262,B,C,D,-89.7808950225509,32.971738496594405,B,-149.6513075947721,1
23,129.29431888327855,C,D,B,54.06802244904413,-57.040417406371255,D,82.7531126540654,1
37,-16.243024808824583,D,D,D,-112.54666405885727,-11.113668258363793,C,133.56330196993122,1
76,122.71235815491106,C,C,E,19.098177472816328,-121.92971851165453,B,-128.0340872834464,0
49,-179.86706550788193,E,A,C,8.442628598561646,-37.65279454287798,D,-45.42484864749952,1
20,-5.541641462692059,C,D,D,-147.28856445904057,84.41421427375485,E,47.65301982111614,0
33,75.60941975448185,B,D,C,-128.94672202217478,-5.71630599482208,D,-52.96389499590077,1
42,155.83631552636342,A,A,E,58.45305791249288,-2.9262729830449548,C,-88.45881628739862,0
74,-71.4541542530036,B,A,B,46.50204095888499,-258.3419973911099,C,49.64445657556221,0
63,90.2189304800493,D,C,C,-11.860152001455809,60.514168102771805,B,-63.84647941589512,1
39,69.50782885984655,C,D,C,-179.16165251718007,-118.27017733984731,B,-30.323277597400928,0
22,24.048190333769025,D,E,C,-118.34463026143338,10.99430779105314,A,-12.039757534391102,0
57,-103.34757481737311,B,B,A,-139.48735180812764,19.19976612889986,A,-125.27242460623751,1
69,-57.625484550064876,D,C,B,104.51233881920643,5.78547183403963,B,102.47474978401787,1
63,-9.87108703889992,D,B,E,-16.5755320892094,-121.37262597451641,B,-96.81543542223548,0
61,-65.8999094407052,D,A,A,-0.9932746829654419,-81.4343426893604,A,-22.45021269105545,1
38,46.44456874548698,A,C,B,-138.12344702094205,130.3640628138703,B,-44.83197309912384,1
35,-171.48501498143693,B,B,D,172.1180222330063,-73.08654002231569,C,118.62032325604612,1
60,-119.89358645729172,B,E,A,-81.41979121907285,83.22002897557145,D,23.347938285776017,1
62,18.887934192280056,B,E,C,-208.97593064897922,-60.255348034944525,C,-24.302983071280124,0
40,-38.57789627689188,A,B,E,47.131873305280344,-47.46514239564737,B,46.45172380852055,0
59,90.07594576829234,C,E,A,-91.2174253294952,-176.7550326465122,D,-58.49422466527938,1
44,-175.38029460805296,D,B,B,-48.85116683697694,-91.52782543815228,E,-92.85476181484685,1
43,-19.696882381968685,C,A,A,-37.15635640607422,32.83502526199133,D,-55.668257063729484,1
37,-149.68598674575196,D,B,B,-41.63667044716163,-108.88098348743686,A,14.611136954121518,1
48,-31.32025111086304,A,B,E,13.929342055698434,15.18655828266409,E,-68.12038587066972,0
24,-13.75430182889341,D,C,D,123.9921064015382,5.773519014104622,E,105.23128240239559,0
64,72.36351749303701,D,D,A,46.57838382797577,19.147107868439374,B,50.76687808437453,1
60,30.846473451983915,B,C,D,-98.56960414700356,-174.04601085849418,E,3.1765532138535018,1
59,2.969700955683661,B,C,C,-87.98096629504643,-206.41603076846073,C,109.02191006925442,1
66,-111.57602686882507,A,B,A,41.95400388759425,-167.11230144023767,E,85.47732161121384,1
56,8.782821932778285,A,A,C,16.55170470669246,3.255685067355412,D,126.0994381510923,1
47,68.78867705178419,A,C,E,115.20314978460367,-89.03686389590392,D,-148.41420521849426,1
47,-71.67262109444762,D,C,E,-99.24031841239281,-99.29776963115557,D,-134.87611505001215,0
35,19.768236359957687,D,A,E,-50.41812925419964,212.20818960205978,B,-42.38772456293767,1
24,-74.11296124743942,A,E,C,149.0710128690832,-62.25769759861921,D,29.535360544812196,1
26,73.33541632135244,E,C,E,-98.30761873991266,105.84980022485708,A,71.6507864376132,0
25,61.67101920440244,B,B,B,91.14833293205463,6.819732441766481,B,2.760294915612345,1
78,-67.31994823990487,A,A,A,123.52315886685051,-204.55689060130732,E,-98.39524203267167,1
58,-177.65451116190394,A,B,D,50.35092976023373,44.21779641592579,D,-5.337483200239841,1
51,113.13632163048608,B,B,C,84.34084843875968,-290.9789386097439,A,-88.11265307385007,0
55,-67.45075051594715,E,B,D,178.0267593922298,-78.55391470155621,B,-79.7532503624795,0
75,52.59386337506654,D,E,D,-95.11678851757772,-119.11711625144514,A,73.02566693515138,0
53,230.91871295109377,D,C,E,-9.823201504315163,36.46582341359536,B,78.8365150233784,0
75,-93.09832087377787,C,A,D,-44.66878020762536,-97.02698121351871,B,150.79867373389934,0
37,-115.04819669072926,C,A,B,134.18088782010366,100.72856257915141,E,-91.85547727331705,1
