AGE,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
19,Christian,D,46.28615251065344,87.96996060401251,B,E,51.095494323826316,B,C,96.10467792988986,E,32.72962368754526,39.75763674142485,B,E,C,C,80.38051821288073,-40.95389025183712,C,0
39,None,A,-2.742735657331253,58.83078170468149,B,A,-69.41750180336972,D,C,157.9684109313864,E,-63.89106923302783,152.79680010118776,B,D,E,B,70.15468255132572,89.36806179883678,D,0
18,Jewish,D,-0.9059692556606584,43.16512691784414,D,D,27.410306874337074,E,E,-84.90099878792388,D,173.4940859453998,148.12301281864998,C,D,E,A,44.36212036165266,3.6345418187309497,A,1
65,Muslim,C,29.849752627926758,37.159673831620275,B,B,-15.253006736136317,A,E,71.40951586135583,C,-96.99308920759326,-3.717429064875741,E,D,D,C,41.82302837603133,-102.36386730646127,D,1
63,Other,B,86.24649939590519,108.6070670921733,D,C,-21.947013127718147,A,E,45.29186466128999,D,-154.26180533678152,210.5260560487786,D,D,E,B,-73.5945776520957,-17.104982029457073,A,1
65,None,C,52.87245055599637,-59.19774380407981,D,C,112.8997996737137,A,B,81.0468936357312,A,-15.703842147124,46.079940846925396,B,C,A,C,38.33113023871747,60.073944567923974,A,1
60,Muslim,A,21.39373248070027,-95.76846332175072,C,E,-89.6054157542712,A,D,27.28339425833257,C,-128.16203322365286,227.20844953058702,B,A,C,B,27.574871987471905,79.1209111939377,B,1
66,None,C,-77.68146341452194,-120.28526664948325,D,A,53.653536715900685,D,C,-98.08241181902338,E,27.376803405087863,-0.8985194257266382,B,A,C,C,35.39512144020049,25.06157469497645,C,1
58,None,D,5.600502566694492,124.2836856487825,C,C,-27.495658655299554,A,A,-92.11780745671194,C,94.54424944704702,22.6319055518475,E,C,A,B,77.8644299407305,62.4050148071991,E,1
45,None,D,71.28620142555563,69.06484687785418,A,B,14.179195455948216,E,B,60.10011130955738,D,-111.71441990353242,33.292399436026784,D,C,A,B,-7.516137204033761,249.55115825311415,E,0
