sexuality,genero,feature_0,feature_1,feature_2,feature_3,feature_4,target
Heterosexual,M,B,B,122.98461139393315,D,7.83466083790993,0
Other,F,B,C,22.10086042227129,E,64.27049019967761,0
Bisexual,Non-binary,C,A,52.795721722875456,E,-118.85234063792156,1
Heterosexual,Male,A,E,23.406830541717873,C,-136.79819265847573,1
Heterosexual,Female,B,B,-54.13811666385862,A,41.4757284448941,1
Heterosexual,Non-binary,E,D,-51.506890890268956,B,-41.29552822470671,1
Other,Non-binary,C,C,23.158601542710517,D,28.426366607378593,0
Homosexual,F,E,C,12.535084116854362,A,-196.9097217109465,0
Homosexual,Female,C,A,-19.674868212759947,E,-29.699349171460643,0
Other,Non-binary,C,B,-25.196511661370092,B,112.69287067234313,1
Other,Non-binary,E,A,70.19108137832123,C,287.0934717269484,0
Bisexual,Non-binary,E,D,-100.15108489512039,E,-68.45667263146926,1
Homosexual,Male,C,D,-134.8399938280465,E,0.12191699498136377,0
Bisexual,M,A,A,114.78799567952804,E,-236.8613699773312,0
Homosexual,Male,B,D,-22.563152437417273,D,20.671918667197236,0
Homosexual,Male,E,A,-148.82445046489138,D,-85.18981471974675,1
Homosexual,F,B,E,79.39130829025521,A,119.26246790166421,0
Other,F,D,B,-45.97970474180777,C,109.27490105367544,0
Homosexual,M,C,D,-83.84110150793161,C,21.229848248797314,0
Other,Male,E,A,42.69711921639169,A,-16.09929366323723,0
Bisexual,Non-binary,B,D,-36.74753018419336,D,-58.655437749095086,0
Heterosexual,Other,E,B,72.86712233820445,D,-82.77539065618113,0
Heterosexual,Non-binary,E,C,129.31935111999005,E,1.278529857783832,1
Other,M,D,E,126.03283670216632,E,99.6225110817197,1
Homosexual,Other,B,A,4.865285448286164,B,141.57648521409607,1
Homosexual,Male,B,D,-10.336941373213628,C,173.69092141896746,0
Bisexual,M,D,C,-78.08890877075743,C,106.23589540680685,0
Homosexual,Non-binary,B,A,-84.81388854090068,C,-0.8804349357725404,1
Heterosexual,F,D,C,-33.59604977333547,B,91.7952791864903,0
Homosexual,Other,A,C,-87.77646842124568,A,-114.26459487462918,1
Other,Male,A,D,77.9379152281135,A,86.99865823381057,1
Bisexual,Female,E,C,99.82578581427117,B,-21.768451046074958,1
Heterosexual,M,B,C,-134.48565448940806,A,-11.626139385894724,0
Other,Non-binary,D,E,71.67066104622994,C,-70.22484352546317,1
Other,M,E,E,7.543040009810653,A,-154.37604127146952,1
Other,Other,A,A,107.60205862676091,A,-94.64476253678433,1
Other,Male,A,A,-58.87067429142482,C,-1.557523496061458,1
Heterosexual,Female,D,B,-46.589220393870086,C,134.12704061977166,1
Homosexual,Female,C,C,-134.29369952602573,E,82.99194997076354,1
Heterosexual,F,B,A,44.37066331209834,D,-161.27925107516904,0
Other,Male,C,A,-53.02946183640754,C,19.69295981367636,0
Heterosexual,F,A,E,-19.599288504596966,B,61.59867858473148,1
Heterosexual,Non-binary,D,D,-104.35153492541438,A,174.00092926182086,0
Bisexual,M,C,C,-16.492786146547868,E,-2.3326305604963524,1
Bisexual,Male,A,E,-34.89079596674116,E,-26.22646284491541,1
Bisexual,M,C,C,-80.41728513208194,A,156.38329840749782,1
Bisexual,Other,B,C,-24.529058310913904,A,192.3629540247503,1
Heterosexual,Male,C,B,2.4722022321610986,D,-123.90772066002576,1
Bisexual,Non-binary,B,E,31.149995045249547,D,-45.36330883930439,0
Bisexual,M,B,A,-2.2896436079760605,E,114.2652281774183,1
Homosexual,Non-binary,B,D,4.876653794893692,C,-266.69488253623894,1
Homosexual,F,E,B,111.18482180015641,B,-58.71408522467999,1
Bisexual,Non-binary,B,A,-36.77764827943863,C,33.10006161383786,1
Heterosexual,Other,E,C,-206.69925470417758,A,76.23305751815084,1
Other,Non-binary,B,B,-109.78462860490461,B,-38.17945206384189,0
Other,Female,B,D,-26.236599806090567,B,-83.44890018874038,1
Homosexual,Female,C,A,-203.7968614252663,B,-71.0772092532534,0
Other,Other,D,E,-60.893718904654236,B,-178.65539550819443,0
