faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Hindu,E,B,-82.16002085133907,B,D,24.71158050317152,64.88494709031283,28.18699696396973,C,D,B,-55.953081453886476,-1.5996220247380972,1
Other,D,D,-57.290043375864805,B,E,23.966583155887538,-135.4287415728104,-215.46737424312045,B,A,C,60.826643367833846,-24.347091191656915,1
Hindu,D,E,-44.35385499247731,A,C,-42.93233349922365,13.668686093682592,-76.08479565263397,A,B,B,-136.01235052228137,78.6404463687074,0
Buddhist,C,D,131.7164209660503,B,C,89.04095340067111,-16.483100688164683,110.2643729682547,C,E,D,-82.03661971997818,-118.50677617724553,1
Christian,E,B,-111.12757600672063,E,A,98.2279997380208,-50.965933766307636,77.80845468119925,E,D,B,-48.9107210886055,53.95066182380304,1
None,C,E,52.4988446155036,B,D,64.47009140957309,138.5427410087943,200.8275028113454,A,C,B,47.746545428894066,-80.8230799220024,1
None,D,C,213.07047289138978,E,E,33.33261393173647,12.323238636501593,19.988766997157995,D,C,C,134.5656981625585,26.302274036171386,0
None,C,C,-177.90992698022825,D,B,14.686600740808748,-38.770847429460744,-24.326473528928158,B,D,A,1.6769168838063262,-39.00066303007792,0
Buddhist,A,B,58.4641869850824,B,C,-27.673322947525357,5.960631150673327,19.48853447468392,C,B,D,151.3413934973542,-90.11634710755878,0
Other,C,C,43.61968343273813,C,A,104.83273759936493,-71.01689668558447,9.896615010238337,D,A,C,154.48884231679557,6.511988146099474,0
Hindu,E,D,136.65866927803435,D,E,215.2071214182202,19.4372119355301,120.45550312722371,E,E,B,-23.711929929808537,-99.86708064544918,1
Muslim,E,A,-132.78244034882584,C,B,98.34452273909315,-22.821667724197763,51.308830805805385,A,C,C,-51.9539018412377,-130.90879326366135,1
Muslim,D,E,105.49806185488913,B,A,12.650471583649182,-28.63547045426509,196.68934638690925,B,C,E,77.58641041012746,-110.77683673223224,1
Hindu,C,A,0.9814671182366308,E,D,-67.47187146962537,93.1703470981471,-182.1600810784895,C,A,D,-76.59055955102862,57.272190891403966,1
Other,A,A,9.754920057043698,E,C,187.13143473094703,-58.89057159558192,96.97995663743802,B,D,D,181.86598385256463,59.157149256196774,0
Hindu,B,D,188.57476443876988,C,D,-135.97978239364988,22.04827450848666,-100.26763749823164,D,E,A,-83.85720425936465,0.2650088674802625,0
Muslim,A,D,-34.775959083623434,A,D,53.10739541488624,58.04101085195864,100.13982722656192,D,D,A,61.86519958887023,-122.70866466142358,1
Christian,A,C,68.4301506500965,C,A,243.11918800203577,245.27524006559744,196.42042418418947,B,B,E,139.23635279337148,115.37676189215725,0
Muslim,A,A,-161.99921021530528,B,E,104.34155302126015,-68.44306614633902,-57.14733769594053,D,B,D,63.40903869519219,-219.9434328795312,1
Other,C,A,67.27941178897258,C,C,97.07430936513629,37.599518624143165,-81.19683282246183,A,B,A,-91.71611659825147,140.72453585396312,0
Christian,D,C,-126.82295791342798,D,D,-217.6724173093759,123.33981725722045,-59.73281130371515,A,D,C,85.8184273386251,-10.36104302554628,1
None,A,E,-126.44724910560845,D,E,-116.08281757782042,-199.27497189081842,76.15179866488707,D,E,E,86.49895824532366,-106.23336520243245,0
Muslim,E,B,-31.118406949731224,D,B,-86.42694568149379,-150.64448957481977,-72.5848573952679,D,E,E,-94.92202828980066,98.51466868421403,1
Buddhist,C,C,91.19599621343475,E,D,-132.88135654230524,-108.7951642663212,-151.50364098068013,E,A,D,0.45010104005004564,-65.60044664403321,1
Other,B,B,-78.50728720115534,D,A,35.26017028793453,8.737075013465132,-48.5812905180853,D,B,A,-84.77422182006866,-147.58421958918882,1
Buddhist,E,E,-45.34289523793299,E,E,-48.24450643776188,113.94463652855804,16.93874031476496,C,B,B,249.7136854305379,-86.83438091760829,0
Muslim,C,B,79.48494476204844,C,B,-5.357659575253245,-39.906517829664146,-94.7449464427128,E,E,C,38.320026644461706,-107.03536636830533,1
Other,C,B,-47.79351084756151,E,B,68.60963524910166,98.49285267833712,132.2830585701007,B,A,D,-87.50011653221063,-66.09884816284037,1
Jewish,E,B,150.17104373643107,D,E,-41.298914408043835,26.678909605570762,38.36655824022663,B,E,D,-52.95760961390494,-16.609820366429535,1
Christian,C,A,39.223232108898785,A,C,155.07523655882707,95.25711435706488,138.9759896885008,A,B,E,-55.47331606308905,148.11690029427143,0
Christian,D,E,-60.677597763864696,E,B,-116.21390276255133,-23.234237161468013,-107.1520731975565,D,E,E,-140.34129426012692,-67.40790671953393,1
Muslim,C,B,1.1487623054714897,B,D,-132.10964901661413,80.907397418876,-44.56987909721647,E,B,A,153.74969700258498,90.14928722902333,0
Buddhist,D,C,-180.19422985605863,C,B,1.1044392197957804,-109.96602416651231,-66.66013130214992,A,A,C,-234.2481100847063,24.63966641598478,0
None,D,C,-23.144620428707192,D,E,40.28853645343392,86.48642706511687,-93.90726198773092,B,C,E,75.54711205936829,0.6658831003844355,0
Hindu,D,E,-109.3796122696465,A,B,19.513640033273223,-66.84113248371682,-42.637480742311645,C,C,A,-105.51184270492809,-55.60856188421715,1
Other,B,B,22.377358581619518,C,C,-14.688668543592218,-1.1137020857944526,41.81440548119683,E,A,C,20.973567718988008,141.38271805511323,0
Buddhist,C,D,148.94848162752993,B,D,-213.76536584449778,-65.68947170845904,71.89994124916848,C,B,C,-201.90969130978948,27.245051595536378,1
Christian,E,C,-134.04303263070616,D,B,39.04954557160134,70.72078688498459,27.02653502714616,E,E,E,68.29588596306584,6.917205939731781,0
None,C,B,-76.75336369009075,E,C,-255.0058054803941,83.80812540403868,139.0323097713152,D,C,E,-179.412306633988,-27.68957894469991,1
Jewish,E,B,8.584696887006169,E,D,20.519573459337437,33.658604055133914,-88.71672863382794,C,D,A,-81.26367772574635,-130.3203470184213,0
Hindu,A,D,87.92532079351744,A,B,60.70618492547253,-172.47919462730636,-74.67106209912954,C,C,B,-84.92651162435835,34.053263181149504,1
Jewish,B,D,-78.75471231295542,E,C,-229.8947300036643,75.46889014098338,-12.417513903095056,C,C,E,28.45577710594649,2.217670477688718,0
Muslim,C,D,-9.958154600245212,C,A,31.47126074902963,-10.342766485815506,43.56064205250948,C,D,E,130.6716954882301,-75.18087929609905,0
Other,C,E,-124.04270503396056,A,B,-83.38596109168319,-63.90748094787108,-100.5369470710159,C,D,A,-68.98565432289207,-122.03834060468428,1
Other,E,E,-44.64581207680048,D,B,-72.08197307162344,-62.03483158245593,200.66394743757948,E,E,A,64.79886761213768,-155.4703263193296,1
Muslim,A,E,9.684414007019065,B,B,41.594196936815095,26.106233606107327,-7.055520011698166,E,C,B,183.85439986819313,5.443592598714846,0
Other,A,E,84.36374673549876,D,A,167.07654951036102,-81.4158956505475,-213.86176467093316,D,D,C,-130.294198871119,60.15245714302052,1
Buddhist,B,E,-113.46211806561777,C,D,-52.017121861538065,-70.82182743954688,-9.313455023640074,D,E,D,-40.971545149422006,38.558803686257654,0
Hindu,A,C,-79.77432276334766,C,B,-290.79418954514523,133.22428588022225,-84.33543732798661,C,A,B,-26.344664973773085,-61.371332720147244,1
Christian,C,B,-30.674140858455907,E,E,181.8510432863329,-170.58360456418674,-28.190204383922186,D,C,C,56.397625955968586,163.42001560428818,1
Hindu,A,E,9.111431088752536,A,B,-92.90547702527228,60.28787061809959,93.9646687491871,B,B,E,188.64662224817863,67.2237799552455,1
Muslim,E,A,40.300520660700094,E,A,-245.20458061730898,-116.25524765626317,-52.84672630311938,C,D,E,-126.43150088803216,32.08864226800104,0
Hindu,A,E,41.47204981930817,A,C,-75.75546142152221,62.084229761264744,25.675831594904164,D,B,E,62.269229026499026,-14.75851296410019,0
Other,B,D,-32.68538516270198,A,B,95.08016060842591,-87.25545045065905,24.805610286515684,D,B,D,-93.61263092816358,66.00209065605362,0
Other,C,A,189.3393561925039,A,E,-10.36602147611713,-107.06021894276576,-78.5105338853732,D,C,A,-112.50507060480106,-14.984867515753301,0
Christian,C,C,-78.84834597556758,E,E,99.28983718314129,-179.13928415996844,-107.21349388512166,E,D,D,-102.34151462876969,-159.8095279335054,0
None,A,B,-99.67315666096323,B,A,9.28476829514231,122.26830141507999,57.56558199658367,E,E,D,112.46608661124391,4.049880587201329,1
Muslim,D,B,28.36484460540812,E,D,114.77069170538894,116.81187178927689,91.67154596535292,D,B,E,77.07982789379061,-0.8521518529271397,0
Muslim,D,E,-44.061073628673206,E,B,-6.777272469347509,98.63035819379803,-120.54809981897165,A,B,A,-22.449689545117096,-14.109272739952663,1
Hindu,D,C,77.49725237216849,B,B,112.74098454691956,-73.58016522062594,-93.65344653199217,D,D,A,-86.08900021472354,-31.461553604863102,1
Christian,A,C,75.72570618379119,C,E,47.29596006458059,-10.592693392378527,-65.6722890062361,E,A,A,78.58393469779166,-84.62703477338638,1
Buddhist,D,A,42.340718980501016,D,C,-2.0731250960340697,-84.36694315617052,-86.52068843490125,E,E,A,-12.268090445042159,-39.748092692189026,0
Hindu,A,C,75.47593172642291,D,D,-20.185702527878966,-58.32453351464891,-93.13662088963912,B,B,D,-76.93679374849012,192.6011059473565,0
Muslim,C,E,86.48509791466068,C,C,52.67673990023113,-22.6846385535309,47.636705099500716,A,A,C,86.72619379577012,-23.936878094640587,1
Hindu,B,A,-88.91047716711489,E,E,111.64771280702466,-25.70226388680494,93.91087294273933,B,C,A,-13.408004023050394,-91.71082373228924,1
Christian,B,C,123.93433689054605,A,E,80.81070231424114,-85.01628870465045,-167.60093423193015,D,B,E,167.9453963761127,18.88986401126813,1
Jewish,C,A,-92.93918956159119,D,C,-66.73501208229816,-76.76625985739346,51.953386878209365,C,B,D,66.0052467182129,-146.94396257417517,0
Jewish,E,E,-55.375601502665674,C,A,175.0825796726235,-1.2101646546454135,63.928101544932424,D,D,A,38.74740346848667,-178.43952310103472,0
None,E,E,-157.9494078291809,D,B,71.82933527328562,23.333833992404344,-36.18715926661386,E,D,D,-126.23342753896819,201.51263537004144,1
Buddhist,D,D,-82.89867497063904,A,D,-119.4239380670815,-150.01170252182402,-90.11732165687634,D,A,D,-39.087236181530855,-98.39588207005121,1
Buddhist,A,B,-79.4828777448402,E,D,1.1283516291393714,8.416515235952684,3.132267201820578,C,E,C,-219.99259896161357,-179.37329241732945,1
Muslim,C,A,24.481142293654486,B,B,48.96423894992507,102.20722000335611,-21.880801943181293,D,A,E,84.51710988055781,-2.3523191745398475,1
Christian,E,B,124.36938519307088,A,D,-3.3427112828394896,104.1970055908398,-80.31793943516354,E,D,E,169.72236358466907,40.97495600873097,0
None,C,D,-18.409053844128824,A,B,101.82458322508718,104.7080853520733,7.375649651718791,E,B,A,-118.89323017247177,190.19668268977702,0
None,C,A,-24.344267329989965,D,D,-207.88675692375668,8.128000896929642,-122.19222554418208,C,A,D,-34.113144871646114,-53.81094251947357,0
Hindu,D,A,136.73646034414406,C,A,73.48563329878807,27.46517683749404,137.04541286496567,E,B,A,174.89899518997314,23.18922646946982,1
Other,A,B,-172.95612134669904,E,E,-48.79032657340463,10.538162379388998,67.14095125416827,D,B,B,25.446681726544636,-40.64660272001867,1
Buddhist,C,C,69.02003370618326,C,B,-18.583625499631264,-199.52810856243556,-60.34485091669255,E,D,E,-139.40281422731942,61.26751451125416,1
Muslim,A,C,-8.05347004939919,B,B,87.69482292444786,97.62313173290647,131.71316552238642,D,B,B,66.74233407100594,120.27782674617973,0
Muslim,B,D,82.87828136132218,C,A,-145.2227963653197,6.23689596067407,-58.39489844722061,A,A,A,-122.30225850242036,-111.76522356740746,1
Jewish,A,D,-101.84068329140217,E,D,86.00456660793955,-42.219032308564266,48.2678672658993,A,D,C,51.804612801874285,-105.1078600132423,1
None,E,B,17.27790220965367,D,C,63.439429100846034,-78.04331608368479,-36.48933500660478,D,A,E,56.12645837202371,84.53150380015599,0
Hindu,E,A,22.311400107877493,E,E,62.140879382189105,-8.97918611110787,142.97113743551586,B,C,C,-24.53288385335673,-16.085277006625468,1
Christian,C,B,-5.73911948601192,C,E,111.70741574890191,100.74499606136817,-78.48894324843475,D,A,A,68.28697161780717,26.913454051068836,0
Buddhist,D,A,-170.79706158471367,C,A,0.06829308663530406,59.67926878334453,-29.045805525160034,C,C,A,-96.89662035847428,0.43906801211697455,0
Hindu,E,B,199.02548344233875,C,D,-12.226052322103422,-46.187882569381664,-46.7465115166436,C,E,C,-146.88392676986055,64.80269577996258,0
Muslim,A,C,-25.250325045179856,A,C,-106.53872158130142,-12.560389407065628,-65.00197450284429,D,B,C,47.20880692610815,-70.07130117433427,0
None,A,B,22.91782535909728,B,B,-49.9099141653855,-31.55574300777515,-21.127908886849127,C,E,D,-109.45501941552867,-207.0919437660521,0
Jewish,A,C,-55.796511265097,B,D,-18.76670830903192,-160.6815870280635,139.4597257739044,D,A,E,65.59919443246068,51.369665433493914,1
Buddhist,B,B,-163.2480199358549,A,C,70.72119047507316,52.979604797717705,-18.897452816915983,C,B,E,-8.206380449729783,66.50673546695421,0
Other,D,B,-81.63080864770848,E,B,-189.15640438527092,-5.376907767414867,-46.00066207412903,B,D,A,51.042926593297686,27.077607913808897,0
Christian,A,C,34.64702483415116,D,D,20.055043342449995,-90.5517628673802,232.39330536726862,C,D,A,-82.02671748594969,126.57056763447416,0
None,E,A,78.04911345474194,C,B,220.58695378626095,-32.65274353384622,295.3034643509854,D,E,C,56.89691802074665,150.9732455831801,0
Hindu,D,C,-122.85370497395323,D,C,-71.03565072985188,-33.75287149806503,-185.93642259867983,A,E,D,-15.26967385319759,-119.49708464240494,1
Christian,E,B,-64.39051619849158,A,D,-116.84373427930322,11.365977538416452,13.162820159637926,C,C,D,31.139897339095242,78.28859724469149,1
Muslim,C,B,-33.967961095994,E,D,50.856562066577574,-85.0340086044391,-13.383048747009576,E,A,A,-93.11507586266808,-90.3193957577491,0
Christian,B,D,-247.64831521575377,E,D,-17.952058018241367,-53.403757426230506,61.45880678359698,A,C,E,-120.02194302216425,-13.220491854804777,0
Christian,C,D,-159.6151424022446,A,B,106.87123102390403,-109.35141003299142,-83.56146470588533,C,E,B,-113.08385634634813,-165.78775555355548,1
Other,C,A,-5.047042094896461,D,E,-133.76498393830815,-8.97246763331941,20.768419857350597,C,C,A,145.59729085521153,41.42421869414058,1
Muslim,E,C,0.20783700296236438,E,C,120.4308996471107,-118.71934363340439,72.55262261207506,B,B,C,118.55008493573797,-8.711921652232512,1
Buddhist,C,D,-93.75976912431952,C,A,-274.3543203096645,53.97795550466555,134.89279871000915,C,A,A,209.83051908641852,39.62927264575648,0
Muslim,D,B,-136.4354852396021,D,A,-163.00777748018737,104.34524467672975,51.04710889665358,A,B,B,-78.87398471606384,14.99607637934059,1
Christian,B,E,-180.72331214362686,B,D,-73.79785677401057,114.75050535886939,80.04823759632764,B,E,C,94.74402666908833,-36.72867305327523,1
Hindu,D,B,-132.6749595925311,C,E,-59.346908271417696,-109.72888930807127,116.9271900932959,C,A,A,-78.89106159276872,-249.30102258567123,1
Buddhist,A,A,30.337615647773497,D,A,-73.81963927500163,24.21506246139758,-126.62948308192941,D,B,E,-50.81659139119873,-116.59586391450037,0
Christian,B,A,-69.87960245916501,A,B,28.72171188669035,55.69266573576378,-29.574171151012262,D,E,C,-24.859026170518394,88.50752299266753,1
Buddhist,C,C,120.19325675101933,C,E,36.40468861153287,108.73975631300074,-200.01905787525266,E,E,B,-106.25594142370755,-46.241909921084805,1
Muslim,E,B,23.815037564592533,C,C,-53.98558566485675,-112.02179033922744,150.34984157009825,B,E,A,144.28268268735997,-125.54728892195803,1
Hindu,C,D,54.66981698146084,D,B,-52.029856773495744,-25.259970725495545,-112.02900133151962,C,D,E,179.86905415614027,23.759506592993073,0
Buddhist,B,D,-180.069616913118,A,E,24.665836161602655,115.75464497686907,144.8828472224638,B,E,B,58.73900506034566,-19.590915200978547,0
Buddhist,A,A,22.751969169466363,B,E,163.4228903991008,111.9626311495227,-210.73957597071927,D,A,A,-49.69406449830658,-45.95685693362297,1
Buddhist,E,D,118.85797313012274,E,E,98.76329963799745,-28.85831050112346,-135.57161068853236,D,C,D,-116.86923132290215,-164.07090515969668,1
Jewish,B,D,43.78876223012964,C,D,-18.089636118658856,139.0729048636686,212.0979209580188,D,D,C,-48.20773244503004,63.801270802065154,0
Buddhist,E,A,-95.10533409490822,D,B,81.22161204564318,126.3191478963001,-311.7460648729527,E,D,A,-84.44322438715712,172.36614179532623,1
Jewish,B,D,-84.37372011582796,C,C,146.53746235870142,-135.14303389552714,217.90525107916622,E,B,E,56.507640260385216,10.446487176988606,1
Hindu,E,E,53.514120143413045,A,E,45.62949836478703,87.32334573228734,146.9686023103142,A,D,E,-225.0082796818774,202.04874116650277,0
Muslim,A,C,-22.033652564205035,A,C,-97.32218458968693,94.28438375780948,209.88479817225087,A,B,B,-218.07678781263417,62.64492025381343,0
Jewish,D,E,194.3442757988199,B,A,56.0371771890871,-0.16562582989512703,-26.199807007316668,C,D,D,-29.21230353386087,22.340142118257265,0
Other,D,C,-65.2008038434776,B,E,102.71503731137095,-133.29189132796094,-54.760320450080215,D,A,D,-80.37623196431002,-150.0487509548118,0
Christian,C,C,-7.016113165226525,D,B,166.26197661545515,176.95754743826714,85.06902509518596,D,A,C,21.854427264774902,-269.31948013774223,1
Other,B,E,-178.80997263698356,A,C,-236.79846290748975,-175.83161250014018,49.03968617253881,B,E,E,63.352762326518366,-65.38282825972608,0
Buddhist,D,D,-145.01959608061367,E,B,-138.53105657373234,27.421910538988097,189.60430828900806,D,A,C,75.57667926037836,151.67896970151108,0
Buddhist,A,B,-49.05857982111199,A,C,-56.530370702296686,64.08514872856385,110.21605128049119,A,E,A,-5.592284145336724,67.75414074107837,0
Muslim,C,D,-92.016067105885,D,C,154.46422826607719,-23.791049425772382,-78.63319821535012,C,E,D,-34.31614141923297,-3.0523776018727076,0
None,D,C,-22.87534382612428,C,C,182.08364065773998,-19.987342680813285,49.66134797259331,E,C,E,29.13893653775224,68.2698042453908,1
Muslim,D,B,-16.93226334287721,D,C,80.51376025222513,-168.35705972753067,133.50981005904617,B,D,A,32.62143819231147,115.98947663856612,1
None,E,A,-110.91554832579608,C,A,-38.69280815066155,7.50509892942212,-97.02874853350684,C,E,C,21.18371593450326,-39.0800239570599,0
Jewish,E,E,87.57123868068935,E,A,53.72618193064132,-111.90502704650788,75.17448172363412,D,E,A,-32.42647746817263,65.50616618396032,0
Buddhist,D,A,112.31847985263602,D,B,-62.67959903096057,-88.21624381542662,43.72543610090843,D,E,C,49.03461421006037,-117.33532219321032,0
Other,B,B,119.70817532692722,E,A,129.89436374223237,-157.4570159413881,127.29709700192839,A,C,C,81.06316199759502,201.62374224689955,1
None,E,B,0.19151257211128184,A,C,-105.32647013365077,-174.52544371474565,-100.04872153745772,B,B,B,-83.12565733037648,-78.81034222179684,0
Muslim,B,B,40.77453258591007,A,B,-65.74425667177678,-145.91081703203236,4.9097158128476215,C,E,C,67.0612519063185,-46.86902251284039,1
Muslim,C,B,-163.05410844221316,D,D,94.50012953303359,-98.70823508038877,-15.11285056831508,D,E,D,-122.47605075635046,180.50845359501102,1
Christian,E,B,-218.9645467276364,B,E,-111.42561112167522,65.70077191897403,12.6028301082671,B,C,D,36.25249045204096,-22.057035062774382,0
Other,D,B,-142.50918362390522,D,C,-102.59144358435958,-192.75585775158572,177.72780643060514,E,B,A,-9.40291447900524,53.62667836535467,0
Other,C,B,-123.02847962440049,D,A,-67.69266223387214,80.77796607538987,-160.56526659167773,E,B,B,55.905375180256215,-129.35086161043017,1
None,B,C,44.343252540281675,D,E,-95.03464709144004,-54.93582848036721,-202.6857393578128,C,E,C,165.27999075813818,-62.36984819349002,1
