nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Mexico,-12.804155335946344,-78.40162093288204,B,A,-97.61234019631291,-54.467322197804734,E,62.18658943644417,A,C,E,0
UK,-97.78143964078312,115.40481879478521,B,C,-138.17644581585554,98.81059865940898,D,-153.07891284540807,C,E,E,1
Brazil,-170.8677653554225,-20.999443141162306,A,D,-40.983441038684695,51.37303778474068,D,-13.711500027803755,B,D,B,0
China,-129.27312681967948,-75.16466252217559,B,C,-139.94312561701173,96.12301737206298,D,72.59095835502747,B,B,B,0
Germany,-54.31153416426999,-60.73130161092446,C,B,-58.29117597110566,29.898257286026077,C,171.68635625595775,E,E,C,0
Other,111.92676401978996,-90.59550607509502,E,D,18.570728942330543,45.97277710876262,D,106.79838734459733,C,B,A,1
US,33.503888898582176,-26.705238912663614,E,E,-70.6504452359409,-45.27650339122116,E,-9.451591377565304,D,C,E,1
Brazil,-155.165043768919,29.262475133129286,E,D,-8.051554013952485,-111.02200086515528,D,29.980537131078762,E,C,B,1
Other,-78.3693104431825,49.27830510973339,C,B,-207.690386746363,126.77470241252571,D,29.97149968880539,C,D,E,0
China,-51.73554898830015,-80.51211018773714,E,D,-18.20213574088033,-20.248216599299372,D,38.864543930233616,D,B,D,1
Germany,-63.99119782931207,155.38180882168865,C,A,30.67839750721946,118.61923818607112,D,28.45004196560124,C,C,D,0
China,57.73338429127788,73.42303745516601,D,B,-25.34158691702958,33.88400883100452,A,-54.46905303164912,D,B,C,1
China,77.9944050920793,115.08348303381877,E,C,66.62114424348566,-21.295856553773852,A,-57.92573800853367,D,C,E,0
India,99.9486772286882,116.10981945276617,A,E,-66.61068628460785,177.27868785730627,D,-34.51352962954061,B,C,B,1
UK,-91.14481593995927,-207.79186646277202,B,B,-107.51800917936924,-44.19296107093634,A,-43.3081473573675,E,C,E,1
Brazil,-32.86234993605251,0.377427989737044,C,E,71.36240332337024,157.99223615937942,E,96.73247739156638,E,A,D,0
Mexico,-100.55332213230577,14.735975022748976,E,A,68.57882592568366,71.72092055263367,B,-51.84068106535077,C,E,A,1
Mexico,-35.53531428207015,-58.40462503486224,B,C,5.305102094891889,45.57553178203509,E,121.3855536123384,E,D,B,0
Germany,-163.66723283704488,58.975171175640405,D,B,-135.4745379639926,72.04500278240123,B,-146.81533116015345,D,A,B,1
India,-15.763476823203662,-46.180042627276,B,D,-91.14176579741172,-85.66958068277756,E,-19.284479404765086,C,E,E,1
Mexico,-201.4999540468399,-29.86294001941862,C,E,-96.20342751376079,82.26099248470827,D,-6.204322091178356,A,E,B,0
Mexico,-143.17730624107944,60.14481819121745,B,D,-78.22383304449114,85.9836975111978,B,157.19754148121058,C,C,C,0
Germany,154.8389262326317,38.85254987891293,A,B,-64.02880094334304,-170.9592247695047,D,134.5853379027849,A,B,D,0
China,-56.91225527889024,47.2849542363206,E,A,-73.3950534624898,-190.80589080240523,E,13.500880713666605,A,C,C,1
Other,140.01632348865726,-42.96774077638707,D,E,-35.279382239155524,-129.30618584974516,D,-39.3843478413452,A,D,E,0
India,161.88796522776775,-175.37996997952268,C,B,167.92269945031995,85.14512862665174,B,204.31890484249976,D,C,E,1
UK,-127.04457836596843,150.2488691493806,D,C,-4.208715281038809,115.98335630592183,B,-27.287902005010174,D,B,E,1
China,201.94593460525616,-7.145444327304706,D,D,-22.834126973592824,121.61889259893321,B,86.15245868703182,A,D,E,0
Other,-85.17809203722528,-48.96695021304795,C,E,0.07669955502963939,11.197721558417621,E,-72.40643499891078,D,E,D,0
Mexico,-133.0681694040887,-225.5506881782826,E,B,138.9742762469968,7.8016163030242405,D,69.45951769689925,D,B,B,1
India,147.0639630037648,-84.45067631235716,E,D,5.905017072453476,148.21879999883723,B,36.804106246566455,E,E,C,0
Germany,-168.46774917747356,49.54047482883095,D,A,-60.15445283769812,19.454641680185684,B,3.813332868936261,B,B,E,0
Brazil,25.963368384629742,111.85932686461615,C,D,26.333973014059936,-60.48409956862122,A,211.76626877488923,E,C,D,0
Germany,5.594898789758513,7.86495019137022,B,E,-103.58160883853944,147.0314866166735,D,12.816187958187847,E,B,A,1
India,-70.1111842058009,71.19200424575112,B,E,-99.62590351440538,31.715707730032193,D,121.11559693417671,B,E,B,1
Other,105.55508883736431,-202.33561189748818,A,D,150.62817168684424,71.95932304490668,B,-6.992347521813443,C,A,A,1
China,51.76231220046657,-106.17829043058988,B,A,-40.066042560770356,97.35418286831299,E,51.43869670045085,D,B,E,0
