disabled,age_range,military,religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
None,65+,Yes,Other,C,114.15025463277996,C,C,C,C,25.156722010572206,B,1
None,65+,Non-Veteran,Jewish,C,-87.49099163324962,E,B,A,C,13.421583909460272,C,1
No,18-25,Yes,Christian,D,-26.008380724455975,B,D,E,A,-100.25933063163093,A,1
Both,65+,Yes,Christian,E,11.997427020196099,B,C,D,B,1.8725186240384366,B,0
Physical,65+,No,Jewish,A,51.04416907608334,B,C,D,A,-130.91341860452198,C,0
Both,18-25,Veteran,Muslim,B,-53.82399814488189,B,D,B,E,-20.05350418498722,D,1
Physical,51-65,Non-Veteran,Christian,B,60.94384666015499,B,D,D,B,22.53573462760953,E,0
Both,26-35,Yes,Hindu,B,16.572421015961726,B,E,C,D,25.25877360988109,C,0
Physical,65+,Non-Veteran,Muslim,A,-88.0833725171632,D,A,B,D,-84.94577242907891,E,0
No,65+,Non-Veteran,Buddhist,D,-88.94361116482095,C,D,D,C,-63.11006464403094,A,0
Both,65+,Non-Veteran,Muslim,A,42.769594736215005,D,C,B,A,69.62098023734164,D,1
Yes,65+,Non-Veteran,Buddhist,B,50.02365171596178,B,C,C,E,-72.26226578257928,A,0
Physical,51-65,No,Christian,E,50.81912893885904,B,A,A,C,127.42643328964832,D,1
Both,51-65,Non-Veteran,Hindu,B,-10.77997384414276,D,C,D,C,115.93224302872905,C,0
Yes,51-65,No,None,B,-56.09558475788362,E,E,B,E,-70.73031166854064,C,0
None,65+,Yes,Muslim,C,237.58393344540906,C,A,A,B,-1.449391915855853,C,0
Both,51-65,No,Other,E,-22.659944690017575,B,D,B,C,-41.85254389841501,A,1
Both,51-65,No,None,E,-45.71858533056514,D,A,D,D,-34.55759684877533,E,0
No,51-65,Veteran,Muslim,E,-29.786009368682258,E,D,C,E,-67.06860022741782,A,0
No,26-35,Veteran,Jewish,C,111.60183489826814,E,D,A,B,226.25848716256226,B,1
Mental,36-50,Yes,Christian,D,-46.81237432398893,D,E,D,D,65.76651540027056,C,0
Both,36-50,Yes,None,B,52.17789397531279,A,D,A,D,9.255231605898121,C,1
Both,18-25,Non-Veteran,Muslim,B,75.88608311435507,C,C,E,B,-31.12286542338204,C,1
No,26-35,Yes,None,D,27.61942717688309,D,E,E,E,17.92750334472505,D,0
