civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Widowed,C,E,232.1941924709745,91.23949797169182,C,-112.33594840979244,C,-223.37257325733182,26.514468162439314,68.45902460298575,0
Single,D,D,32.949350928252855,67.16502298243682,C,-71.92901718568298,E,-14.729489463842821,59.75539283513782,-38.41949804678549,1
Single,D,E,-215.62379493451678,201.96284444114485,D,38.48781564471646,E,20.084744545372,79.82383526558844,138.32217309057884,0
Divorced,A,B,159.6825493299325,134.25677358879932,D,-324.83842617780965,A,43.946458814464826,17.24865076335121,53.425352950883756,1
Single,B,C,81.02117881147356,26.49659803206609,A,76.91311490561739,A,-120.86606530433646,-110.52750612957682,-68.4670720315769,0
Divorced,E,D,92.84245109076011,-102.99345910802269,A,-3.634331237275141,B,-91.22678377009615,-63.790334837486995,-47.96397821036557,0
Divorced,B,D,75.40236759604821,-74.21122043558309,E,124.4001347864049,E,59.83927167229338,39.12506873717679,113.58567198466795,0
Married,C,D,-105.03594509740478,21.49473854041105,D,119.58070668814882,B,-160.2373353931966,130.1235143942588,-20.63041251862776,1
Single,B,B,-199.2056469323544,56.32321292559701,C,118.62635336482387,A,61.85472704022913,-30.18229573286585,77.93168189263618,0
Single,A,B,111.31328851852076,57.67564871650613,C,-101.60271528660627,C,32.5437113525853,3.781197924138466,-84.93698850722319,0
Single,E,C,-56.94411089588471,73.82569967128899,E,-147.68824104923073,E,-104.92888625794396,56.466491062791036,148.09476690207774,1
Widowed,B,A,-2.085851689902078,81.0498186767684,C,180.55646175707247,E,94.38627404151373,44.93211466395493,-149.70887599180944,0
Divorced,C,C,56.517219822374884,2.1276540983114898,B,-33.60726799685787,C,101.70748471422945,66.84104356838762,-0.2844023556072236,1
Divorced,A,B,60.8557125494217,-24.464479903846456,E,-93.02730179252191,B,45.63443777416573,49.75604577208262,-13.03970914469213,0
Single,D,B,68.94357586679682,-103.83045983949705,B,142.10746539880589,B,43.215919274351286,-103.35209285933014,-29.853584115909243,0
Single,B,C,-17.60613436108295,99.10188743359845,A,115.96563506709472,D,-25.43639991654339,-118.31671540747104,57.1023936136213,0
Widowed,B,A,155.4668265191694,138.95550656025966,E,-17.930046407913515,C,115.73879028802465,-52.35218168673207,-131.02788456432276,0
Divorced,C,C,179.204823062054,12.92084650057204,A,27.9458183046289,B,-0.5322405883355088,-165.56468853018492,1.9980942725146704,0
Single,D,D,-100.05410008975102,49.58214149040124,E,66.45687873159845,D,-47.705304653795686,111.46383060753105,-85.39307318429454,1
Married,A,B,101.43582657840436,51.91752933418701,C,27.385339840349005,E,-66.88451201268512,-44.911058684905846,-0.10431178288011651,0
Divorced,C,E,-46.24413159327359,-78.7351082021659,C,11.955013462732158,E,22.08148416548746,-0.3260605139691715,108.92483120779646,1
Married,D,D,129.56682811378985,-184.13278390547293,C,175.43780627184879,D,94.86500776079481,95.17225391767826,-73.72488306916681,0
Widowed,C,E,-54.52946166056674,-102.85688623778833,B,-88.96507341410121,D,69.00882128759504,91.39283670313864,-84.19377561307617,1
Single,D,E,-53.696189322236144,171.41021663128134,D,94.77401435130221,A,12.607560605377472,18.95742536188717,-180.59517210790125,1
