civil_status,Veteran,age_range,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,target
Divorced,Yes,51-65,Heterosexual,E,A,237.28004567373398,A,B,1
Married,No,51-65,Other,B,B,-196.71565628758538,D,D,1
Divorced,Yes,36-50,Bisexual,A,E,-148.95876036795778,C,E,0
Widowed,Veteran,36-50,Homosexual,E,D,143.620797332465,A,A,1
Widowed,Yes,18-25,Other,B,A,111.4632940422035,D,B,0
Divorced,Veteran,26-35,Heterosexual,A,E,-131.11930685908126,B,A,1
Widowed,Veteran,18-25,Heterosexual,B,A,-13.260088061306247,C,E,1
Married,Yes,51-65,Other,A,D,43.122441329349726,D,E,0
Widowed,No,36-50,Other,C,B,-40.16102540549043,D,A,1
Widowed,Yes,51-65,Bisexual,D,A,-32.85197747292983,B,D,0
Single,No,26-35,Other,C,B,52.68263628683334,C,C,0
Single,No,18-25,Homosexual,E,A,90.12859188062738,D,C,0
Widowed,Yes,51-65,Homosexual,B,E,-77.10072716155686,B,B,1
Divorced,Yes,18-25,Homosexual,C,D,15.4914909776074,E,C,0
Single,Non-Veteran,51-65,Bisexual,D,C,64.39736385466658,E,E,1
Single,Veteran,51-65,Heterosexual,E,E,-162.18535141397157,A,B,0
Single,No,51-65,Heterosexual,D,B,16.57271096558631,E,C,0
Widowed,Veteran,65+,Homosexual,A,C,27.150620926791568,B,E,1
Divorced,No,36-50,Bisexual,A,C,-57.38575106787061,A,D,1
Divorced,Non-Veteran,26-35,Other,E,B,-83.51366324359904,E,B,0
Married,Yes,65+,Heterosexual,D,B,-149.38155981151232,E,E,0
Divorced,No,26-35,Other,D,A,17.550106773360543,B,D,0
Married,Yes,36-50,Heterosexual,C,D,91.01638080043571,A,C,1
Single,Non-Veteran,18-25,Other,A,A,-54.700094490798634,A,C,0
Married,No,36-50,Homosexual,D,E,-120.43461796791478,A,E,0
Married,Non-Veteran,18-25,Other,A,A,-74.08921296124987,E,A,1
Single,Yes,36-50,Heterosexual,B,C,58.62402514052136,E,D,1
Divorced,Yes,65+,Homosexual,B,A,-54.9306537266048,C,B,0
Widowed,Veteran,26-35,Bisexual,C,B,-56.032446378538815,A,A,0
Single,Yes,51-65,Heterosexual,C,E,-4.5686640344014995,A,B,1
Married,Veteran,65+,Homosexual,A,E,-78.29115511332083,A,C,0
Divorced,Veteran,51-65,Other,D,C,79.5474588168499,E,B,1
Widowed,Non-Veteran,65+,Bisexual,A,C,83.34248121335224,E,E,1
Divorced,No,36-50,Other,B,D,79.7479149489973,B,C,1
Divorced,No,26-35,Heterosexual,D,E,-82.55627561454824,D,B,1
Married,Yes,51-65,Other,B,B,-46.44929215794107,C,B,0
Divorced,Non-Veteran,18-25,Bisexual,E,D,-55.275645326171585,A,B,1
Divorced,Non-Veteran,36-50,Homosexual,E,D,3.9700257516657884,E,C,1
Widowed,No,36-50,Homosexual,C,D,157.95807605997558,B,D,0
Married,Yes,65+,Homosexual,A,A,-10.545515728136293,B,D,0
Divorced,Veteran,36-50,Heterosexual,A,E,70.23551580542988,A,B,1
Single,No,26-35,Homosexual,E,E,38.37262956708144,B,B,1
Married,Yes,51-65,Bisexual,B,C,-102.48863141181843,C,C,1
Married,Non-Veteran,36-50,Bisexual,A,B,140.91448016011293,A,A,1
Divorced,Veteran,51-65,Homosexual,C,A,-160.75473423133081,E,A,0
Divorced,Veteran,65+,Heterosexual,E,D,173.511745896268,E,A,1
Widowed,Veteran,26-35,Bisexual,C,B,-234.86842224236602,A,A,1
Married,No,26-35,Bisexual,C,D,72.80964529250376,A,E,1
Single,No,26-35,Heterosexual,C,A,122.35519574858968,D,C,0
Married,Non-Veteran,18-25,Other,E,C,227.79377842671246,A,C,0
Widowed,Yes,36-50,Homosexual,B,C,-19.45777117003884,E,E,0
Married,Non-Veteran,26-35,Heterosexual,E,B,82.635829092591,E,E,0
Single,Non-Veteran,65+,Homosexual,E,D,61.91231378654105,E,A,1
Divorced,No,51-65,Other,D,B,100.92576939056674,D,B,0
Divorced,Non-Veteran,36-50,Homosexual,C,D,-10.420242071208179,A,C,0
Married,Yes,26-35,Other,C,B,-64.91835318109648,C,A,0
Divorced,Non-Veteran,36-50,Homosexual,C,D,-18.285983585316075,A,C,1
Widowed,Yes,51-65,Heterosexual,E,A,48.18246442214246,A,B,0
Single,No,18-25,Heterosexual,C,B,-94.43625402205994,D,D,1
Single,Non-Veteran,18-25,Heterosexual,A,C,110.10151333999576,B,B,1
Divorced,Veteran,36-50,Bisexual,C,A,-130.44274098281545,C,B,1
Widowed,No,51-65,Other,C,B,-131.4915189266412,D,A,0
Widowed,No,65+,Heterosexual,B,C,-30.224617011139276,E,C,1
Married,Yes,26-35,Bisexual,D,E,-27.50164454460235,E,A,0
Widowed,No,36-50,Homosexual,E,B,-81.07352468798298,E,A,1
Single,No,26-35,Bisexual,B,D,60.51448927705665,E,B,1
Divorced,Veteran,36-50,Other,C,E,81.69967629468363,B,A,1
Widowed,Non-Veteran,65+,Bisexual,D,B,-25.6456411068536,E,C,1
Widowed,Veteran,18-25,Heterosexual,C,A,208.5650419200917,D,D,0
Widowed,No,18-25,Bisexual,C,D,-30.805920502374732,D,D,1
Married,No,65+,Bisexual,D,C,162.5274644615099,A,C,1
Married,Non-Veteran,36-50,Other,D,C,-98.20503779426079,C,D,1
Divorced,No,51-65,Other,E,C,-37.51737321436655,C,D,0
Divorced,No,18-25,Heterosexual,A,B,60.082941679438775,B,A,0
Widowed,Non-Veteran,65+,Other,B,A,206.00112120521584,A,A,0
Widowed,No,36-50,Heterosexual,C,B,-155.1789383058804,D,A,1
Divorced,No,26-35,Bisexual,A,C,-63.18412268790418,B,D,1
Divorced,Yes,65+,Bisexual,D,B,36.86730399355341,A,D,1
Married,Yes,26-35,Other,A,A,45.06459819521729,B,C,0
Divorced,Veteran,26-35,Bisexual,A,A,53.53752452032301,B,D,1
Single,No,36-50,Homosexual,E,B,66.9409008460521,C,E,0
Widowed,Non-Veteran,18-25,Bisexual,E,D,34.74100115487448,D,E,0
Single,Non-Veteran,65+,Other,E,D,-39.14519341269406,C,C,0
Married,Yes,18-25,Bisexual,B,A,-13.672963245126649,C,B,1
Married,Non-Veteran,18-25,Other,C,D,124.49362746005575,C,B,0
Widowed,Non-Veteran,65+,Heterosexual,C,A,-228.68662706969388,D,B,0
Single,No,51-65,Heterosexual,A,B,-194.88066111860977,E,C,1
Widowed,Non-Veteran,51-65,Homosexual,A,B,77.46203049577062,E,E,0
Widowed,Veteran,65+,Other,B,B,209.45030826122687,A,C,1
Married,Yes,65+,Heterosexual,E,A,-2.402351065232912,B,D,0
Divorced,Veteran,18-25,Other,E,B,-72.32546491288171,D,B,0
Single,Yes,26-35,Heterosexual,C,E,7.2388150701723495,A,E,0
Widowed,Yes,65+,Heterosexual,E,A,-52.33217482882965,A,D,0
Divorced,Non-Veteran,26-35,Heterosexual,A,D,49.22213895715143,B,C,0
Divorced,No,36-50,Heterosexual,D,D,19.80508067087786,A,B,1
Divorced,Yes,36-50,Homosexual,E,A,-93.22025508463096,C,C,1
Divorced,Non-Veteran,26-35,Bisexual,E,D,-72.40406749071775,A,C,0
Single,No,51-65,Homosexual,D,A,-59.006234174957605,E,E,1
Divorced,Yes,51-65,Heterosexual,E,B,-124.54062733206311,B,B,0
Single,Non-Veteran,36-50,Other,C,B,-22.619824328337025,A,E,0
Widowed,Veteran,18-25,Other,D,E,39.14875907487876,E,B,1
Single,Non-Veteran,51-65,Heterosexual,D,A,22.359605029530112,A,C,0
Married,No,36-50,Other,E,A,-30.99446647047854,A,E,0
Married,Veteran,51-65,Other,A,E,-154.52263300035762,E,C,1
