Religion,Race,genero,sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Jewish,African American,Female,Heterosexual,-61.71094797933397,51.19819430043032,77.19522848894725,E,C,20.0310100303143,0
Hindu,African American,Non-binary,Other,31.43330054119581,52.5714209458468,-44.29618517096721,C,C,130.87535867334665,0
Jewish,Black,Other,Other,72.92888498278802,136.59806381461757,-14.457196235134534,A,B,101.62470013867522,0
None,Other,Female,Bisexual,123.3380361714409,0.4522135175325282,116.52262257794746,C,E,-70.68076582444183,1
Christian,Hispanic,Non-binary,Heterosexual,131.38777703589167,82.43698876497079,-59.653191579341346,D,A,33.520732325793205,1
Other,Asian,Female,Heterosexual,-72.21184102661256,-116.5550970464075,-73.06069803708029,A,A,-0.11428807998957743,1
Hindu,Hispanic,Non-binary,Bisexual,60.36719909626941,-33.74629677706461,-22.5414894872019,C,E,-3.80520249625191,1
Buddhist,White,Male,Homosexual,-38.62676809534281,121.31706631010424,88.94425032294076,D,A,58.12543155623864,1
Hindu,White,Female,Other,76.4858978605773,-122.45377806472735,22.102387296074113,C,D,40.844308831246664,1
None,African American,Other,Other,127.05447981819266,-26.661694476583424,-237.9706596243292,D,E,-39.80047966024821,1
Hindu,Asian,Female,Heterosexual,2.8875260872433923,67.72459917601422,-40.516204797009884,E,A,-19.381668319320188,1
Christian,Black,Female,Heterosexual,28.82484668328919,-91.80132612445529,86.23327449622563,E,E,-178.3060608386072,0
Muslim,Other,Other,Homosexual,58.39968098015294,11.486259390813819,-6.221950804452975,C,B,-69.46422743013748,1
Buddhist,Black,Male,Homosexual,-98.2396177245289,82.49297238979655,-26.53798347958042,B,A,217.8049975225798,0
Christian,Other,Non-binary,Heterosexual,-26.67427351334279,-80.77819305444281,-24.703803284844835,B,A,70.20431430241187,1
Jewish,Asian,Other,Bisexual,-32.92621596560743,164.33303923615608,-54.353172762569265,C,C,0.25108048653098985,0
None,Black,Male,Bisexual,25.595893799623287,225.63020974901326,196.70301464117838,A,C,123.86604736701632,0
Muslim,Asian,Female,Homosexual,-17.336810080759417,116.0734427825832,-37.4884668434721,A,B,-45.812534213957214,1
Christian,Other,F,Bisexual,76.78084935685231,-83.97321028690362,70.76894380878204,B,B,11.91931889602956,0
Muslim,White,M,Homosexual,14.669440345943693,6.3986906429270185,-28.373195644122145,A,B,69.08058685305471,1
Christian,Asian,Other,Bisexual,-135.36186422454875,3.1009209358806475,23.87248223335232,C,E,108.34665873948002,1
Hindu,Black,Male,Homosexual,-42.370126582713205,33.377157680948386,78.54713818889513,C,C,-49.99142721023201,1
Christian,Other,Female,Homosexual,136.54755737872446,-95.28838675163637,107.22786565198686,B,A,85.9708563222567,0
Christian,Black,Male,Homosexual,-142.21161346030294,-32.886868246082344,-76.67439037110879,E,C,37.270081747686206,1
Christian,African American,Non-binary,Bisexual,-91.85566768854476,-73.2067736174693,-126.05763373066445,E,C,40.31224366178826,0
Muslim,Hispanic,F,Bisexual,35.328461242658484,65.18392056638127,-99.41034307521711,B,E,-131.7473056964792,1
Hindu,Asian,F,Bisexual,-60.351483501978734,119.09794529417807,-23.93444664560476,E,C,95.13722618886064,0
Buddhist,Hispanic,Other,Bisexual,4.057317690678136,-52.37762151505716,-29.165754115411822,A,E,-189.850646706906,1
Christian,Other,Female,Homosexual,47.1711366901095,4.305880945326181,148.7072984219851,D,E,-18.90994888087345,1
Buddhist,Black,Female,Bisexual,41.94196988010359,-39.18996543051887,-22.27867257795668,D,D,3.441664265715689,0
Christian,Other,M,Other,-37.24611518401115,36.298188053072884,-11.90674311062217,B,A,73.63516601959039,1
Christian,Black,Other,Heterosexual,-78.3030884853012,2.0468822634352275,-14.297917511182812,E,D,-14.557874258790845,1
Buddhist,African American,M,Heterosexual,-167.61683338265075,63.50141708780252,3.795867050067646,D,A,131.7772915354022,0
Hindu,Black,F,Homosexual,-19.270980794867278,70.39691082073432,169.67019340838698,B,C,55.277667892423864,0
Jewish,Asian,M,Homosexual,94.25800571107405,128.41756796726784,-58.05542111522969,B,B,18.58698300907242,0
Christian,Hispanic,M,Bisexual,13.609307820580646,-5.085305732583543,82.78134849546814,D,A,-23.270210056376232,1
Other,African American,M,Bisexual,-231.7602087468599,-15.67467376196497,66.42712260937198,A,A,121.7389895041124,0
None,White,Female,Other,45.49750121654025,122.01857136658822,-73.56716140453224,C,D,111.31575932154345,0
Buddhist,Black,Male,Heterosexual,-150.04467544570323,91.06338736479692,-30.51904804094267,D,E,163.50983627333096,1
Christian,White,M,Bisexual,-55.805260614377374,16.109454241896646,-37.936194364285335,D,D,26.46836685738321,0
Christian,Other,F,Heterosexual,105.15547360100028,26.065207592208882,-38.90184294939431,A,E,117.52909350518117,1
None,Other,M,Other,20.982094845757192,-77.78987327152961,110.1499498558368,D,B,-120.52613958962723,0
Christian,White,F,Homosexual,-54.77237919484088,-79.00386197335708,63.022740553323416,A,E,-39.32434765124875,1
Jewish,African American,Other,Heterosexual,132.57797633917545,105.87840593542128,154.03703559133996,E,A,-188.1209749024444,0
Christian,Other,Non-binary,Other,-23.787082844668717,-53.69008337138427,-71.73013972772445,C,E,-165.3155732047052,1
Hindu,Other,M,Other,24.846394330196084,-118.80602961599833,-84.86188415846712,D,E,52.17202066628383,0
Muslim,Other,M,Other,-53.80337490972099,162.66127275929253,-27.866696690486638,D,A,243.51525066419808,1
Jewish,African American,F,Heterosexual,-79.85030195137634,-58.59369276569895,117.28567968239574,E,A,102.36339307330482,1
Muslim,Asian,M,Bisexual,-51.827815177729306,-25.91112309230395,-127.74868210312371,C,B,-269.8887979245041,0
Christian,Other,M,Heterosexual,7.5145176154073,-188.17821564801608,-45.807692860538054,B,B,143.76462721281862,0
Muslim,Other,M,Homosexual,-101.20559865363319,-89.10436560389047,-168.69330969897757,E,B,-17.93710886733805,1
Jewish,Black,Other,Bisexual,-107.93345501752208,92.87972593388012,37.3838413696305,E,B,-19.929984519714925,1
Other,White,Non-binary,Other,21.961073627944288,82.46965804908302,-84.22526332054609,B,A,-1.836250369018394,1
Other,Asian,F,Bisexual,-0.5799239338327813,-86.30642204789646,58.47351819909953,D,D,-56.66779679591474,0
Muslim,Hispanic,F,Other,179.3238935225145,151.72923594635944,79.7370528285985,A,E,179.7648258973008,1
Buddhist,African American,Male,Homosexual,-52.29114750385104,-29.417849152893094,100.51446877395058,E,D,76.3787790146036,0
Buddhist,Hispanic,F,Bisexual,-17.003404233958864,7.098526049329877,89.26456366286172,E,E,15.580929480494774,0
Christian,African American,F,Bisexual,65.62917291912828,57.753530249888875,-35.51343955528249,C,A,53.142373813025515,0
Christian,Black,Male,Other,-90.8409974455842,124.9138422844375,-107.10719904517418,E,B,103.44105649898235,1
None,Hispanic,Female,Heterosexual,-10.767288576453579,-45.864393186846144,-22.473499733719315,A,E,33.17431129632751,1
Muslim,Asian,Other,Homosexual,53.91021671369162,127.51378836360618,121.90237189015043,B,C,143.17733350070355,0
Buddhist,African American,Female,Homosexual,-249.76708786181976,-72.37790888068567,23.60723874316501,D,B,-16.879453652816007,1
Jewish,Hispanic,Female,Bisexual,29.633150770927188,-61.420853955217304,36.486244013406704,B,B,25.311962546052513,0
Muslim,Asian,Non-binary,Heterosexual,73.12174814514557,117.10557949128165,26.88995426310995,C,E,-67.67305296164528,0
Jewish,Asian,Male,Bisexual,155.4476819147479,-25.347895552059825,-13.926102048968684,D,D,-14.99015326060587,1
Muslim,Asian,M,Heterosexual,86.01132703475118,138.29337992601157,117.88913142528992,C,D,40.984078657470654,1
Christian,Asian,M,Bisexual,109.48220499390638,-25.17456817731484,220.07892344866144,A,B,10.645453787276617,0
Christian,African American,Male,Heterosexual,-27.22824189770013,-70.66310569734941,-13.328013533222085,A,D,31.0337284100952,0
Christian,Hispanic,F,Heterosexual,25.449671378559252,6.1752748046668975,-47.931751138999076,E,D,-138.56685375331102,0
Christian,Asian,F,Homosexual,-144.3576894277227,-43.191615044838436,84.36749104085244,B,C,13.259180883432817,1
Christian,Other,Female,Other,-38.330667882786315,-1.413321360609372,-2.8535424792472757,C,A,190.42872470187396,1
Buddhist,African American,Non-binary,Homosexual,38.46417698606203,-10.002591670767059,-97.89480802281145,A,B,-187.99414449400783,1
Buddhist,White,F,Homosexual,23.45081386307152,-72.34886490322718,143.97794582973012,D,E,-269.6681667710338,0
Christian,Black,Male,Bisexual,-74.77922366480338,-97.79254627964073,41.813594029882786,D,D,-87.77421745094294,0
None,Other,F,Bisexual,-149.79174492925964,50.38341855992875,52.480641302374785,E,C,143.60393812373863,1
Other,Hispanic,Female,Other,57.694449785119076,-74.39740201874045,98.67417364047924,A,C,-0.3326000674302953,0
None,Black,M,Other,-2.9507482925137296,82.69877503826736,-23.35747214743712,C,B,-64.73354413325313,0
None,Other,Non-binary,Bisexual,33.58068718414735,15.746519351657994,3.393576576231932,B,E,-60.21699713965756,1
Muslim,Other,Other,Homosexual,-16.184698738055932,-15.683545058891129,-21.26254577167326,D,B,-26.145954377951274,0
Buddhist,Black,Non-binary,Other,76.46642154781388,-68.21606196356795,-53.0297560880407,A,C,-228.89890675552365,0
Muslim,African American,M,Homosexual,-21.52734160842069,-66.2400669803943,-67.43980506113952,A,A,147.13369490402377,0
Buddhist,Black,Other,Other,34.49973862232033,245.2018082592722,-70.91895842565967,C,A,-154.27247541491514,1
Other,White,F,Bisexual,-164.168075889375,-56.874993490948114,59.639565599423804,B,E,85.22645142123831,1
Jewish,African American,Female,Other,15.287343990368335,-5.195645764319255,54.057604491622854,E,B,114.7402074755127,0
Muslim,White,Non-binary,Heterosexual,-32.446369729761756,-12.240364342039701,63.25567307720543,D,C,-24.093707138168917,0
Jewish,Asian,Female,Heterosexual,-69.37048054267773,-117.41439681082939,7.1662484453673665,D,E,54.86627743339394,1
Muslim,Asian,Female,Homosexual,89.04962065612887,137.93797113385926,69.63640066520806,D,B,97.89718354603845,0
Jewish,Black,Other,Heterosexual,-7.18915568753355,223.72969889635127,-75.3400430489113,E,E,-161.2654157534279,0
Other,African American,F,Heterosexual,114.18752698932366,62.59434342151512,58.09801331307776,D,C,-108.23416840573421,1
Hindu,Other,Female,Homosexual,-25.940991254473282,-26.209019104861152,75.83026662959833,C,A,20.994187591752016,0
Hindu,Black,Other,Heterosexual,97.2428154895723,77.62463161758892,-15.378088878270136,E,E,40.64169596282313,0
None,White,M,Other,-57.85588320516059,56.09093565454825,134.46928196618896,D,C,82.1552799909193,0
Jewish,Other,Non-binary,Other,-162.79552676804516,-45.952355027737006,76.12682220945895,C,C,-11.264015202340822,1
None,Other,Non-binary,Homosexual,31.647937098767798,67.28132129054902,-144.72473831754826,C,E,45.234649928780314,0
Jewish,White,M,Heterosexual,16.429740801120733,-53.60474850762513,34.80650199667627,E,D,-8.432534362951362,1
Buddhist,Black,Male,Homosexual,-224.00585752138457,-188.6502897566519,-41.899686785157755,D,E,-166.90335772069574,0
Christian,African American,Female,Bisexual,190.4640198610409,-185.2179369172814,178.24330008868816,B,E,37.12312185469649,0
Christian,Asian,M,Homosexual,88.91507057621591,-4.579120842043254,-203.9368520626788,B,E,-187.32900767965384,0
Other,White,Other,Bisexual,-140.46558293621754,-77.92514705405586,-61.138985393089484,D,B,35.54974678142793,0
Jewish,African American,Non-binary,Bisexual,150.0104513437814,-35.98948204273329,-14.947165322215936,B,C,-127.06356182281932,0
Other,Other,F,Bisexual,18.74376179787118,55.38829467407423,-35.32295401958348,A,A,4.805095053875565,0
Muslim,Black,Other,Bisexual,120.85930833706789,-77.01303967153996,-100.82951564685297,A,E,-43.01967559891841,1
Other,White,F,Homosexual,-174.8702683942079,80.4181995752452,-295.56535404401535,A,C,-49.785953134775006,1
Muslim,White,F,Homosexual,-131.05608937640397,-128.23511672297823,-171.51234984754197,A,E,-17.565436874085304,1
None,Asian,M,Other,115.18178989245142,41.88221043927523,28.35006237738027,A,B,75.4902157250663,0
None,Black,F,Bisexual,86.44774573865026,0.9859736151670238,13.246641473264653,B,D,71.83715537537896,1
None,White,M,Bisexual,-61.54633934453682,-43.672967806490895,68.39164112902478,E,B,-91.92214751339804,1
Muslim,White,M,Bisexual,-145.18408706494935,68.49814888308761,166.64854899621565,E,C,199.35994609917975,1
Christian,Hispanic,F,Homosexual,-87.4204342374285,145.98654474214376,39.2869153509057,A,C,33.15565181307793,1
Hindu,Asian,Other,Heterosexual,47.768377455942016,128.03915290060195,-69.28441921083646,D,B,-27.856316864604448,1
Jewish,Black,M,Homosexual,-63.536826575485726,69.76857293487826,70.04137255893332,D,D,90.60677108140406,0
Christian,Other,Male,Heterosexual,-24.341096811027768,13.59659319865176,-67.87944525052895,E,B,-110.88962651131821,1
Other,White,Female,Heterosexual,11.27718035883393,40.34125831451315,-18.96134665046671,E,C,-73.1653913182793,0
Hindu,Other,Other,Homosexual,-51.16369215051121,-123.3446317816195,0.6087378022172001,D,A,-89.06162430469017,0
Muslim,Hispanic,Other,Heterosexual,-38.9090041799513,150.4880168871934,25.75505669243514,A,B,10.66761129029398,0
Other,Black,F,Other,-101.32131540845246,-56.782495945754874,-97.56458794588066,A,A,148.28193167056872,0
Other,Black,F,Heterosexual,64.11309874449657,6.542694690063285,-74.50809031909048,D,C,54.35461779725645,1
Jewish,Black,Female,Heterosexual,23.35131700384989,14.338807591131712,-67.74155191861948,B,D,52.2329880088213,0
None,Asian,F,Bisexual,-25.15963993121071,-71.52908947522027,54.59075013945461,A,A,-32.819787935704014,1
Other,Hispanic,F,Bisexual,-1.1521710859651857,-63.56818009902114,-81.90516567573084,A,E,27.09461550293929,0
Muslim,Other,Female,Bisexual,-106.13632565506012,125.19732197576951,33.07632833743222,D,A,156.84793811863386,0
None,Other,M,Homosexual,126.26561687297244,-11.131061830139805,49.5568809199234,D,C,61.85735046448482,1
Other,Asian,F,Bisexual,-12.859972133033942,-164.27590455637824,-117.96714100740577,B,B,76.96837881932908,0
Buddhist,African American,F,Homosexual,-206.48795897621483,16.434568314582993,97.2858776996777,C,D,-25.152671158347275,0
Other,Black,Male,Bisexual,46.36331226937047,22.265603487996675,73.5145381573021,D,A,-51.48557700730759,1
Muslim,Other,Other,Heterosexual,211.89671739968352,-19.427555697040887,99.028336265958,E,C,-25.621933689310733,1
Muslim,Hispanic,F,Bisexual,-92.28683633689269,34.84795040108894,90.26079753740734,C,C,-25.64585599212732,1
Jewish,Black,Male,Bisexual,49.0522276374582,78.39521173749827,43.3462699053817,D,C,-61.37098774394626,1
None,Black,Female,Heterosexual,97.33027837236807,78.09715120958852,103.83427795609191,B,E,74.4279229063601,0
Christian,White,Male,Other,-29.154168288761255,-38.973127694341656,-49.94373782516641,D,D,-110.68171351573571,0
Christian,Asian,Other,Bisexual,93.3033726641958,-54.60878717175079,-33.14285079962257,A,B,-147.5941127610382,0
