religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Muslim,32.345161444475984,C,-43.16411033538864,163.91285482215687,41.99767559905249,-166.70690771706603,96.75953528799063,-37.740998897429805,A,1
Muslim,57.190658266369944,B,18.443294629703544,144.13842907379444,-113.71280980183427,107.73387206847202,42.0488773493694,-62.7986315708972,C,1
Muslim,137.99922027321108,A,114.86130626900484,84.49979284624321,-86.3608018485826,57.28142639202648,82.99178210150401,222.86856238735288,C,0
Buddhist,127.79865064057248,D,-157.47943573394733,7.505973562948097,-189.880236994313,-88.35602493236172,150.83452060957882,4.544355498538975,A,1
Buddhist,-27.373107290775117,E,13.929082060486781,-112.85005601685359,35.16282174851242,174.33852908619747,-126.26075714961584,34.08725322021084,B,0
None,58.95616473971725,B,74.8195840337966,21.1099024771568,-84.59923675031229,75.68499203921579,83.39267693487197,0.7595357559904663,E,0
Christian,-153.71353896797532,E,-112.84391180856616,-77.86544480341378,-25.576720800179142,-33.89830831785062,-86.89172432831108,54.26600085953418,E,1
Hindu,13.508351666300419,D,21.241439694863125,-248.94772265004696,-55.91487439373477,119.29475859819037,-78.11874821636493,-112.74918270392851,A,1
Hindu,-56.84949418113102,A,-81.56602682925663,-112.03296758523761,11.213353350005885,33.501761556226455,60.121119729628546,80.65829428010738,C,0
Hindu,35.833191980563214,C,-129.0172294784703,55.85617110669916,213.83157954566965,1.2302098058001891,186.15305644004627,67.01907241379433,A,0
Christian,-20.871654685098388,E,1.2880637095254612,-15.60856611721432,225.74242254568856,-24.601714220141965,-39.35218509903636,-79.44287682143452,B,0
Christian,119.01544166447486,A,0.783679016934773,-56.82730175627347,-78.67121329034624,-237.95964444401244,57.186996981813955,63.46502515028276,C,0
Christian,-40.64032342255944,E,-40.94133579809403,-8.92691138556561,-23.106045678842793,8.851504976830363,-94.5088205603868,48.281985423550665,C,1
Muslim,148.1398872709622,A,-106.73913258645078,105.80352813083786,190.54532729334437,-119.83465426404696,173.07144937031532,102.90232303147104,E,1
Muslim,-10.441706254468352,A,-136.389881118186,140.3279709968674,70.65592304303489,139.99424028390868,127.72015567845204,169.67567606534558,E,0
None,-36.59734820418118,A,-129.5582030244509,-78.57985694723124,15.990668478016431,35.57415550540291,-3.0766901251165026,120.94145455707337,D,1
Jewish,-2.483522254287373,A,-169.6124616280402,112.25936044662149,203.77501996575137,-112.77471882453887,-20.629844491644118,48.48516413732573,E,0
Buddhist,221.38942414920214,A,-1.3212384371890757,-191.26369497537817,38.836143579986846,40.832392875098535,-208.9672676601829,110.47740085025649,C,1
Jewish,-162.62977078019912,E,70.3491608183073,-29.070444765803817,-61.6602570492484,7.3201933964935835,-117.47968137132408,86.95181330192135,A,1
Jewish,-93.45786015384228,C,14.626987207349135,-14.143652486231556,123.81411424995663,222.47199819435076,-49.912061400881136,-33.29603063367584,D,0
Buddhist,76.44007729313552,D,110.5999811353702,-8.602776715201033,-139.3464369309331,-26.169132726141275,34.91350846403158,-31.057606213284554,A,1
Muslim,-124.36420058977669,B,-38.35976912842749,-33.57252541467357,18.642850035611442,2.117875664835949,130.38425242586047,-45.02427624340512,B,1
Muslim,111.47655435604464,A,-58.93297429415851,181.6037817603052,244.4447685702706,-120.69521146420487,-7.941909074781312,-8.554569322482724,A,1
Hindu,66.7585396119255,A,-183.2973653797212,27.84872654023841,122.46713321101599,17.48274517274281,151.37617427741478,-59.908231916958144,B,1
Buddhist,124.55244123919347,A,152.5719910711715,-73.77347886674073,-69.09574578875421,-105.78056818353568,-28.959171057222555,50.055214615021185,E,0
Buddhist,-135.03471324273107,E,11.456049584084854,79.53742891878167,37.489392427736675,102.43359576797648,0.004874989173994993,-30.055098721764463,C,1
Jewish,-140.58782156759386,A,-185.98227234193746,191.9423792628583,111.96931462499411,-36.886175962614914,-104.41959735355408,-140.33236362156728,E,0
Buddhist,29.336666386342674,B,-77.76708302438124,2.17753823251324,11.670500788104242,76.8350625117361,-87.81484363867798,79.23862721204475,A,0
Jewish,-182.34707204539217,D,40.75059779430831,-89.611928426486,-81.70544864515733,-70.43918788103274,62.840417902385695,-161.2030171107016,D,0
Christian,108.31150091468287,E,-69.92188066143208,54.47923873505417,-118.61827009181185,-30.062646227065898,208.90071107479648,58.32685367665489,C,1
Muslim,27.59243573791582,B,-30.556710437371315,136.044820120838,-55.82735436185749,142.25850052701378,-72.48752281753087,4.970566106321234,C,0
None,90.37936565685185,A,104.10148832705917,-23.267189546421722,93.96575694006646,11.370895771709867,146.61240635380324,-28.403935167822997,C,1
None,-3.0713035978500463,A,49.45356348339252,60.93870624800503,34.1440626443168,-73.22735685829493,14.28392545733766,78.41170574585567,B,1
Hindu,-26.27690100953312,C,73.35196064103734,-101.2111851420045,160.39247574800672,41.1408096242869,8.995121124069499,-24.398501885257954,C,0
Muslim,-51.56735267312336,B,-32.84766396696927,-81.48112084467829,154.32633460542098,0.9763041845491369,55.22642416278873,6.659948653092143,A,1
Christian,-177.4282098614449,B,-52.53158030183592,2.8465054293276273,-46.52468027816492,-57.78406569272493,-18.96685546426131,-112.23574126889646,E,1
Other,2.8379136055592915,C,-209.73674365198366,-42.28788655868077,-41.62863102100511,-121.48867876303031,141.84729924708998,-31.26426067328269,A,0
None,103.51885777712555,C,-71.16897451540284,-53.59620278185684,69.96750446707574,36.04871633524329,24.380796475989257,25.60407699302734,E,1
Buddhist,41.70677393975098,B,-112.29043921247037,33.03271214702653,70.16407250387155,-169.76210901372397,-24.015349296447766,13.74173722724329,C,1
Other,74.14727772780805,A,138.30260544233718,-209.30993522161012,64.4347117292834,-124.67554156150938,-130.6305821507281,68.17228207043613,E,1
Other,-42.23361741520765,A,22.77693016332798,5.423359948236034,-28.234828134565426,167.83948913508556,-128.43008990881287,-100.64283626024344,C,0
Muslim,83.04954149063634,C,-80.38419204913268,-139.57695275126696,84.52176637960487,-83.77395710353,150.76994883577385,135.86752204053147,E,1
Buddhist,68.8171065297982,A,-66.01382400799534,18.6293719519131,87.8135540717439,42.083231305475294,-10.636205868545677,58.462998646575684,E,1
