age,RACE,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
51,Black,D,-6.546284391087733,32.73173192331996,-136.43093072216388,71.50859972171475,C,186.36068042258748,0
18,Other,C,89.17391650742516,103.30424597236892,175.02660194824696,-85.06586014547285,A,-12.408200958064608,0
23,Black,E,-17.912486430751276,4.005083172137095,122.22132844823996,171.1544257144753,C,-25.986011454605556,1
40,White,C,5.435087059746124,22.458411948550676,-9.594939753422864,15.946505154961422,C,125.07667121761456,1
36,African American,C,5.1837096809364915,151.40099121961615,96.61158578616626,142.3182067757628,A,-81.43035557171422,1
45,Other,B,-27.450451367487684,-120.00973042321948,163.62839760844028,-25.91581685249168,E,57.37688951433577,1
76,Other,B,-25.39116119582696,-218.6467223950675,-74.9187308179475,-174.51818048722484,D,-58.07462955489723,0
45,Asian,B,-123.16115871150907,2.5053608678496273,-94.28537225411932,-139.6118028022841,A,-98.7879058253036,1
68,Black,B,27.993390474389358,16.87965222240637,19.37487502179036,34.68326970913129,C,44.360899602386006,0
78,African American,D,-65.50423531241456,21.00273233368134,10.600948700800915,16.886462492523176,C,17.35982434034948,0
25,Other,A,9.130337509179686,112.79505887081255,-63.46183570361844,-90.08239730180047,E,184.8116340432795,1
34,Other,B,64.98937799399953,-44.651044792620965,-46.62187788666336,-96.87939382035586,A,-53.626578893645856,1
77,Black,A,36.62176690204576,8.486002820468427,-133.88828045109977,-186.75926331251202,D,-55.55423651283636,1
22,Asian,E,-54.7912177547009,-87.19908712160228,104.66431077707112,-13.028004575644376,C,25.558930184890087,0
77,Hispanic,E,-16.983843951710842,136.89752938187104,85.26455072255969,49.464092626820914,C,9.101729857432593,0
50,Other,A,-21.24467755454743,-99.96955845215348,66.77924418269762,150.20515478531385,B,0.021304514097570733,0
25,Hispanic,B,97.51250297275867,66.71814561777704,91.7606118960158,-18.773632255991313,D,8.830846292078096,1
40,Other,A,-2.250415572774211,53.25065791600848,64.21653143974206,-51.241579669495394,D,-25.007409019699423,1
41,Asian,E,61.16209864934559,-47.40772558945248,-5.821468870243386,41.40607312419063,B,-87.14342874178861,1
46,Asian,D,-86.90051250472187,62.060432143510845,176.9677039366758,110.54109941554952,B,-81.85439440134098,1
24,White,C,-94.76327349168761,-23.265742834680907,-86.42361719182955,-78.9854305221944,A,-1.5523574600317265,1
