RACE,Veteran,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Other,Veteran,F,B,A,104.28251444211693,110.3292746894758,B,B,120.07602631773597,E,43.367024019195604,-107.29016893727432,51.26212989581646,0
Other,No,F,C,A,-34.074731488417996,-156.86985408381,C,B,96.70501186863902,A,-35.39822513203866,100.08921689617809,-8.69090532017616,1
Black,No,Female,B,E,-28.500511966862362,-107.74145439966183,A,C,-43.938589570497165,C,-120.10434389190132,105.49782317475531,68.41028738882574,0
Other,Veteran,Other,A,A,-81.08210830536443,-55.47893038455454,D,A,-108.41528451040925,E,-78.87630931348536,-5.424003295767191,15.055399481667658,1
Other,No,F,C,D,178.77459957740874,-78.37806552399071,E,A,123.00020082634404,A,135.25747673070595,-31.7531918461615,-161.1989363764764,1
African American,No,Non-binary,D,C,305.9081462958337,43.623679295047054,B,E,-22.66135861940278,C,-111.29430209335858,108.07425376113773,23.82539029340269,0
White,No,Female,A,D,-8.730215432543295,1.643192418178643,C,D,-98.39595265602026,A,-34.977993221892994,-144.9953296334438,37.95716074849116,0
White,Non-Veteran,F,A,E,-217.0526414422492,-127.17270413657644,B,C,34.26154678546905,C,-112.58888835867116,102.68951178909813,137.1148220490546,0
Black,No,Female,B,E,-116.55423703403255,-42.88234598353732,D,A,-63.31019890739833,A,151.37334199468864,148.69125754232263,-167.37530356884272,1
Hispanic,No,Male,E,D,3.139499045465613,11.047489365971936,C,B,-85.61976691854947,B,-57.49079264645047,-8.577382308397498,-2.384019729897647,0
White,Yes,M,D,B,105.37490314202329,-121.93643033043382,E,E,-213.62730107801724,D,-106.79106458541408,26.338384692945695,43.7499030302993,1
Other,Yes,Male,A,B,-12.903996607812635,139.76883668312666,A,B,140.09426434303677,C,114.68751388378513,-258.1320981601247,43.17134561611059,0
Hispanic,Yes,Other,D,E,41.022817044868695,152.6799623488286,B,A,-11.933319949963282,C,-93.28558793837581,-21.349908185845084,7.2520081628685045,1
Hispanic,No,Other,B,D,49.62031197038132,29.119279666957194,D,D,-25.769826165555532,D,82.73581958192572,145.87296049487082,34.078901010358884,1
Other,Yes,F,D,C,-99.3623577765721,-6.387751844314179,C,C,-68.28509830456984,C,23.652740712016946,124.86872307384101,142.74373055553832,0
Asian,Non-Veteran,F,E,A,91.46199601635253,-18.199507703168617,C,E,-6.951432518828976,A,-62.617647114257366,-9.521742849359592,47.23524606839746,1
Other,Yes,Non-binary,E,C,-44.82833381494931,52.19172858042979,C,E,135.66871630208323,A,-75.1211691093232,-18.624075156285677,-76.66227161532974,1
Other,No,Non-binary,D,A,-36.578949115732094,-35.39771146583757,A,B,-29.120934451946244,E,5.832389357207591,-86.7127247414984,131.59845359567913,0
Black,Non-Veteran,F,C,C,119.87923583831943,13.454208864135317,C,C,80.70836135766977,C,120.55259598953127,-0.3142343605605925,229.29495588829823,1
White,No,Male,D,D,-102.5802270682649,72.76915870590771,E,B,-35.78755710958829,B,-74.53262648288246,-99.8706691550277,72.30007907353973,0
