anos,religion,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
39,Other,Bisexual,-48.075425077608394,D,C,D,A,C,-62.55402956781565,E,C,-200.4618909355852,C,29.779389371303573,E,C,B,0
67,Jewish,Homosexual,52.25063605023497,E,D,E,D,A,12.332691787787997,D,B,-39.24082924243862,B,-102.22133667609992,A,D,A,0
38,Buddhist,Other,60.050300796490475,B,D,E,D,A,-89.91284259190923,E,D,12.216761979498328,C,37.02803926907965,E,D,D,1
31,None,Homosexual,102.732820356281,C,A,D,C,D,42.07674944649739,B,A,-83.42271301798425,A,54.280127524132936,D,B,D,0
47,Jewish,Other,-37.46871577092759,D,D,A,A,B,136.61793547335424,B,B,122.81528635002519,A,-236.3219600420603,D,A,C,0
49,Buddhist,Homosexual,-18.43286935011071,D,E,B,A,E,-63.788485227576885,B,B,-82.7349407150464,E,-107.17237540391898,C,E,E,1
20,Christian,Bisexual,18.689055851240376,B,E,E,C,E,-192.16254025151397,E,C,-111.1406575513882,B,115.09435712211771,A,C,B,0
64,None,Bisexual,53.48044021673284,D,B,E,A,E,301.1258846932025,E,E,-49.31612499385081,A,33.193684863056404,E,A,E,0
28,Muslim,Homosexual,-35.27109392373251,C,E,B,D,D,25.15890537852136,C,A,-68.5504470200322,A,22.205772216621394,D,B,A,1
25,Other,Bisexual,-40.66436522340028,B,B,E,C,A,-89.0627749100463,C,B,-80.43303473289069,D,-7.437329072807502,A,C,B,1
77,None,Heterosexual,-157.8519021794143,A,E,E,B,B,45.30638300640578,E,E,-28.848282479350505,A,-123.09420626328323,E,D,B,1
27,Muslim,Heterosexual,-10.751410545080313,D,E,A,D,D,200.92104009525818,A,B,-248.02991074199895,C,92.86093883564038,B,B,B,0
70,Jewish,Heterosexual,129.98582354838356,B,B,D,D,E,117.2043844516629,D,C,103.17728229030922,A,80.09081822279643,B,A,C,1
23,Jewish,Other,-174.4649007071098,C,C,D,B,A,45.82898500004187,C,A,244.16485583539492,E,-69.66183225712753,A,C,B,0
25,None,Homosexual,-23.408593897712475,B,E,C,D,A,-185.10074800940868,D,E,33.15441502703023,E,-44.09770659660307,E,D,E,1
51,None,Homosexual,-47.00313049510786,C,A,A,E,E,-44.4379590523572,C,D,56.50199106265485,A,-30.50148081315272,C,E,E,1
77,Jewish,Other,130.3077943840356,B,B,E,C,B,82.59278135888566,C,A,132.52137165300007,C,-105.07371781527877,A,E,B,0
73,Hindu,Heterosexual,13.895578529396873,E,C,E,C,A,-33.7000506672181,D,E,42.205417802145085,B,-51.484763379586816,A,D,C,1
28,Other,Bisexual,-157.1063128099966,C,B,A,A,A,78.33711530076253,B,B,41.819313944717194,B,-101.45675257878833,E,E,E,0
37,Jewish,Homosexual,-43.30356913699171,E,A,A,A,A,-44.70171067730536,D,E,57.253294936656204,D,-25.366419929027202,A,D,C,1
68,Muslim,Homosexual,-31.045996724809577,A,E,D,D,A,-62.96918752268983,A,C,-106.22171995403423,C,56.845213278724216,B,E,C,0
64,Other,Other,88.42557885055345,C,C,C,E,B,71.4516523817461,E,D,-112.22716724556638,B,-102.94507307687775,D,A,B,0
51,Christian,Homosexual,-27.273135169291184,D,B,B,E,B,-168.60123481021176,D,D,111.5669881117435,D,45.0628722037329,B,C,C,1
23,Hindu,Heterosexual,-124.84248499518466,C,E,B,A,C,-42.110135628478496,C,C,44.38752021256019,E,178.71600749294808,A,C,C,1
75,Hindu,Heterosexual,132.61666577291814,C,D,C,B,B,-137.14695585031703,A,D,-31.40242093731549,A,-59.01227145988253,A,E,A,0
74,None,Homosexual,-213.37293752947141,E,E,B,C,C,59.76594927505846,E,D,68.16496530517139,B,20.905448751207448,A,A,B,0
71,Christian,Homosexual,-8.531215636060589,A,C,D,A,E,-242.19950106286592,E,C,-114.34933762272219,E,5.6884666466222695,E,B,A,0
41,Buddhist,Bisexual,135.94243852637743,D,A,C,C,E,116.46378119878891,D,B,72.97131632581268,C,150.2092695705199,C,C,B,0
43,Jewish,Homosexual,19.57861961650156,C,E,D,B,E,5.462268651758985,E,A,-21.11254387300425,B,128.62446053010953,B,D,C,0
41,Hindu,Heterosexual,142.6580652558939,A,B,B,E,A,20.690338989289728,E,E,86.30072300751299,D,-102.52500986563923,C,D,C,1
73,Christian,Heterosexual,19.71465081527892,E,C,E,D,A,-85.30415927776615,D,B,129.3265604117261,E,-165.05592749050822,A,B,B,0
64,Christian,Homosexual,-206.1508541240816,E,E,D,E,D,-59.66703153723877,D,E,-128.24470892130194,A,62.37738983370065,D,C,B,0
29,Other,Bisexual,217.34964702235388,C,E,D,A,D,0.4217144089242309,C,A,11.761266060090056,C,93.33044586745493,E,C,C,0
40,Buddhist,Homosexual,-3.0263745519753282,D,D,B,E,C,0.09276441487057847,D,C,62.10138210767283,D,75.67907564052157,D,D,E,0
77,Muslim,Heterosexual,-9.858752798352352,D,E,E,E,E,22.62416045872668,C,C,3.256727312713598,B,-46.389021024879405,B,D,C,0
29,Muslim,Other,31.327389661781023,C,B,A,E,B,-13.650403326674837,B,C,-9.167443847968121,E,144.6856337120559,A,A,C,0
39,Other,Homosexual,44.76711033315162,A,A,A,D,E,120.57414238620012,B,E,26.60712141993489,E,-29.93243944250762,C,C,D,1
54,Buddhist,Bisexual,-15.012984318231332,A,D,A,B,E,-72.04163803551579,B,C,16.920362087989286,B,-4.722801801503696,B,A,A,0
79,Jewish,Homosexual,-139.88857964816418,D,A,D,D,D,11.346143985855255,E,E,-77.36933784868276,A,-101.40390315644314,E,E,A,0
28,Christian,Homosexual,-22.367248427948663,D,D,D,E,A,-61.31982710210482,C,B,-46.21213881839993,D,8.106088861269715,B,E,C,0
40,Other,Heterosexual,47.92640982396522,D,D,E,A,D,-10.96578043556622,E,E,63.51684685459079,B,204.6046793970613,A,C,B,1
27,None,Heterosexual,-23.919822929081647,E,A,D,C,D,4.650578000926531,C,E,-4.908791496575092,E,58.30714073260717,C,A,C,0
78,None,Other,-209.72960135252913,D,E,E,A,E,115.33695672693636,A,E,30.354548526130447,B,-19.266129682344776,B,E,A,1
39,Other,Other,93.97357183698563,A,D,C,C,A,105.39811933943275,C,A,28.860467148436076,E,-62.03788320808488,D,C,D,1
50,Jewish,Heterosexual,133.27369719757277,C,D,D,A,A,80.22833891087765,D,D,7.396592852503973,D,220.21062335527907,A,B,A,0
70,Hindu,Heterosexual,-53.00756569469838,A,B,C,B,B,143.80918079790936,B,C,39.131144421552044,C,-64.67186653585738,E,A,B,1
49,Buddhist,Homosexual,80.28117708017953,A,A,B,B,A,-106.02343895446383,C,B,-54.128337791772076,C,-14.801896852741814,B,A,B,0
46,Muslim,Heterosexual,-10.000295791488757,C,B,A,A,A,-1.3208861028964995,D,C,-67.11755343347939,A,-88.08364442778159,A,E,A,1
34,Hindu,Bisexual,35.54403704309696,A,B,E,A,C,165.722307510389,D,C,2.4368536191818344,D,100.09316078276902,A,E,E,1
43,Buddhist,Other,-48.48613988242902,E,E,A,D,A,-82.69870491318034,E,C,33.330100812724424,A,131.96544111005372,D,C,D,0
25,Christian,Bisexual,-96.28783291225983,D,C,B,D,C,-37.637717859254884,B,C,0.9529770140277527,B,-138.25593793646092,E,E,B,1
41,Christian,Other,95.4410206968467,E,C,C,E,C,16.780289604011028,C,D,94.42921748755076,C,78.0468067677491,B,D,E,0
75,Other,Homosexual,-58.55573642415227,D,B,D,A,B,-84.30668154768578,C,C,80.12837337140873,B,-184.5386717708369,E,A,E,1
45,Other,Homosexual,9.131345077506884,C,B,A,A,A,73.29046321722326,C,C,-109.3474109333131,A,50.36921292010044,A,E,E,0
75,Buddhist,Other,78.14467216489471,C,B,A,C,D,-19.756920894120267,A,E,23.139255519898697,B,95.67937783369473,E,E,A,1
18,Christian,Bisexual,185.54489714655244,D,E,D,A,C,41.13143585451498,A,E,-187.15408262027609,C,-117.18447974542796,C,A,C,0
40,Other,Bisexual,-221.24722250018434,E,E,B,B,C,37.01252617363943,C,C,61.998490494658185,D,-193.01235383843866,C,E,C,0
54,Christian,Other,99.77289023363481,D,E,D,B,E,-265.4924094435591,C,A,-41.73308566103972,A,-85.172082502067,C,E,D,1
41,Buddhist,Bisexual,84.54370371958446,B,B,D,B,D,-132.0478714953154,D,B,2.6438666491523484,D,87.780234659288,D,A,B,1
60,None,Homosexual,11.18687910501418,E,B,D,E,E,-103.91787957320138,D,A,-138.65142295115268,E,95.76906994457929,C,E,E,0
35,Muslim,Bisexual,-35.007917087464655,A,C,D,D,B,-16.765784053389908,E,A,-28.428120801607236,C,115.40037418813979,A,D,B,1
60,Buddhist,Homosexual,0.6146469728283018,D,E,E,A,A,52.1797715545484,D,D,-46.8676943032117,A,124.6423162266133,E,C,C,1
22,Jewish,Bisexual,-114.20857831526561,E,B,D,C,E,-58.42647467178266,D,E,-11.417900409939987,B,107.78339850461218,A,C,C,1
35,Jewish,Heterosexual,21.283011814778785,A,C,C,C,C,-91.37073590761973,E,C,-77.84087704003666,C,-84.2274161678896,E,A,A,1
38,Hindu,Bisexual,-55.023225472509715,D,E,E,B,A,23.326973286876196,B,D,-52.95459009316967,A,-76.71440192704013,A,D,C,0
47,Buddhist,Heterosexual,-40.66349604695794,E,C,C,D,E,-49.96203438150259,D,E,32.23810949468498,E,-82.06182360740509,A,D,D,1
71,Muslim,Other,-185.77825984535244,C,E,D,A,D,296.32500815036644,E,A,-79.01536731849419,E,-156.54613468170731,A,D,E,1
25,Hindu,Other,112.55912600080673,D,C,E,E,D,3.177413837333176,C,E,-88.95155895244834,A,-22.251751172517046,E,B,D,0
64,Hindu,Other,142.0970933215342,C,C,B,A,B,75.13342609088198,D,C,122.64821763415277,A,27.790411440541725,A,B,D,0
52,Other,Bisexual,3.2256213916379664,C,E,C,C,A,144.10077738163056,C,D,130.56880573055957,A,-80.33164761459244,D,D,B,0
25,Jewish,Homosexual,-39.38759608303564,C,B,D,B,C,-51.24250482260301,B,A,-82.42869041689643,B,151.40412237622235,A,D,B,0
55,Buddhist,Heterosexual,-5.617194099188481,A,C,B,B,A,-41.20697734579479,E,A,-92.9564041731432,B,78.37161443884631,D,D,E,1
27,Buddhist,Homosexual,-166.6114101485571,C,E,D,B,A,19.724389304095304,E,A,65.79200836348528,A,25.924581796158918,A,D,A,1
36,Other,Heterosexual,98.87390622829069,C,C,B,B,E,4.5980674048893215,B,A,-55.71930647208217,B,10.460144302899515,C,D,E,1
49,Muslim,Bisexual,-19.759716433682435,B,D,D,B,C,59.71397715407646,E,C,-104.31767034555025,C,-171.88374970873622,B,C,D,1
34,Muslim,Other,8.103555793974337,B,E,D,C,B,158.7938574111938,E,E,-5.700524822883767,A,22.58046138375222,D,C,B,1
68,Hindu,Bisexual,-9.605119325663477,C,D,B,D,B,70.3361275689297,C,D,-215.60164098460928,D,44.64383022108964,C,E,A,0
38,Jewish,Other,-41.08013191977368,E,B,B,B,A,-22.477696966294832,B,B,22.2610642993535,A,-70.83722224165925,E,D,D,0
27,Muslim,Other,-63.91832394004864,E,D,A,E,D,59.48670462095823,B,C,-18.29668870723461,E,19.51997428353065,A,A,A,0
63,Muslim,Heterosexual,135.13924633980702,C,C,E,D,C,80.02265433701714,B,C,32.94810415429022,E,135.7463840899695,E,C,E,0
20,Other,Homosexual,-198.0801941024859,A,C,C,E,A,19.252870805700503,E,B,150.63455752844348,B,-120.14033075057111,B,B,C,0
65,Christian,Heterosexual,46.413068795829304,B,E,C,C,C,-113.15098177342794,B,E,27.45052322098902,D,-179.01146047685293,A,E,A,1
