marital_status,Disability,RACE,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Widowed,No,Hispanic,Germany,B,E,243.32537941318512,A,91.19246438950952,-124.69615715774813,-36.58429813195009,124.30765131888013,-12.494623119872873,A,C,1
Divorced,Mental,Asian,China,A,C,-19.223804060636358,C,26.415296973330477,-17.21010382252884,3.8522981396112406,64.31920766135676,178.4129835842628,C,B,0
Single,Physical,African American,Brazil,E,D,19.535407382248586,D,131.90162348841042,-47.057098780311925,127.44496396537129,-50.78614932662949,210.53832468605012,C,A,1
Divorced,Mental,Other,UK,B,E,33.75881618550656,E,105.98297314280731,45.41553991536526,-157.51753335743498,-111.95164954024237,-8.38588003516721,E,C,1
Single,Both,Other,UK,B,C,-72.94715662975982,E,-187.0681164613472,-1.5115904938806388,143.99396809121035,9.924022981166498,-21.924891775608597,C,D,0
Widowed,None,Asian,Other,A,B,67.77981851360823,C,3.3455736193072254,32.66547668090039,-47.76125750846982,-51.83184846506198,59.705769528244886,A,C,0
Married,No,Asian,Brazil,A,D,-25.680919765551614,D,-135.9297696830103,-210.00777716713958,-66.24294242525102,78.16954840783296,-99.86821543863206,B,B,0
Married,No,Other,Brazil,B,C,7.206138870814794,A,-33.79200171844654,-94.78845289162764,46.678299136684956,-28.95383629835779,18.95840843461777,C,A,0
Single,Mental,Other,India,C,D,14.164063542702369,C,-100.36450701670579,97.12937748788576,-40.91688123900942,-52.68528265084379,-127.95506307781241,E,D,1
Single,Mental,African American,Brazil,D,D,54.986659028392616,B,-54.8697249798391,50.64962654450409,98.30109186289363,-75.54891439361403,46.356245145538324,E,D,1
Single,Physical,Asian,Other,E,E,97.28218960865973,D,-8.517864262195324,-122.64317205425795,189.85738301745053,-73.0496168096978,-110.7476497151374,D,E,1
Single,Physical,African American,UK,D,D,-23.79342246385511,A,1.4984400601397279,132.97820638245958,-257.2459542654067,96.69716248729013,60.53899353233951,E,E,0
Widowed,Yes,Black,Mexico,E,B,-125.50938240133873,D,215.06539514017044,69.50617376013099,53.94220636010873,63.95476533839379,7.080006531832563,E,B,1
Widowed,No,Other,UK,A,B,49.755913110762904,E,2.190780953049455,66.21989010411812,-71.67954391898648,7.342770787587286,16.01004163753415,B,B,0
Married,None,Asian,Germany,E,B,-114.2944830483424,D,99.72514965496502,-185.06174400780304,-38.05306969255272,111.41641143887216,21.13794038868308,C,E,1
Widowed,Both,Other,US,D,D,-5.63174512905743,C,-46.352796048985994,-62.77974547572125,-1.361475859731213,-19.889969609962137,-174.6929665057166,B,D,0
Married,Mental,Asian,Other,A,E,88.25233949265645,A,61.41762670093116,-3.7014392664449822,5.646882633876276,44.11225439917369,-0.2907341250756985,C,A,1
Widowed,Both,Other,US,A,E,84.04037372507392,C,109.61005509903808,20.189378792409798,50.18210204164381,2.9763282596570506,-204.14621314356776,B,E,0
Married,Physical,Black,Other,E,E,-43.919133858813126,D,29.078084172318068,61.83266120139774,-44.039262993631176,-78.63582920050008,13.740270422246384,E,E,1
Divorced,Physical,African American,US,C,C,-210.37548051361733,A,55.2616475521696,-100.03653365829905,-45.16335030441343,-78.6161987456762,59.833520126535454,D,D,1
Single,Yes,African American,Mexico,D,B,230.30894305260355,B,-23.590040821638265,30.27059684381638,-50.665971989790236,181.96274270740764,127.0636928191295,E,B,1
Divorced,No,African American,Brazil,B,E,-19.043458098473735,C,105.55685372545172,-117.77997549931581,-66.2920900137275,-143.97971114023528,67.056783588911,D,E,0
Married,No,Black,Mexico,A,B,-44.16441475199127,E,-78.38620504064936,111.07333362107961,133.90858513380215,-39.90001722004036,63.48498842456337,A,E,0
Divorced,Physical,Hispanic,UK,E,E,-226.98669076391016,B,-154.65306895390083,-34.34530709177405,66.47615193217963,-125.01533816884461,31.57083987304406,B,A,0
Single,No,Hispanic,Brazil,A,B,32.2283323699912,A,92.43272176518913,8.822610925829496,-12.429595688928314,-37.05653225716395,100.97025810483508,A,B,1
Widowed,No,Asian,China,A,B,-160.1921802797053,E,22.85487303957988,-64.53814460631855,-37.415535725993585,-4.940478804124988,-120.50459176524784,D,C,0
Single,Yes,Other,India,B,C,85.88674595424267,D,-11.125444482618876,-82.74018330042617,251.38779140839546,-79.29853229927801,139.92064537148624,B,B,0
Single,Physical,Hispanic,India,C,E,-263.34475467186286,E,-106.3886733361536,-84.02144839244231,-112.36018354514914,33.17722329216893,29.41260965994315,B,C,1
Single,Mental,Hispanic,China,C,D,117.55699915750864,B,67.07490567835441,97.15487838042287,123.38074013013531,-24.697116390220934,-119.91887949982967,A,E,1
Divorced,Physical,Black,UK,B,B,-143.70519699828165,D,-58.49962098368262,-3.216065366406466,76.74614433238777,69.46512335883347,43.33469710175075,D,E,1
Divorced,No,Hispanic,India,E,A,-25.210414418186737,E,2.5476602297845514,-45.56097874361878,40.64004874010897,36.47231861334058,85.49959490058629,D,A,0
Divorced,Physical,African American,Mexico,D,E,-170.85914196037524,E,36.04687817154193,166.56426362777324,-35.016216741831755,-161.0197981944961,10.75459042645283,E,C,1
Widowed,Physical,Black,India,A,D,31.66020698845478,E,55.31900167369419,137.97070802480974,75.67055209254363,-78.8779494336206,-146.64511740468774,B,B,1
Married,Both,Asian,Mexico,B,C,-90.42396552839904,E,40.93460372513246,170.71364237486304,-154.00385878803485,-40.40139265753245,104.0019308442768,E,D,1
Single,No,Hispanic,India,A,D,121.82100428934714,B,120.66698769973023,-2.6727492133026285,31.156491706499057,65.96428401582718,56.81535139624502,E,A,1
Married,None,African American,Germany,E,E,120.65573019844112,C,4.208496999349775,131.45451427550705,8.199229406328264,27.05113453677403,-57.456102100361036,C,A,0
