veteran,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
No,45,E,E,D,D,B,33.04013927879761,-7.232106025453998,E,-109.95821640037053,98.11274848765336,B,E,147.16812705480368,B,B,B,A,-76.29509894712484,-127.9495304596348,1
Yes,42,E,D,C,C,E,-26.283384621565048,134.19919820484242,E,-105.519726391043,40.36459336988872,C,C,64.73586947194696,A,C,D,C,-149.36382140152085,-85.73080316161727,1
Veteran,28,B,B,A,D,E,22.895533461069554,-14.625315824572983,C,32.40487512344854,53.615016024908044,D,D,-180.92223897016947,D,C,A,A,18.160993863569296,85.22523695787217,1
No,55,B,E,C,B,E,50.87776880562075,145.8600607792794,D,-178.93709816532518,-30.015914823347543,A,C,50.80099096531254,B,D,E,C,173.67902879404423,-70.46263782699124,0
Yes,66,E,C,C,C,C,-123.37244149605404,-15.715948303407545,B,-57.77599600460679,-19.82299504373609,B,E,206.67776285798212,B,A,E,E,-22.084444478094742,110.47084559306879,1
Veteran,66,E,C,E,B,D,60.06136446459891,12.894619132038768,C,26.252686508826567,9.528482093550652,B,B,117.83013042897224,E,C,D,E,-65.77053692138739,-80.23263443337609,1
Veteran,66,D,D,B,D,B,-26.03892546896335,223.07793500729235,C,-110.6637766768543,-110.13766739396085,D,D,86.92087095724864,B,A,B,E,46.66564677321526,80.61715633966465,1
Non-Veteran,61,C,A,C,E,D,-0.2485900498559345,94.40419281368511,E,-152.66352021214888,-157.7858872271231,E,C,3.621318359993869,C,E,C,A,-18.356456302667496,136.9169780581102,1
No,62,E,D,C,C,C,16.08022231183114,238.5112876105135,C,8.86159035804421,21.164483169330378,E,E,47.98858954185567,D,C,E,B,17.542693008002512,204.8280167088135,1
No,38,A,E,E,A,D,-72.87505389272789,-187.12187627632935,C,114.93856606833725,29.33401135513092,C,B,18.849681688059334,E,B,E,D,-0.8454050657800617,21.94745154381214,1
Non-Veteran,32,C,E,A,B,C,-44.07574331990804,-54.57193105518352,D,174.55992052336265,157.8750146221199,B,E,185.38649809000756,D,B,E,E,-23.34855089852685,53.300849685759744,0
Yes,48,B,A,D,A,E,28.218850228650176,-129.99164444987804,C,-55.644611903529906,-23.621034702213706,B,B,-23.072037940820554,E,D,E,E,35.948884737649685,132.83267524265008,1
Non-Veteran,71,A,A,A,E,E,188.97589598908698,39.72626518803068,A,-20.07721990400148,-50.67636019359535,C,D,42.91463735060401,B,B,D,D,113.89799066174129,-68.33268994904269,0
