Age,handicap,veteran,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
34,Physical,No,Married,C,-58.126215548061886,17.483288195268806,0.12754003682315945,E,B,E,0
34,Mental,No,Single,A,26.96519354766555,77.6853874304979,61.58333748797978,C,B,D,0
70,Yes,No,Widowed,E,-26.541897131963164,100.41931708560486,101.73545840510485,E,A,C,0
36,Yes,Non-Veteran,Widowed,B,-71.72200454695752,-127.17061583094127,-120.21746663179155,A,E,A,0
37,No,No,Single,D,137.33003026461716,74.9632330395019,50.40131586304752,E,C,D,1
95,No,Non-Veteran,Married,D,79.60882641147255,-47.70261052505313,-142.38816849101534,A,C,E,1
33,No,Yes,Widowed,E,57.64696554544262,-180.27738538686552,-24.141122247653527,C,C,C,0
70,Yes,Yes,Married,D,39.12574887256736,111.68274331587473,-82.38313218305805,B,C,D,1
53,Yes,Non-Veteran,Divorced,C,16.9059157426931,0.3659456821336176,-38.47780618574196,D,B,A,1
27,Yes,No,Married,E,-52.46075500339508,1.868309770522684,29.857712592725587,B,A,A,0
18,Mental,Non-Veteran,Married,A,107.13384600795868,109.20009611294519,-86.95034036195285,A,A,B,1
50,No,Veteran,Married,E,77.89940925407313,41.833146710483355,78.06929864723145,C,B,E,0
52,Physical,Veteran,Single,A,168.80934801514326,-3.8968884894838838,55.65793047594963,E,E,A,1
31,No,Veteran,Divorced,B,-78.89299087596441,-17.983523333479585,14.365738900439698,D,D,B,1
31,None,Veteran,Single,C,-97.99353310031248,-100.50817234640147,-181.8389019500841,D,B,C,0
49,Mental,Non-Veteran,Divorced,B,-32.67412416692386,-201.13111535685073,12.831178005004947,E,D,D,0
63,None,Veteran,Married,A,91.4391907175194,51.925575979131466,-53.04316003987962,B,A,E,1
70,Both,Veteran,Divorced,A,17.25016437274708,-103.3571375667983,78.51499280110849,A,D,E,1
74,Physical,Yes,Married,E,-107.92175582616733,-91.12751710352775,58.43625384061447,B,A,D,1
69,Physical,No,Married,B,49.72031645496165,152.125356983525,-42.94056942341828,B,A,A,1
67,Physical,No,Single,A,268.92765761399477,198.90826890814833,36.055410761925444,B,A,A,1
69,Both,Veteran,Widowed,C,-12.890544499360008,-55.82501562709638,-93.93456819012349,E,D,D,1
75,Both,No,Single,E,-73.71048724663967,-127.36824476375395,106.62601205530662,D,C,E,1
30,No,Veteran,Widowed,D,127.13804991802719,-106.19596544254983,78.56871040681047,D,B,E,0
44,Yes,Yes,Single,A,89.84624754843885,184.4999829569877,23.02806191174352,C,E,A,1
54,Physical,No,Married,A,44.1867295828364,146.51003610020774,14.367354107902418,C,E,C,1
93,Mental,Non-Veteran,Single,B,65.06894269207902,-169.01251694976617,-150.3061981547505,A,B,B,0
29,Yes,Veteran,Divorced,B,147.67320091961406,160.40142778265584,-129.91798638593008,B,D,E,1
38,Yes,No,Widowed,B,-246.51572491919785,117.5942758865619,-36.10988251235438,D,B,C,0
49,Yes,Veteran,Divorced,E,36.76011606753341,131.51532622503618,193.80462159979822,C,B,D,1
27,Physical,Yes,Single,A,-21.937542155258903,14.331083856220042,7.60742672733421,A,D,B,0
68,No,Non-Veteran,Widowed,A,84.94635218327635,-50.699380023406015,-135.17893695916266,D,C,D,1
54,Mental,No,Single,C,-112.11703525768027,37.85130185915887,22.24684809330023,D,D,E,1
53,No,Non-Veteran,Single,A,-51.59563705205069,70.32802421860198,-126.50378325852422,C,E,A,1
71,Physical,No,Widowed,A,-27.388337993823985,80.2650205265953,-6.655353759253104,C,E,E,1
64,Both,Yes,Married,B,28.197394247645185,-102.54727075895806,93.9736936048928,E,D,A,1
96,Both,Veteran,Widowed,B,187.70864082359677,55.72108860771131,10.782081065254339,C,E,A,0
81,Physical,Non-Veteran,Single,E,114.07266736805252,167.5255103977425,-0.42181971853416717,E,D,A,1
56,Both,Yes,Widowed,D,26.411872323546802,224.99894732544408,44.05609122653871,B,C,D,0
83,Yes,Non-Veteran,Married,B,-94.23796199710317,23.727158953347942,30.96789805058163,A,D,C,0
97,Physical,Non-Veteran,Divorced,D,18.6997703230145,20.445738545221506,34.65352787599744,A,C,C,1
29,Yes,Yes,Widowed,C,148.0609512030735,14.68026161024796,16.762609384681582,C,A,B,1
62,None,No,Single,C,-84.04239173340278,-12.929052169172886,54.85793643497734,E,B,A,1
27,Yes,Veteran,Single,C,216.93482763245785,21.005713346809156,-60.10793435135717,E,C,C,1
97,Physical,Yes,Divorced,B,-89.89733433555138,11.62417564246525,150.00166175953996,D,A,C,1
66,Both,Veteran,Married,D,76.82608946553408,66.47215737402495,144.0690150640064,A,E,D,0
55,Mental,Non-Veteran,Divorced,B,22.824791573344047,-74.97549485998464,-273.32893736497886,B,B,B,0
