Age,Veteran,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
44,Yes,Muslim,-276.56248021852343,B,A,C,28.57678781966144,-92.93234879990518,C,C,-15.061361324422052,-36.086636888885046,A,1
63,Non-Veteran,Jewish,27.01926754422003,C,E,D,227.3959955094151,-5.206577063014613,A,D,-23.67231817283223,-97.73959214196486,D,1
28,Veteran,Jewish,0.4730448449383525,B,B,A,-59.30122938540136,-71.69815212405793,E,D,-125.23105516980606,95.56194139791019,B,0
21,No,Christian,70.52340101831084,A,E,D,-32.05242213210454,-47.739897649851564,A,D,50.04390555369959,-55.00074613494913,A,0
30,Veteran,Jewish,-44.5876638338965,D,E,D,-54.20503441620627,46.59256760061285,A,D,-103.576599004646,-113.96467801671855,E,0
58,Yes,Other,123.6997435376433,B,D,A,-25.146740977946934,88.58714799806901,A,E,61.77623156158767,-141.66315780303836,A,0
32,Non-Veteran,None,-27.34772330598912,B,C,C,-34.352643690136745,-99.06444454062452,A,C,-7.626589257810442,-3.997611282525334,D,1
75,Non-Veteran,Buddhist,52.59232778127703,E,D,A,-94.59910318605493,-2.777881395154783,E,D,12.291776140778834,53.93363704183858,A,0
69,Veteran,Muslim,141.94712439451294,B,A,B,93.00856078068985,145.72276691839673,A,A,-181.4895469182449,3.59630803386222,B,1
43,No,Other,192.9498680484591,C,E,A,155.1422478117861,-136.34079186084813,C,C,-29.569686667353125,-61.55785202448749,E,0
39,No,Other,-34.04793963800994,B,D,E,152.50521543393552,47.68234670632607,D,A,-12.320110790218672,95.28029704735211,D,1
73,No,Buddhist,-98.97621236410514,B,C,B,-23.92632890479302,149.41739286947544,D,A,-115.02016069488448,23.56736992257707,A,1
33,No,Buddhist,-33.78074644974147,D,C,B,63.38226704092019,-170.6457674421334,D,A,64.14241467074166,72.67416658195309,D,1
72,Yes,Hindu,-132.61955908314795,B,B,B,71.83604837883514,-30.921511742957108,A,B,-47.02086011804948,-85.12112722285183,A,1
41,Veteran,Hindu,128.64718491739856,C,E,B,75.5002738822305,110.59491039871313,A,B,-11.823286514452377,-35.2237046295956,D,1
25,Yes,Christian,8.648420478629918,E,C,E,46.12175561467835,26.926998562211164,D,A,-1.102505838476873,39.23303042774655,D,0
42,Veteran,Hindu,-111.33056228606581,C,A,E,218.95239791210673,4.755583598828544,D,E,-80.89256112357305,-47.02729269812654,B,1
66,No,Christian,-91.91937887681378,A,A,D,-1.4543733814724742,-5.207344476307815,D,B,121.16124437003457,6.548540013772432,D,0
28,Non-Veteran,Christian,55.01485684722762,A,E,C,70.94770105482043,-78.92661770868953,E,A,178.0818126517002,-86.41723466695429,C,1
53,No,Other,-217.76818337767554,E,A,D,-70.80031980804719,-6.14363384785158,D,E,-105.64459222281499,5.998656922323916,C,0
27,Non-Veteran,Jewish,-61.9162220858349,C,B,B,282.4009871024528,190.8399053518483,A,A,29.554030981013398,-50.97472925502458,B,1
23,Yes,Other,-106.57204930038277,A,A,C,197.04836883099327,-74.88531573975034,E,E,-52.349153385219516,110.10063831669001,B,0
66,No,Hindu,-117.77274286850674,C,D,C,96.18599274533008,-81.15875720576624,C,C,-26.88199699849595,2.085087464984209,A,1
26,Yes,Hindu,-98.23591669939259,B,C,E,-156.6204872833647,1.3218886295500765,D,D,150.2267690417782,-32.04684702018835,B,0
46,Veteran,Muslim,-108.53333715324396,D,C,D,-176.7404824601359,168.65706014002396,A,D,-148.08172357891874,-81.72340522970816,E,1
