age,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
56,86.19441838539905,C,D,C,A,D,27.72230130939233,78.06191011578679,170.94414576341586,99.47054522216959,-55.76723580633788,-69.17897434696818,-27.481868344136355,D,-78.8605378052042,-8.808411155802649,6.785230744492357,0
45,93.43640180259327,B,B,B,E,D,20.088422821221418,3.2500369938823317,-85.50934262003814,22.695936784843052,133.3800857864388,-20.92557084667197,135.63117447662844,C,-34.46830713537714,50.00226219990327,-63.14243211376974,1
85,-5.538846066655627,E,B,C,C,D,-5.661346349439056,-1.7718929387081515,-109.70660075589966,114.3665545314014,-95.24125393145539,82.0213067367882,123.76614620598123,A,-88.23174352662477,-85.51052471569696,154.28098025741573,1
28,-29.500528567008267,B,E,B,A,A,35.411436698579195,48.310631856730815,34.17716394750398,-32.760375452945176,129.54115390113364,-15.326345295665913,-48.276547827982974,B,41.05818610465911,85.81768289853666,19.49966676967998,1
52,15.063531976443267,C,C,A,A,A,-227.07948564062045,-7.027391591998319,-57.20381073832189,-63.67573533300839,-10.544834923214024,84.66651173452723,70.31253046605448,B,-70.96467422955648,-132.49531113085487,-47.91830314520445,0
78,-45.64674478348959,E,B,D,E,B,290.85571953161036,-16.230625912900422,3.9059688743796626,3.2904755132571046,120.23834498257892,109.52095895663217,68.50181348918079,A,-78.86198758940405,-55.614229202205415,101.92525130238678,0
26,24.4230637151918,B,E,C,E,D,87.47721028952043,36.32816356289176,82.17836966138007,-136.55312209464375,-209.8324132611056,-2.5157362757715727,35.374425096309515,B,-32.450981269519296,105.42210058004846,-39.35805323668444,1
31,212.29932321763832,A,E,B,B,E,-43.07022209008306,42.927156201408195,68.13041028967226,143.01319722042817,71.71608806770487,-112.8051043671733,30.720273981021062,C,10.092822363457902,-33.79866765555897,44.643427115831074,1
94,-76.88393293710604,B,C,C,A,D,65.55372347013801,-136.75038878715077,-34.444037851088375,2.275406676015935,45.954686201828146,-125.92729063104318,-116.58550254131481,D,-143.9967742607171,-61.97012005292065,12.011154208015228,0
78,21.238534111744407,C,D,A,D,D,-54.03597893851195,218.27262424260545,73.94682924490093,24.688768064954363,-27.76128324968979,97.7551915172074,7.132412102208277,A,-11.65687328781747,-48.61905535501054,-59.74960474960511,1
56,63.689317080848554,D,A,A,B,E,117.80845503519551,35.38765980582587,-29.101905056024908,61.17323109129026,-48.43665868568676,10.474897388524749,29.26458251136705,D,-8.919469803350514,37.80441790065766,147.88203423205454,1
91,-66.12671053186878,C,D,A,C,A,10.462773872400808,-93.87669315792105,-188.8320137836603,-52.04928266101248,28.300511480729497,-21.960304719737785,20.541740511887706,B,-190.46807386115842,-89.17895802349271,-94.36681617847589,1
66,-128.9905804907991,A,B,A,A,C,2.0029389533190773,15.501165074888382,76.36064472427825,70.6305184630647,-24.943366748473288,50.63000937128804,169.89147303582624,E,93.87348185264665,53.195790601241185,-61.54539203236078,1
