sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Non-binary,A,D,-199.22021656688216,-128.61506999929702,C,227.76621826295406,-220.99205213427453,143.4889719380448,A,45.32728660368056,109.46018170356939,-99.46890512394624,37.73348813154813,1
Non-binary,B,B,-51.15915218838718,-64.01145236131812,B,132.4331520680506,-146.9398133426074,38.96040725807886,A,130.26937633365597,-32.69695985978737,38.35222069634772,-235.85684778251158,1
Female,C,A,-55.406729653904065,26.59046969269614,E,16.60079700784013,-48.007164880302206,38.65705499589159,E,-68.22491438033691,31.5108802126826,21.81213338217857,17.29024926897928,1
F,A,A,-108.99032146004393,321.50315755010047,A,-108.02182491177142,182.1721122398983,41.2766341363902,C,-40.37110442108053,106.71337362095869,-65.0938061240649,-96.83480964893616,0
Other,C,B,-42.272160183159556,-40.40358838781073,C,-216.21914543758285,61.00610870286059,25.241815559819102,E,6.5982723044905045,34.37648894109094,103.85397711146653,42.71633415488335,0
Male,B,C,104.67409049274363,70.16913068484277,E,113.92767598405374,125.24138857217659,-6.890005940611268,E,-135.8008006788521,-223.94220541382134,-219.04468256226846,29.98008645486811,1
Female,B,A,-119.3938760189609,-29.616548673108294,C,48.225823400086604,26.26998568470252,132.68100136083257,E,-36.34781224257788,77.61721290389374,-100.82032180753168,-38.710760108678826,1
Male,C,D,155.19115351786746,-9.419997300791799,B,-70.39254569059038,90.32199295321058,-49.1343298545366,B,93.06948270443037,-233.34015521102046,216.74943967626513,-132.33488705440212,1
F,D,C,-149.89116021523785,-32.44004866104909,C,-160.67534061117343,-53.03889312703547,54.17322525502078,E,118.77792812041459,-127.06006206526708,129.83467847780977,19.737781264671465,0
Female,C,E,6.586416941768569,39.74776899792334,A,-16.28680668234902,35.61096707242572,-80.78460901284352,C,-79.38609839409281,-79.9218081568156,7.479735587492281,69.57314277544344,0
M,A,A,-70.08121189667969,-39.84378885974985,C,60.4199745979233,159.60452423301248,-80.91213077078622,A,131.38375544186596,-61.94364500953736,-46.80191361138333,-205.948495801558,1
Non-binary,A,C,-117.8335473077246,-142.92854991593117,D,82.39709729787286,64.01674237877911,24.662523772062283,B,57.29239667169775,135.7241170564703,-87.99950218328674,22.318577097651165,1
Female,B,A,-15.567591168481176,-40.56336522062524,E,-37.95177390816742,23.477972282248544,-132.376536643155,A,38.22041511204902,-11.041519954360353,58.13046008883036,50.49166094347372,1
Male,D,C,4.611311011885967,-18.051870082681887,E,-10.076682496860446,-56.841180315296704,118.96219450298359,E,-35.000944840327804,-0.8107283245520054,-160.05477983664892,7.155746525412819,1
Female,B,B,-144.15263247002272,-86.49303647989952,D,-78.64884206077694,24.54856109353008,67.08090861470228,B,-89.16712768604702,-4.1092880617430145,109.61992154705274,-50.310899789424354,1
Male,E,B,169.9947128340097,74.52683978157343,D,4.912283865013381,-64.44674894403781,-35.62469341462289,E,1.1580435397685047,-284.1676141779712,58.300035280465835,81.03397387193158,0
Male,A,E,105.94752922820845,-20.709938918129474,B,5.090064695406344,-17.634759221147718,-97.41052736229084,B,-53.94663204029627,-22.773143661793803,115.23656365504378,-118.46645712708867,0
Male,D,A,36.20819737224417,181.68776427825503,D,83.18015167909803,0.3539843394071027,103.20163784676359,C,-26.53970478548875,128.66464836342598,-55.852006540892575,37.59829958413229,0
Other,E,D,84.4339380009696,-14.703619064561963,B,182.79209225511636,-203.7601073069284,109.4553965441309,B,196.9659231328542,-29.623526782668215,32.70045440654975,-29.91293296197719,1
Non-binary,B,E,-105.81694089981232,41.02696058076728,B,64.88678171207654,53.26713196692718,-80.34266802676503,D,-23.191014634551774,29.38932305953167,82.35935811028877,-65.54601914040572,1
Male,D,C,-7.9088678645552495,-91.10647986340607,B,-32.750305667219806,-86.74494934265272,194.012176181402,D,48.42501878250457,88.69638105988675,96.85686284775204,-95.95674783667086,0
M,D,D,-126.2552879440342,39.053452263195325,E,-41.32005594289504,147.3137033824766,61.296111192087785,D,72.64237426831968,-59.90639639021611,-83.23386378663649,73.73816539738573,0
Non-binary,E,A,89.15835833670664,1.6530823643240815,A,-76.70142105555948,-140.38582665371194,72.2254640257998,A,-40.190899096228634,-254.83798769900824,206.55491829982049,-9.735537499118188,0
Other,C,B,82.75242264794133,-64.04019844270015,B,32.338236337742096,-27.741618946142815,-38.19822414514642,D,-26.868683721946212,-39.9029054363908,143.40467119197945,-107.70264959095361,1
Female,C,A,220.0357335483276,-100.54095020693185,E,180.75273118630392,201.7797403548292,75.46402725989779,E,168.5827137486913,-43.12709941397064,84.09823361695305,-70.21119103293894,0
M,A,D,6.335360485803333,7.44662931049585,B,18.665524048365057,113.488679774577,45.074909574745426,D,-58.78666721600372,-92.78113020082436,158.66171940324807,-157.0998613135767,1
Female,C,B,132.85353132877313,20.283924448505424,C,-151.63708113029475,-35.83188507486178,-72.9538725418206,D,45.098875763252394,40.136337743951344,-109.73742512137616,-119.83133406327886,0
M,D,C,77.1396196346087,120.17512976416545,B,68.33479534647478,90.61607163025364,33.511967372666206,B,-140.90538403926087,87.46455692608671,-67.97097775897524,99.29592170034667,1
Male,C,D,-138.60484517009212,-68.7689748328651,C,-97.50316089289213,10.967272317101328,11.69386731566303,E,-44.6084376320832,-0.8073088500432211,-142.6294709783729,53.784007131528796,0
M,A,D,21.05924184856335,-86.18030115512639,A,-131.26828970416707,96.22835063627741,-99.59272428094916,E,-98.78541985992297,-139.41457203737997,38.254517681476955,49.3459118254837,0
F,C,A,8.207891564849254,0.7782984515153071,C,5.144179752629864,-169.62625830169455,-38.114580925381844,C,-41.45533113637991,-24.3630191582922,-40.8378661038579,-11.705144801512548,0
Female,B,A,219.21859199668398,214.87212280231475,E,-46.50405973291058,-164.6473253626522,156.74272387513017,E,-96.76995351557142,-42.34186133279414,-104.42871359881597,-82.27631634727122,1
F,B,C,25.860557789359195,-27.2582391050678,E,-21.99232149143974,146.6832965362372,81.0039056050048,D,91.05682918593057,93.12955747069068,-124.73431883062318,139.63041304134453,0
F,D,E,104.30116804175509,10.131290224039592,D,-17.259436906056646,25.608327564687023,-118.5847276276659,A,-34.48948734454609,48.96095784029405,37.757193146343724,-113.07005291432147,0
M,E,A,-78.45691516645986,-90.20385666242755,B,-14.080903241837767,23.72254598335048,-18.648977752285965,A,-1.3596986863358116,-200.9309396853473,-128.7542387139181,-34.764534049731616,1
M,D,B,-73.76746958985115,32.25681329543949,A,201.98154329008676,-10.89464571063126,-150.5256260308789,A,-33.03891375864967,111.13127402252144,89.3061524134375,112.3766454009495,1
M,C,A,80.41036818697503,82.49071659994527,B,-120.71632463355935,-142.27600017312352,36.65176491348001,B,-25.74448025458554,86.30251527117815,-141.74818165427067,-4.751208918308365,1
Other,E,D,120.8988513426192,-26.440425603183108,B,56.83999153883392,-184.18951480009864,11.566636598451078,D,198.67467656038832,242.8864261101796,76.86953277772865,-78.69628038091304,0
F,A,E,132.03569471546479,-18.512648153829662,B,7.165367726726717,140.41122616147095,160.4682403304198,E,-145.37290241033654,217.48711990473703,-10.762574383735599,-33.53970755686354,0
F,B,D,13.77074256903219,78.70274199431174,E,-142.5575002098953,-230.57040451565038,264.5210530404703,E,50.699166360109494,-94.06819195048227,77.73048291864167,16.747927545890562,0
Male,C,C,120.31546711733701,-30.7794828940274,C,-16.212851389484825,104.53660558744124,-203.29807233881212,A,35.096945717672604,187.0618290378356,-42.143628779675694,12.77551543750684,0
Non-binary,D,E,108.06933165120725,52.13149479244866,D,50.09411779846364,-15.730330270043918,-107.032409945706,E,30.39191954767672,-27.815901049336368,-195.81316215464327,91.87708592802623,1
M,B,D,19.12825978970703,47.37086002736305,C,-62.82524535110188,-76.98189477366658,-49.25153165336027,A,57.3968601045928,87.31847865064368,-52.8110973649758,39.09608854701329,1
Non-binary,B,A,122.43016426572628,-205.65807177604617,E,-184.91991696521157,113.98925831573447,-6.150029938111881,D,50.27858325885903,-0.5610326793710568,-67.63720226010317,-27.34992511316007,1
F,B,C,-14.158491087424826,187.3859570722695,C,158.69940834844854,-50.63057182851377,87.89828574816377,B,-47.942239450199864,52.60725019165717,123.29034387308874,57.77821751499291,1
M,E,C,59.13127535508127,29.960328836438695,E,-20.968218844563307,-91.87427013800294,164.47954091198812,A,65.1478080323995,-123.75853702523949,-87.44342200114347,-71.08334638973311,0
Female,E,B,-103.70038184821782,-117.35565667548995,D,-36.492821343709245,-62.43171359416865,-80.16014025827552,A,-23.052057282887617,7.488738361319512,58.70169548597176,-56.2942908780585,0
Other,A,C,15.602553173681816,-119.03828268079938,C,-94.7631871765086,14.35806008840174,-129.66666870325508,E,47.44974314579009,-206.6991621474393,96.83477050530804,10.662662104394444,0
Other,C,C,133.62121391917117,-55.18255151892594,C,-59.41091258572273,69.40190717234088,-108.49279393521476,A,173.45404111412094,39.67057443352288,-35.64773604110466,189.04803312774445,1
Female,D,A,-63.44742543867202,-36.21844078687728,B,-78.78315353002971,59.975414253313645,-93.30381482546109,A,-145.42530161263764,-137.3177018711624,-104.99097629690024,-194.6730467561746,1
F,A,D,52.01627218212938,-74.27543320338155,D,97.71743496694994,-192.27074356540484,-53.30292685663053,D,-122.92804251600033,61.38377207214481,8.077037511679487,59.768291413278675,0
Other,B,D,42.305695112189056,178.93589445612434,C,-84.26266319387264,-15.028457282736134,-124.15086331686172,E,-27.82359539082588,-50.045175134627506,-70.32429638957714,176.22184531274473,0
Female,D,E,-32.2577826177105,-234.91730886285814,C,-70.8547402497447,-13.159710077928702,59.939686020510116,A,-86.14218293715116,19.417381289300113,-224.06699662845475,34.68636158824896,0
M,D,A,62.7298493873473,-54.20556566958784,A,10.518990800389222,-153.13722746014358,-50.302929558559214,C,23.2011311742302,-18.08593206479334,-12.739609034814176,141.38697548872435,1
Female,E,B,74.62528992292313,-33.504789386898494,D,-163.52162917809804,156.5616185162209,69.91043092442084,B,-20.436419508717925,-87.5299576732447,-22.899043844456596,-170.18680035533936,0
F,A,A,125.52017697399116,-265.2032868868821,A,125.84172063549882,-97.040240823238,-19.560398405463236,B,-21.405530078993355,62.133205089832735,-18.757531152838748,46.38070794014648,0
