marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Widowed,E,B,B,B,-14.552486846926351,A,E,C,C,-25.087837382014104,53.62685115824909,-111.40362503191427,0
Widowed,A,B,D,A,-28.39203610590504,E,E,B,B,-0.7506822204048303,-66.53044677938777,120.47011189588204,1
Single,A,E,C,C,12.923170653754132,D,E,A,A,116.23285225223809,-124.1475174482245,61.226203266650984,1
Single,E,E,A,B,85.80450070777931,A,D,E,D,20.695403800657267,114.00171311492959,22.121701832393295,1
Married,E,A,A,A,8.152023605970141,D,B,D,E,63.001294370654804,18.461021393304918,-72.73050778862294,0
Widowed,E,A,A,B,25.35749157271959,E,A,C,C,-74.8910923868687,192.1366690280779,41.93105214332583,0
Married,C,B,E,E,-77.77134370409019,B,A,D,E,25.9056551717839,24.134165492666963,-22.11905263358102,0
Married,C,A,C,E,-23.756334463285253,D,C,C,D,-147.19821615248836,-35.45619981958407,-9.728963421202794,0
Widowed,E,C,C,C,-25.175729380908646,A,C,E,B,10.388507732216373,153.53503956323556,44.574657428331555,0
Married,E,C,E,C,-133.6575334277625,C,C,E,E,67.15010719131175,109.8054111414215,119.89462868141203,0
Married,C,A,A,E,111.55441872149072,A,B,A,D,116.44290870479776,-88.52945950173927,179.03949958976045,0
Divorced,D,A,B,A,-3.569084342655483,E,D,C,A,66.10897953820279,-109.60161898452603,0.2701973888719275,0
Married,E,E,A,D,-164.50595454983144,A,B,B,D,-46.364684260867165,200.58925800214973,210.24033305397026,0
Divorced,B,B,D,D,-86.13060724061843,B,B,B,D,-67.79944886936458,197.60556808963986,128.8544491731346,1
Single,D,C,E,B,102.41696240186538,A,A,A,D,138.105248478362,16.255299847902723,-75.40878768945782,1
Widowed,E,A,D,C,205.86713300772718,D,A,E,C,218.84677790888287,-103.1816649599364,93.69144911307782,0
Married,B,A,D,E,-26.186371199979053,C,B,D,C,-92.55282353757273,-72.39754224240623,-135.8817278343103,1
Married,E,C,A,C,-98.36886392793109,A,B,B,A,76.2968234549849,-91.22051017844058,-81.6166825055983,0
Divorced,B,A,D,A,152.87547219656247,B,A,B,C,11.3882650753676,-130.8887843447836,-72.1098608717778,0
Married,A,D,C,E,121.67416664630085,A,A,E,E,-102.8191856625165,-0.11560578976786198,34.25505575563688,1
Divorced,D,B,C,B,-96.39393933949417,E,D,C,A,-34.747018429611565,50.85636692065275,138.67001747423794,1
