AGE,orientation,Veteran,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
43,Homosexual,Non-Veteran,China,59.34245590500754,73.97181117824847,26.438737655476608,98.37288733589638,B,A,3.805238337849446,0
69,Other,Non-Veteran,India,168.3503665440877,18.516666327042664,-34.274265702163945,54.11552246036771,A,B,30.3579929896028,1
39,Bisexual,Veteran,Brazil,-38.50027858153081,30.54622240516024,-73.15861602060076,62.446949585169264,B,B,38.58645294713567,1
23,Heterosexual,Non-Veteran,Mexico,1.183131488075016,136.33598751145428,116.23288625228906,21.507533566635935,A,E,2.986871383222466,0
20,Other,Yes,Brazil,24.54401828924371,-25.849094969430443,-126.13447457673932,-89.56906483406517,A,D,-48.42089472835529,0
75,Other,No,Mexico,-16.27145312848185,-27.003839780434475,212.27896997776736,16.957054063294233,D,C,-4.922384090504747,0
27,Heterosexual,Yes,Mexico,-50.64756869366926,81.44907178862252,-61.1600525519936,162.83729661982085,C,A,212.70694520295126,0
62,Bisexual,Veteran,India,52.66111319846984,-46.24360980379478,26.294351944600862,14.881849207123185,A,C,153.5795491877966,0
59,Homosexual,No,US,168.2713587686707,147.81887493505442,18.579867858447997,169.64996396752065,E,A,-146.31992839195914,0
22,Bisexual,Yes,US,120.76922300256976,-158.75645737088075,-173.22615312334966,-19.984173165306,B,D,-96.76070375321373,0
39,Homosexual,Yes,Germany,80.09485739053915,19.97675816913202,13.502612783145839,5.805060405550274,C,E,209.14291002624697,0
40,Other,No,UK,35.03201378426407,39.39282594320577,13.288815820961327,-74.8284923120357,B,D,-54.34213629497688,0
30,Other,Non-Veteran,UK,-116.29107408132957,123.58909868165536,-10.310926894315548,-103.0025139911435,C,B,16.268946091734797,0
30,Bisexual,No,Mexico,105.86315004945818,-189.5116359905911,-67.08389455627926,49.35518337067494,E,A,-79.87107691137602,1
41,Homosexual,No,Mexico,309.53926905692725,117.72413213541955,-15.161489308716526,-32.46637946113685,E,D,-51.298268049675244,1
64,Other,No,Mexico,145.06093565292494,33.21057558591654,-223.39322314218748,91.25750565367025,A,B,-38.43546454570589,1
33,Bisexual,Yes,Germany,-10.050775182538175,-152.83008727325088,155.0162915227048,-157.3936109172786,C,D,-48.55799636016986,0
26,Homosexual,Veteran,Mexico,90.81369378349062,-172.08133941428258,-66.933105731481,39.33840419169354,C,B,-272.9423446109526,1
21,Other,Veteran,Brazil,-75.59440598813585,-1.9288900977326149,-26.515730349629173,-18.683144521151306,C,B,-114.58220402594681,1
18,Bisexual,Veteran,Mexico,159.3054364529903,68.20163682665365,49.57866622465981,93.15578130495479,E,D,-109.57252192403959,1
27,Homosexual,Non-Veteran,China,-186.6497077804657,2.0358041897876893,-30.792719766481724,88.9084533938724,C,A,-109.72615465023965,1
66,Other,Yes,China,-3.0084070590613172,-84.72249844216783,-80.14945506373955,-59.44905367202517,C,C,-59.09705205263131,1
33,Heterosexual,Yes,China,4.636995012963495,101.51687839311391,185.52253399733053,-9.329429569216217,E,D,46.45599274519593,1
77,Heterosexual,Non-Veteran,Other,-82.48568650803101,-113.58436658739437,-13.201831449505704,40.23465279643017,C,B,-8.835692835912681,0
48,Other,Non-Veteran,Other,39.35614699586233,126.8581984103564,-69.8820334957088,-94.90918744837057,E,A,350.61524673786784,1
69,Bisexual,No,China,63.487805925459554,-38.7809267298494,-92.44958870950737,167.74171771773968,C,E,39.529347880736495,0
52,Other,Yes,Germany,51.112122085737866,58.479482074730846,-205.64276883364437,-155.88957216133323,D,D,58.967501943775794,0
61,Heterosexual,Yes,Other,-51.58301522184113,48.99584775790955,-48.73813916777226,-91.30610468515631,B,E,-36.44451894903239,1
41,Homosexual,Veteran,US,162.57631674315135,-55.182615272544325,170.0206186237993,-82.1960166905094,E,A,111.92788883962889,0
62,Other,Veteran,Germany,15.7783572602685,73.99384319413991,-143.9941783853489,-56.40661271831245,D,E,-57.86540495914655,0
72,Bisexual,Non-Veteran,India,-55.849284818149926,57.985995308468766,-64.72807801552072,-116.09985372740978,E,A,-129.8858185028672,0
