AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
18-25,202.69085230418878,29.09327878895067,E,55.53423238873386,36.53511386367626,38.967834981896225,164.6521912614941,-5.078291045458299,-11.76635151984587,E,A,D,D,1
18-25,-35.187348519705466,-12.29061538548053,D,-108.64958367574246,67.83797838703178,-42.29825649626936,107.11847179705292,-62.04297969252928,112.11594751237574,A,D,A,C,0
51-65,181.15039983155467,-34.40338844924709,A,-96.2982632883158,-14.892496259628304,-13.458686279270706,-137.3238857960438,-78.6222367643352,39.23975275170207,C,B,C,A,0
65+,-35.64964662725675,-296.50651012053225,C,-42.77682875889296,53.444568795630744,-4.5016002200498795,-65.3062698262819,-72.65589161652906,27.73596819715911,E,D,B,B,0
65+,-206.30707066993276,63.63590546882103,B,-23.55075780143644,37.72542979212899,-2.94367554685004,-116.29083337628465,68.95443584525005,-104.30179489488991,B,E,D,E,0
51-65,70.05596061227502,-72.77431314851817,C,161.76100339537848,12.567934865744256,41.78110013701842,9.771934794598932,-78.17401987299151,-122.56255362209278,B,E,D,D,0
65+,173.05337506212015,-38.791939949441286,C,-42.42449497483584,37.007352234059,140.0104960178391,180.90839353098465,-31.55891247947614,-117.27485492310011,A,B,C,A,1
36-50,-82.7958904597186,-38.860912250614795,B,-66.80758506113877,-162.77263528257916,43.09744400730825,98.88740658490178,16.62445233508513,103.6277630353138,D,C,D,A,0
18-25,38.70539782424222,9.275248915772597,E,121.33421392217154,-44.2514634233997,-117.10125672890813,89.76344520505369,-213.56371115025738,47.151594340384214,D,B,A,D,0
51-65,69.1099173948479,-120.73223334263163,D,103.17525758490046,-35.22999175875396,60.700722526365624,54.55188169880111,-2.0985432234336923,-92.83922110345067,B,E,E,C,0
18-25,-18.532341461059673,-128.0071591671752,B,15.25969889466466,-132.47592802741786,23.834018513320373,-34.04825443392373,-45.726644452082056,115.24923764409074,D,A,A,B,1
18-25,-162.64219548944942,-148.77306175795607,C,103.84063238066446,59.83182912218689,101.32052280478212,4.82155422404053,-177.2133838489739,3.878783441005777,E,E,E,A,0
65+,-79.67847350887025,131.47036254781253,D,-163.94220758032026,30.111009223452378,141.39046701649602,37.51270707869997,26.377862126131912,-10.681452113504005,D,A,E,E,0
36-50,-52.07318962302796,74.08587100736423,B,-164.46786352982923,42.18079047960991,-28.487733846976383,118.89614864311895,-42.65813519202546,28.86925023791979,D,B,C,E,1
26-35,14.016980139438015,115.00971809041185,E,30.85584385393943,-24.75973860813724,50.16994511102075,4.180673845790163,116.93477633827314,-15.790280112330574,D,D,D,D,1
65+,30.90382089217109,5.922928665195275,D,0.6666724128126571,132.96453921138507,99.85646960497844,181.6309714844892,-41.80785092943655,-160.85439874640022,A,A,E,D,0
26-35,-18.91137927904717,115.7916282720348,B,29.204845585739108,171.65886224869487,-86.43381238045224,-6.354811661808784,-74.64863866376103,-127.86524710944525,E,A,D,B,1
18-25,-103.29143248139133,135.513228506026,E,-237.8989755551435,-17.381376936047097,9.447115696557121,-14.503921303455499,19.788971518593655,117.51668681178991,E,D,B,D,0
18-25,-149.9861690427792,42.52932784901515,E,-34.897148671865615,-56.13605352729779,-66.41122425318503,58.55670887360951,-38.686455935972276,75.00483642488274,B,B,A,A,0
18-25,235.36819463528334,237.97969518735144,C,110.05899104571898,-1.0746190405309037,110.96489551248231,-125.12453619636122,-244.26527753118043,-134.5341746198935,D,A,A,B,1
36-50,113.22274692468477,116.23423458800018,A,-22.804438328162192,81.61545687535877,-90.73193748489082,166.27186985020563,-88.8396906634668,60.25624361092296,C,B,B,A,1
36-50,-200.0289490160297,-183.37536203656327,C,23.468606218145712,-103.64577510117545,44.627599935114546,131.46637161233895,-99.27485674584558,122.98649168594444,E,E,B,B,0
