religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Other,-65.73523449849603,D,-165.3170334634284,-72.03442818947755,D,A,D,E,50.132773339871065,C,-76.3912739209799,-90.3642562045228,B,D,-98.04038062655081,81.55655657302479,1
Muslim,169.56480922095142,E,-4.359958543630938,-207.4473093348647,B,B,D,E,-28.9632960556961,E,-139.40601240244555,-15.585084826941852,E,E,48.06509057648674,75.4755739973994,1
Christian,140.41045216062315,A,122.31655817727356,-66.74937858385228,A,A,D,E,139.218429062042,B,-183.80467781274277,205.1969937436366,D,E,-74.90574017460602,90.82557951660857,1
Other,-95.52492586355496,B,257.23628097621236,50.716974264682555,E,A,B,D,-73.21913718047249,B,-83.23082239976877,101.81624525332316,E,E,212.93499555815964,200.14500298230894,0
Other,-3.1844059403581566,B,104.80690565578668,-76.89309506400025,A,B,A,E,24.430364563753447,A,89.37301864066107,-7.670599303060915,C,D,-135.31750176460724,-85.51574674976018,0
None,-60.255388747581094,E,-105.712752939334,23.09266106889453,B,E,C,A,2.064018828992742,C,64.01091148901375,-72.94611846872625,D,B,-126.39020305502508,-103.57376081826675,1
Christian,72.68243337641856,C,27.316639666397595,23.482487836981996,D,D,E,E,-48.06716129764111,B,-97.89757805664782,-37.15766959143828,D,E,33.259372800938785,-114.26271872421405,1
Buddhist,225.10681070045314,B,-80.36012433767797,51.528981723058266,A,C,E,C,35.55454702162027,B,127.89018376989215,-20.57811699194105,D,E,4.293373562188686,95.67278132565993,1
Buddhist,-132.18661382693094,C,141.2898263238684,207.201815631766,A,A,C,A,52.787136590177774,E,161.46540686895014,-232.4453828528736,E,C,70.06883104978174,-197.97406342047353,1
Buddhist,155.95426108589348,B,100.1944152791568,22.406644195728408,E,D,E,B,-13.686497916081539,E,-160.24810833029196,39.96900349451787,E,E,-227.54479814994477,-237.36643216701077,0
Buddhist,83.76247177590184,D,35.883800748227365,36.081370905152575,D,A,B,D,-48.30610433232738,A,70.77274790084567,22.505126570961473,D,D,55.83984530401198,-186.61570793625353,0
Hindu,-60.45616882568896,D,17.206928006741098,170.4551696562588,E,D,D,C,-57.62669850865822,A,35.10260731904798,12.184258388365926,A,C,-99.19608783964865,207.67906089627454,0
Hindu,-7.632848056680852,E,-93.75304931307764,198.31779346027474,D,D,E,C,-171.07954173531112,D,-15.054276691246256,-50.731918229344785,B,B,-24.151235938346442,-113.45507380363968,0
None,-17.097989379819836,B,141.00259263992584,-42.17942497192791,E,D,C,C,178.7323588116599,D,-109.19709245318859,117.92223455256095,D,D,-106.23023207620932,125.63427624541215,1
None,-52.55070996616371,C,-31.20748989766585,-15.285695277798672,A,A,B,E,-156.25405610368907,B,-43.02002601107332,165.98979689644065,D,B,-130.83886279395898,-159.4086262811093,1
None,45.23102317632014,C,-47.60841718404986,-146.33151089758124,B,C,C,A,-48.53605201734613,E,44.572237569592154,-104.91050216482496,E,A,-122.1185593562561,-131.92203954194449,1
Hindu,-3.8093501231072255,B,61.78492594449486,-131.9760003054252,C,D,E,E,26.552471310939435,C,-61.20157323927925,-12.365791411616218,A,A,-176.60046640202842,-4.910524884497558,1
Muslim,162.46820207499357,C,-108.39800914673343,223.1114159831933,A,E,E,A,-85.70913383173578,A,29.4388434007255,-91.20207761452802,A,D,20.989551403680817,249.92895951290416,0
