age_range,Disability,religious_affiliation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
65+,Physical,None,-1.984634707847337,-52.03596232455645,C,92.70392533046906,D,-100.63025458845556,0
18-25,Physical,Buddhist,-15.979319188191887,-25.29266116490615,E,105.41677348332512,A,41.20717569337306,0
65+,Yes,Jewish,132.15495065049038,-52.051591084084,B,39.821129988150304,D,27.443036722120134,0
51-65,Both,Buddhist,42.78935379350238,-89.25045855621356,C,34.82347794379837,B,-77.25813489603719,0
65+,No,Other,-93.3423678796211,-62.77543437485645,A,-27.81907396649289,E,7.7197869561237376,0
18-25,None,Other,-59.79755328375798,18.609031385197074,B,-8.25306119957175,D,-79.70406501686159,0
65+,Yes,Muslim,29.874019126806683,-141.8356066646849,C,141.4687850658498,D,67.67063822861718,0
26-35,No,Buddhist,-11.57027046876009,7.879895001956118,E,144.51604161789277,B,139.69641104577232,0
36-50,No,Christian,-12.024102107201987,45.26739662965443,D,32.65613018916381,D,116.15499990026603,0
36-50,None,Other,-103.62070187016295,127.50926857365681,D,62.35761502894688,E,23.001656315310647,0
51-65,Physical,Muslim,-21.07993976924913,-43.03864648012844,A,-87.32799118578214,C,-132.76962264947525,1
18-25,Both,Other,-9.479148152538407,-134.8487519592942,E,-215.9595397293816,C,-80.78146413202482,1
65+,Physical,Hindu,5.308863354946164,6.428466807239339,B,-94.60852536295306,C,60.04873179986746,1
65+,Both,Christian,193.74762874673826,-81.13082421341853,E,94.0875346124015,C,-210.18717391448573,1
51-65,No,Hindu,203.13969104155044,1.858330785210122,A,62.200319851904716,C,150.0712704737725,1
51-65,None,Hindu,69.2399018961116,-115.20161897936028,D,-74.1285642568255,E,-54.72558207179156,0
26-35,Yes,Buddhist,197.36559650713716,60.85416165647612,C,64.82825667606032,C,71.19630439104039,0
65+,Yes,Buddhist,97.91487773422497,-234.9151177322137,D,133.9247547842523,C,-55.25834547230144,1
51-65,Both,None,-37.30025013532645,-108.33667141075559,E,-74.14449616313193,D,28.123040708309034,0
18-25,No,Christian,67.75945621750844,154.02444187471224,B,-16.856720995558682,B,-43.90905184907986,1
51-65,No,Jewish,-90.32941656317364,158.97193376989557,B,-156.62102371764348,D,103.6737772615468,0
26-35,Physical,Other,-58.973562769888424,-177.7670883750905,C,-15.011355599391072,D,37.84523134304494,1
26-35,None,None,-32.39379018839701,182.38564790897377,E,-188.07747979335772,E,180.08813976162125,1
65+,Both,Muslim,-85.18718916102026,19.85854538237147,C,-159.36292760368335,B,-94.31712955541195,1
51-65,No,Christian,151.78150609354628,71.28844002438825,C,72.94322757135141,E,-253.53221693624536,1
65+,Yes,Hindu,-122.97335513861016,-53.19012078249889,E,-112.9153060455771,E,-85.16824411251193,1
26-35,No,Buddhist,49.14393105411216,98.66006064179787,D,168.61188897258103,E,-23.2894094590767,1
26-35,None,Jewish,-177.81198791389238,-20.122573556853293,B,38.7081882315538,C,-43.85694276642168,1
18-25,Yes,Other,36.174659804995684,22.317164653603054,A,-108.8082282638831,C,17.830911758771293,1
51-65,Yes,Christian,-149.18764007922329,25.605570459038546,D,10.545120112121321,B,-112.5153639070658,1
26-35,Both,Buddhist,-1.5697820920948142,-105.50917595657077,B,40.721553769829946,E,138.0422253521545,0
65+,Mental,Christian,-74.66000481647997,9.730493918301493,B,-4.23700366642858,E,208.45969271104124,1
18-25,Yes,Hindu,-106.24357239356041,7.327090579936135,B,-4.017778240691978,E,-24.642016355606657,1
36-50,No,Muslim,-4.8147543406221835,35.18968857426297,D,-24.267527643672977,C,-45.13296190962646,0
18-25,Mental,None,-25.285728482697284,30.380656249633493,B,-105.62963995727257,B,-35.80030735880435,1
26-35,None,Christian,-24.586725820424874,-84.65305796688686,E,-47.99541623869314,E,-84.9322155701231,0
26-35,None,Hindu,-135.95881886380903,-23.39392805571442,B,-63.27936436701355,A,-26.576364472778806,1
18-25,Yes,Jewish,170.83055256355902,63.40609970528796,E,13.207715243607346,B,31.532030145122807,0
51-65,Mental,Other,-78.93168861295075,34.02326810143379,A,-48.50620546481792,A,-43.27810444850759,1
36-50,Both,Hindu,-78.43416172568399,-49.43972121509992,C,32.1794690737021,C,-9.33951302199316,1
36-50,Yes,Muslim,128.46087889547866,-167.45116096167934,B,26.64369703890473,B,-73.10799332769147,1
18-25,None,None,26.678815250812328,54.216482548820736,E,112.53724955994045,A,-153.3048670105564,1
18-25,None,Hindu,121.20591524195221,-65.54247986465657,A,-91.3498240107038,C,-20.365688314286448,0
18-25,Mental,Muslim,78.77433339015913,40.13765507207786,C,-75.4295315008318,D,-14.715806500384238,1
51-65,Physical,Muslim,-33.47702103308581,-67.46031677583505,E,150.96735520800607,E,-51.51297861198733,1
18-25,No,Muslim,-50.23282842361,-77.49443070213691,E,155.10497212528145,D,-113.2340489586886,0
26-35,Both,Muslim,-0.3584612114744115,113.1929361140201,C,139.86756974875297,E,-14.095830614546118,0
65+,Yes,Buddhist,-81.43019879731705,45.96197054417621,A,-31.61367087358767,C,-78.83703981555679,0
26-35,No,None,-37.808303879171724,201.08162653744577,D,-62.96436164435648,E,169.10172216389518,1
18-25,Mental,Buddhist,-218.5794935214655,-40.084063186284574,C,198.55987385746786,B,35.92388394947897,1
65+,No,Other,130.12093674136543,-91.97469537649988,A,-17.630946392623077,C,41.158282619152594,1
65+,Both,Muslim,-11.151446903908257,-110.96398688951523,B,234.4518354716349,E,-46.65932425562164,0
51-65,Mental,Other,-43.26985101124205,181.43580580437794,E,-90.37078082320556,D,-47.42658938639655,1
65+,Yes,Buddhist,79.70100299077963,-28.41510413169404,C,-104.80770462582407,B,-19.043237663827668,1
26-35,No,Other,6.715643079511175,-53.08537514002977,D,-181.9447430544589,D,94.50705453889078,0
36-50,Physical,Hindu,147.05561708438742,-62.62517104456731,B,58.33210553749275,D,-10.160608567689588,0
36-50,Mental,None,74.0602506108671,-36.96206276859513,D,-75.78724439228444,A,6.624940454566326,1
51-65,Yes,Buddhist,-16.686844332431885,205.11791089023563,A,92.71080511773495,A,-94.60349507910692,1
36-50,Both,Muslim,-78.35041654442165,124.5420956537602,A,-87.34708669233358,E,-19.968160990657566,0
65+,Both,Jewish,100.25545300742422,43.00054271312282,E,-44.28873477220788,A,88.71781602535191,0
18-25,None,Buddhist,33.16723408656896,20.739210534783506,B,-122.05672968193002,B,37.91990564548131,0
26-35,Both,Other,8.526651232558532,-22.808336107287978,E,60.32554281840156,C,34.98814857886859,0
51-65,Mental,None,61.79158082982663,-181.88706678390383,A,44.118508967605344,D,-66.03509821087022,1
36-50,Physical,None,132.6807752139566,-21.859243964186227,D,11.997008204571967,D,-178.22122350807115,0
18-25,No,Jewish,-55.10254878927678,30.706527782982807,A,76.0780057685628,D,89.1162911134175,1
36-50,Yes,Hindu,-47.273010020433766,2.092821006357077,D,-12.678807372629864,D,3.186240949655008,0
51-65,Yes,None,-35.25044738782038,-141.1801121800741,E,-117.46303826841131,A,5.087268717757698,1
65+,Mental,Christian,-18.60399563868054,75.30511182275225,E,19.605879340626704,D,-79.33391816884667,1
65+,Physical,Hindu,-82.39226956546739,61.60594658503985,C,-20.49352071886245,C,61.89310798285146,1
65+,None,Jewish,-47.89367647762896,50.16275911926654,B,-33.976470536258944,C,56.797766791131075,1
26-35,Both,Other,153.1862557050441,211.02283379372452,A,193.18245387501133,B,-138.07491658441648,1
18-25,None,Jewish,-38.60542597658286,-65.65679879928001,C,-70.15053882729215,D,2.9003408733128446,1
65+,No,Christian,-91.36800844215882,-79.84844704130475,B,239.18989083712344,E,-88.23259678396884,1
65+,Both,Buddhist,7.9490790235735895,79.1523938630631,A,119.41436814125419,D,95.95102354674808,0
18-25,Physical,Other,8.435842590053522,121.66788712930936,E,-74.3554573866166,E,99.36667984454856,1
51-65,Both,Other,-57.00723699331674,189.50671627361766,E,3.540968762830194,A,107.94425874455769,1
