religion,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Muslim,Divorced,A,B,50.40617721095091,D,-80.46237942393557,A,76.75247552766675,C,E,14.322085175493834,A,B,18.23264995004225,A,1
Muslim,Widowed,C,D,-84.20991345173802,D,-4.778439771526377,D,88.0967923920497,C,C,-45.48564144959644,B,A,-188.12128586439965,D,0
None,Single,E,E,-58.35840640421591,A,-2.707747992487054,B,-114.61446810094354,E,C,-94.57178019602377,E,B,133.6859707048748,A,0
Hindu,Widowed,E,B,-36.801471175086306,C,-120.52190203794193,B,-219.53938393068935,C,B,109.6339267990952,D,C,-31.209308514725397,A,1
None,Single,B,C,-48.27902302907374,E,-24.10411407423128,C,22.69137099537224,A,E,54.14990747636925,E,D,-47.44556562025527,A,1
None,Widowed,A,D,142.954989811392,D,61.3514609708961,B,-100.952928425038,C,A,250.72191766746494,B,D,162.73474558431306,B,0
Other,Married,B,E,-7.329838881835886,E,-30.742683816839072,B,-151.31378951840352,C,D,34.18411520138216,C,E,-158.6381785371755,A,0
Hindu,Widowed,E,D,-9.662226366299526,A,99.7045221479913,B,-85.7718543386522,A,E,16.9850605188405,E,E,54.30290613621365,C,0
Muslim,Divorced,C,C,-88.34355184112201,D,-7.139115153098308,E,78.63889370327713,D,A,106.61057594674533,D,D,60.37047332870008,B,1
Jewish,Widowed,E,A,37.13669318596624,E,-97.65799473712397,C,77.9282385689971,A,C,53.882034927874386,A,E,56.26583161615982,B,1
Jewish,Divorced,E,B,98.04744677653878,E,-56.082325982139544,C,229.01383512587387,C,D,47.35789264175494,E,C,-56.425124009331014,D,0
Jewish,Divorced,B,B,-78.0209875073021,B,12.637728286437271,B,-11.171590627738953,E,B,10.163756919548193,D,C,46.06355265357232,C,1
None,Widowed,D,D,121.59658363185288,E,36.52821315538485,D,140.4263104676507,A,A,59.50983395927214,C,D,79.62348662779556,E,1
None,Married,A,C,-285.085869723091,E,-89.7224711059517,C,-21.369725138325116,D,E,-49.188093662953854,A,E,52.76033034537111,E,1
Buddhist,Single,E,D,41.49267809530164,A,-115.04114474783864,C,24.472698810510195,B,A,-204.22778286906623,E,B,-86.0691088835702,B,0
None,Married,D,A,-98.67960507346241,B,-78.94195830390956,D,36.80943632986093,D,A,-179.2950508235027,C,E,42.99054630424039,B,1
Hindu,Divorced,E,C,7.135982724027952,C,-18.775730648956714,A,70.94216462103371,B,C,-51.6601112013556,C,C,-140.82494769398747,E,1
Christian,Married,C,B,76.9327553619043,E,61.556182777359844,A,-85.63388494361813,A,C,11.06616046123247,B,B,18.579610221483414,C,0
Buddhist,Single,C,B,-94.78602458009529,D,1.8486138734145983,B,-36.34414449239771,C,B,-104.25760667267897,C,E,119.84690339333983,B,0
Buddhist,Widowed,A,B,7.772645835533141,E,-73.35812306373514,B,-183.1329192141135,E,E,-40.4782351433363,D,E,134.10914836602416,B,1
Muslim,Divorced,B,B,-12.779448210311456,E,59.21094186665107,E,-120.62237270509742,E,C,-4.543577033140851,C,B,14.929104165486992,A,1
Muslim,Single,C,C,-101.05299260896467,B,254.632448869823,B,59.834314633044585,A,D,79.17942905133228,D,B,-26.785554805280555,C,0
None,Married,E,E,-82.35818993826258,E,-22.163544651623734,A,1.4715316855109675,E,E,-146.98270439318242,C,C,-158.81603816171645,E,1
Hindu,Widowed,E,C,67.78595692933696,E,-25.722806995141433,E,32.17611188617291,E,A,250.29009606196607,B,B,-10.68808032064743,B,0
Jewish,Married,B,B,36.76070179130674,B,-133.18947089439504,B,1.1404319364301707,C,D,150.6139143621456,E,B,36.09157218365611,B,0
Hindu,Single,B,C,-45.0375787498968,A,179.27065073560587,E,58.60849297903239,D,C,-170.31520456786936,B,B,202.01973737810314,E,1
Christian,Married,A,B,50.625286181034426,B,49.66033980357679,E,-77.75163413937969,C,D,-40.633274142197614,C,E,35.572746096086306,B,1
Muslim,Single,E,E,-35.939134355961,C,148.03072639016222,E,99.10829982942798,A,D,40.75460073211969,B,C,-50.52278808972059,E,0
Other,Married,D,A,169.20824513313897,B,-5.602297799233869,A,-108.4672108780126,D,B,-18.690396567891206,C,E,-166.31089681704708,B,0
Muslim,Married,D,B,73.5718128158208,B,3.717202287294464,C,226.18170755458777,E,E,-1.143284626670435,B,A,-2.4223094318172205,B,0
Buddhist,Married,E,B,86.60248679251559,C,-166.73502671347185,B,-79.25341385586478,D,D,-34.9430311416612,B,B,8.557580809841298,C,1
Christian,Widowed,A,B,-10.073441053776145,D,66.62059673897215,E,-48.01395234048945,A,C,-155.71709675848658,E,E,28.879918522810645,E,0
