Veteran,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Non-Veteran,65+,9.178048163290368,C,D,171.5373583977094,-209.0306969931557,E,1
No,36-50,266.84559218174087,B,D,-164.44868276857264,-58.77056533871756,C,0
Non-Veteran,51-65,-17.088250010841925,E,B,-83.3739155943165,-98.30620192182707,D,1
Veteran,18-25,-11.378115874121205,A,D,43.65003263518757,-13.226977379589682,A,0
Non-Veteran,51-65,-63.03008079159572,A,E,17.421946198185633,-28.645558863182742,A,1
Non-Veteran,51-65,-59.540203676990735,A,C,4.0682909580537645,159.3441049082722,B,0
No,26-35,-48.983809336848324,D,C,-55.27233290085793,66.52854522332655,D,0
No,65+,-29.464649045737552,B,B,64.45397804598262,-51.43104752454137,D,1
No,65+,-3.7944493733676357,B,A,-30.313379650269518,-233.14785965127118,E,0
Non-Veteran,65+,-3.6674506772036493,D,E,-75.22091008849813,99.53631819320083,E,1
No,36-50,24.23121750514352,B,E,-192.64073895235381,128.32668610396402,A,1
Veteran,65+,-25.216544770451392,B,C,-64.39263150645542,94.19942484960971,C,1
Yes,65+,35.1926632692754,D,B,71.78231650284333,-65.73655939076227,A,0
Yes,26-35,-65.04632436739853,A,C,-79.04116720624151,42.41377045184446,B,0
No,65+,-104.34511186378592,C,E,182.9044854891392,88.41602676130583,B,1
Yes,36-50,-123.89164586452968,E,D,-106.50932774634971,-2.7548157264282875,B,0
Veteran,51-65,144.58566422463394,C,A,17.85442591970762,37.74167058654419,A,0
Yes,36-50,-140.57930996648815,D,A,52.30394917958676,59.94554580972293,C,0
No,26-35,16.74996320731024,C,D,-69.16125607856193,42.6994182340327,C,1
Veteran,51-65,11.09993671419118,D,D,63.71370088969761,16.880570792090342,D,1
No,18-25,-127.72491557729725,E,A,-44.78570178793618,148.01657183559615,D,0
No,51-65,-24.752129536767516,B,B,81.12952489560861,-62.08771414027434,D,0
No,36-50,-128.6375648136964,B,C,-63.551965940880976,190.63475327123007,C,1
Veteran,36-50,154.5510639208713,A,B,-167.98292660493962,-204.50116478460845,C,1
Non-Veteran,65+,-94.5048052500751,C,C,45.577412013190845,35.66716265913983,E,0
Yes,36-50,-25.77414368241604,A,B,90.1307485367802,217.0368634158476,B,1
Non-Veteran,65+,50.089491926845234,B,D,65.62691759687283,-55.651827016412305,E,1
Veteran,18-25,-33.99317466830496,E,A,72.34601543669037,163.84537227720955,C,0
No,36-50,168.52574332541334,D,C,27.440039827045016,-69.07160315495065,E,1
Yes,26-35,-85.43034159061176,D,C,85.22157036998166,49.72137916501171,E,1
Non-Veteran,36-50,97.47049529624562,C,C,-256.53453135950934,-57.11793866550514,B,1
Yes,65+,-29.465058805839416,C,A,-132.15071981413408,-122.6026121885125,C,1
Veteran,26-35,218.59257106652672,E,D,-63.142220307743656,-104.00032487768792,C,0
Non-Veteran,26-35,-196.82307509269057,C,A,71.31170535750415,-92.91172516642501,D,1
Veteran,36-50,81.53017945322576,A,D,-31.435086179107515,36.01129265202229,B,1
Yes,65+,71.20592259152212,C,B,-72.39834005200647,-62.80909678469292,B,0
Veteran,18-25,68.60243566123123,D,D,26.218033355686295,157.74229587485436,B,1
Non-Veteran,26-35,-66.16368685587287,A,D,78.18265185588047,-45.445018049971004,A,1
Non-Veteran,51-65,12.284065775819892,C,B,-24.352682277309658,-82.81540075968998,A,0
No,18-25,-29.576981538039064,B,B,93.41718327025058,-112.51031251859216,C,0
Non-Veteran,18-25,69.73582705395222,A,C,110.53060063349098,-20.331141571386524,A,0
Non-Veteran,18-25,-31.587758642018017,E,D,-166.0619951728304,11.11276246035834,A,0
Veteran,26-35,72.98807626268362,D,A,95.00562785704638,-48.836884912419194,D,0
Yes,65+,58.164327258326,E,D,-57.73015436142469,229.82483638544392,C,0
Yes,51-65,-130.92976223493164,B,D,51.30478831018797,104.75944568400838,C,1
Veteran,36-50,-2.0600991940378552,E,D,-241.0850607170718,-296.74237455016254,E,1
Yes,26-35,32.33780461205673,B,A,-117.88341613859035,-61.87260750288057,E,0
Veteran,65+,-100.6142417301878,A,B,-78.76185176604017,-152.13503492651185,A,0
Yes,26-35,171.9966609430113,B,C,-43.23930080387288,-63.134857894792376,D,0
Yes,65+,19.80978492142661,E,E,49.257433750836825,132.2668344031753,C,0
Yes,36-50,126.33676727861803,E,C,-61.013582726552706,-78.48823780176825,D,1
Veteran,18-25,151.1513343100765,C,C,-141.54587549300538,125.85954767032118,B,1
Veteran,36-50,103.7074220946659,D,E,-57.254251761238265,65.7947151852993,B,1
Yes,51-65,-79.0092575795714,B,B,-117.81205190325115,12.230445723785088,A,0
Yes,26-35,49.44866240149627,A,B,-16.047449997006584,79.83317966620415,E,1
Yes,51-65,-38.01675084309848,A,D,11.449452310407956,-39.809639506919936,D,1
Veteran,18-25,-115.70001797530698,E,C,3.7236701363462785,42.26261851993915,D,1
No,51-65,71.382666529714,C,E,-72.22124555344915,-110.7776172082438,A,1
Non-Veteran,51-65,-26.56479569467854,D,B,87.61968596195533,39.736303452579,E,1
Non-Veteran,51-65,41.466969384999565,B,E,-120.66911632818436,-76.8684285732624,A,0
No,36-50,17.38088580265657,C,C,-71.1784989272754,13.178351918924907,C,1
Yes,51-65,22.471316292850315,D,D,-79.74660414583316,184.63925912860313,A,1
Non-Veteran,51-65,-42.24653978629433,B,D,118.74214452760899,-21.380981553421073,C,1
Non-Veteran,26-35,-12.917999159367724,B,B,-81.75579297390661,100.33355280335996,B,1
Non-Veteran,36-50,-66.42477341429476,D,D,63.89125745312626,45.91197971723484,C,1
Non-Veteran,36-50,144.91935718515845,D,E,174.81143090606454,-94.97799555661888,D,0
Non-Veteran,26-35,-127.35518848877352,C,B,-87.38882737254774,94.42771523129767,C,0
Yes,51-65,19.51907136130236,B,D,115.16611024198433,-98.7088442995225,E,1
Yes,26-35,85.97457987240905,D,C,-80.37432862162044,-66.09228938177118,D,1
Yes,18-25,148.11825189432898,B,D,-33.18989984049423,-16.706356315388202,D,1
No,18-25,104.66616729302697,A,A,178.67170048553228,-110.11319997885923,E,0
No,51-65,-101.23257823972595,E,C,-60.04919995577593,66.96300117463464,A,1
Veteran,65+,-172.21900612160013,D,B,-24.10406882382426,6.924954457686404,D,1
Yes,51-65,-95.98893640848404,E,A,87.36055443671185,65.85406427536734,B,0
Veteran,18-25,118.78029978950664,E,E,-73.96736634571633,-90.08146140042166,B,1
Yes,26-35,19.940411315297148,B,B,58.447374793167164,-26.35258263373485,E,0
Yes,26-35,-86.79561542483884,A,C,172.12705874644334,-26.57621636171633,C,0
Veteran,26-35,-50.245903596388374,E,D,-43.77671569731968,-95.59275641414658,A,1
Veteran,26-35,-60.90645087450014,A,E,-12.262059689381998,-94.61997880501292,D,0
Yes,26-35,-171.3528121176341,A,D,1.7779380442220394,-120.14483830328456,C,1
No,65+,-42.13476478990679,C,E,39.834073955003355,-64.37857638354298,B,0
Yes,18-25,-49.484913049443016,A,B,123.75014244152318,-45.92528925295943,E,1
Yes,18-25,-66.44713401650293,C,A,-106.96534034410605,-138.2227547161765,B,0
Non-Veteran,36-50,91.10000039251389,C,A,-36.01756666860217,20.007735502926437,C,1
Yes,36-50,104.1064702157924,E,E,-78.72951358570143,55.144340774846,E,0
Veteran,65+,16.711456202100372,B,C,98.6525752088753,-33.95697958868266,E,1
Yes,26-35,96.31972464206413,D,A,71.56527094384411,-137.18780058022406,E,1
Veteran,26-35,101.00411391990829,E,E,-110.25135405373831,65.16180286457221,B,0
No,18-25,-152.91338146866224,D,C,-146.7725532335281,143.20467603556503,E,1
Veteran,51-65,-17.840083919352335,E,C,59.09548276291756,87.37199427619417,A,0
Non-Veteran,65+,16.160587818353168,E,E,138.36404917018606,9.482970791017927,A,0
No,36-50,-123.95707787975903,A,B,218.11824347175187,-91.12284524177859,C,0
No,51-65,8.133521580703611,A,B,-168.92336103433502,-210.69442222378046,D,0
Non-Veteran,65+,40.6256627162803,A,A,-59.88730889397286,59.89954471430578,D,0
Non-Veteran,36-50,-79.73663308110248,C,A,2.710458807319036,-56.084614847207035,C,0
Non-Veteran,26-35,53.86278119589678,C,A,-26.989504851764114,-65.96037818791481,A,0
Veteran,36-50,-17.72338972927921,C,E,-78.95373260472816,-86.62758054533269,A,0
Yes,36-50,-78.45992658689408,A,A,29.951994705677475,-171.72428008250952,B,1
No,51-65,-12.7803346869247,A,E,53.88437252627807,-41.790217714636555,A,0
Veteran,51-65,24.366481580094597,C,A,96.05765415351718,-9.711914543954654,D,1
Non-Veteran,51-65,-38.194743653004906,A,A,13.832073958316471,-71.17575472695,B,0
Non-Veteran,26-35,-49.59874473646452,E,D,-188.4092949936949,-63.334236775328115,D,1
Non-Veteran,51-65,86.09541196735344,B,C,82.27079742690209,156.09707075941418,D,1
No,65+,-31.200170350292243,A,A,93.72258619456876,-66.54928868013592,A,1
Veteran,65+,17.465938079346525,A,D,91.42916844053192,79.5448111858384,E,0
Veteran,51-65,-154.39513728022249,D,C,-51.71628668193101,138.00573687011862,D,0
Yes,36-50,-77.26421343553913,C,E,34.45889783102069,35.55354870353512,A,0
Non-Veteran,65+,157.8388558952181,D,C,-70.97614601991108,123.4080012075309,C,0
No,51-65,-112.76430615000415,D,B,-4.4837962627854955,-36.08352661854974,C,1
Yes,36-50,175.9103238715264,B,B,-8.57448430856077,127.98368089429954,C,0
Non-Veteran,18-25,121.50047272968077,C,E,17.64485848350507,-13.767920565604152,A,0
Veteran,36-50,-154.84235066638257,E,A,91.81869863869736,-71.65625613103931,E,1
Yes,65+,-53.43060684772256,A,C,69.48468105137721,33.59918866491075,A,0
Non-Veteran,26-35,79.36256461907045,E,D,61.13876117717317,25.83020288061386,C,0
Non-Veteran,51-65,-279.9340361175691,B,B,-64.44321691249662,-169.76145331298488,A,0
Veteran,65+,84.12599964385521,C,A,-37.21951347095828,-21.687266979272437,C,1
No,18-25,79.51837592033519,E,B,60.08175300362193,94.03669123277258,C,1
No,65+,-4.741976996286169,D,E,-90.36903190933394,106.93109911590093,A,1
Yes,26-35,-9.952481160500716,D,C,27.31734117091818,39.122728173584456,D,1
Yes,65+,84.4395554948266,D,B,-102.26521180257062,-60.18725789727447,E,0
No,36-50,32.82165297428733,B,B,-80.3244166629272,-12.29763001567441,D,1
Veteran,36-50,51.99038057059453,E,D,16.73939787936752,18.73879438391416,E,0
Yes,65+,53.24142950016484,B,D,-33.765937445851904,-139.44619241666513,C,0
No,36-50,-142.45474563871682,D,E,27.155695255383115,231.3314651395049,D,0
Veteran,65+,169.33872075963487,C,A,6.560077258112537,129.09463272376175,B,0
Non-Veteran,18-25,-28.802678630318155,C,A,-85.10020922743553,142.13750453273326,B,0
Non-Veteran,26-35,-67.82459254710515,B,E,9.134962824497084,33.699830602556624,E,1
Veteran,18-25,-69.76545114366026,E,B,32.1570644715089,-149.95279670339247,E,0
Yes,51-65,-23.122286934023062,B,D,-146.94865283017862,2.560383618492371,D,1
Yes,51-65,181.23652745815642,C,D,179.60173868573602,-49.425617989152386,B,1
Veteran,51-65,7.186302712949767,C,B,128.83083638012332,-3.8611401405680255,E,0
Non-Veteran,65+,-44.78287494001862,A,C,70.04142391714971,-77.20377527715658,B,1
No,18-25,-25.257385370286595,D,A,-156.94170109001118,-27.40748303872012,B,1
Veteran,65+,0.9801081743794553,D,E,-113.7279645178545,36.64042436543592,A,0
Yes,36-50,-12.684843496172551,B,B,-70.37097660508209,-71.26862185104163,D,1
Non-Veteran,18-25,-27.69338387916685,D,E,-9.518901487085403,89.77428099604046,D,0
