AGE,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
18,Black,22.032292573839232,A,-7.82093335213169,196.66151556243926,A,156.94762732938767,-202.6933593599099,D,-7.917154564355225,D,D,49.185052438834006,-49.85022221840649,C,-48.09840556927495,-44.730542756932465,C,0
29,Asian,65.09410636954637,A,-43.503737882198045,87.3635566679581,E,-209.68948457777242,-72.60784825493533,D,33.52989133519802,D,E,-183.66890397552714,69.4382664354857,A,-22.217217158976553,74.92154309947371,A,1
71,Hispanic,125.62183454821405,A,25.80391764665897,161.35410124957394,B,137.07944373837657,-199.1744565830242,E,-60.75566810591222,E,B,85.7932729598823,92.47470611169632,A,80.71608248805721,-88.84242703529694,C,1
41,White,-56.70922971840917,D,-13.837138625119971,-86.45288623494586,C,-48.71562179922952,-42.03747867565108,E,-263.67666982416165,B,C,-55.11504512041549,-142.0224283853572,B,60.331196591942174,-20.45727476815258,B,1
51,Other,-75.97438738161723,E,-99.49856567705048,72.85776794889735,D,21.777875780027582,78.72604104087515,B,87.03720392966743,A,D,-89.96142880658606,-107.30953879115481,E,-143.4787333403886,92.45336412583785,B,1
34,Asian,46.71864988863624,C,-38.87109006329419,221.95884012178948,A,18.32531149352371,-110.55849976399782,E,-19.04992874004906,D,D,-6.224527849065856,42.6038345235497,A,171.90059384501362,10.04336127271581,C,1
50,African American,58.201975177161934,E,29.88532012645257,-9.067167087121243,B,-3.3499334740572477,-5.927110639519707,E,-137.8791702914805,D,E,159.70787959250762,-47.7340264187214,C,214.78367449158816,-173.46522871319,D,0
34,African American,-74.98515637788653,E,49.364606062745494,-158.2045572930742,A,24.88070272552585,62.30620287860942,D,338.35065478390084,E,D,122.2198740391753,-89.51137684302547,B,20.117767861215903,-20.532721528281108,C,0
78,Asian,-80.52280630034615,D,14.51347845730753,17.325568762493642,B,-173.54696104751798,-99.74060692358583,B,142.42180403938795,B,E,-102.20195484210717,14.517292848487601,A,64.4344150445595,-74.69412380702828,B,0
67,African American,-8.956327551279312,E,-76.28329491131659,79.98274265634593,B,-2.117209368932691,9.367905131735279,A,-168.4388307380995,E,C,1.485299537853535,-29.94098047377132,B,-56.26392741803863,299.1163096054666,D,1
73,African American,-38.75738879676255,A,105.12040295560199,-39.4867214932094,E,72.43047321672019,76.15138735662825,B,-12.357402427992087,B,E,63.62661512504479,12.52128768379675,C,167.98850460602728,-43.592519922113254,A,1
73,Asian,167.7240632990609,A,-92.74476546058561,22.098786107041633,E,-73.29118863071547,169.29587602493794,E,-105.78936626537816,B,D,-34.03591343517834,147.39201684196507,E,193.8130558934858,201.16406755551188,D,0
19,Hispanic,92.70100718701359,A,-78.82644430907308,-4.321340231218527,B,153.90090166876212,215.23765513882145,B,25.580999105219455,C,B,13.898917658087889,87.75818561835672,A,-150.6853387812037,99.22377632568717,C,0
65,Other,38.9972249903236,E,-13.911337626850063,-30.092442215569747,A,69.39437871869264,99.3842828070197,C,-1.5842636453804435,C,C,178.66106356852217,1.2540987745763905,D,69.81662889253745,-235.507041958129,B,1
53,Black,20.742726994916598,A,-67.18868680331767,40.5544919432935,D,47.870407618165274,-65.35183771897836,A,-60.17387834630317,B,B,-53.65528409411069,87.95142745445281,D,-67.5304227835903,187.27965862536144,A,1
36,Other,-1.05728309352253,D,141.7354571863384,-38.557145934978095,A,-111.7624101990959,-50.74263854295008,A,212.93493030398207,E,C,104.8164405098355,81.9381940202076,A,82.42653799512642,147.9637927613964,A,0
49,Other,-43.406768832031666,E,48.407155017694,-58.41336786472796,A,202.4363976440023,-164.12107293939255,C,58.64031105228761,A,D,-162.37064261763166,245.40555990879884,E,-142.46419421196646,76.8734508496288,A,1
41,Hispanic,-29.84492488930045,B,-71.15390156401735,181.77871393150247,A,-47.97206469277138,24.702812174545116,E,197.04603775105784,B,D,-67.93989138295092,-45.67944613561102,E,68.17946673888433,248.63825653828366,C,0
25,White,131.77723859242002,D,146.2169031852146,52.65453562428597,E,33.32101643808146,162.86409830505576,A,58.228504161360604,E,E,-128.49139428317142,-137.37785951789152,A,85.41064533379061,-34.563926591280136,B,1
73,Black,63.18057534879333,B,119.47045109482745,-203.83200712176932,E,-14.622799777274262,167.60843085770315,D,49.28613979521716,A,C,13.437645291194,-72.1542946091261,D,-21.483040158035372,20.594742710015947,A,1
38,Black,-238.27682289882063,D,-97.58895478632263,12.405129757051395,C,-30.630624653503745,-20.140001524225664,D,-44.95029273290769,D,A,-49.42219927671637,-198.68779615975538,D,277.75022141548516,-41.441095302813906,B,1
43,White,16.046009568684173,E,-66.66259686877791,-136.50324431572201,D,27.023332506255304,-67.5128389596905,E,-70.54079508797471,D,B,28.90869431404639,149.560409213717,A,16.770322206319005,-59.123672233546934,D,0
72,Black,-1.1240186437217483,E,-114.66898750563574,18.40153147842639,C,39.61242557035117,-18.202411048224295,B,42.24070922002066,A,A,52.665693042819115,-102.24412869417438,C,142.30308081978518,-56.353829340009554,D,0
