gender,Disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Female,None,-148.23432840640936,B,117.64564073209172,62.5395926298566,-125.83882824049095,95.97378039747724,C,A,B,-112.68636054903041,D,0
Female,Mental,-110.15904084754055,B,40.5488447943491,-53.317114216915904,204.65972309116682,65.51628414371113,D,A,D,15.196291589123142,A,0
F,None,-157.99302063604165,A,-238.4148213490608,-91.71308570827182,85.4579716407624,106.14818868139089,E,C,E,7.44289816585475,A,1
Other,None,-23.6757046198482,B,146.8480951533289,-83.01227608386512,-91.52065392495643,90.92019914796002,E,C,E,120.3903487447106,B,0
Other,None,104.41750117922135,D,121.66630507667995,153.42019581648952,-83.0353569601717,70.20242705087118,B,B,B,-28.11925534724645,E,0
M,Both,9.193051803821742,C,-48.95341013793303,47.42597068106109,-60.820501377367876,23.111284079666575,E,E,C,-180.2707742139966,D,0
Other,No,160.71561209614453,E,-70.68452042797894,-60.37128896723855,-82.26821310401074,37.2972480483712,B,A,E,16.994229369928938,A,0
Non-binary,Both,207.99639394581976,B,-207.34434806407566,-118.04628597173685,-16.162765985454325,-91.03910810726407,B,E,D,90.75742590019975,E,0
Other,Physical,-51.819992810659286,E,-76.99669541830573,-66.33624655484327,45.32018549133191,-39.667116486845565,D,E,A,92.34219171950147,B,0
M,Mental,-149.87994052656498,B,33.79160859505524,-5.592305223963945,130.17114000634842,-27.186261993094323,D,B,E,-107.71667262782417,B,0
F,None,138.92174386982526,E,-78.54022729573724,192.04909707442494,-46.115993347550166,176.9675312926589,C,B,B,96.18396429560315,A,1
F,Physical,-17.941329848636446,B,29.57360500775337,67.31427371599771,-53.72585256550714,78.362574380506,A,C,E,62.1254584627826,A,0
M,Mental,30.310014700088505,D,-8.47790522530505,-41.17426666202283,-13.024907548859899,-44.032477146329185,D,C,A,-83.69151858769084,D,0
Female,Both,-50.61330493732123,B,-180.89872617810224,-130.17339929620323,23.619039452974015,-2.0739703411971226,C,B,C,221.704068117127,B,0
Female,None,-29.827110532579443,C,-109.75064022464758,-28.200577946620026,-52.66543483862267,324.5321475594146,A,D,A,-13.76516257282063,A,0
F,No,122.01816743384033,E,77.37199556542491,-132.37126605144041,27.831192440177833,132.80770789610816,B,E,A,-81.54833440819804,E,1
M,Yes,-104.31359247977075,C,223.89462155900367,-73.12388155039557,49.058190392306216,73.46649602942679,B,A,C,-88.14372431771125,E,0
Non-binary,No,-20.190332658581113,A,-144.06811080133994,4.7010872547940705,-109.6266372941094,-20.80804670639981,A,D,C,-26.54083922707688,A,0
Male,Physical,134.3382986492304,B,45.37929007238282,-102.01403068414503,-67.42132773420975,25.49046441080739,E,A,C,-38.99911322828089,A,0
F,Mental,4.626517106814545,E,7.842909380819443,-46.187987790745964,65.48508405639537,96.15396903300682,C,C,B,-29.351391157979972,E,1
F,None,-79.79916217132782,E,60.04509142842153,-102.12836248768009,11.083849003891828,94.19542757853428,B,C,E,63.08782537913196,E,0
Male,None,-164.63929007158296,D,70.98004047820675,66.48419693894284,-60.14176679008415,25.646053100161136,D,D,A,-32.16449302205939,E,0
Other,Yes,-146.58954781401087,D,7.107197302943391,-6.443651097527462,-47.210016071830076,80.25408616377217,C,D,A,-194.94633699913945,E,0
Female,No,-9.83261627682166,A,-146.7127939909811,87.21600280292996,53.37989281137949,83.92536233557728,C,A,C,41.135441861294765,E,1
Female,No,-176.93912785614768,B,149.32486483475395,-35.45998417131017,92.79866848718125,21.956833776261377,C,A,D,-99.69717419291628,D,0
F,No,229.6776957498011,E,-0.47252495913807535,6.757695061849988,81.82207481685408,100.71413549987551,E,B,B,-190.81041444096908,A,1
M,Yes,29.099758053951092,B,-21.290430725659373,-72.52935321370197,37.6897537160021,-103.8883360538933,D,D,D,96.27609150245777,A,0
