sexuality,Disability,ethnic_group,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Homosexual,Yes,Hispanic,India,14.479329438876224,B,18.13073768273749,D,A,C,A,C,E,E,E,-285.11110032814133,-74.88576742107537,-15.904846566592484,B,80.87640090267178,44.25140595414769,38.797660100325324,B,0
Homosexual,Physical,Black,US,45.92146667652378,B,-83.98502475637287,A,D,B,E,A,D,C,A,-23.57790024668448,40.005153108245814,-31.279856597756144,E,-68.43517038778771,-77.86777591359136,-8.131574399005354,B,0
Bisexual,Both,Black,India,73.1107895758634,B,-101.66492934495008,E,A,D,C,D,C,B,C,-20.467906358859402,-159.80119973442183,-35.04333930417585,C,43.38978224714224,-13.011769113101726,22.904240284124718,B,0
Homosexual,Physical,Other,India,-21.511355568311092,D,84.6316080650915,D,A,C,A,A,C,D,C,96.39690760000931,77.1414865710646,101.13555057131913,A,131.30302712423756,-23.972662262879016,83.6877904292401,B,0
Bisexual,Physical,Other,India,-68.86628583137582,B,87.25551729910454,D,A,B,C,C,D,B,B,13.283798337503514,71.37406725520673,-43.520447300935736,D,39.317647874364916,108.64133597286958,-73.8915596901736,A,1
Homosexual,None,Other,Mexico,3.806152840278755,C,-24.94152017038728,E,D,B,C,C,A,A,A,127.94305072418186,50.00734996384833,20.790666831664993,C,-2.3745583073197896,30.66062952078449,162.3120825017158,C,0
Heterosexual,None,Asian,India,-9.169649875934036,A,-98.18251313996488,E,A,B,C,A,C,D,D,-41.86825536272412,82.9215681631506,-74.61138573431178,B,64.76224989414806,-105.01546196113019,29.47920817582758,A,1
Other,Yes,White,US,-56.502969301637386,E,-59.12333586585164,D,B,A,D,D,C,C,A,96.24686071808694,136.6766506612107,5.591252907147357,B,-58.026478270762915,-192.58503901298278,-21.126681298461943,B,0
Homosexual,None,White,Other,62.26476917864196,C,51.6349704567216,D,D,D,C,B,D,A,A,-26.866097051896038,119.15173176623793,-157.04689545731176,C,206.82602457639194,-79.29374082875968,125.48883500331847,E,1
Heterosexual,No,White,UK,-37.98503382204509,E,-148.126245148856,E,A,C,C,E,D,C,B,159.46811954430999,57.099742575537164,-18.921392482869443,A,-57.19267299771157,-120.30794662097281,-25.312715579887,A,1
Heterosexual,Mental,African American,Brazil,-17.02579874320428,B,150.86931274962762,E,B,B,C,A,C,B,D,-91.5778134072226,-33.0185677449516,7.15002501413028,D,-53.891279307256056,68.18188066305247,71.23298360504482,A,1
Heterosexual,None,Asian,Mexico,-220.72526643752028,A,163.8246549312329,B,C,B,D,B,D,B,A,144.50931798637683,104.54042057577095,169.2813780451887,D,-45.08078346533869,21.92259821834716,58.02942350495146,E,1
Bisexual,Both,Hispanic,Germany,15.452422498396093,B,69.61023401063748,A,B,D,C,B,A,C,A,145.63379666385592,150.11252624923173,53.35977157855481,C,27.240933381579623,18.454476347815255,44.62318369440948,C,1
Heterosexual,No,Black,Mexico,-13.896278982835192,C,-61.30582695436486,D,D,E,C,C,A,A,A,5.2391286261052175,-42.842080705053434,20.26729797712386,E,-199.49455760742657,-10.01993364000671,-132.63189894159382,E,0
Heterosexual,Yes,Other,US,-107.42602279871166,C,206.24425594966192,C,B,D,E,E,E,E,C,21.531868576863054,-26.66810406526337,64.65017682475892,D,30.597322910776082,-35.89720750911071,-23.126104351219073,C,1
Heterosexual,Both,Asian,Brazil,-70.30229118195483,C,48.665990522324186,D,E,C,A,A,A,B,B,-43.68070801399529,65.18311927275586,-4.377570988362538,E,-117.79613038505093,-190.16238356294025,-44.9685017249442,D,0
Other,Both,Asian,Mexico,41.989344040002365,A,-4.3363949518814175,E,D,D,A,B,D,E,D,41.22297657820895,-17.124981783800273,35.82530184503504,B,-8.641580117460702,2.75092025295442,13.803991797983217,A,1
Bisexual,Physical,White,UK,151.09958333413223,B,-26.907490777702865,A,D,E,E,B,D,E,C,228.1984072003365,10.653499599559028,19.401137491962796,A,33.97803070399781,-32.59775860393457,-93.74695634850205,B,1
Heterosexual,Mental,White,Germany,-53.03852244750812,C,54.51899722896382,B,A,D,A,D,B,A,B,12.48781161191749,35.17046867953542,56.86116678576889,B,-19.180216135585997,-89.75967688243874,180.92884190637537,E,1
Homosexual,No,Hispanic,Germany,-134.4578158115465,A,-4.559327499638854,B,D,A,C,E,B,B,D,-84.43603958379911,-35.885415142993374,-27.874258218997127,C,-207.53327907145493,96.3448142246058,-4.9922777615751786,B,1
Bisexual,Physical,Other,China,-23.970587284264212,D,-61.50576370939472,E,E,E,D,E,D,B,D,-12.07216979448341,30.330250092459217,-76.12611995100855,D,8.661695977290353,49.51746320157436,-181.35979808045582,D,0
Other,Yes,Hispanic,Mexico,-97.26670562337904,B,29.160555598948317,B,A,B,A,C,B,A,B,17.61862961412392,-174.13838551175047,29.92415914331414,A,193.85857022030507,23.08125832300418,-112.94153036398087,D,1
Bisexual,Yes,Hispanic,India,-76.65367032181277,D,5.856543749290731,E,A,B,B,B,A,B,B,110.43391693395512,-45.464837751443675,65.85932707227677,E,163.33190988548427,128.91101276377182,65.13475686773967,C,0
Homosexual,Yes,White,Other,-26.052287557144467,E,1.2125982535155047,E,D,B,E,B,A,C,D,161.15460144411148,83.88505215975069,-64.24561204893784,A,-39.0053252349305,-69.32434047914835,-99.71735229938197,C,1
Other,No,Black,Mexico,14.671429421959225,A,-85.44410219706407,E,D,C,B,B,B,A,D,37.48654713083875,-7.170873344138171,-134.1708794435967,D,8.105989686978196,-71.51641138251513,-157.330080689078,C,1
Bisexual,Yes,White,China,42.4317771241054,A,-30.377866318433593,D,D,E,E,D,D,E,D,13.422941663466123,-61.259628663428245,-78.3894476429528,A,-48.3384575538051,-33.32553041503804,136.1019872801102,C,0
Other,Physical,Asian,UK,173.61000642838349,E,232.74972373091552,E,E,B,B,C,E,C,E,-102.38895342085914,49.65491387699293,-105.75904539284082,E,9.748552260805148,-36.84982858675132,116.24730550220583,A,1
Other,Both,Asian,Mexico,128.71943050012234,A,-68.94831660594919,C,B,B,E,E,C,D,A,-8.196206850472834,-9.235950087174986,-51.375314699571085,C,-146.7248378510491,-15.301508563735219,100.77657158783167,B,0
Other,No,White,Mexico,-59.56664067155175,B,-5.635166999929031,D,B,D,A,C,D,A,C,-49.30072773482902,-3.5092284689031596,78.05546883859688,A,-47.62804645995932,59.270697846786966,20.315091777653503,D,0
Other,Mental,Other,UK,90.25600118164307,C,-144.8428682764186,E,D,D,E,D,C,E,B,-7.908814590339581,-107.58950656156927,-65.2536060462104,E,-84.66045732158783,139.0018761275526,-101.40414230801886,E,1
Other,Yes,Hispanic,UK,-21.15894162300613,E,-49.482540994865026,E,A,B,C,D,A,B,D,82.79096980338177,-155.35487414667583,159.76916047948328,B,38.138654673110594,177.689593594172,-29.103823404168782,B,0
Other,Yes,African American,India,-5.379273139486967,D,-20.486754519340874,A,B,D,E,E,C,B,D,-104.8193333938344,-1.194570044263615,-13.858041830204149,D,78.13402511963157,-74.08693409833921,-166.59354336864843,E,0
Other,None,African American,Germany,199.07098409546435,C,-116.88501589323361,C,D,D,E,D,D,B,E,-15.875200980476611,0.4528820527064296,191.55484554196562,D,-10.917077426183681,-51.577391686055066,141.29596749569976,E,0
Homosexual,Mental,Hispanic,Other,-26.004591390616234,B,-14.548505207320419,A,C,D,B,E,B,B,B,108.91927831050587,155.458626713038,106.49549707006969,B,156.8588266715777,-75.91872534924514,7.200436458359477,D,1
Other,Mental,Asian,Germany,-43.91573646850142,C,-244.36782344886677,B,A,B,B,A,E,E,A,-83.42210724186502,127.63148589521754,-42.29253228116017,A,42.41246347291892,-164.88389712875,-0.256113081855943,B,1
Bisexual,None,Other,Mexico,-253.7224505133631,E,-149.20472205591858,E,D,A,B,C,A,E,B,-141.5161578296197,17.108337581105403,-44.16821064086871,E,9.11495456921254,20.68275490769643,86.20806729784259,C,1
