AgeGroup,married,nation,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,target
18-25,Married,China,Yes,-164.8939459567442,A,C,A,27.163332155543596,0
18-25,Divorced,China,No,134.04223478375383,D,A,D,57.24905621095826,0
36-50,Widowed,US,Veteran,58.22085941555587,B,A,C,109.24240985179023,1
18-25,Single,Germany,No,44.70840035512845,E,C,E,2.6242896951470183,0
51-65,Divorced,India,Veteran,-115.02491173014624,C,A,E,-25.249719536608854,1
65+,Married,Brazil,Yes,127.00243701140627,E,C,B,-41.246780663910904,1
51-65,Widowed,Other,Veteran,137.14772800245606,A,A,B,65.10901112955622,0
26-35,Married,India,No,-129.9835519779741,D,B,B,138.6214414796639,0
51-65,Single,Other,No,93.6475514763875,C,A,D,48.41774684648458,0
36-50,Single,UK,Veteran,13.149239644588878,A,E,C,-186.74870946308982,1
65+,Married,China,Yes,-18.327591516834122,B,A,A,69.41977305737802,1
51-65,Widowed,China,Yes,-28.91460811156431,B,B,B,137.4282153527112,1
51-65,Married,India,Veteran,-87.02821500011423,E,E,D,81.40087600687822,1
26-35,Divorced,Other,Non-Veteran,71.9095463531514,B,A,D,98.82397665785038,0
51-65,Single,UK,Non-Veteran,49.74740127239783,D,E,E,62.56086517418089,1
65+,Widowed,Germany,Non-Veteran,96.66125265008935,A,B,C,-45.48578877584095,1
26-35,Single,Other,No,-34.630723206288884,C,A,B,32.99271381197151,0
18-25,Single,Brazil,No,89.7124480178477,B,E,C,-274.9655334518069,1
26-35,Widowed,UK,Non-Veteran,113.14653528969667,E,A,E,188.05762383478063,0
26-35,Divorced,Germany,No,-186.19014629554536,A,B,E,174.92452903352523,1
26-35,Divorced,Brazil,Non-Veteran,169.2273137875634,D,E,E,-93.85343004757911,0
36-50,Divorced,India,Veteran,-14.496512374410022,D,D,A,-13.735308764959397,1
36-50,Single,US,Veteran,28.184302467662125,B,B,E,33.354855039207365,1
36-50,Married,India,No,88.27182398447879,B,A,E,-64.06822117063118,0
36-50,Single,Germany,No,25.356995468511034,A,E,A,224.00241229358934,1
51-65,Married,Other,Non-Veteran,20.2450371173553,B,D,A,172.80603699212486,0
51-65,Married,US,No,-63.66641106295096,B,C,B,-218.27388663523854,1
51-65,Divorced,Germany,Veteran,65.53812252941755,D,C,B,-25.94438207515999,1
51-65,Single,Germany,Veteran,-202.08497923704547,D,C,A,28.923381776505803,0
51-65,Single,Brazil,Non-Veteran,177.23726289730578,C,A,B,96.18847342083725,1
26-35,Widowed,US,Yes,-39.042063972364296,C,D,E,-86.94713095782821,0
36-50,Married,China,Veteran,-92.513707632851,D,A,A,-30.992922913593222,1
65+,Married,China,Veteran,-28.12112302138769,A,A,C,-31.908397353464796,0
18-25,Single,India,Yes,-18.309600798251896,D,E,D,-129.73128770466312,1
65+,Divorced,China,Yes,-96.14254775990047,A,B,C,160.8202829962122,0
51-65,Single,India,No,0.9583499529709507,A,B,A,64.9910566566174,1
18-25,Single,China,Veteran,58.45305648788192,C,C,B,-61.73184997632492,0
51-65,Married,Other,Yes,-12.590984649590267,D,E,B,56.790625289034125,1
51-65,Divorced,Germany,No,37.69582457896147,D,E,C,-19.56962088384399,0
26-35,Single,China,Yes,131.75525631861268,D,C,B,70.04877201665289,1
65+,Divorced,China,Yes,69.22647706231642,A,D,B,-23.40112029725346,1
65+,Single,Germany,Yes,41.16473907786453,C,D,B,-84.83414795425979,0
36-50,Married,Brazil,No,-79.7961942171879,B,D,B,-2.2129146957674624,0
26-35,Single,UK,Non-Veteran,169.29327161344142,A,B,C,-162.17150921095504,1
65+,Single,Mexico,Yes,-22.233680456436275,E,D,D,-114.67337863468568,0
36-50,Single,US,Yes,89.17487310443299,E,E,A,76.51430707821167,0
36-50,Widowed,Mexico,Non-Veteran,22.939296583352185,D,D,D,13.344392042515086,1
26-35,Widowed,US,Non-Veteran,-22.151765153304186,D,E,A,-67.86912959684996,1
18-25,Single,Germany,No,107.85729507358432,C,B,C,-101.4531016607464,0
36-50,Single,Mexico,Yes,186.48049702182442,A,C,D,7.10374692471555,1
36-50,Married,Other,Non-Veteran,182.10940546219106,B,E,B,-132.41652570773087,1
51-65,Single,India,No,133.80108390292125,B,A,B,-138.51382121207635,1
36-50,Divorced,UK,Non-Veteran,88.03146615830659,A,D,D,-25.937123314165394,1
36-50,Divorced,Other,Yes,86.56969905197937,B,A,D,181.6530210277928,1
36-50,Divorced,Other,Veteran,-39.962025508247734,B,B,E,-123.2258651699708,0
51-65,Single,Brazil,Non-Veteran,104.75583303051195,C,E,C,-65.41022900171954,0
36-50,Married,Mexico,Yes,-85.52753149180919,B,D,E,-16.295670917211442,0
51-65,Divorced,US,Veteran,-103.3094768069129,D,C,B,115.80758119009519,1
65+,Single,Other,Yes,20.277086738088336,A,B,C,24.83208576280821,0
26-35,Divorced,India,No,-101.7266423374604,E,C,B,-101.09300611552841,1
65+,Single,India,No,-40.36120706254593,E,D,D,-11.330317951063156,0
26-35,Single,US,Veteran,209.0798650536469,B,D,C,50.54932648923409,0
65+,Divorced,US,Yes,28.05046041924356,E,D,A,74.00691171260327,0
36-50,Divorced,China,No,-75.84356010325357,E,E,D,-224.04627200601897,1
18-25,Married,China,No,-80.12416782744818,E,C,A,22.94116002922888,1
36-50,Divorced,UK,Veteran,44.15461175597195,A,D,D,-42.05406885966488,0
51-65,Married,US,No,71.47120721264149,C,A,B,-41.74127682253142,0
26-35,Divorced,Brazil,Non-Veteran,175.07964545019513,B,D,D,191.13610040649172,0
26-35,Single,China,No,123.23118514084686,D,A,C,79.58214924342327,0
51-65,Divorced,China,No,-5.927229009400011,C,A,E,-59.2600661346263,0
26-35,Single,China,No,-124.44539678598461,E,E,C,-40.60494309180192,0
51-65,Single,Other,Yes,237.37166712846798,D,B,C,-15.664099415469826,0
26-35,Single,Mexico,Yes,-17.229230521478577,D,C,B,1.7372655770788101,1
18-25,Widowed,US,Yes,-111.48793405558311,D,B,E,-35.46891066060206,0
18-25,Divorced,Mexico,Yes,-73.06461911879478,D,E,C,20.43717324238856,0
51-65,Single,Mexico,Veteran,-31.628839622713752,E,A,B,19.7941300020461,0
65+,Widowed,Brazil,Yes,-120.5762895171913,C,E,C,-57.33063504486894,1
51-65,Married,Germany,Veteran,-232.41021802815172,B,B,E,15.61822092179242,1
51-65,Widowed,US,Yes,76.9637233048668,C,C,E,155.7732538868955,1
51-65,Divorced,India,Veteran,-137.58677966898452,D,D,E,-48.543578370804944,1
65+,Widowed,Germany,No,117.94954844295076,D,A,D,9.939739874305564,1
26-35,Married,US,No,-2.7952501918923915,C,A,D,176.7606714642878,0
18-25,Widowed,Mexico,No,114.19106105670154,C,D,B,-225.5180776100391,0
51-65,Single,UK,Non-Veteran,-25.711442145315633,B,B,E,-88.80718368867934,1
26-35,Widowed,Mexico,Non-Veteran,71.10366441320254,C,E,A,-140.6422249381805,1
51-65,Divorced,Brazil,Veteran,-205.31976983594095,D,D,A,-54.43650162297189,1
65+,Married,UK,Non-Veteran,28.38809851660522,C,E,D,-20.98210852490042,1
65+,Widowed,India,Yes,-37.168927922656486,A,D,C,-59.31614910085226,0
36-50,Single,Other,Veteran,-54.04324943515294,B,D,C,-130.37204739219496,0
26-35,Widowed,US,Veteran,53.29262126322279,E,D,B,-212.83121019803482,0
18-25,Single,Brazil,Yes,-99.46586845892172,D,E,A,15.929503459039813,1
36-50,Married,Germany,Yes,-137.85210696438523,C,D,B,-22.88311856426584,0
26-35,Divorced,Brazil,Non-Veteran,-102.59637705305309,D,A,D,110.89820824272843,1
65+,Divorced,India,No,-86.987928258262,E,E,D,-114.26396665935252,1
51-65,Widowed,China,Yes,19.38172122639226,B,A,A,14.431165460657681,0
51-65,Single,UK,Non-Veteran,-88.53050545854792,C,E,D,105.58897138048324,1
18-25,Married,Germany,Yes,-88.97891871934335,A,A,D,24.173836648047324,0
65+,Widowed,Other,Non-Veteran,6.1459159775719145,C,E,B,-108.82585275139797,1
51-65,Married,India,Veteran,-9.340564350008068,D,E,E,83.82571259537349,0
36-50,Divorced,Germany,Yes,-89.84252846464904,E,D,A,139.65174706539216,1
65+,Single,US,No,-56.683893661650465,E,E,D,16.82999149854492,1
51-65,Married,China,Veteran,-86.79044660772585,E,D,D,6.8489147454633565,1
36-50,Married,Mexico,No,20.61880233813046,E,B,B,-146.49118435449662,0
18-25,Divorced,UK,Veteran,-98.5114089023982,B,B,A,-128.26721186883677,1
26-35,Married,UK,No,-17.90142784881918,E,B,B,74.67260540387186,0
65+,Widowed,India,Non-Veteran,-102.98798236616244,C,A,A,-23.33000266746105,1
65+,Divorced,Mexico,Veteran,-257.51768842949883,B,D,E,20.10279678178419,1
51-65,Single,Brazil,Veteran,-185.45793300794128,C,B,A,36.746873925694096,1
65+,Married,US,No,86.9706790154579,B,D,A,11.645724886555785,0
65+,Married,UK,No,-126.52824705379977,D,A,E,-170.61193050039174,0
36-50,Divorced,US,Yes,58.37836006478504,D,B,E,105.04400718269954,1
36-50,Married,Germany,No,83.35763819606838,E,C,B,6.735400061091062,1
26-35,Single,China,No,-76.81453506636458,B,A,C,-17.853703252106364,1
65+,Widowed,Mexico,Non-Veteran,-100.15148003847838,B,B,D,-52.56833704384564,0
36-50,Married,Other,Yes,62.906356032798186,C,A,C,120.40228002971895,0
51-65,Single,Mexico,Yes,31.812862179455305,B,D,A,21.64957494604137,1
36-50,Married,US,Veteran,-124.97788691798878,A,C,D,-90.89341715006931,0
51-65,Married,India,Veteran,63.770873943692386,A,B,B,-16.470020603479117,0
18-25,Married,Germany,No,27.21251094001007,D,D,C,20.272072600826192,0
36-50,Married,China,Non-Veteran,-123.05873330157779,D,C,D,-103.47015066974652,0
51-65,Married,Mexico,Yes,-276.86234279156514,A,A,A,16.738723570015235,0
51-65,Divorced,Other,Yes,-20.76132859366262,D,B,D,-4.430003987858016,0
36-50,Widowed,UK,Veteran,-10.923574390566923,C,B,A,67.40341623950317,0
26-35,Single,Mexico,Non-Veteran,61.910248665542355,B,B,C,-127.02176231507055,1
65+,Married,Germany,Yes,150.65728437005194,A,B,C,-35.343440377664535,1
18-25,Single,India,Non-Veteran,-54.9087657039267,B,A,C,-82.6460951330522,1
18-25,Divorced,UK,No,-37.32102660879593,B,C,A,-31.13919843097534,0
36-50,Married,Brazil,Yes,53.69440533222758,A,D,C,36.02462525380191,0
36-50,Married,Brazil,Non-Veteran,-104.7988155559494,D,C,B,100.84335421220132,1
65+,Married,Other,No,24.319706168589065,E,A,A,75.78028240679417,0
26-35,Married,China,No,114.96472263289346,A,C,A,25.36889926886546,1
36-50,Single,Mexico,Yes,55.08407833141346,E,C,E,65.66973565617454,1
