civil_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
Single,-198.87721048181862,-33.08364794354675,E,25.94823967730631,177.33356558057716,B,C,D,0
Widowed,-71.14281667149548,65.44711794237129,C,-109.64819229944021,-17.573868599440388,D,E,C,1
Divorced,-84.21831377624233,-33.65223493205848,B,87.05050596635503,-85.74888186107145,D,A,D,0
Divorced,87.69588307209233,110.28458182728387,E,17.63628073998515,-15.512699585096234,C,A,D,1
Divorced,-30.246113345308075,86.46106772571557,D,103.33796971103591,106.76062637428905,B,A,B,1
Married,74.82622297802813,-3.113085575178147,C,-85.90428087071756,7.144874491871617,D,A,A,0
Widowed,113.52222325281971,-2.4881746637006485,D,-60.12979952337668,-54.25546806021097,B,A,C,0
Single,-182.3586474111273,46.51622535597602,D,71.81988331062948,92.12926043772403,B,C,D,1
Single,-109.44096444609048,-115.38535237899832,D,-182.4607798462481,-25.517240015913522,A,C,B,1
Divorced,-27.724614020338095,180.44661439723896,D,-42.264789196896416,-104.51464886208007,D,B,A,1
Married,-229.165097399963,76.73778883574506,A,-15.49029740677067,25.454920190278756,A,B,C,1
Single,-18.70163406483729,88.6727961822739,E,29.975546155030962,-101.94127456818501,D,C,D,0
Married,-69.6733158888353,-46.202893720822665,E,-74.1794592191392,24.86598646484549,C,E,E,0
Divorced,91.77450353182714,15.404904890266394,B,16.77356129666596,64.72154594560722,E,B,A,1
Widowed,3.538697713420797,-130.3063849064634,E,-133.97403086742545,62.4890358261593,A,C,C,1
Divorced,-23.75930545141656,-81.9433689933341,B,-125.13566476809754,-73.0237410453224,B,B,B,0
Divorced,75.52659485621065,35.980765895021996,A,-278.9162914172326,-14.171246199772966,B,A,B,0
Married,-140.29890285942017,-88.02833961028104,A,-15.227328173342391,-135.09435060263414,B,D,E,0
Divorced,4.148406413975141,-71.15898205155246,B,66.54900486264333,-128.55499590514628,B,C,B,0
Single,-176.1921708548798,-36.89357205401833,A,-268.548728224368,-158.84834836133896,D,C,C,0
Married,21.45229743621409,-17.97187545886399,E,-20.48278404628872,-8.407462173569751,C,A,E,0
Single,-150.15743707227344,-84.58481740288829,A,128.42859221526928,-17.319501240576287,E,C,E,0
Divorced,22.710396184220112,-107.43188810741087,A,57.60323357507405,54.99388803007732,C,B,A,1
Married,182.9957461800256,40.72338990071596,A,126.62851137124773,66.59928482155595,C,E,C,0
Divorced,24.333027433653125,-11.435700538167477,B,87.0353001167268,90.01193204536125,A,C,E,1
Widowed,-79.5085828180638,-126.50249274183484,D,102.27869035527462,-216.74537151953754,E,C,A,1
Widowed,106.95868789439547,58.5765371777005,A,43.09473675163403,7.620615859367673,A,A,E,0
Divorced,25.993183108657913,-41.75863425954221,E,-116.02622357627403,56.599969168742895,A,B,C,1
Single,-71.95141318968219,82.90075477739094,A,102.00440860272724,-63.594476880205164,B,B,C,0
Single,-39.79848158879488,29.708350579161756,C,81.98288157645892,21.803717069768595,C,B,D,1
Divorced,-37.97358870961087,85.97399725286327,C,78.11201543236041,87.49153605087896,E,E,C,1
Single,-54.300866995488626,32.378151755060955,C,40.60067510524214,14.851371679125677,C,B,E,0
Married,158.50701447569412,145.16311341164726,A,-6.325986015618428,-96.77104429941396,B,B,B,0
Divorced,45.29693528098312,113.69760586363806,D,-127.9870760429408,29.944036045524612,D,E,C,1
Divorced,45.42609183020316,-132.37559521473128,A,-98.67077868670933,-63.37960002480394,D,B,A,0
Widowed,48.37517924690287,99.96944762477436,B,-31.267728500506596,107.58054961050998,A,D,B,1
Widowed,15.088027359145059,-73.97990294141592,A,134.99591076585455,-12.964800389117013,D,E,D,1
Married,63.34266009835533,0.1241595387644279,C,9.069614115953613,-15.05565846883821,A,C,B,1
Divorced,-1.499680007838052,-168.55209998107412,A,-70.59410935067044,-60.440167100007194,B,E,D,1
Single,-4.499932582540431,37.1877436791947,A,98.18484107847485,-9.260868348947698,C,D,E,1
Widowed,67.52259112134702,-68.63016595619953,C,58.49803100805159,58.73131329232483,B,A,C,0
Divorced,57.569614066975014,-207.71199428343522,A,-71.69544148012773,83.45131543564001,C,B,A,1
Single,-225.7837133388353,113.38432258293471,A,-31.726922512135275,-7.730450499620489,E,D,C,0
Divorced,96.82452706257766,39.61127163234076,E,-19.623897864101522,-61.38760376234087,A,C,A,0
Single,-71.754557676975,-190.7785697852758,C,53.254795536711605,-20.492422191728345,D,C,E,0
Divorced,170.70903642554399,146.71589298499038,D,163.71384190330568,-32.27761776749723,D,D,D,0
Widowed,-84.14576675421695,150.8940219896081,B,-94.2866859108458,54.817237863596176,B,D,C,1
Single,-101.35043117653622,-77.27191011875306,A,117.29235701923857,149.00206015573073,A,D,B,0
Married,75.99184220772891,-93.28152325261301,B,-33.916717105582876,-42.787782874282186,A,B,E,0
Divorced,96.65005385832423,6.392609838729486,B,-86.88876117959843,-61.339549290037255,E,E,D,0
Divorced,-269.9096670300622,-6.726677939066716,B,6.59777456321559,-61.84183117671359,E,C,C,0
Divorced,-25.76788979218611,13.45720857749507,B,85.47745938268947,166.73783042289216,A,C,D,1
Divorced,131.70279131426497,1.79630776617049,B,11.524281928802356,118.37128025737861,E,C,D,1
Widowed,55.1471048597421,-72.37101690189914,D,108.77566273315091,-1.4167101596828275,B,A,E,1
Single,166.14418578434865,-34.49313378049257,C,-0.01009610306763914,133.64051723301696,D,C,D,0
Widowed,114.83913339984824,40.25471555799409,C,67.84699059575323,33.61773552889783,A,D,B,0
Divorced,13.203489303094965,12.932468865118071,D,-35.152832094185996,58.80921757200718,E,A,C,1
Single,-82.94987877648833,8.607200470497098,C,23.28300589901339,68.82719902807388,A,A,A,0
Married,57.73278851421295,157.08290053966854,C,-75.6597018465504,85.5426392970274,A,E,A,1
Divorced,-47.5946318318735,-34.24619756711322,B,-63.68712964477111,-31.018971856310802,E,B,E,0
Divorced,-9.565596590202567,-77.1690871345704,C,15.724710168486734,49.45686522107079,D,E,C,1
Married,214.9843964515199,121.95979487166105,B,-50.629026104613594,-126.12584632714747,D,E,C,0
Married,75.8438799724889,27.021887118044614,A,-20.617727584766513,32.65881967671362,A,E,A,1
Divorced,-83.13351267815034,4.137470256357358,E,72.54522422010331,20.040553878243582,C,C,E,1
Divorced,-35.203839716968275,-0.0865337274486148,D,71.3427487766179,-224.21718047722706,D,E,C,1
Married,-83.76007193328857,127.0822282473247,C,110.95899693378422,58.61940760873827,B,D,B,0
Married,-146.76752556773675,-99.47430076054256,A,-168.91345758209883,3.300367413725141,A,B,E,0
Widowed,152.91512293325187,-35.2859350272782,A,14.074264566789257,33.69819296622222,E,B,C,0
Single,-59.48081890644521,17.831269336730642,E,42.341733342582344,43.61471575479854,B,B,B,0
Single,-172.62715111986014,-94.16939442620014,C,-119.16206268901782,9.387623646788775,E,A,E,0
Married,-45.91892933518311,84.06001862675882,B,-152.24639938434885,-56.66882697387988,E,D,A,0
Divorced,10.98343361231981,79.61000006648536,A,-47.9761259569172,-101.56442545329618,E,E,A,0
Married,-58.10690739201097,-59.52651244594189,B,22.83099267971912,94.23867529328139,C,A,C,0
Single,28.086650936654735,-63.736492387761466,B,-59.91047333043992,-52.81081945613879,A,C,D,0
Single,11.325794541225195,-65.5095920845968,C,-49.78315011735191,-122.90412595539755,D,E,E,1
Divorced,-208.59170465202635,109.27306422448362,A,123.53316613218817,99.6111868376327,E,B,E,1
Widowed,7.950835414343406,-26.445635362601145,C,110.31081832055456,114.85693010084314,E,E,D,0
Widowed,11.109391014746736,-9.667169241837419,C,65.98793776854106,-19.86599354562322,C,A,E,1
Married,-15.85649649817045,-45.654476886498806,D,-43.16984636390697,9.31993068378156,B,C,C,1
Married,4.156077227156515,-2.0001836733590723,E,102.42579530552935,45.75021606489692,B,B,C,0
Married,-6.923393201155198,27.59040693228686,C,-72.92690305024236,-18.514890648350406,C,B,D,0
Widowed,-43.55622839462643,-44.88415630692635,E,30.06986665556195,162.81889645299998,A,B,C,0
Widowed,27.93263329807577,4.382329995194218,E,-118.51282854790517,-180.31558413524195,A,B,D,1
Divorced,-194.40074900760905,-111.29297037004588,A,31.245297259311183,-103.2959217352162,D,B,C,0
Single,-85.87138560689883,53.02338140241948,B,16.229622848668914,-86.01682604996476,C,D,A,1
Married,-87.45733784053252,-32.952988647321725,A,-17.965279086241758,-151.12017406443897,C,D,E,0
Single,-27.417536796312614,95.63043989655145,A,35.19106080924171,-84.16923755600624,D,B,C,0
Single,-79.95643807822327,-85.16982460435858,C,-94.45931749776015,-161.74348734746405,D,E,B,1
Married,-63.23892467924623,47.08941794663912,A,237.05962337309901,152.45043334148687,A,C,E,1
Widowed,-0.24595832003739515,-13.28971479672629,E,24.58663680898423,108.50896221550535,D,B,C,1
Single,-21.16543806492632,11.180577444804214,B,-385.7182917819495,56.91081152592854,C,A,B,1
Widowed,-119.83555280171416,37.59648941065678,A,-93.2408435360587,-18.220854188000814,A,A,C,1
Married,38.280943974002376,33.66867768955535,D,106.46493516086319,71.68878396112424,D,A,A,0
Single,-16.45677094138795,-90.90774827512521,A,-15.35578393175603,52.19122937855363,B,C,E,0
Divorced,-79.23681089713686,7.959141109476947,A,-120.0939250662169,179.30565668891424,D,A,A,1
Divorced,-162.11543758215618,80.30801662309965,B,-19.973854949914312,-1.2642755048992738,B,D,A,0
Widowed,7.212878783478449,-164.11886470673886,E,-51.290872156277736,-214.56918529991196,A,D,D,1
Married,-21.641129640655603,-34.388990826546426,C,23.32872007078612,-8.162617752072043,C,B,D,1
Married,-27.78851987783952,55.98799623816143,E,-51.358910019852935,-8.236987732442717,A,A,A,0
Widowed,-20.01625765076177,42.18168970779704,C,-41.676032316708806,92.85173847840447,C,A,C,0
Single,74.69570949529249,19.748558598793025,A,-74.04021499120256,-88.6270737926452,D,E,B,1
Married,-28.65195379690819,-119.75008859058316,C,47.31524058323538,-170.9396916123853,C,D,E,1
Divorced,-78.293364962255,11.573854454321902,C,-129.0225978372519,-73.797943812894,B,D,B,1
Widowed,167.6305148402849,-18.693769834049473,A,-45.94745402163326,34.89661047324942,B,D,D,0
Married,-182.79397640506988,-76.11074967122633,A,23.538536457466243,30.907406172124972,B,D,A,0
Widowed,-0.2091523287829125,-27.160603374920395,E,-30.84878882607195,-139.3037555347095,E,D,E,0
Widowed,-205.70911272743894,-4.471298339130033,C,27.13151169706193,17.21438927905008,E,A,C,0
Divorced,-64.08535778672059,-41.358857831321224,E,1.9586563520301197,49.35320937590529,B,D,D,0
Single,-118.22455195789195,-40.30167948475311,E,110.56144049383671,-113.11069215184737,E,D,C,1
Single,-0.5625892942401362,-47.57045525648909,D,-30.04506939145929,-71.24454961839015,D,C,B,1
Married,115.51832176358457,-124.85922222157015,D,77.97861673023041,-87.548428198537,C,C,A,1
Single,225.16734598804285,-3.588651388740348,A,-117.93461869904695,-265.8954797484569,A,B,B,0
Single,61.953729149554015,-99.14828656609133,D,-83.88918855941087,95.99525023817303,A,C,A,0
Widowed,-89.69998509723382,127.6318985589128,A,122.10450494895193,151.24027478019187,C,D,B,0
Widowed,-51.11026146996973,106.57482817052555,B,-21.20703318206232,-92.80921614452603,D,C,B,0
Divorced,-144.06185072332397,-199.6336535277693,A,-124.4325180749963,-126.92368557698825,B,D,D,1
Widowed,180.96945305538378,27.63391101461396,B,-21.9183986123506,-97.23735387177304,C,A,A,0
Single,-59.81731627671104,-45.94291046469209,C,149.68379683078768,-36.25131310218902,A,A,D,1
Widowed,-43.83792622823549,71.3365303146657,C,-125.32306807099165,97.55421795552189,D,C,C,1
Single,-13.445932482773612,105.73425698482528,B,-78.91467382688634,34.228260655899625,E,C,D,0
Married,123.73558327531586,91.30932267612287,C,76.77036228678827,-69.39661548617123,A,C,E,1
Single,92.23314577778646,0.3749144350259681,B,-161.03871338273342,166.36021294843414,B,A,E,1
Divorced,-107.2606042063349,-74.473354946954,D,51.1010693579262,64.52780877122994,B,C,A,0
