Gender,religious_affiliation,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,Christian,Widowed,C,B,11.788672619628263,B,D,1
F,Buddhist,Widowed,B,D,173.7360420653537,C,C,0
Male,None,Widowed,A,D,-125.17918340378063,C,B,0
F,Muslim,Single,C,B,124.3949251483976,A,C,0
Other,Jewish,Widowed,A,E,-165.67318606652125,E,E,1
M,Christian,Single,D,C,75.37686798646416,A,D,1
Female,Muslim,Married,A,D,19.445585868738885,A,A,0
Non-binary,Muslim,Divorced,E,A,-60.48425587978343,E,B,0
Male,Hindu,Married,B,D,-205.06919267801874,B,C,0
Female,Other,Married,B,C,1.7552661505899685,E,A,0
M,Jewish,Single,B,B,-58.753854007494745,B,B,0
Female,Muslim,Married,C,C,45.74751718376914,B,E,0
Male,Hindu,Married,C,C,68.45305089963631,B,B,1
Non-binary,Other,Widowed,B,D,39.804574418821495,B,A,0
F,None,Single,B,C,58.45119723943634,E,B,0
Non-binary,Muslim,Divorced,B,E,32.61665032730063,E,C,0
Male,Jewish,Single,E,C,79.77324621672437,E,D,1
Other,Hindu,Widowed,B,E,-32.94981692087389,A,E,1
F,Muslim,Single,C,D,177.98649578707563,A,A,0
Other,Christian,Single,D,C,-54.760562038015,C,A,1
Other,Christian,Married,A,A,31.59119420066423,E,A,0
M,None,Married,D,A,80.97484636908517,D,E,0
Non-binary,Christian,Divorced,A,D,24.956695029566625,D,E,0
Non-binary,Christian,Divorced,D,B,-27.483057039414486,C,C,0
Non-binary,None,Single,C,E,172.7575043020558,D,E,0
Non-binary,Jewish,Married,A,B,60.11234613438627,C,E,1
F,Jewish,Single,B,B,-40.054653795860936,C,B,1
Other,Hindu,Widowed,A,E,2.754340850191212,B,B,1
F,Jewish,Single,A,A,-136.92089344360673,A,D,0
Male,Jewish,Divorced,E,B,-103.35227649603841,A,D,1
M,Buddhist,Divorced,A,B,-67.90869399527996,D,E,0
Non-binary,Hindu,Married,B,A,19.580939429662955,E,D,0
M,Jewish,Married,C,B,65.57241081887946,E,E,0
Female,None,Single,A,B,88.40431146466834,B,A,0
Female,Other,Divorced,D,A,7.047036271400628,A,B,0
Other,Jewish,Single,E,A,141.8056843793112,D,B,0
F,Muslim,Divorced,B,D,100.04603606082551,B,B,0
Other,Christian,Single,D,B,97.58998139500798,C,D,1
Female,Jewish,Single,E,B,86.95925868397637,A,A,0
Female,Jewish,Single,B,E,-37.39827708538533,D,B,1
M,Other,Married,E,A,1.6233823868041664,A,C,0
Non-binary,Other,Divorced,C,E,85.34927930915053,D,A,0
M,Christian,Widowed,E,C,-74.99115531206286,C,E,0
Other,Other,Divorced,E,A,56.89986718241302,D,B,1
Other,None,Married,C,B,237.66727772004435,C,B,1
Male,Jewish,Single,D,A,-65.77819897648224,A,D,1
Male,Hindu,Married,C,E,-89.59840943418004,C,A,0
Other,None,Divorced,A,A,-134.854178797105,C,E,0
Non-binary,Christian,Widowed,B,E,-70.40810957435454,C,A,1
Non-binary,Buddhist,Widowed,A,E,-19.585433009253524,D,B,1
Male,Jewish,Married,E,B,-78.94619506425836,B,A,0
Other,Jewish,Widowed,D,C,49.394165525191916,A,D,0
M,Muslim,Married,D,E,22.30059892804124,C,C,1
Female,Christian,Single,B,B,46.68353844759842,D,E,0
Other,Other,Divorced,A,E,-119.11810492003325,B,B,1
Other,Christian,Widowed,E,D,24.07698328172052,E,D,1
Other,Hindu,Widowed,E,D,181.31434871454528,B,C,0
M,Christian,Divorced,E,D,-58.980485636460756,D,C,1
Other,Other,Married,A,C,-314.288701161743,D,B,1
Non-binary,Muslim,Widowed,A,B,205.8603104044945,C,D,0
Other,Hindu,Single,B,D,191.39223431133797,A,B,0
Female,Hindu,Married,E,D,157.16688739765664,C,B,1
F,Jewish,Divorced,B,A,98.7450614245186,B,A,1
Female,Muslim,Married,A,D,-104.91422040182347,C,B,1
F,Muslim,Married,C,A,13.920182300763331,D,C,1
Female,None,Widowed,A,E,-31.872142461058655,C,A,0
Non-binary,Other,Married,D,A,-98.4353601840714,B,E,0
M,None,Divorced,B,C,-144.1028002141441,A,E,1
F,Muslim,Married,A,A,145.69733191985887,B,B,0
M,Muslim,Married,D,A,-3.6837605842883834,A,E,0
Male,Jewish,Single,B,B,-69.77572465120849,E,B,0
Non-binary,Other,Divorced,C,B,115.23056628709654,C,A,1
Other,Buddhist,Married,A,D,128.2966114292422,C,E,0
Other,Buddhist,Widowed,B,A,-4.1943029369457925,B,A,1
Male,Christian,Divorced,E,E,63.9773179181198,B,B,0
Non-binary,Buddhist,Married,C,E,-116.17173267735868,A,E,1
Other,Buddhist,Married,A,E,-92.23930416654666,D,C,0
Female,Jewish,Widowed,B,E,114.71280778967319,C,A,0
Female,Muslim,Single,C,D,-53.26371936284598,E,D,1
M,Hindu,Divorced,B,E,55.15429686973149,A,D,1
F,Christian,Divorced,E,D,74.73803629958296,D,E,1
Other,Buddhist,Single,E,B,-15.582246251543546,C,D,0
Male,Christian,Divorced,E,E,-37.694987124915905,D,A,0
Female,Buddhist,Widowed,A,C,-19.557676436962797,A,C,0
Other,Jewish,Single,C,E,35.02518270643346,E,B,1
Other,Other,Divorced,B,D,-57.280345864566094,B,D,0
Male,Buddhist,Divorced,E,C,11.253115290341922,D,C,0
M,Hindu,Single,B,C,-35.05469015058312,A,D,0
M,None,Single,B,D,207.16531652698453,B,E,1
M,Christian,Married,A,E,-30.65291753123271,D,E,0
F,Other,Widowed,E,E,-23.94669735148361,D,C,0
F,Christian,Widowed,E,D,-47.54558432680818,E,D,1
Male,Muslim,Widowed,E,B,181.2774746540326,B,B,1
Female,Jewish,Widowed,A,A,120.37554464204729,E,D,0
Male,None,Widowed,C,A,36.20946757540516,D,A,0
Male,Jewish,Married,B,C,-7.790369639291529,A,B,0
M,Muslim,Single,E,C,-54.36096161898432,D,C,1
Other,None,Widowed,A,B,131.6423631520995,E,A,1
Female,Muslim,Divorced,B,D,9.38564981757852,A,D,1
Non-binary,Other,Widowed,B,E,35.91323102288245,A,D,1
M,Muslim,Divorced,C,B,0.8552244779638436,A,B,0
Male,Buddhist,Single,D,A,37.263351518078,B,B,1
