age_range,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
51-65,C,-122.55590151099551,33.74825473157038,100.4443663379861,153.345982919489,81.78779427728932,A,A,-51.81819519066478,E,E,B,D,A,1
51-65,C,-46.97151293049636,28.41784899382185,54.108926425132665,92.5277011380124,94.95010697284263,E,A,-130.6669565425013,C,C,B,C,B,1
51-65,A,69.56417584739252,-96.37896898592156,233.84360562562594,-108.2687432063156,-63.7275880950336,B,E,24.087503244060127,E,D,C,E,A,0
65+,E,25.250266982501273,-249.11717316826568,27.019463393142797,-202.9869134569475,106.8914637805546,C,B,-127.92145471277503,D,A,D,B,C,0
65+,D,115.9091460592933,1.490963335806122,93.43403832510737,-47.61747599199821,-125.94584239989668,D,C,-146.72458999911353,A,C,E,A,A,0
18-25,A,156.84130200499143,153.3238276347481,50.01742798697282,38.08127922062509,64.88057602375879,C,B,94.81820033280988,A,A,D,A,D,1
51-65,B,-12.146233655300854,178.40122686535673,-127.5949429970914,-56.12231789569589,118.55176023151056,A,A,62.5592961834506,B,E,C,E,A,0
36-50,B,43.71946002701127,-30.58256975532358,-62.915007953667576,63.21912181219452,-35.30180385759583,B,A,-54.470237259356566,B,D,B,B,E,1
18-25,D,-30.776782134627247,-183.53932503556013,325.03953881379357,20.98660876310143,160.71639303901463,E,D,210.98434890399838,C,A,B,E,E,1
65+,A,-47.32119682200215,-3.45321515343716,213.26638678899522,207.58429401346783,147.80661342553083,B,D,-35.64141281877757,A,B,E,D,E,1
18-25,B,-68.70994401240654,-16.224529860866248,17.713202527184748,71.94546789847114,98.28260771909011,B,C,27.872970883722527,C,E,E,E,D,0
36-50,D,44.031992555049015,-21.93738756081249,-40.89844795748834,-46.26729663955994,17.534350476534133,B,D,-106.47114749957973,D,B,C,D,C,1
18-25,A,72.19913815934892,155.02605431403418,-18.964912712112223,-4.676101484308625,33.46370147736326,B,E,140.53091122811185,C,E,D,E,C,1
26-35,A,109.84348716980794,69.21695261895928,2.577404205787505,9.274675916127075,56.569930130184176,B,B,157.6016303287519,C,B,C,C,C,0
65+,B,167.85992155417725,-6.628963817859898,82.51309493342954,171.2636598467514,78.88156392639105,D,A,47.666925079495456,E,D,D,A,A,1
36-50,D,-51.91543491812971,-90.7552581646941,-137.52792392091098,-109.49637077824208,108.42905489367764,A,B,-29.13804270214795,B,A,B,E,E,1
18-25,D,-59.75003089738129,-41.50352141037878,2.0323016404564296,230.4328741279649,63.369369989195064,A,C,7.249149918125878,B,E,D,D,E,1
18-25,E,-35.52247349610552,2.6873470786215643,35.661621899234326,-82.12959322758425,18.752745182279444,E,A,48.348730727781025,C,D,D,A,D,0
18-25,E,92.13112731343968,100.40125509586746,-97.44523080382228,-4.97867503527383,136.38374604503142,A,D,-73.19847024544809,B,B,B,A,B,0
51-65,A,10.224316407448516,173.65600919469665,71.10617314088242,-68.71650679360913,-27.848899106870164,C,D,-145.02355032793676,A,D,B,B,B,0
18-25,B,-24.43307591209104,52.91016852875236,0.022365983116647697,-57.559125297565814,-69.92589929269722,D,B,78.39094206870453,B,A,D,A,D,1
26-35,A,64.32350928567745,-102.77577933512498,161.46285945253268,-9.52812712323986,-266.2204359528684,C,E,-67.83990895030892,D,A,C,B,C,0
36-50,E,114.82244758670039,0.7432456172170394,70.75127203055102,40.96415369432044,3.3432023747098554,C,E,116.58049347793222,C,A,A,A,B,0
26-35,B,257.2876157799238,-80.83095179207808,71.49870524238096,56.83022609039193,191.87205611113532,E,A,-8.502040816407384,E,E,D,A,B,0
51-65,E,-163.94803148835206,160.7564283508974,28.551397526392087,-18.922400432895614,-54.33074022245652,D,D,91.42160148685252,B,E,B,E,E,1
26-35,C,-54.74363367559848,-99.53340664970428,-7.09744811901341,115.50928149436066,0.755035850943016,E,E,69.34130785045086,A,B,C,E,C,1
26-35,A,-194.63156589865787,-116.80454135349723,60.0898218780358,25.25632317575412,90.8204287217476,E,D,115.7220505950919,B,C,B,B,B,0
18-25,D,-30.545610631894544,97.1862259758241,-148.00692008093122,-74.37751530189577,31.298661682862317,C,E,-64.52862546999609,D,A,B,C,D,0
26-35,C,46.73701552383556,75.77611684876892,-15.539219858196157,68.40235307922214,-76.85448123698792,D,A,35.44106226144108,E,D,D,B,C,0
65+,B,120.93810138561966,-40.62702832211328,249.651768864708,72.81564062031913,85.30853827789521,C,D,-36.657557488776504,E,A,A,E,C,0
36-50,B,-126.49761973161166,-197.74012503519359,203.8696420813458,37.904026135879526,112.1093553259461,B,A,173.59974047430674,C,D,C,C,E,0
36-50,C,245.06663736577252,-35.55945571326459,18.39458003333105,28.97048588814114,-144.5504486563189,D,C,-29.40437028345162,B,E,A,B,C,0
51-65,C,-30.478638325079004,-52.70404762551739,-55.30646950978696,73.53326175315269,38.94968219991666,D,C,-61.512915103625296,A,D,D,D,E,1
18-25,A,-25.58721345350981,-7.353481899503982,-91.99723040828349,-1.6226897324446057,-96.29360898167191,A,A,-58.42973577126222,E,C,A,A,A,1
65+,B,-43.41062803102114,12.237316011932503,83.52773783233744,-53.93515262545856,120.32595961175248,A,D,-50.16042440040588,D,D,E,C,E,1
65+,A,-227.9910031966339,90.00279373814097,-7.5914930574165735,-6.164861785255372,-81.24713782616323,D,B,168.58406127994488,D,C,D,E,C,1
51-65,A,139.52941142446497,132.54927918702478,-109.40116666222899,-63.29669377874458,-5.760380890482017,B,C,159.0375111912828,E,D,A,A,B,0
18-25,E,23.4933807417265,-77.80857223862465,20.369091613486013,13.805242666943803,34.14728663320061,A,C,25.016919646562336,E,E,D,D,E,0
51-65,D,-0.9485110941300428,166.22025780202114,-62.877284769267675,142.77264580330814,-7.811780082234188,C,C,67.06925997069982,A,B,A,A,C,1
36-50,D,-99.53196045477732,-98.95452764920584,-27.921361031364395,103.9951807606174,-23.549359013597446,B,A,-72.13844055988764,B,A,C,D,A,0
36-50,B,-47.43380535132389,-121.51559421227272,-111.52512743014344,-121.4831052303508,92.08695787935814,C,A,84.52805459192582,D,D,D,B,B,1
51-65,C,-148.2487570355243,57.88805473034825,5.919845273446131,68.88929316050032,100.50058815295382,A,B,-212.906135716827,C,C,A,E,C,0
26-35,E,-55.046590461252656,-27.086489038029615,28.281579643942944,40.26155195116764,81.28650066161136,E,A,98.40063242643912,A,B,C,B,A,0
26-35,D,87.85301145369947,-69.39740717299192,-17.271850076491894,27.115854767391834,-55.523793413747526,E,A,-44.640720765559614,A,D,E,E,C,0
36-50,B,38.11921817443713,7.292415084619765,-119.73605661688063,138.2455960842932,-30.21080596846344,C,A,52.19390098096718,A,E,D,A,D,0
