nation,RACE,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Brazil,Black,Both,-66.1949112976783,B,-67.82033555335177,C,B,A,-9.376458321977116,E,-48.40026336267344,-17.6440412674805,C,D,-2.3099770529840584,C,B,0
Other,Hispanic,None,-170.06606278360482,E,-60.03885435078482,D,E,C,34.18079116558891,A,22.659566525011403,69.13780533676906,C,B,-99.62020967786536,C,D,1
Other,Hispanic,Yes,-20.890372566389626,C,-29.178560310586978,B,B,E,-5.592273321651307,A,50.661038168170926,-50.1697954943131,A,E,99.09487969294467,B,D,0
UK,Asian,Physical,-191.59582706914333,B,78.46077688441136,E,C,A,-71.18087868813005,D,8.313767682251553,-7.3162588081044575,C,D,-156.2336731722894,D,B,1
Other,African American,Physical,56.796568532172486,B,-49.75328502719501,C,A,C,-78.0404997610361,A,1.7725354887191656,-46.79177349548688,E,E,-123.25761819427659,A,C,0
India,Asian,Physical,223.81131862523787,C,65.12267115625315,E,B,E,202.31652452391424,A,63.3487053009962,-17.04886709891277,E,A,5.202116968976147,D,C,1
Other,Other,None,32.27632334039209,E,18.17930419996611,E,C,A,-128.9959747942309,B,63.55754251135025,-174.9938027349273,A,B,-299.02285032664355,B,C,0
India,African American,Mental,-62.04211863748238,C,-42.7742916881352,A,D,B,108.27427506036705,A,188.53143300027602,-39.504685677781126,D,D,32.570941328793836,A,B,0
Germany,African American,Both,86.6823651003275,E,60.03302635457095,A,C,B,-30.908276040912792,B,-152.71056981479128,38.14106860659787,A,A,-121.0251138609622,E,C,0
UK,Hispanic,Both,21.413465356736687,E,39.75404269868722,B,A,D,30.053762004088032,D,24.425251987602174,-132.47485148470838,E,B,25.655008044191423,D,C,0
Mexico,Other,Both,153.9192193259852,D,-144.87907285967347,B,D,A,63.62924105505058,A,-7.009374100525337,40.099888668505166,A,C,163.62529699398175,A,B,1
Brazil,Hispanic,None,-134.5094437277279,B,-64.43711243240062,E,E,D,145.94821343472736,E,-92.41513337139274,-76.76929352638093,A,A,-25.405728773046516,B,D,0
UK,African American,Yes,-14.993920681026049,D,-106.80338409844478,B,B,E,-248.5883177481172,B,-117.35068218877967,56.55646708046277,B,D,-9.224546748895543,E,D,0
Other,Asian,None,135.78823235147016,A,-139.82663983091828,A,D,D,-110.53031683677995,D,-13.365157913334013,-104.30427891381761,B,D,178.69144439517868,E,D,0
US,Asian,Physical,-26.381958966386282,B,-70.10379708164417,A,E,D,-139.40647443693294,B,-67.76953729848115,-121.57244222984842,A,C,6.577976065987613,E,B,0
Brazil,African American,Physical,67.9315571825371,C,75.60296797474297,A,D,A,-49.9794712998394,A,107.75816424638658,-24.395358709887358,B,E,-64.1197313310454,A,D,0
Other,Black,Both,83.77087359709301,E,126.18697701081479,A,D,C,-35.333255156481655,A,-9.725347741722716,128.55138611760023,E,A,90.90278337134727,E,B,0
China,Hispanic,Both,107.47424336342652,E,-112.40660806702307,A,A,E,-254.9594777163284,B,-30.18867190891037,-136.11375767724263,C,C,35.658056069936535,A,B,1
India,Black,No,181.27235368319882,D,-147.23209612018417,A,E,C,-146.22100240571484,A,-126.10054958668518,-16.332933755015475,C,C,76.77433944693425,D,B,0
India,Other,None,-122.05503516712963,D,30.9660294338302,B,E,A,45.47571327520972,C,-57.08995842235963,-40.750219302596605,C,B,6.5205349248903754,E,E,0
US,Black,Yes,19.044898588249396,C,-194.08169710540253,B,D,C,-69.69536270107885,D,109.1867810604184,107.22236398404053,B,D,-23.254906342295435,D,D,1
Germany,Asian,Mental,130.62021508814266,D,-14.477244153436622,A,C,C,62.12657020950253,A,57.3984019390262,-52.41654242369472,C,E,105.4874331916752,A,C,1
Germany,Asian,None,-74.03401492296226,A,-65.88580799547884,A,A,B,-132.0035041937552,D,80.39675846637769,-44.46294695542484,B,D,54.7283984811568,B,D,1
Germany,Asian,None,110.07245531158611,D,-2.821435671054856,A,A,B,98.31394196747324,C,-183.3729387445169,-55.345204657025846,D,E,17.978794864247906,E,E,1
Brazil,Other,Physical,-131.29940914694197,E,-90.3800510724753,D,E,E,72.36209341313507,E,35.74275953098523,26.87038613012363,A,A,-231.7842282032701,A,B,0
US,Black,No,70.63824078590399,B,-13.725803564908759,B,C,E,198.9616338183662,E,23.018921937653896,42.74097544021001,C,C,42.107679862503,C,D,1
Brazil,Other,None,36.396586060355204,C,-15.998270927870031,D,A,A,-93.79676755288965,C,-188.17295552439947,-192.65561211723582,C,C,55.963148759922355,A,A,0
India,White,Both,44.533453370635655,E,270.71994583404455,A,B,E,-31.488897079572588,D,81.3508102916376,222.42010280408616,E,D,-39.41276440450637,D,A,0
US,African American,Mental,244.28331569804396,D,-40.94028879010421,E,B,E,-71.35097993725354,E,-48.3053839764984,74.0795593372393,C,C,-23.493682489686673,B,E,0
Mexico,African American,Both,-70.88324376251033,E,102.73620393009833,D,C,D,-73.0455055613335,E,22.34036194871499,-49.32611423455574,E,C,-125.13594084105755,B,B,0
UK,Black,Both,-124.17044769753134,C,22.212251201750995,E,B,A,132.05461420603598,C,117.60796121505717,-210.25540785522048,A,B,22.277634647552002,B,C,0
Brazil,Asian,No,-18.82879544844777,D,0.6887986591712131,A,A,C,288.39700087428906,B,19.504452912604545,-16.69523480185368,C,B,3.6121442538723043,C,E,0
Germany,Hispanic,Yes,30.38446774955124,B,-114.54010096200756,E,D,B,-128.71266200217954,C,112.1907171917109,-24.787082066679485,C,B,-107.1620669804247,D,E,1
India,African American,Yes,-27.259963958350987,B,-51.828580803566105,C,C,D,-98.43860913881038,C,-147.77308458380622,-70.31278511608593,D,B,-18.05702868738194,E,D,1
Germany,African American,None,-13.530903427856277,E,86.8289880955367,C,A,B,58.36731359788626,D,-8.329533438131143,34.63723384468304,E,D,-67.07743295025914,B,D,0
Mexico,Hispanic,No,10.05974696872808,B,289.20860153090996,A,E,D,1.3675770250029498,E,-14.134226192413083,-204.42097862866615,E,A,-153.45195610295391,B,B,1
US,Asian,Mental,63.426135287972926,C,0.5036529782061794,E,E,D,-84.00694342472381,A,5.684023703462026,44.13291554531105,E,D,-115.29047801243306,B,C,0
UK,Black,Mental,-38.540382938961784,E,65.31972682003264,E,C,B,89.11695326067037,E,-144.8844978957477,-42.97958959477795,C,D,125.53223574661104,B,E,0
China,White,Both,-19.33827121605297,E,13.34393323127474,D,E,B,-9.367343493556065,B,99.53855869840102,71.17372719473704,A,D,14.978191061875815,C,B,1
Germany,African American,Mental,41.69828151448034,C,178.47631428414388,B,D,D,-16.252784037051686,E,97.72102668493972,-81.88849368765251,A,D,-443.16174003134347,E,D,1
India,White,No,74.46016286432088,C,-22.004235878935106,A,C,C,-137.77002047828177,D,-83.748139890472,-81.63720591629834,A,D,119.72170083907203,B,D,1
Germany,African American,Physical,62.91101161046382,B,129.22672581530318,A,A,D,88.94239112642195,A,-119.58639689184176,65.80048096907856,C,E,140.30536735536816,E,D,0
Brazil,Asian,Both,-59.52240143281383,A,248.77389272861703,B,D,C,-132.9441513216179,E,46.135832942896144,-279.8895596452689,E,D,104.75189344913987,D,D,1
China,Black,Mental,9.561666581159704,E,-92.41963980020303,D,B,A,-40.49757121124279,E,83.99996196958848,136.16927305140086,E,C,169.14486471423717,D,E,1
Germany,African American,Both,-82.60581273168192,C,128.76291511814625,B,D,B,143.72864697200262,E,157.5243039614244,5.821435806490065,D,E,-95.99658515116057,C,E,0
China,African American,Mental,-183.56100889055637,A,96.66646869866707,A,C,E,-139.72725826486604,C,67.62665101548593,57.033348297133045,C,A,-11.29034232512409,E,C,0
Mexico,African American,Yes,17.97549725323371,E,13.571453657482213,D,B,C,21.1939619397556,C,-19.864026139705356,-0.38991667614301423,D,A,-36.92509402677455,E,D,0
Mexico,Other,None,18.83775618055224,E,8.739945253010875,B,A,C,-79.01112433504656,C,-98.79877605939593,-243.52046092163957,A,C,17.122462389273707,B,D,0
UK,African American,Mental,-40.960960569585744,A,-208.51257086649383,A,D,C,13.648999684729535,A,-4.820573075298212,85.76307411476863,E,C,11.391165906182422,D,B,1
India,Black,None,9.579377968198393,A,-101.58021431975845,B,C,E,44.69782164764163,E,44.484372072907085,-166.17724934871188,C,C,62.94625719602765,B,D,1
Brazil,White,Mental,-47.507105485101384,C,-36.41330591927648,C,E,E,-65.07414986190227,A,-61.20020613821568,-22.764037567429842,B,A,31.05441521595646,A,A,1
Brazil,Asian,Mental,163.91307619827705,B,-33.84895760791803,A,A,B,39.11390645712059,E,-196.5390739652441,5.121260363589218,B,E,21.00949565980599,C,E,0
US,Asian,Mental,-35.0474978163897,A,-86.73022061146499,C,D,E,-18.87479625635781,D,-44.15713148565612,48.15806013586783,B,A,118.97380966709454,A,C,0
China,White,No,-86.69478497627915,D,-81.07682986628937,A,B,C,-140.53697176622163,C,-108.30055210350153,-15.60866672215747,B,D,-16.143357866277384,E,D,0
China,Other,Both,-113.93570050078058,C,93.00879740361076,E,A,B,88.58611547545935,C,118.74017543846527,-125.34772441288588,C,D,-52.55677073684977,A,D,0
China,White,Yes,-79.59059212992439,D,85.89280536336912,C,A,D,11.992162102953587,C,-143.09273832527202,-152.52107522968393,A,E,55.26530614538239,B,E,0
Germany,African American,Both,-83.15642591930008,C,53.017214683435455,B,C,B,-181.4663207304029,D,-184.36338414292746,169.00350808660085,B,E,-111.7306375100456,D,B,0
US,White,Physical,-130.28555177560764,C,144.520849956015,D,B,E,-1.5454834159329367,D,-49.90444576043161,79.63719087445912,E,B,203.03305847256672,D,D,0
Other,Asian,None,89.22285299934913,D,-83.1784273668196,D,C,D,34.99062271538414,B,61.26919256467912,-234.61821957481894,E,D,138.58635239773568,C,B,1
US,Hispanic,Both,98.60713438512502,C,-6.299276909231481,A,D,E,238.49047219213716,D,115.72611496481508,130.5902966470095,C,A,93.80798419360458,B,B,1
Germany,Other,Yes,-105.22936456825114,A,-24.851986922057183,D,C,D,-1.4184216851831741,E,6.5282456103909565,-56.17515597139092,D,C,-140.2524005761237,D,E,1
Other,Hispanic,Physical,203.14723896732153,A,-64.05832509716797,E,B,A,-86.21086485856137,D,66.10454115256671,49.7047292061427,A,A,33.43999016171351,A,A,0
China,Hispanic,Yes,48.8883107763436,E,104.98322704514874,E,A,C,-78.02893669307734,A,49.27245603545949,29.348726968514278,E,B,18.90888055060785,A,E,1
Mexico,Other,No,121.40897611507837,A,2.478596149453446,D,A,E,-49.925912768942986,D,-4.050012376200932,10.535903904114798,D,A,106.56813479459235,A,C,0
Brazil,Asian,Physical,-30.576423282895192,B,29.19919466276469,D,C,C,-58.76768084024987,B,-21.32380700606433,-95.0620332172341,A,D,207.04255692984637,E,C,1
Germany,Hispanic,No,-54.22966391532721,B,115.9553335789352,C,A,E,120.75640970532588,A,46.9179693750374,94.39713015546027,A,E,-144.09852451648365,E,D,0
China,Other,Physical,163.46291682819168,A,-128.10768914244562,E,C,D,33.33605698599313,C,1.3886285408669323,-69.68222976103324,E,A,25.704651818871906,B,B,0
US,Black,No,170.8309817765698,C,-160.2250111156342,C,C,C,134.93101651654092,B,-57.7131835933826,-91.06320449826444,D,A,2.9283395532639416,A,E,1
Germany,African American,Yes,-236.1670465067616,A,18.882165324385305,E,B,D,64.89477335950257,A,47.37093044030317,127.63114103994624,C,A,-23.805483458285686,B,D,0
Germany,Other,Mental,-123.83409039858523,A,83.58184773907283,B,E,B,-50.22668497410828,B,25.1333794015386,-83.62262089801123,B,B,20.567642206212017,A,B,1
China,Other,Mental,-143.98748543855245,C,21.993516332179674,C,E,E,-23.75052865620661,C,-223.79544409945314,-161.54527210661578,E,E,-68.37097871626044,E,D,1
Germany,White,Mental,-105.40752273372314,C,26.759570502740214,A,A,A,77.4434798849141,E,-48.023271656408625,6.251887041759961,D,B,14.832876346642514,C,C,1
US,Hispanic,Mental,73.94305038605009,D,-20.21325389022284,C,E,C,-106.58692097819554,A,32.06930401790306,15.094528098039325,C,B,-156.94425227801509,E,D,0
India,African American,None,-59.08267538687688,C,132.8925348422327,A,D,D,-62.61897651108548,C,142.40314416952765,93.48921729200308,E,C,292.2129914224301,D,E,1
China,African American,Mental,-91.63102159413685,D,-99.7394287142877,D,C,B,167.36524740166408,C,93.49566141870123,-74.57048568956104,E,A,64.44720573260155,B,E,0
Mexico,Other,Yes,68.81025475140004,C,-46.82470797893034,A,A,E,13.668333107085335,B,-16.720351531884507,-238.2055151930514,B,E,-48.74804901613147,A,A,0
India,Other,None,34.75523419516156,C,1.8937222254483441,E,C,B,56.64447511968724,D,110.28966555881703,3.070051084191214,C,A,-75.19240476855246,E,C,0
Brazil,Asian,Yes,45.57271192789274,C,70.47551572156814,B,E,D,-36.02405600864827,E,-295.43309745545645,-57.278936348818874,E,D,45.52362628382143,C,C,1
India,White,No,113.33778502356837,C,-13.850963568069552,C,E,A,24.71455807417078,E,-156.3196375186386,185.45301718745228,E,C,-66.2695024302916,E,B,0
Mexico,Hispanic,Yes,151.60332608740174,D,-141.94390373769116,E,A,A,26.35387965513164,E,-188.73073068228666,35.51866014898755,B,C,-185.54432949693114,A,B,1
UK,White,Yes,90.87986148855215,A,-77.32570968748969,A,E,E,59.69342118031875,D,-120.00572447785913,-60.04661222381864,D,A,17.902206579201653,D,A,1
Germany,Other,Physical,-37.93638210609072,A,171.59569106873585,D,B,A,-67.21648944373837,B,81.11001072444455,5.559318217055296,C,A,-77.15558577176434,E,A,1
Germany,African American,Physical,-87.15010288597101,A,88.39529485046145,B,D,E,117.67245911901121,A,-186.15044800865746,-31.334526909206428,E,D,-19.931703993639367,C,A,1
India,Other,None,-3.1719081374958704,C,126.464660180934,A,C,C,71.18314709869212,D,113.80714678450856,-82.6569436364098,D,A,18.54518071351125,B,D,1
UK,White,Mental,42.990461238158026,B,159.88218981404324,A,E,A,152.41749926830352,A,78.29055610799301,131.58131169478605,E,A,-71.05091541587369,B,E,0
Brazil,Black,Physical,-53.53313443352595,D,231.55129058218927,E,B,C,-106.10191905141417,D,5.731557215790211,56.581841330102336,E,A,-88.047100463043,D,A,0
China,Black,Mental,41.8014788484761,C,-18.97597971915092,D,C,E,68.71465597476346,D,-132.71896351702844,21.07408252917788,C,C,-161.4165848750628,E,E,1
