birth_year,race,Disability,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
34,Black,No,Divorced,B,D,20.128828138733954,E,B,-175.88666958024723,D,-90.50485488202081,-67.57983155271336,D,A,B,-133.29525917441745,-26.385753898431258,-80.4985303975167,E,39.5724864303719,B,A,0
45,Other,Mental,Divorced,B,A,-24.248130335554812,A,C,126.32077710130467,C,13.481948487584706,-100.55637788769127,C,B,C,-166.6251045354572,47.41591604417631,219.12667647416703,A,41.89814970152547,A,E,1
67,Other,Physical,Married,B,C,-115.80169178600661,B,E,13.827080833593056,D,76.08030917404328,130.43260124473403,C,D,C,-56.74344167760472,-108.6781774847309,-152.75259771025824,D,-75.74990127477817,C,E,1
35,Other,None,Single,D,C,59.683092595274076,D,B,-196.7399693325342,B,76.06495205344979,3.1510330516971377,D,D,E,97.71514972332645,38.08086270829358,79.77338477975941,C,-40.32491654430581,B,A,0
76,White,No,Divorced,A,C,-100.95763555841262,B,E,87.53704536798364,C,104.63605734319543,-190.2181379560571,A,D,C,162.93323342246362,-40.80921352681444,140.24032845524707,C,18.528129445531704,C,E,0
29,African American,No,Single,D,C,-37.44236852225998,D,E,118.70336132711581,C,-50.60064665997766,16.054756025746915,A,B,C,64.10871365636311,-125.87257604214159,-7.895782193185487,C,-36.78922959793286,C,C,0
48,African American,Yes,Widowed,B,E,6.039288028486997,B,D,-52.29089456329036,B,23.854094453533538,3.0389768134524866,A,C,A,-36.293225451799906,141.31669809098074,38.46513878352141,C,37.53423925074804,B,D,0
59,White,Mental,Married,D,C,-13.637941296985135,B,C,-93.1592573501218,A,18.21651924445154,-168.8408405797778,E,D,B,-32.220458640890136,134.62863298616074,188.14602578302095,C,115.76646914822015,A,B,0
61,White,No,Single,E,B,62.16928826468823,A,B,-73.60218216772469,B,156.46185459135984,-46.80888040826632,A,D,B,220.23113227905884,50.172037176705686,-56.23692634218735,E,187.27072601820137,A,C,0
57,Black,None,Single,A,E,40.125998439169265,E,E,-136.25938954466542,B,-153.75388824940623,-19.438563848815686,B,E,C,89.03149692966117,-20.854244157622702,-46.84135146253108,B,0.04438507843153674,D,B,1
64,Other,Yes,Single,A,B,-261.4288980294551,B,E,46.49700145552648,B,-47.05554950518784,-0.15409013100713265,D,E,D,30.12002842547489,101.8617901625569,101.82087491338191,C,152.19852934611666,B,C,0
24,Hispanic,None,Married,E,E,148.29728059823873,A,D,56.33368674324257,C,119.73101887556574,-37.60861556073298,E,E,C,20.943914546745667,125.26700808421619,76.16039790306269,C,-73.42660934288486,C,A,1
20,Other,Both,Divorced,E,B,273.1437598707796,B,B,99.97685011470844,A,-145.40740347691653,-218.677043822125,A,C,B,-56.11506932071709,-34.80622197772739,-78.35478316929326,A,-8.153333472365604,A,A,0
34,White,Mental,Divorced,B,C,77.22901696906976,C,E,33.054831200484045,C,-34.34380096628336,4.426033370477897,B,E,A,5.171114525167732,82.36007745945322,41.455079084458504,E,-17.61107384222918,C,D,1
38,Black,No,Married,E,A,109.31586786192567,E,C,-135.1780171611283,D,-113.94536228214456,16.3711922649972,E,D,C,-7.679135658675089,-56.675414369317046,137.19229005212193,C,4.923344539167056,D,A,0
56,African American,Physical,Single,B,B,28.85032797924824,A,B,-64.66523882444484,C,-118.23838629804018,124.72737613393792,B,C,A,91.27985983262242,-2.0738800273081894,-64.33077772810786,A,-57.11585832308968,B,C,0
67,Other,Yes,Single,E,E,-186.096169281553,B,C,-17.473256805147052,B,-129.72559316549362,166.23703936560818,E,E,C,221.62758258974327,201.74037745533062,124.05261730714324,D,-6.1441786892081725,B,B,0
77,Hispanic,Mental,Single,A,A,91.91803518447044,B,C,37.689061434799605,E,101.85056975605286,208.561935340152,E,B,B,-98.23207563044501,4.80616727890589,-124.03429047917771,D,288.4001872216673,A,B,0
32,African American,No,Married,A,E,-64.2996021779879,B,A,12.108560587789324,C,-32.14701597927436,-9.78869489609445,A,E,A,147.71284999584523,141.63323540600678,-78.29685277688371,D,125.41272684689606,D,E,1
44,White,Mental,Married,E,A,72.66515995832683,B,B,250.47432396402104,B,-126.24429388575524,-14.993427942125589,E,E,E,64.01238349816187,-82.16328896592803,214.9619018212808,A,60.92309490871713,E,E,1
26,White,No,Widowed,A,A,-63.948822398404246,B,B,-80.55340661495974,E,104.4016872201784,9.72909669777639,D,C,E,-67.9674300514155,89.16854954283889,52.05059454030037,A,12.312331396314507,C,B,1
48,Black,Mental,Single,A,D,91.24747216154319,B,E,32.428525290219454,E,-70.20678198765474,4.137791879296927,E,B,E,35.26612570572964,5.903106204406234,-200.6556521860836,C,-109.51196635656602,D,D,0
62,Black,Physical,Married,E,E,6.613595187460519,D,D,-236.72595381238673,E,-168.46955960335595,119.82991285149782,D,A,D,-57.49033652809546,127.6164884802381,-18.525151888896698,A,-41.10655108508492,C,E,1
25,Hispanic,No,Single,D,E,57.72827079651408,B,B,-89.49319389733226,C,119.18982373855383,-40.123142043876086,A,E,C,11.73468101589671,42.6457157971628,102.94419295776616,D,-22.898668228171232,E,D,1
76,Black,Yes,Single,B,E,-32.16992226995687,C,A,46.8546740936131,A,-3.827540247799474,-218.83358244617384,A,E,B,62.25325723215798,-36.437452516601944,28.612759612710853,A,-40.562961654719906,E,C,0
73,Asian,No,Widowed,B,A,120.23417408587747,A,C,-1.4842438101295181,D,-21.388225749050495,-64.02738201379856,B,C,A,42.89939986981581,-94.89781126023883,-81.9890632512074,C,17.935369629402274,B,D,0
55,African American,Mental,Married,C,D,-23.700729869501885,E,C,2.4366730876551848,D,3.222237075089908,57.7935492333441,D,E,A,-78.36084564552314,33.66678623067438,-16.678777791545134,E,-152.50647098542464,E,E,0
63,Hispanic,Mental,Divorced,E,B,35.785411360846616,D,C,82.671143594697,D,-99.59600625851667,-27.893355363733967,C,C,E,54.726621601269144,19.886529417623326,90.77993885024121,C,38.37028306028825,E,D,1
53,White,No,Married,B,D,9.884886105320732,E,C,69.42489211041092,C,106.67397116361694,-109.67911101913568,B,A,B,-23.28655076802236,161.37913604566612,134.62977625360176,D,-59.959976769021814,A,D,1
43,Other,Mental,Married,D,D,52.492624416381,B,B,129.49784395773852,C,14.54822437638979,-140.32424188705144,C,E,D,4.9624932679609435,98.52436587568589,-14.767738310580667,C,-95.39456387975277,D,E,0
54,Black,Both,Divorced,E,C,-62.8901957440385,C,C,-35.61523514079864,E,-45.942534653767744,-8.230672639482812,E,E,D,9.305033386128107,157.13170061677377,-37.381589917309846,E,51.730231764003875,E,C,0
59,African American,Yes,Married,E,D,38.506617451098364,D,A,9.17037564467552,A,34.42498184202269,-47.02818748015522,D,D,C,-54.98262013121899,-71.7047595797661,115.94570955285137,E,120.7918998521963,B,C,0
28,Other,Yes,Single,C,A,-53.03392598777206,D,E,-35.51775591263241,A,36.48859311495071,24.7253052998095,E,D,C,35.46814849626153,-57.27268985339613,-44.48700501277,E,4.483825654670793,B,C,1
61,Hispanic,Mental,Widowed,A,C,-62.24538004562141,B,B,-26.467313427997404,C,-24.27309845367586,45.64752910271033,D,C,E,-69.42464353396781,80.79965902052841,-32.4402844570327,A,-116.10558482895838,A,A,1
70,Other,Both,Single,A,E,11.591213542380949,E,E,31.62237665113278,D,30.728471870201048,73.7775517347972,A,B,D,151.60691675225357,14.017133671884189,20.507389702156296,B,-45.61853052208677,A,B,0
40,Asian,Yes,Single,E,C,108.74802623007199,D,A,-81.13662658078444,C,-76.7411010872211,-114.58129349470634,B,A,A,-11.673454329253108,80.82272358277518,-134.69822945290534,E,-267.58505519707217,B,C,1
61,Other,Yes,Divorced,E,E,-217.65217178079496,E,A,61.70797471028197,A,-32.27854394668335,-269.4840459498195,C,D,D,-75.46995996678099,143.2055141160138,-3.6863184704053844,C,110.26548542001329,A,D,0
76,Other,None,Single,E,D,147.75247409426274,E,E,-71.04731589442167,E,76.57111687840245,-135.29285975743812,E,D,D,2.93575674033199,-31.236466533626494,-100.17394105212783,B,-128.89243403142956,E,B,1
78,White,Mental,Divorced,C,E,-56.709479651707554,A,A,-49.931489998004366,B,-74.92517983413471,56.20615409590464,A,D,A,-104.0092332072139,-55.35401767492122,9.24100731824576,E,-140.63016791091613,B,E,0
