sex,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Female,D,D,B,-90.63907451531892,C,A,D,B,55.25041704064796,-127.15895760012785,156.56492075407945,A,-44.80566705839966,15.273697613206053,D,116.53107801963148,D,-135.01317198895083,27.155525772264642,0
Male,E,B,C,139.1706003908144,A,C,E,E,2.205830855105526,-148.69388951671112,-1.4467389613979715,B,1.6691201823087654,60.09572774256897,E,-222.86963743871166,C,-207.25880296501694,26.225315487745064,0
Male,E,D,D,-116.70074211806335,C,D,E,C,121.68287837986209,-7.098333916270894,170.30676455430597,A,-6.0541277496603705,21.641030507857234,A,-19.101372674595353,B,-80.72763926391096,203.17089210899778,0
Female,B,C,E,44.01839862936909,D,A,B,E,32.31557048230865,4.143659560119487,-119.34327421604536,C,74.46962155440832,-49.61367142111025,B,192.12101315925807,D,32.826083599785946,113.20475214009709,1
Female,E,C,C,35.81813045650554,D,D,C,B,-218.1449634681662,41.013289558610715,-71.39404122001032,A,-130.81783929528677,-19.28773711598329,B,3.588681059030728,B,-25.60631421097967,31.446143672565906,0
Male,D,B,A,-54.95637968038844,C,C,B,B,-61.84358778279236,120.95463119341305,199.0054971436737,A,-62.48934957550348,-10.289722162500354,D,-102.49733896473107,A,-51.53656792006763,26.53723715983791,1
F,A,D,A,-54.820625616431286,C,B,C,E,115.33881125950327,152.9829827907054,-68.2606046580964,B,-45.51119406969825,106.10030223840073,D,62.24809233831658,A,185.933147359912,57.99959602553224,0
Male,A,B,D,54.757006288396994,E,A,B,E,-92.18124329231584,130.96490730035086,105.64650864132814,A,-42.42971773899842,-77.15433443976902,B,-48.06683293686099,E,113.17278745330275,58.12163588057564,0
Female,D,D,C,-20.48322817744915,B,B,B,B,-98.76795281407341,22.19802258317733,-51.31548343434079,D,-79.50656873602027,-196.7517012130848,D,-186.7292522196415,A,-64.09648729424028,-46.23307644780515,0
Male,C,C,B,7.850471185215441,E,D,D,E,-37.31601922821217,-196.17424988367102,-39.566592291630656,B,-233.71646835863888,148.41530508100053,D,144.8545393629633,C,8.492288066355302,-197.88449176584447,1
Male,A,E,B,-124.42611640211246,D,E,A,D,11.20351179107095,70.55809593318449,182.1321139202731,E,26.8640851455599,74.54186678067448,D,119.80371512701302,C,2.6386637249537666,57.36966905268681,1
F,E,D,A,-19.70088680632312,C,D,B,E,-70.53576327234315,-47.11871606855315,25.645076435538243,E,120.68869687084694,-114.43429606594601,A,-56.11301187769311,B,-175.3742858736141,-37.282452725765,0
Female,A,E,C,-99.96940384965444,C,D,E,E,-102.04564704871957,13.184415175725498,-27.469216756819666,D,-107.25649823064363,117.570785572329,E,-149.8900939005458,C,39.761816098911076,-7.074072119907228,0
F,A,C,B,21.321006449694128,B,B,D,B,66.98946642860848,30.712992814926253,-12.528385577139867,A,39.51470582709343,-84.28178399723404,E,-1.5097966408837453,D,-99.61999390518102,-95.82318112380695,1
Female,B,C,C,-48.2044599658133,D,C,D,E,29.18519029875155,1.015645320148784,245.2184147661093,A,-76.48543578373457,-48.64425564344426,E,38.52000336946304,A,-153.06203258381183,1.7877120651190583,1
Female,B,C,E,-28.858703561457833,A,D,A,C,-78.47278040577615,-13.18792887179201,3.718966177199772,C,16.55529640270703,125.66441918196661,E,-90.77668402543358,D,-258.4912166652582,28.18984712948012,1
Other,A,A,C,-147.44180718182884,E,E,B,B,-19.486679986777684,93.51040534151046,-9.217816576426035,E,-163.29590351296824,60.812936861931234,E,90.56550770739507,D,-167.65902478591087,-121.03416167447716,1
Female,D,D,D,41.119209980097224,D,D,A,D,169.3481684690549,-126.82506716956863,106.48391535945652,A,211.70318671699562,-17.37176602354776,C,-37.63968983486706,A,10.166480746202389,-59.31228640532639,1
Non-binary,B,B,E,-10.18795039044905,C,A,E,B,81.10346835740788,-150.6234558057005,246.6077647822515,C,16.518823679601468,63.842307963750336,E,-26.737654423759803,D,-30.92282142497979,-64.04106318747239,0
Male,D,A,B,232.0034188348299,C,A,C,E,-54.33566120418158,-278.6770182402425,-71.02556709896105,C,-1.6586085596365645,26.057467346811762,B,32.876470403066705,B,1.2978469255022798,-10.262407693690985,1
Other,D,D,B,-87.5274263853179,B,C,C,D,-32.810357653421015,78.22142725217287,-65.11906200953865,A,-110.54220349293517,69.66547027922026,D,-65.21315275576958,A,-68.62083831677575,-73.61127318887132,1
M,B,E,A,-59.28528089978319,D,E,A,B,22.257092715770007,40.046551031038376,-12.713866054408667,A,-18.788556939269867,98.19276271579264,A,41.99665230639573,C,-193.69231221320268,78.05889889208031,1
Non-binary,D,E,C,7.331564104027801,C,D,A,E,-125.40244706858694,-159.21095704042693,-11.152802748740376,A,41.28117613117086,-10.141677949037641,D,9.431340910763904,A,-11.469544962967337,58.168230408021714,1
Non-binary,E,C,A,-71.00469473016044,C,E,B,C,-24.400147795671273,113.68651881761946,-172.99021611542952,E,31.801758364785833,-55.15310898293584,E,-106.27206322481166,C,213.48897672687593,-45.28692804399765,1
