Veteran,Disability,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,target
No,Both,51-65,D,B,119.73189445567209,-26.57883380122157,-195.8378662219209,0
Veteran,Physical,26-35,D,E,-86.96062001389372,79.19827567082798,47.94126090816411,0
Non-Veteran,No,26-35,C,A,-94.87403042696316,-170.99136779062457,27.864653119799954,1
Non-Veteran,None,26-35,E,D,-235.6103208999911,44.35570905516297,-118.82296081649942,1
Veteran,None,51-65,C,C,2.0534261373831066,-7.131764332878597,46.736863918177626,1
Yes,Mental,18-25,C,B,-81.1695380511493,148.86003771597407,114.56029744791472,1
No,None,36-50,D,B,-72.9008394397616,-54.03283693777576,-41.32591557976002,1
No,No,26-35,D,B,15.30094025855496,-98.99677738911005,-112.92795995407063,0
Non-Veteran,Both,26-35,A,C,25.113235239182174,14.611359817914089,-18.919929833184703,1
Veteran,Both,26-35,A,C,58.10155296928132,-6.882551885075467,26.289900385404362,1
Veteran,Physical,36-50,E,C,-43.808079946272095,156.6697602356091,153.04997520272093,1
Yes,Both,26-35,E,B,275.3453659550459,-50.105467833513075,40.75545676969471,1
Veteran,Yes,65+,A,E,-33.444860890786,76.92594884750832,-126.49038072498963,1
Non-Veteran,Physical,18-25,C,E,-19.800454437407573,-0.5363841623539634,-92.14099352210849,1
Yes,Mental,18-25,B,A,83.9511221383779,58.71916271438562,-36.56265196845688,0
Veteran,No,51-65,A,E,-25.7262046912619,95.2702552356505,-97.21159879616035,0
Yes,Yes,26-35,D,E,-38.76121494784124,-34.891627974323484,-72.52602648206421,1
Non-Veteran,None,26-35,D,A,58.0183983099667,-102.07139399136949,-23.197561995777935,1
No,No,65+,A,B,37.66278695580963,82.30754392731747,75.99704645182422,1
No,Yes,36-50,D,C,-226.50123996237693,108.97206660153466,-61.679805114395904,1
Yes,Mental,65+,C,B,49.714209745698206,105.70233601128243,21.998913084183325,0
Non-Veteran,Yes,51-65,A,D,-56.3944682010051,-84.57002182102946,-35.723199081707406,1
Yes,Both,51-65,C,D,-214.5401191551685,-1.0653287295478557,7.00934795529653,0
No,None,65+,E,B,200.43130821153082,-39.51243632000222,120.11281915973915,1
Veteran,Physical,18-25,E,C,-61.60514227734319,-95.22849300920112,73.8382573554236,1
Non-Veteran,Mental,18-25,E,B,-179.13926540490834,-29.331733874506288,-9.674416691776923,1
Non-Veteran,Both,36-50,B,D,-144.5743183416488,15.544175476501012,110.06216836447769,1
No,No,36-50,D,B,-145.06715766333102,-66.52455618536943,-40.90271973401644,1
Non-Veteran,No,36-50,B,D,-207.8638650481524,60.715196056169226,-129.76578225440002,1
Veteran,Both,18-25,E,A,15.601931067314394,-27.806653608075376,-108.08495758769676,1
No,No,26-35,D,D,-114.88716365017706,-46.39150486338877,39.50998978976499,0
Yes,Both,26-35,C,B,25.12253305405251,-74.87374977590761,8.352463390233508,1
Non-Veteran,None,36-50,C,A,276.61135840417785,-78.69049721469335,26.948250113074828,0
Yes,Yes,65+,A,E,-141.36999586703521,-4.738660253235192,-19.594619093768898,1
Yes,Physical,65+,E,C,-26.606013396815353,131.55972264147474,103.84862074046374,1
Non-Veteran,Both,51-65,E,A,168.42652259126058,-96.80622471522472,1.543116964055492,1
