disability,Race,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Yes,Other,Widowed,B,C,A,E,A,A,E,35.68619685503867,E,84.36615827330056,B,D,E,-83.52898508685666,95.58823952027448,C,1
Physical,Asian,Single,A,D,C,B,D,B,A,130.2171064106621,D,96.0759005579712,C,A,D,5.563284201313947,37.28863679603299,B,1
None,African American,Widowed,A,E,A,B,E,B,D,-10.705879418210602,C,42.59304300248934,D,C,A,152.75207056204013,21.8761014045193,A,0
Yes,Asian,Married,B,E,C,C,C,B,C,-81.87821972501035,D,-16.434847738229493,C,E,D,55.64232475046828,2.3402295377481512,E,1
None,Other,Widowed,B,A,E,C,A,C,A,68.1259240350018,E,-108.42332702974404,C,A,C,149.2447543410813,4.83586484241328,C,0
No,White,Widowed,D,A,A,A,E,A,B,10.990106629415886,B,21.88031597783872,C,A,B,-9.23193242862308,-66.40516856469182,B,1
None,Asian,Single,D,C,B,E,C,A,D,81.48606427750718,B,53.536119311563624,E,A,C,-37.64775007011154,-63.024588305934074,B,0
Physical,Black,Widowed,E,D,B,E,A,E,E,-245.5640011754001,C,-5.7510958974236575,C,E,C,108.28886991594003,33.21356799448837,E,0
Mental,Other,Married,A,E,D,C,B,A,E,-102.8876055107902,C,114.47366621562425,A,A,A,34.49096255760481,-87.67788533342575,E,1
None,Asian,Married,A,C,A,A,C,D,A,-166.12380748393667,A,15.45544539494808,D,B,B,-63.251890614934666,180.76330496135827,A,1
None,Hispanic,Married,C,A,C,C,C,E,B,3.6698916524259744,C,112.01207077424142,E,B,A,-223.91280077857297,40.03317164825287,C,1
None,White,Widowed,B,C,A,A,C,C,D,-230.94050168608447,C,-62.968011024499305,C,C,A,118.67676368342117,122.49141418384804,E,0
No,Asian,Widowed,B,E,B,A,B,E,E,5.203583936263082,D,-88.216418620726,E,C,C,-80.02665031003025,66.18556061417603,B,0
Physical,Hispanic,Single,D,B,E,D,E,E,B,-2.8828981403597473,A,39.244042134593094,B,D,A,94.71445095955026,15.146796852714361,B,0
Yes,Asian,Widowed,D,D,B,D,A,E,D,209.14252234658625,E,54.91588762728388,D,B,B,-28.46279399471498,2.5286484397033435,A,1
None,White,Widowed,E,D,A,E,D,A,A,-131.90550354007505,E,-81.59553539021445,B,A,D,-89.90457702962317,-114.26742259040385,E,1
No,Black,Widowed,E,E,E,E,A,D,B,-126.66218878646625,D,54.819486540734786,E,C,E,59.414052653670446,54.21873066312863,C,1
Physical,Other,Married,E,D,D,D,C,A,A,-29.572123421066955,E,139.51329609637486,E,D,C,66.53164077217839,-46.25973370805448,D,0
Physical,Other,Married,C,B,D,B,D,B,A,160.49914654801032,B,-34.30747087417077,A,E,E,72.47484312205323,13.809638912511055,B,0
No,Hispanic,Divorced,E,C,A,B,C,B,E,115.98261155117746,C,-64.93240992500375,C,A,E,-73.28573669721702,169.46759747029822,B,1
No,African American,Divorced,E,D,E,B,D,D,B,44.65443543942466,D,-99.92341622328718,E,B,C,117.69511996829796,-57.39438836349516,E,1
Yes,African American,Single,D,D,A,B,C,D,D,-81.52393837229842,C,83.63990100485226,C,A,A,-141.75378595249285,7.152196966569675,C,1
Both,White,Widowed,C,B,B,C,B,E,D,27.39640880081095,D,-17.47777787081027,A,C,C,-110.40183780107647,164.72656047987977,E,0
Yes,Other,Married,B,E,E,A,D,E,D,-160.87771958030473,B,3.545328656641068,B,A,D,52.93588064951681,140.06247643814368,E,1
Mental,Hispanic,Divorced,A,D,C,E,E,C,C,70.95823498039027,A,-26.712774901271708,A,A,A,170.19443639429096,-20.09923815584567,A,1
None,White,Married,C,C,B,D,B,E,A,206.4609829642891,E,113.71755046774423,E,B,C,8.081026464338063,-22.099400263558675,E,0
None,African American,Widowed,A,D,B,B,C,D,E,95.60965799469703,B,60.61650444108309,E,A,B,-72.07807188488205,142.59560057554722,A,1
None,Hispanic,Divorced,B,B,C,B,E,D,B,169.74741277999743,C,-13.54033372145507,C,C,D,-200.22500418535282,-4.893303906305839,B,0
Physical,Other,Widowed,B,B,A,C,C,E,D,42.2963349395472,A,100.45287955432984,D,E,A,-69.93768607323875,36.34549354354857,A,1
Both,Asian,Widowed,B,E,E,B,B,E,C,-218.39407551457333,D,-44.67762792169444,E,A,D,-55.03275457962623,17.23386015704615,B,1
Yes,Hispanic,Married,D,B,C,E,A,D,E,-165.55435733376729,E,46.46288119497054,D,A,E,45.78540151755053,-71.1344094588521,C,0
Both,Hispanic,Divorced,A,A,B,A,E,A,B,38.543347714975695,D,-10.689926904741556,D,D,E,21.89470035004717,148.71074958301142,D,1
None,Asian,Single,E,E,D,A,E,D,E,-77.676392902318,D,-47.336558335992464,E,E,B,-30.208285400078065,33.519252040101335,A,0
No,Hispanic,Single,A,A,C,C,C,C,E,158.87098636021312,B,130.16791246265137,A,D,B,-17.231155499036515,52.59709026939772,D,0
Both,Asian,Divorced,C,A,D,C,B,A,D,-7.588870406781223,E,50.82874287212339,E,E,B,-71.14931783295664,-9.001361066938907,C,0
Yes,Black,Divorced,A,D,B,A,B,C,A,-1.3541688808220143,C,221.7474735680917,A,E,C,-5.711403145756619,164.51451602794515,B,1
No,Black,Divorced,C,E,C,D,A,E,A,205.8719398468929,C,122.92392023610903,C,B,E,-193.10966746116026,64.40688506958155,A,0
No,African American,Divorced,E,C,B,D,A,E,E,125.1578080376182,C,48.89890659332833,A,A,A,43.30549093534615,-50.25165049951229,E,0
No,White,Divorced,B,E,E,D,B,A,C,85.08781655276911,B,-86.07374104519177,A,B,C,-51.97937513965692,164.83609404256634,D,0
Physical,African American,Divorced,D,C,A,E,A,C,C,69.58593246973874,C,43.270097033589984,A,A,B,178.35155842239305,-40.37268234759648,C,0
Yes,African American,Single,A,C,B,B,A,C,A,-83.06619200205611,C,50.654682252622095,C,B,A,-16.633055377638975,-34.43681982539101,E,1
None,African American,Single,B,A,E,D,B,E,D,-70.15556235894263,C,-0.2327692551486217,B,A,A,36.35207642837538,-64.76206513217211,D,0
None,Hispanic,Single,C,B,E,E,A,E,E,91.92971212439033,A,-109.34586024951744,D,C,B,104.8025854700876,-150.62242886275462,D,1
None,White,Married,A,C,A,E,B,E,D,-6.591048562385652,E,37.688313425243905,E,B,E,238.84055279520857,-257.6324079996296,A,0
Physical,White,Married,D,A,D,D,A,B,B,3.060798415609827,A,-60.848124650557814,A,B,B,63.696919197743526,71.04784510386071,A,1
Both,Asian,Married,E,B,A,B,C,B,C,18.672358240954647,D,61.38529770492681,D,A,A,145.54669557276324,-79.24417386932603,A,1
Mental,Other,Single,A,A,C,A,D,E,D,50.04976466791492,E,31.36414553141072,D,A,E,-163.24008720989855,51.128897917642554,C,0
None,Black,Single,D,E,E,A,E,D,A,11.474632286006043,D,205.0826721668264,A,D,C,-34.608844636224575,-22.371171519378624,C,0
Both,African American,Single,A,D,B,A,B,B,C,-10.278669331899037,E,-101.80720480785486,C,C,D,-59.647394946476865,153.2848323337679,C,1
