SEX,ethnicity,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
M,Asian,147.27947686301948,E,-31.33832567882491,E,14.303022455454995,-43.020093466540125,-130.38619916113728,-167.2206385988517,E,A,-33.74972903146553,-52.579603445586834,-86.69693520795596,-20.505465950988523,A,D,0
Non-binary,Black,-27.239163362383422,A,105.20841221918198,C,-104.4470969745521,121.04873740090112,-18.952418827954943,-59.94835351851947,E,E,110.81673527226903,158.00615874448357,100.0406961487982,-47.252696309266426,B,D,0
Male,White,-88.6732656051611,B,51.325910803253805,A,-57.06255763403867,-100.08550375466008,119.10963389753508,26.302324416168865,B,D,201.5264847946375,131.89615360946715,142.624896588035,175.74505183925945,E,B,0
Other,Asian,176.05649057597526,B,0.03288143871813368,B,-65.22052346285805,-47.63053042590547,-88.51846143423305,-154.96164123505835,C,E,83.5549117897432,142.44851444515737,-76.96000265684431,47.56934335979491,E,C,1
Male,Other,-66.6201379201553,A,-210.76666169210006,D,-52.1600779258234,-69.76646531219794,-199.13739163652372,164.5912361458021,E,B,43.74563447994055,66.84312134914101,105.49370049039017,-41.26202224258931,E,E,1
Other,Black,42.11907461759841,E,46.84511275739239,E,92.98028934196394,261.0470465920651,22.593005301728894,32.287720721060836,A,C,19.593468162776507,99.92011026707664,-85.09561794368142,88.22128524920454,C,B,0
Male,White,106.94797429899563,A,-13.77990495516406,C,-49.39182959868129,78.32353971032721,26.090947671994876,-290.20705916448975,A,C,214.8741605950679,-11.444073488556782,52.36587324738624,311.0613438832885,C,D,1
Other,Asian,-157.18227406611888,D,55.085553372730715,C,-56.56477411631757,29.949820109056468,94.30004326013194,92.75652878290423,C,E,-127.13982767141627,45.1372962072317,43.01647428093956,182.74989536215372,E,B,1
F,Other,190.89760395412947,A,6.097102684704617,E,53.95905696793085,14.10078155268313,220.51716125743775,44.48682472737777,D,A,-69.0437592294889,-70.01465954882273,-59.13362273100672,-72.81341579683553,B,D,1
Non-binary,African American,-35.32180408797509,A,6.938687524393167,E,-28.48766504786344,-109.50800810062837,-51.066111236287185,36.09941161444425,B,E,153.73792409846936,179.29581580233318,-9.621444356640714,-100.965309980839,D,E,1
Male,African American,-23.30414179382896,C,-58.18881660587074,E,76.159772362921,-30.019689294789277,-13.290930700810069,131.95182403584442,B,D,29.03436925497947,183.5067414302229,-34.391648063349166,-68.53910719719572,A,E,1
Female,Other,-97.56763471410906,A,-204.94173966244645,B,-2.6741156459383246,33.33071903422298,-79.39568236872472,184.56956309032105,C,A,46.576736146046976,-169.76831222567134,129.1986979757672,-12.922474470752332,B,E,0
Male,Hispanic,69.49390186504097,E,92.91438299144706,C,-37.80880904672824,16.230830722836547,108.79023347406023,-51.71381835840461,E,C,108.01956580103895,43.23308861005174,-50.56528418268278,5.587794000759841,D,D,1
F,African American,130.09044770591385,A,-49.47329212178999,D,-1.3619741013821252,122.48930530523543,113.4202199431835,-35.22161831184153,D,A,-26.439720933188255,-12.05292050448768,-52.297610110761326,45.97563346371273,A,A,1
F,African American,-27.35304188660465,D,65.8995496596955,D,53.6576557541415,-156.72381594706727,25.25618892521925,4.683383235539884,D,C,-69.87473806767625,64.59193069175745,65.40008224674142,-22.278453112236214,A,B,0
F,Hispanic,-95.53041491213067,D,105.60837557714002,A,230.39129013624188,25.6831058406759,41.108529768026294,-88.40565996106666,C,E,-63.10780432210852,21.330531387587268,-31.47967778912723,-150.95377035593322,C,C,1
F,Black,-21.632179196938985,B,-31.369262649792145,D,-76.22692544307893,-156.20217851009093,157.06307259050817,140.66497648120395,E,C,128.97125010005453,-189.77036276069768,-97.96208618966892,66.33852626967092,C,B,0
F,Other,2.560656053606111,B,-49.88729375997961,D,-52.084575614470275,17.54391376551746,62.899669444874384,67.17919193542855,E,B,-77.20150139236779,-16.554642763470753,-138.10995973507258,-29.289937403720057,A,D,1
M,Asian,161.85815390649557,E,143.72072627929177,D,-101.28447467636401,55.559721980075615,-117.69174252274692,-31.809852076520258,C,E,-31.268566056323273,39.359194286992434,-111.72827669529599,87.45324927887982,A,E,0
