religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Buddhist,42.2340897896227,-81.99686166371744,D,77.0678752472743,E,-16.70070550897513,C,67.82629243573459,-32.19744022657296,-63.00950545551692,159.7679908168318,1
Muslim,-145.0503914362711,70.65516132517168,D,176.14196723258684,B,-58.30985227338209,B,-162.9031164954587,-71.3888629388694,-92.8549676686909,-11.644352820376135,0
Christian,60.88717074869532,-157.42092372705932,C,-72.21542129402292,D,149.45738214113908,E,-83.9129798228116,7.221253212903438,191.5040661276025,-129.97266302064187,1
None,39.75775400001295,-6.416209327277575,B,-5.699867529574987,C,108.67995242469254,E,51.59874516344271,-30.909720732019565,114.31437558871458,53.887652576285646,1
Jewish,129.85340134857282,102.07439382946295,A,-76.0058587861882,C,-184.2948838008929,C,25.1038962412013,53.77541805259008,-67.27804425311798,-26.483576413011722,0
None,52.80381140016925,118.15942894851861,D,37.028377379660625,B,-41.52313350313948,C,24.775043998530638,8.48106473345745,153.17252450696583,-81.9356859678256,0
Jewish,21.58484556827169,-3.3114903990539886,B,-168.58953981042538,A,-73.5923476998933,D,65.87715269232298,-26.512664116566008,-42.06484426075446,63.61318453766746,0
Other,-55.39554329620044,-92.84974125027456,D,167.4345315543303,C,37.429596471323386,E,-19.69771837018655,-84.76029016120373,71.66517055191103,15.52888270020886,1
Jewish,-45.1891683183236,-16.134818840063446,A,30.613548823379706,C,101.12619541153218,D,-54.28826588327453,-112.64266147830837,163.04630208432204,115.18137665482028,0
Other,-32.60790016679188,-85.31987985676727,C,111.5138973100999,E,84.11504887148126,E,-13.145765284755692,-14.69640470187976,24.1251200304749,187.01324492085976,1
Muslim,-73.74423876785116,-74.92402003798865,E,-50.27692443017385,E,80.26726171111288,D,53.584798323451885,-38.05190141326691,57.932613642406515,-36.4690013034682,1
Jewish,56.16057826284588,-104.0273042571944,A,41.21795175330509,B,4.1767590386913325,A,-120.57381012689088,-162.40220830413895,131.3711053498309,20.465695552660236,0
Hindu,151.29009586150391,-28.566969584001427,C,34.986036455854034,D,78.12676474198898,A,-109.74059164489725,28.534965238363725,6.81780102478835,83.69767968327088,0
None,60.17737283255853,-50.233030798716904,B,-56.86102585300683,A,-77.93989771557001,E,-21.01690771338571,-140.72796085455303,19.163260030503427,19.65727850367674,1
Christian,-157.84867228067162,18.996326861733657,C,67.70065153083846,D,-210.37220358672712,B,130.95588199808324,17.584563669189873,42.17985879919811,-19.057717116786392,1
None,17.48841541888276,67.72348975068508,C,34.58918889550845,B,-22.088936946834277,E,-179.5250836155947,72.96016557494369,-84.48850336620501,15.234364795273821,0
Christian,13.407674870430878,56.44119479616094,A,42.365829086929125,B,157.7285050642325,D,150.95083686611298,-11.428396623473299,136.0843873565916,-20.739939562138524,1
Buddhist,167.03469348696487,-160.03760988466712,C,22.499949362533847,E,-150.34425158913274,D,-192.10808345841085,-55.46729576243937,-0.32700357638188143,19.86937168167111,0
Christian,117.91594552976316,126.19756448069546,B,-139.90672249955506,A,-115.80415750625646,E,35.208835833914,-22.924122818479365,-13.939398909483616,-37.053141722223835,0
Other,45.18435853392316,-53.54617832544062,D,-74.38243075933676,B,-99.44205205185656,A,-17.224490237051192,-16.750013042412515,11.628893363583552,174.64590369058482,0
Muslim,-37.776074935108966,168.20959028407222,E,-63.99165798037928,C,2.1915184205365454,A,44.145406508294194,-49.823309735108964,87.05539531008031,-158.25315117147457,1
Buddhist,9.228957425017313,-114.87585566825744,C,246.8517456178486,A,93.09500813966964,C,40.506578649300174,75.55043571909285,-30.34061982484405,-45.87694653464149,0
Jewish,232.89347691051051,77.35000499321109,D,-30.076010155499546,E,28.915650540153237,C,264.106853483084,-14.993174936555006,130.41212206321651,-114.73802322949038,0
Buddhist,-34.13632261339793,-89.93218174586988,B,-66.07731009292182,D,-62.64383229389043,E,146.99605713330752,28.458879719542097,-30.382989959938335,-38.143631206605185,0
Christian,-88.49773364239843,53.48281663445853,A,47.72859453393716,B,27.51458135401815,C,-77.40891614814281,204.56093591780987,117.03824014538506,-140.54796589439152,1
