married,disability,religion,ethnic_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Single,Both,Jewish,Asian,-110.73223968064812,-4.920925700510539,-89.35583309093147,127.75480953944395,-113.03163127509661,D,75.82359911286376,D,A,-34.618912391602365,D,0
Single,Yes,Other,Other,167.6414125122879,1.8400812828916584,126.59785888063611,-91.64368266591045,-41.9876736326881,E,15.860500127371813,B,C,27.571503706208965,B,1
Divorced,Both,Hindu,White,-20.194887042281586,-94.8331036663132,50.582277406063746,108.34837509302248,-244.0859298582977,B,-126.53177135439965,E,A,44.25396525773497,B,1
Widowed,Yes,Christian,Hispanic,12.195322428281836,150.56326434956787,9.785069109311523,-13.52863712107307,57.54035875554271,D,-43.73159314290812,B,E,183.85839288287522,D,0
Divorced,Yes,Other,Other,5.2342250403662165,-36.961848533446926,-120.78900493749363,84.82535384437871,27.45774886770401,B,-13.118787813118699,B,D,68.82089521567931,E,0
Divorced,Yes,None,Other,23.69210189633244,-209.4008318359219,85.8033591235136,133.85332071383684,-12.934343535152887,C,-4.282875118833377,D,B,2.6902839732836137,A,0
Single,Physical,None,African American,-109.25510277693886,-17.433457535376476,38.476607927135575,-33.36614862236861,33.40349457766493,E,-126.19125992915706,A,A,137.37459099792076,E,1
Divorced,Mental,None,Hispanic,-1.325136986060291,114.8965034437816,28.559102871502624,53.67521884342741,179.81316834093371,C,-112.33083570153737,C,A,-45.05685952873467,C,0
Married,Yes,Jewish,Asian,10.665528720841777,-230.52536213771847,91.94730047442849,-196.69119899607196,72.80968752913321,A,208.0136763610913,E,C,63.429956449656345,C,1
Single,None,Muslim,African American,-0.5417566852383123,-43.271152082266035,34.174717980876075,-47.51610607046813,96.68449873007309,E,-110.71901918501068,B,C,14.782062696098766,A,0
Married,Both,Buddhist,Black,46.12561776647408,-176.33886079603937,29.563640016257466,-75.08257513943936,84.92254325914136,B,157.6083568115737,E,C,20.112673693490105,B,1
Divorced,Mental,Hindu,African American,-5.9704237923084085,52.0111880061074,-3.7963698027114514,37.63663455909952,-37.86179972958034,A,59.435225467122976,A,D,121.41457748203422,E,0
Married,Yes,Christian,African American,-76.89427409014561,-20.127402384547167,45.654153860334816,-35.4994940752104,-30.39298973309409,E,43.60418934911525,A,E,175.74017267227933,D,1
Single,No,Christian,Asian,-120.93824133623488,-4.44949934297026,18.432058199105104,-236.1779906278359,-18.394675199895456,B,76.51705363088335,B,E,122.62437092792268,B,1
Divorced,Yes,Other,Asian,127.83747811725641,78.10299173580152,-81.41536505463507,-129.72802342010803,-193.63494347750046,A,-91.64233015619077,B,C,-24.043092415431754,E,0
Single,Mental,Buddhist,Asian,-69.63075514366885,-78.5976227814695,60.421869914574,275.5999363628131,110.51129034872163,D,-64.54633651413023,D,B,-71.52232144094725,E,1
Widowed,Physical,Muslim,Other,-53.25176408864771,-60.230193027456615,-131.97574790840002,196.1001206374684,-89.97923059799942,E,-51.331290348789025,B,A,76.28799446262569,D,0
Widowed,Mental,Buddhist,Hispanic,60.48708253718426,15.253213213504061,-31.822282866616643,121.24976919924511,39.780291687672936,A,11.473613940211191,E,C,-217.61619958928014,D,1
Single,Physical,None,Asian,64.88118436156897,-46.74901235324107,142.74068889319668,-53.883413029956714,54.72774873897743,D,68.41296893277044,D,B,85.15904143771095,B,1
Widowed,Yes,Christian,African American,60.34227063544038,82.76908016045327,-86.31948283905245,139.15204206769442,45.7948108507073,C,-323.36240617636184,D,D,119.55932751897758,D,1
Widowed,Yes,Christian,White,-165.73513870171737,-41.11453657542723,-108.24181373030459,-68.91381895037209,50.437820413375775,D,104.84078393773055,B,C,211.59650540728347,B,1
Divorced,Mental,Other,African American,-49.11866763342117,-4.724543263662285,88.64544171073968,-67.06811875617859,-82.43587507834272,A,-40.69035601379182,B,D,92.73344880329772,D,0
Single,Yes,Jewish,Hispanic,66.9790594731461,-99.41698808699093,-234.84280392170672,-14.960446125313561,230.3171624591244,A,-105.414713574044,B,B,-23.324616012493426,C,1
Divorced,Physical,Muslim,Hispanic,-53.40573628076763,156.39808326756062,-36.54378737000828,66.91967769901946,73.47430656827859,B,-14.75922218315028,E,E,-115.59155652781877,E,1
Married,Both,Hindu,Other,-0.2974362476871447,32.79086413539421,94.19354314415888,-30.882923102974402,-86.7327361382784,E,-15.98492233200538,D,C,-25.01346392758511,B,1
Widowed,No,Jewish,Black,100.01620063078107,-55.51592273867878,-60.843780476433494,148.96718123659846,86.35994907425317,E,50.64330623148322,E,A,72.7351254625917,B,0
Married,Both,Jewish,White,-90.09722972543175,-171.02064291657632,32.81404966830666,113.5880486424103,-2.0953894396622883,A,49.01557323090014,A,C,57.02242665014256,B,1
Married,Physical,Jewish,African American,-80.84277630933661,123.28314955750146,14.834210325791823,14.975908583492231,-195.52607826201452,C,58.98646698699268,D,E,-113.92092065019783,E,1
Divorced,No,Muslim,Asian,151.27803774645642,-119.51765013516116,-42.70660194863684,238.79084164466667,31.194903794231205,D,19.26066579764856,C,A,-164.2778037070747,D,0
Divorced,None,Other,White,-27.037435577552003,-126.66076027056268,-205.03942281893276,61.41221759935719,67.54376661356069,E,67.89813256273418,E,A,180.4345506985478,D,1
Married,Yes,Hindu,Asian,64.91128728964716,82.55346439172139,-196.14838889436066,187.98614030656725,43.22626630254018,E,11.942085986641015,A,B,42.99757494258423,C,1
Married,Yes,None,Hispanic,31.47377635653893,37.41231541548557,67.65735643903747,-26.26349601222597,87.0029543926128,E,-163.97587685427226,A,E,-22.934247733780488,D,0
Single,Physical,Buddhist,Black,-27.252737577366638,-25.39899430323787,-104.48084077332074,44.57942005613914,-119.7333943238549,B,-40.00502633615719,B,C,-52.76175956641948,B,0
Divorced,Mental,Jewish,Other,80.50167585991812,112.37511055639362,68.0089754960396,3.6677232865226195,46.575211947820804,E,-4.951249637986959,B,D,-75.57921407635388,C,0
Single,Both,None,Other,-9.674161427312498,-104.6344529697609,31.0210544326447,41.168763770902586,115.69050068594535,D,13.401104748729686,A,D,-47.773271195021614,E,0
Married,No,Buddhist,Hispanic,-57.3050100437969,-42.76942764603995,4.942694472068598,41.262023634394076,-83.53658370230877,C,218.67238397134713,B,C,-20.61249580639674,E,0
Widowed,No,Buddhist,Hispanic,-54.25324335092762,-13.835037878366116,-62.24925434468286,-69.77188271074644,-175.78515317928205,A,191.4604286143867,C,E,-39.245524401728176,A,0
Married,Yes,Jewish,Hispanic,-175.0554832558985,177.88350372694293,91.232772035729,-134.30921140278195,-33.923609234999056,C,102.70367163062228,C,D,-14.78236077496207,C,0
Single,Physical,Muslim,White,59.59510279711358,-60.670083364773454,-127.26029235399479,-45.345181809184446,-114.90704754143283,A,20.098911635753552,B,A,-161.66232730767916,B,1
Widowed,Mental,Jewish,Other,27.907411589685655,144.9213408774046,150.42309063945186,-3.580011013272472,1.264983372494418,A,-160.79464107059118,C,A,6.985310427688835,A,0
Divorced,Yes,Christian,Asian,-122.44097072562164,35.099072710229414,-29.27139731743274,-52.770419324731286,181.17178144234998,C,-16.442561124079088,B,E,-3.4443246394519567,E,1
Single,Mental,Hindu,African American,-126.0347322490218,-95.60835771124682,77.11566355441762,67.7316191128495,103.19381043945539,A,55.83431906312121,E,E,115.00599646317555,E,1
Widowed,None,None,Other,179.98278477294622,-90.4572379063231,122.13276731101472,96.64694170504777,45.15364638434284,C,74.06564008631739,C,A,0.44806694245407674,D,1
Divorced,Yes,None,Other,-79.26310755158285,-265.06799526022513,-43.32375364784991,-203.0517448596965,-104.77309121438327,A,-70.92676967213674,A,E,-5.613245861522795,A,0
Widowed,Both,None,Other,-50.38815839126814,3.5667308573213896,-36.587133929783555,8.8670901279125,52.44075171863578,A,-232.33452220893466,A,D,99.41129422429266,A,1
Divorced,Yes,Christian,Asian,150.41769261155275,0.5540982851645756,-18.039263444292978,-174.1961756112256,-140.4441453907428,C,-67.74253627369002,C,C,-115.03970253976108,A,1
Single,None,None,African American,86.72399411480765,38.01495281479902,-98.95599724662976,-102.94692587347221,-41.281154911575186,D,54.99742042618128,A,D,-120.11619780467832,E,1
Divorced,Yes,Hindu,Asian,5.663693769485353,39.37807673749519,-223.3331329255533,94.26918372949716,64.69437999369289,B,-188.66975717736443,C,D,-79.38983389563957,E,0
Widowed,Yes,Christian,Other,-2.4318945468395845,-36.25915907351602,-107.75334030317289,-37.02439497828889,46.504139415382966,D,91.0134726202225,D,B,-217.14095925444673,E,0
