sexuality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Other,119.85670287284364,52.35511293236197,C,40.69518313456264,B,-71.5498144597894,-0.9724552030540435,19.809635591395487,-93.4170522058093,E,-55.054949699350054,-18.251404111226023,35.3126212081767,60.86097818694722,A,C,A,-213.44520934702524,E,1
Other,78.05640176853284,-95.61242314924293,A,25.40250338514294,B,-28.862127281474738,-164.40891205117074,-28.529549379841512,-109.51889244480526,E,36.42643893543606,-217.49363375924165,32.61370567046417,-57.44566411911166,E,B,B,11.739773693004661,E,1
Homosexual,140.734278692768,-23.52165386522615,B,-37.808550394875425,A,-9.122131224808031,-62.87946171742127,16.068120159508705,124.77338007537429,D,198.52772243348215,39.66255697939637,52.829345184194764,129.70300218479585,B,A,E,143.31987306037172,D,1
Bisexual,-69.34284608615344,-60.77389784347428,E,266.80072850358323,C,56.78815391819221,-45.527115837077105,219.2891421382473,-136.55537094618464,D,157.3968133711208,73.35518218952366,-109.26846316924608,302.82996627859393,E,C,B,116.91677728538943,B,1
Bisexual,115.94338139602564,-88.44584478626933,A,-237.50570336629298,E,33.51703262545794,-231.95917986703512,92.64413135163548,-45.06389053291975,A,-4.448996935879591,-42.89432613082754,-113.31666208600876,4.124536878811027,B,A,A,2.7103667138631398,C,1
Other,72.20612564616262,5.4867737415825175,E,99.74027857964725,E,207.07830779726248,-127.72915476868701,-49.46516446981416,221.32381990571704,E,54.85421301019324,-57.83622909627584,118.60563550319681,-242.16651875859995,B,C,C,-78.09473217697342,C,0
Heterosexual,-50.73351473758394,-91.35254328097528,E,126.56980699883079,A,244.72030513216652,51.564951953824234,143.1520638523221,-3.086473580204954,E,16.3358503644495,-196.98615825925842,18.665464887147248,142.26578710905667,A,D,D,-83.20398900619556,C,0
Other,8.246418373215139,-138.35350089625277,A,55.255228962173156,E,87.28434065806496,-9.03457875955174,3.5838227942100143,6.210952670803189,E,-41.6076464283767,-63.00913830757698,-51.554149635580615,-158.82266030343487,B,D,B,9.32478093239583,D,1
Bisexual,92.12244481201634,83.30582155842065,B,117.88997253714142,B,82.33931288313225,73.3359105935001,122.24705919180788,17.92400683460095,C,25.23559575966167,10.351267099832281,13.147952022700288,-93.6316423021638,C,B,E,33.78719143585934,B,0
Heterosexual,-23.29948208252554,68.7617629619709,A,-40.554621280454434,C,-145.70429068090056,15.516773175350165,44.89238757797484,-95.78088131205571,E,90.29012370488024,-9.444303221933474,18.02050427009738,4.875144782145411,A,E,D,-19.293938300124942,C,0
Other,-195.0375006685504,-158.53506329614325,E,-121.50617630504996,C,-144.99926828693307,-18.93431272131011,-35.038956558332934,39.60480154394061,A,-1.0509589451184047,74.06520236073429,0.037063676524533386,-68.32953606493403,B,C,A,-124.85602007619457,C,0
Heterosexual,-16.35610712139925,-40.717464214364455,C,-153.32791796005887,A,-36.58592747334605,154.95841840345915,-114.89669267604492,180.01970632267637,D,-8.924240462487987,-94.68084898818493,-44.051083830112795,17.969939155127975,B,A,E,-20.826795409193295,E,0
Heterosexual,60.77758234908804,-45.8051796645264,B,-260.2379113990874,B,148.60649908257352,51.77734637440759,9.262621912559807,74.14753476396054,C,89.30794163777539,60.158690598326245,75.94528573895138,0.7341314908721244,B,E,B,-18.936146487260036,E,0
Bisexual,-220.22169100874035,-65.80122535630143,C,-104.07202218604262,E,-144.3916232305662,-131.49018313755732,-76.93206899921495,-23.96614348262121,E,-61.234906911207176,-164.86116858115042,23.540439358452836,66.75628819184507,C,D,E,5.662014451238217,A,0
Other,96.98893129941789,242.20226606834467,B,12.681860244437118,B,131.04635183707606,-50.600566787681934,32.65654479596167,-92.11198181151401,B,-138.42953213728947,114.34581234319299,17.0888601640409,174.1631220562765,A,C,D,48.541209394961555,A,0
Heterosexual,-119.65710139877453,-94.21804968786253,C,-45.41809242498769,B,-20.444382924121765,-9.157437957280766,-53.115864522058075,-54.38804528024066,B,-38.9657869143157,70.60266607999132,-76.64974232396588,-74.24173400273885,D,D,A,-152.22662774663502,A,1
Heterosexual,30.235644183550743,49.83706485529175,C,-38.68411225856775,A,115.35859378221332,-84.4648085097705,45.82753889693634,-24.71023653380669,D,19.594115170552644,-106.78344261115289,-150.3353377655294,-67.63890295657549,D,D,A,-58.05266197981429,B,1
Homosexual,27.561259016038647,-52.266369025414775,D,142.3062103913437,C,92.15544815248256,84.7839786779374,87.66041582748566,38.526877732500445,C,-39.80704508231351,51.260380611071966,-130.79129168213277,-54.44827906001274,D,C,A,253.87270927185787,E,0
Other,-120.07905934948487,-173.6374104508949,A,82.23110971523052,C,-17.411837148677677,107.50816306788613,136.15160046843218,-115.24161104045301,C,48.52590702596528,58.032678980457185,62.36202551385257,26.48506741721449,A,C,C,33.16996548402869,E,1
Bisexual,-18.275330689966694,-63.46304383859469,C,-160.08571790064673,B,-4.103306952756943,46.917577160842804,-177.40290487169696,40.61110990080426,A,28.16029557968242,-127.04667773202442,-160.39773253762976,4.385442438944331,D,D,B,-17.24420904127666,B,1
Other,-15.014132517099785,125.95998216629054,A,167.9875207142221,B,41.20664525169141,-6.283241774117585,34.20730477379162,-23.10182651433334,B,11.703915608210021,99.89193386171429,75.64679932357627,50.31842777649225,C,A,C,-14.743303453592919,B,0
