veteran,genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Non-Veteran,Other,C,62.72188848628839,E,214.03344294040267,A,137.6129977948378,92.79229635311125,85.22290224407789,D,-53.67399003828678,C,18.582982656602507,0
No,Male,C,38.57108670155285,C,-59.22103297235981,A,-2.6576495521741874,-1.3390250918132796,-70.18283780468525,B,30.531792329776625,D,-89.57277314143903,1
No,Non-binary,C,110.7083983417694,E,39.54272805327126,D,130.97180943129308,-8.424707778907088,50.011775073551604,C,111.71417045659051,C,-40.657484302034526,1
Non-Veteran,Other,D,38.39723297655845,C,-49.52836902032144,B,75.36207394122869,49.883776010277764,71.09823463997841,C,224.2295739060806,A,-125.79212277224636,0
Veteran,Non-binary,E,-62.22613179129476,B,-74.88786377267012,D,111.86754077567068,-47.6172574793846,-100.76383169627849,C,4.213645496134912,A,51.056904134063565,1
Veteran,Other,E,-22.736915244409413,A,16.248062521094432,A,3.561599288929921,-86.79720283110758,21.101131518373922,E,153.85380230484853,C,-52.04234351540358,1
Yes,Female,C,-110.98655915217851,B,-35.57935007602475,B,3.955945726559107,-83.44551137216564,11.375219649614678,D,-58.865723537024195,C,-38.22179925136532,0
Non-Veteran,Non-binary,E,15.635786049835653,D,1.5758461679289946,A,-71.40976495313495,-18.591477675511303,28.94062814555764,B,-29.134421139138432,B,-58.967899709965124,1
No,F,A,102.25438151688569,E,-109.42263500064759,C,132.92410432879612,-310.816736987816,104.78272410916433,E,-92.96192955397862,D,-195.2232149744829,1
Veteran,Other,C,-32.06721838236328,C,-56.74672925828441,C,98.80136432429659,-133.10216992600138,23.250765554410012,C,112.15822795406186,A,120.40295570727322,1
Non-Veteran,F,D,-76.78403481205801,C,-131.8178279172941,B,-48.209614643601796,-28.23989318554414,249.76825201268528,A,83.18825081764449,C,-39.280082713472595,0
No,Female,B,-165.15697332178263,A,-14.026845842204228,C,51.634669933905755,57.14334263946231,31.351109879775123,D,-50.14017540143101,B,-77.8538891969499,0
Non-Veteran,Non-binary,C,111.82463507308718,B,-36.09822873745939,C,-125.29317059414014,-34.891435433610866,-86.88566869702913,B,-94.0056775038451,C,-58.53624383626269,1
Non-Veteran,F,E,-107.34298273097589,C,-95.97677170774716,E,-9.562373854327847,-40.69369759144278,-157.4972927276717,B,154.05600260434983,A,-147.91989698537728,0
Non-Veteran,Male,B,253.45401182334274,A,225.2560379400013,A,-11.210547279820524,-66.85739972335486,30.824637464854597,B,9.075945100748797,C,98.31458119353911,1
No,Female,E,60.18466219247621,B,0.052422605962895025,C,-18.76315881466326,-68.55543487938503,111.77523792493587,E,49.181478645995206,C,72.0273266752369,1
Veteran,M,D,-224.20458551999693,D,14.018918918454801,E,-213.9746347744955,-53.264259304688856,176.07092771874778,C,77.77990352030673,D,-47.77200467484094,0
No,M,D,128.57789962398104,D,178.5362223617745,E,75.18557301016914,-89.08699743688935,-28.193672218765336,D,34.37289318154584,B,-102.7962077683445,1
No,Female,E,-37.84783394251279,E,-1.2320368642507824,D,-126.50326052974354,218.5337964875321,-115.05223648786291,D,-27.836627292434535,A,12.982712034592762,0
Non-Veteran,Male,B,10.731882389198498,B,-121.3185133489187,A,-294.6395671759385,-12.609774786030806,18.732528162596903,D,-51.13282235363478,C,71.3468837738774,0
Yes,Female,D,176.61287433147365,B,-195.3954513819557,C,89.99840165672768,-113.1887250913589,-25.433137817467887,B,-23.274932412663006,A,-9.53803963665909,1
Non-Veteran,Female,A,-248.46910555656856,D,-8.099069979197555,B,38.24493226914836,-126.44366950044632,53.75695701552311,E,-61.94807861127805,C,164.82465117839917,0
Veteran,M,B,89.58272986236018,D,-12.435052657721531,B,56.394292538026136,296.0738942293102,67.97463434401631,E,114.64248854680079,D,-23.184132611719708,1
No,M,B,-42.895101857211124,D,104.69563923983611,A,-95.94224914569793,-88.0814962435399,-169.4579331967145,A,41.27218748288314,B,108.9778326291034,0
No,F,A,-200.33536971018125,E,-168.7092648638733,E,114.1017378199966,94.29052673047747,-14.685387413402772,D,-36.698432341488726,C,38.98071719887177,1
Non-Veteran,Female,C,221.41879963093615,E,305.1204544529243,C,141.3016457034216,-58.229460751512796,122.05029863192571,B,-13.844573620752735,A,-131.78129062832247,0
Non-Veteran,Other,A,-69.42687119973009,B,21.16600030427536,C,42.94665184887428,29.319411290787638,-111.85393844347016,D,-142.22463210493865,C,81.76121640533879,1
Non-Veteran,Non-binary,A,-3.146723057256447,C,-81.15197368288455,C,-12.881791876796662,49.33572682236805,100.83782721129906,A,105.20542990855128,C,-29.793583860992367,0
Yes,F,A,-15.088156974488074,E,-14.66328669556806,D,67.04219483655085,-120.44818160295816,13.122131017128789,A,-2.4224937124911654,B,39.78865351400907,1
Non-Veteran,M,C,36.7414900736622,D,97.67381809072548,D,73.86294966897158,30.9109728911849,-162.5524065141021,B,24.516370720430324,B,119.9631599778476,1
Non-Veteran,Male,D,-56.34029718039449,D,-44.14292962995772,D,-168.13109061385182,-115.48039910502959,142.0745841245396,D,57.19518051643171,A,41.42862417709358,1
No,Other,B,101.53430631796509,D,-21.489714904744154,B,62.47338771736048,-89.11402772490177,51.100520437041595,E,14.287030552529457,C,-42.250002544012474,1
Veteran,Other,C,33.01153787433723,B,-16.022419998154692,B,-34.876209226945754,69.95863933167433,32.67317860218082,D,74.30188252526135,E,-32.40253788733597,1
Veteran,Other,B,37.04109554181564,C,-102.51968563379815,C,105.6653311224623,-247.25882675839665,79.66027409344721,B,90.74183958927624,C,144.53068933716088,0
Veteran,Other,D,-20.060757825079733,D,-85.7503428880662,E,-58.30268256319297,29.568093018552222,-78.32784821431744,A,19.59781511799241,B,99.90418339321079,1
No,Other,B,-11.000057037036788,B,-57.525322221668226,B,-161.97574189576747,-60.15850393322405,34.117281024961166,D,-58.5016444228877,C,20.119183241559778,1
Non-Veteran,M,E,-88.53434015767589,C,-47.84937424532439,E,-28.370942688410327,101.37570251864368,-44.06347109960772,A,-130.27181225192686,E,-44.7465010915044,0
Yes,Female,B,-33.70750246481142,A,-8.752718726449919,A,1.6036040427140341,269.02316092549694,-156.42181829688099,A,-48.092569474652294,E,55.311273543541375,1
Non-Veteran,Female,D,89.83945713251428,C,41.48875858562151,E,123.99269983280415,-46.954769596555494,212.98464569257666,E,-106.02278811821681,C,-65.56684314481622,1
No,Non-binary,B,66.32451369341744,A,2.2530341823684505,B,143.59839486913637,81.02005308432767,81.47662370839063,C,-150.25270630752868,D,-66.9552935915582,0
Yes,Other,C,-75.64142992600391,A,-106.10373785565224,C,76.7492024066747,247.32865556921695,-167.73586218127193,E,-22.867961280278116,C,-5.1145716255011,0
Non-Veteran,Non-binary,E,-145.49299117714605,C,-97.96375381374402,B,69.95555572523354,105.34126346435345,121.21700249663365,C,-66.9607043833649,E,30.66617275228463,1
Veteran,Non-binary,D,-83.99993105287025,D,-155.42611487876164,E,-200.53528988954236,-2.777493884101847,-10.122267380857059,B,52.32538691486383,B,-78.7369414929354,0
Yes,M,A,-19.947309311559213,C,167.61701090027282,C,78.46271130043831,-166.24619275092948,-106.73938099873548,C,-40.30397453782439,A,37.695911549667855,1
Veteran,M,A,-14.561361839199089,E,31.276023263474517,D,137.95912283372147,-56.5235685745758,150.96855153364365,D,-54.174257794892966,E,-29.91274335594924,0
No,F,C,33.58133797157215,A,-137.96154235618752,E,77.81046619675318,109.22771462621692,-254.39867880946312,C,72.65476059276612,D,91.42704553603518,0
Yes,Male,A,170.89662981009198,C,-37.727776791056485,E,91.5088309147009,-41.94805748766085,93.30504580599198,C,-113.10355170828485,B,-63.69090542905447,0
Yes,Non-binary,C,-109.04774026170368,A,5.40103797230928,E,132.33150664534568,41.62441626730504,10.046167886291837,C,28.8247542914359,A,-50.00041612727173,0
Yes,Non-binary,E,54.48266510679402,E,-77.33190494132562,C,-189.92999921324915,58.48572295936351,133.75841341850625,B,62.2286267910822,D,-115.26979081826579,0
Yes,Male,A,-16.620199715790577,D,85.72556117690833,A,-6.453658927261011,-76.35159860192225,-237.40789211442262,E,32.76220305833452,C,0.35476838476115924,1
Yes,Female,A,-174.16751253988858,B,25.609778128990534,E,-137.03695428884052,10.14583923398506,172.39261481147483,D,127.48646641193324,C,-16.235148383909625,1
No,F,D,-147.94529266279253,E,87.71078199565937,A,-41.03928644386834,-75.70212717056536,-20.91096767322867,B,-32.7746664490112,D,-14.575751533653102,1
Non-Veteran,Non-binary,E,11.536270331392002,E,131.30770667188517,A,23.506760848575965,-21.54522277087392,-11.587769506195002,D,77.6787570046119,C,119.07029150498762,0
Yes,Male,C,20.755235902188787,B,-90.07375325543137,D,32.19303905812386,39.34141246940536,4.320507845347998,D,-25.211508221372103,B,110.86510737173086,1
Veteran,M,A,-111.36712618582638,E,-163.95079311456908,E,-81.59727398771872,-21.257973282389298,32.46687584697082,A,-21.55124588897959,D,-89.31717041065009,1
No,Non-binary,B,-110.4940897218055,E,69.3144574416032,E,-137.7258034816479,94.18243454445833,-61.949243509624374,D,-52.944951396124154,C,153.40933054057743,1
No,Male,C,-100.20356882734876,D,-104.42417367898604,C,13.843357227114847,86.15966609491407,-18.892473482480792,C,-62.056493823292804,C,-85.43022169279526,0
Veteran,Male,A,185.44480090841998,E,71.45350080119076,C,-11.135592864671215,10.501102035668348,201.5413390033334,E,25.181007321949405,A,-12.064073862340594,0
No,Male,B,12.5906983618821,B,-55.9297046453668,C,-220.91600806823243,-112.15884023125507,-100.59493055560876,D,-94.00245321307943,D,-92.89057700899936,0
Non-Veteran,Non-binary,B,-116.52277654922018,C,-92.2955757968236,A,-54.56243876214187,175.09224423614413,-169.403291643293,A,245.79401719436237,A,8.218217576135116,0
Veteran,Male,D,15.797492189273541,C,-83.59580142478474,B,-19.399888128342543,130.49026116513446,94.38642816858068,A,-26.250012882235986,E,-39.739729747798705,0
Yes,M,C,-137.80584665211836,A,25.02876643896756,D,-23.65799965824917,-51.45676487256574,64.83951236434139,D,179.24390550538382,E,-119.17578149417312,0
Non-Veteran,Male,E,159.06229510330934,C,29.718814307934426,B,-48.751027950029204,100.1076800194719,-59.74480551756758,A,72.72427571073149,D,34.273292548710096,1
Non-Veteran,M,D,49.839050376707675,D,114.86137560915441,E,-89.85967645547869,41.544044083319,53.6654883955613,D,-186.7112641891435,B,231.11789285320242,0
Veteran,Female,A,86.84071569934133,B,-64.54252588242598,C,-87.37436479776927,55.712065496398964,46.82222623824899,E,-150.8822360604295,E,41.47472483492304,0
Yes,F,E,22.151482304939275,A,69.63766088741552,B,86.79499349962553,-105.12478167904375,90.11206083741324,A,-40.500139754305955,B,-41.74582918311513,0
No,Other,C,-8.243031642035218,D,-0.3830785282845707,E,-5.936351287438387,159.61526471666895,119.24767540889103,B,-247.32541107512014,A,140.49865806239785,0
No,Male,B,43.73764707967676,B,257.66877777358593,C,-123.20551050465882,16.913532956160562,-61.769726614009265,C,-0.6955629002837226,A,-26.34509739997377,0
Veteran,F,C,30.886687517460103,A,-137.30947400527106,D,103.15653338310524,-40.2413530900542,25.084892897527745,B,-136.33037628868317,B,215.30108147635465,1
Veteran,Female,A,178.72051517239967,A,127.1761289163809,D,-172.06111741282996,-150.34063201404265,-17.521271280385967,A,-169.8994355352656,B,-60.10799704776986,0
Non-Veteran,Non-binary,A,14.400454920171137,E,185.2911755343435,D,71.5286993889585,15.413255989226021,144.19003812850565,B,-81.45699421693709,B,-35.5704752672565,1
Yes,Male,A,32.82164131533392,E,98.60838500802305,B,-127.63220855389261,-79.31285562802557,100.5424646245314,C,169.22129934682363,D,73.59868523007457,0
Yes,Other,E,2.7999339908431558,D,-18.226773059597605,C,91.93845264754896,-121.98109429491322,144.83354223248196,C,-54.4953149526712,E,140.0853170371448,0
Non-Veteran,M,D,6.501125021108117,E,-78.75994976239184,D,-8.77046102003169,-1.3067603815853948,129.50693321982916,E,28.716244839199756,A,70.53336448747885,0
Yes,Other,D,149.46759654004023,B,17.61603262009668,C,25.57656652194859,62.782462793300766,53.99349194403425,E,-45.46475769427087,B,-107.24608583286603,0
Veteran,M,E,13.333119441466298,B,-99.99354105432167,A,127.66092354224699,42.78869810854671,5.436641134365605,C,73.0062425691042,A,-145.7063795984877,1
Non-Veteran,M,B,-31.98597530076828,A,98.21592813023064,D,151.96463313314212,-42.88615298511325,-133.12958156088186,D,-1.6341703252489541,D,154.29930399425714,0
Veteran,Male,B,17.27617174293318,B,118.67137697917242,C,75.77516750431703,72.54656928225131,-10.245552001716753,B,-49.07526026063078,A,-26.885274962185235,1
