SEX,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,79.69345301578367,-87.11408046496074,-58.946598415934346,-117.73312559861517,B,0
Male,-6.886162730186031,112.21065384617441,-19.53044498651707,129.9787721024475,B,1
F,-9.017762787461512,-183.09200231803453,137.51859573420592,154.67340444807388,C,0
Other,119.38180179596796,65.96554063693048,147.18846350673743,-43.912826009653706,D,0
Non-binary,38.77718803756861,-10.891651353966123,40.206752898264554,2.2576632392248324,D,0
Other,-304.7001652567709,96.18323486786825,-185.65908829148637,-48.09654129437202,C,0
Non-binary,-1.308613495045272,166.4681829212028,-45.52807266687838,50.432285460776214,E,0
M,-53.04531121321896,-20.30962341021754,8.53076895863643,19.966458503692376,B,0
M,48.44678614648237,49.30090891979795,158.66800424655386,73.83917501881369,A,0
F,10.249558518928596,-119.7032196490418,-24.85303821227366,-146.77203998575254,B,0
F,35.21638615607955,56.01374059435324,60.90902590468104,-106.11151226129275,E,1
F,-129.5824933742433,87.69124482728648,-42.17088373586287,136.08536622861072,D,1
F,-43.32595022793676,-29.045388669795702,-231.03792964233648,109.05996460956375,B,1
Non-binary,-101.92553069075221,-110.42719036824383,-8.841151927720368,-24.083546705017753,E,0
Other,-23.527627836364125,7.8085224127913895,219.83012641343223,25.80715126685534,E,1
Non-binary,-116.16391244004527,78.20073390077773,134.20735014219852,169.99374414604637,C,0
F,-206.0506040820385,42.160740871969445,75.11592264177685,-123.33399085185259,C,0
F,-2.6436117302266147,-58.53975977253341,96.1830435459802,95.85718866492445,A,0
F,-199.44956690066425,65.17270170107923,198.99655845586875,80.82700923689642,D,0
F,-41.964475681061906,-53.10061370704082,42.8870963977044,115.02741235455221,D,1
F,-41.346000617976514,-116.25356815280496,-23.967185174638924,8.09640205227781,C,1
F,97.8429543346691,-109.9352731111523,119.693330330031,18.027729869097836,B,0
Non-binary,-106.30783408295763,-5.652570190029566,65.87662502211231,100.55858793697952,B,1
Other,117.26222095643497,-58.24786476818409,-91.04751792764213,62.673493483150935,B,1
Non-binary,50.398088356376704,2.3693580783564547,2.203137670621035,31.019011233411575,E,1
Non-binary,-92.53557819274913,119.61388832332361,-68.09829819252619,-94.05762086232589,D,0
Female,-68.64301020617556,-9.223099935068682,8.446894529967688,173.2776753040783,D,1
Other,-60.67848590834025,-34.64633319680954,17.702356238263793,30.678259817860386,D,1
Female,-5.38441800698849,-24.71553684476742,124.94336255705167,-125.24211043556419,C,1
Female,-97.78737717575873,-107.56922762292447,-43.184704796158805,-15.592144100172725,B,0
Non-binary,-95.46679531690381,-54.49506761833492,16.20797251600452,41.74924308052949,E,1
M,-4.034233631263205,-78.3821155325986,-131.67297309816007,73.33070023553607,C,0
M,128.6955057530307,5.28521030095877,67.17225051107432,182.19352729155312,A,1
M,-115.15724680222314,59.19232986069436,122.5856898260234,51.31973420132784,B,1
Other,-85.40249918306382,-168.5224735297525,44.52313868136662,-34.64245401790821,E,1
