age_range,handicap,Nationality,marital_status,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
65+,Physical,Mexico,Single,-1.8065101777551904,69.93607655854177,254.03345191357562,14.997170591669018,A,B,30.062166757553086,C,C,-13.761939684523906,-28.50298716480385,-5.397012693203852,D,A,A,-150.40416085349196,1
36-50,Physical,Mexico,Widowed,26.969648809375002,-70.51380672571703,-149.3414759015875,-33.17305615610986,E,B,-116.05183373687203,E,C,98.3688146870472,11.788704701439014,-106.2522837718138,C,D,A,7.597226812526024,0
51-65,None,Germany,Divorced,-23.022240583127555,27.443688326355726,116.42502187941817,-35.7567521322047,D,B,187.76693665663896,A,C,-52.90978280635318,41.09918119101395,-23.835176365542406,A,A,E,-105.61578798243,0
36-50,Yes,UK,Single,81.73639191753274,-63.86099938310347,36.61852721752305,-74.36742920491548,D,B,101.99709184006585,A,B,-136.94117141725695,102.9550727063911,30.135277847272906,B,B,E,-88.6979404208798,1
18-25,None,Germany,Divorced,-161.67677073196046,-54.41780413043226,61.57905892663086,-59.82110550384775,A,B,-108.78636047016998,E,B,197.6258662030791,-131.1913427347201,-0.2876800698319671,D,B,C,238.12611226936457,0
51-65,Both,China,Widowed,110.13180083498328,-55.32027086971155,-150.70916472842438,-29.907170930564586,D,E,-23.5317419838377,B,B,44.22601223601733,-101.4655776983433,134.5708933028793,B,E,C,142.7171908687623,1
18-25,Mental,China,Divorced,-6.976685972521,-57.067652263706535,174.37074495695663,120.16570881005464,B,E,0.605870455989186,C,D,-49.04986421246131,-1.6569814372311518,116.35996420926588,A,C,A,126.70921646133829,1
65+,None,Brazil,Married,-67.99679489285944,99.50227811544681,20.108555722349784,-35.35899674387109,C,A,198.7202506468131,E,B,-31.76367803696547,69.66701826185307,-157.24313188417918,A,A,D,108.55291842387469,1
26-35,No,UK,Widowed,-67.30122543728359,160.07641920363912,21.13142405949232,33.63521213683656,A,C,102.00474198507818,C,E,123.84075165474965,125.99611359970486,-159.0864247219282,E,C,A,-131.91765802563103,0
18-25,No,China,Divorced,-78.94399844334087,-78.14242628295833,-176.4980034169245,211.1226345348606,E,A,-154.55768904178055,B,D,-136.02953032660602,24.717575359159234,-176.26332049292063,D,D,C,-130.49548940294676,0
26-35,Physical,Other,Divorced,11.903272414363778,-204.5962023691323,21.741743499914755,65.6443968797449,E,A,1.0123370957981264,E,E,82.48427155863217,-9.170301975869965,-2.801152723643831,D,E,A,10.346878003399647,0
51-65,Physical,China,Married,177.4621812250709,-25.557084544469806,27.902369454648053,244.24352632214848,B,A,-41.10686687224381,A,C,-29.99587616907252,-56.824559597731614,64.6029536157535,A,A,A,2.6454046214437943,1
26-35,No,Brazil,Married,-107.30328266197644,-9.501949846662344,-118.67482376682379,-27.780241128336307,D,D,84.81340036137861,E,E,-4.741800011662449,-97.78305310737751,117.13147274548714,D,A,E,-25.493231672258837,0
36-50,None,UK,Divorced,-60.521373294685546,106.89624653764653,171.42221529418268,-155.4472144002762,B,E,-162.7072538357896,E,E,102.03323025256151,-71.32623293679447,116.77595263954224,E,B,E,-115.54701892608199,1
65+,Yes,Other,Single,102.3988672358363,-109.6787172948707,-33.62752282985134,-176.77538413919595,C,D,-75.36207591252374,C,C,-37.25805463346528,-201.11063492309088,13.279375846748895,B,B,D,13.202982961175632,0
18-25,Physical,Brazil,Widowed,3.722025448621212,12.922766117958517,70.64484294699625,-69.24259394493542,E,C,-72.7871435838784,E,D,-128.9695887528887,-73.60779948843386,-2.0774993569027416,A,A,A,-73.53052537284425,0
65+,Both,India,Divorced,154.4384315101542,164.31790387336525,53.32292303170223,31.878541851443547,D,C,-41.68260385779229,C,B,129.34401039742244,155.49654766523764,44.59471472601631,D,B,D,-69.43721822264293,0
18-25,No,India,Widowed,48.09524262084131,-32.54967722957047,80.90490259188937,-156.3379217513933,B,D,87.15979691067284,B,B,73.71680152997533,76.09065488487897,116.7459701157074,D,C,B,-50.65155303927956,1
36-50,Yes,China,Single,10.894515449438833,-43.28930656997372,103.495588538139,142.20390127506226,D,D,93.39224262757176,C,E,-4.157078281110324,159.52172736706197,113.67877426073505,E,C,C,-140.32011872278497,1
18-25,None,US,Married,0.07786820297851385,100.30940341329048,33.60167207743367,-69.58487340241881,E,D,-10.300623127348464,A,A,42.85430622305229,-28.063215979334938,-36.385633606358155,D,E,E,-72.92539053520795,0
18-25,Yes,UK,Married,57.13956380231422,72.66956635050713,128.915053342419,-108.05909151740667,B,E,-18.85468443014498,D,A,-140.26731952592084,37.581529181738645,-41.70373037626304,E,E,C,-137.19769844150656,1
51-65,No,Other,Married,-64.7073513828486,-85.21565426139901,79.40042320883822,-7.865311733180771,D,B,-142.69164157329251,A,D,-119.7336089845455,86.31455305516903,-25.82893777515412,D,D,A,-118.6731046040828,1
51-65,Yes,US,Single,16.84100222188505,101.12613208067407,32.54571692526253,-64.49374170666516,E,D,-16.315215900363327,D,A,175.54451966953818,9.38226737928572,76.36830735155932,D,B,D,-73.42903809740878,1
26-35,Mental,China,Single,-206.5770796701537,48.86447831120666,-101.8768049547238,-2.9140750934472175,A,D,10.630058467439072,B,E,-56.357141788408796,-153.75167919973046,-59.97373818396567,C,A,B,-223.989111890195,1
65+,None,India,Divorced,-103.68106710327672,0.9988627896371227,63.82835260488674,34.49218125661482,B,C,-151.63464401064763,A,B,48.2351972739511,66.72602760378425,-61.08211532856509,E,D,C,-123.88870035718979,1
51-65,None,India,Single,13.592087347451068,18.999719635902306,42.32740231569551,-57.991588353438374,A,A,26.937934989956325,C,B,-23.73998553289637,-117.400649121375,154.02184332489145,B,A,B,243.68615187371628,0
26-35,Mental,Brazil,Divorced,-39.85870154583757,-27.82065991407367,16.893033967320978,163.72438186781952,C,A,-50.284135419697485,B,B,-38.85038694398512,-28.570371573271196,74.32609845649208,D,C,B,-145.18947293923944,1
26-35,None,Brazil,Single,243.74382664067141,-15.086942955530114,-100.39462758247171,227.2589572023607,A,C,-130.56414588674832,A,B,-33.42308406775344,5.061115328687695,-60.52462752191289,C,E,B,-135.60379828165142,1
65+,Mental,Brazil,Single,66.39257558967468,-67.03120620222182,-10.023143012407752,64.16922147623919,B,C,-71.14759880831765,B,B,-61.68350890890741,-33.619648197186294,-45.120427850864665,B,B,B,-115.98429431397915,1
51-65,Mental,UK,Widowed,-46.264440712579194,68.23867777705559,69.7039848931331,46.43924249064636,E,A,-155.20203011071703,A,B,-119.76340630610996,-111.5895897983766,72.11962550663468,C,D,D,-305.0973634643484,1
51-65,No,US,Divorced,-162.31203513137075,-35.872649728123555,-36.877118255266716,-89.7549281995844,D,E,47.066635454001506,C,A,-207.43216217391557,-159.7300944181819,-80.55540154486177,E,B,C,72.33462328101987,0
51-65,Mental,UK,Widowed,-33.4632086143014,110.68567607686626,133.75358291304786,-210.61069461203624,A,E,-20.427192070682366,B,B,66.5577622306056,-145.95437401636514,13.16048159494776,D,C,D,-29.462730979187707,1
51-65,Yes,UK,Married,-235.61546784690188,57.48545973124348,124.83664615261306,-160.5019831808427,C,C,-17.89619499949494,B,C,-72.48920343943908,8.938115487251945,-57.73112959247406,A,E,B,62.00986391854474,1
26-35,Both,Other,Widowed,-19.021517369423833,72.92240539471922,126.51258086478185,-69.01746619553376,E,C,21.41384972766167,B,A,39.70281425507712,65.01745054568782,62.07984260352178,D,E,C,-29.68239612898674,1
18-25,Yes,Germany,Widowed,55.0912212696694,-4.903537481285531,-43.244763773112425,7.107004963118942,B,C,73.7111794543502,A,C,297.1663629190469,51.355041280631,103.00458302033036,A,D,C,84.04781263565067,1
65+,Physical,UK,Married,-57.38959373824252,-203.37932665101582,-69.06782094520995,-50.02244682942242,B,D,58.468894772170835,C,E,33.096291048576155,-36.36646260381217,74.40215686809695,A,B,A,187.26340900933778,1
65+,None,UK,Single,-102.29408482222033,153.22995031889542,110.09727129062223,-26.72170934735774,D,D,4.002029906441494,C,C,51.396356337440075,176.0986979694638,-8.885467189293367,D,A,B,-164.68356246060782,1
26-35,Physical,India,Single,25.21550499627439,-143.15502196564518,-138.22810259093902,70.98838905015505,C,E,-70.3575388816189,C,E,69.40980568473817,-55.52181777722443,-36.55836455273608,A,E,E,-72.14556165731945,1
18-25,Both,Mexico,Married,67.9364537817443,115.18531841172639,123.2364275396042,49.943597412651904,E,A,146.4066659982708,B,A,47.79803530522023,-14.738086223962043,34.52233910707563,D,E,C,24.510666377448235,1
26-35,None,Mexico,Married,-13.842721481827741,-111.33583633995292,-91.63397472368388,-94.52839358848179,D,C,-68.84061395290455,A,A,-24.536612044183347,192.68040370978113,-31.030089445752218,A,B,A,67.68884457648741,0
18-25,Physical,India,Single,-122.59893608423499,80.1372867091043,218.49566008836211,27.319984556860604,D,B,-134.1854150284759,D,B,32.014406053297165,-122.84773898136856,-92.99688650252222,C,D,C,-172.22532835947234,1
51-65,Yes,Other,Single,-57.758392915466004,89.606107479311,27.10500193844795,19.354702952186244,C,A,-78.44728182225823,E,B,149.11002511086986,-3.6345156984162643,-39.80558736256166,D,D,A,-73.84358801574493,1
18-25,Mental,UK,Married,11.376697217636519,-147.03533779499068,3.5495954746596747,-255.07350678968294,A,A,106.98700849593644,E,B,19.275691038937122,-40.38908823821474,-38.923084268417334,D,D,B,-37.49760350598344,0
26-35,Both,China,Married,21.419961170907133,68.97821504060214,107.35732198092973,-145.8540034689228,E,B,76.62710051659248,B,C,80.47992491631135,-53.58760283308608,13.607001527354189,D,A,D,102.31554862735017,1
36-50,Both,UK,Widowed,-7.774763778607635,22.847473239607044,60.83851138614036,45.35653046401576,A,B,37.45210366144106,D,A,130.8332365484718,-82.02791616733657,-11.494236685572785,A,D,D,-77.85995014133023,1
36-50,No,Germany,Widowed,37.46302114688338,100.93282648465384,41.723458578123775,77.5556619655904,E,E,-28.149118060590727,E,B,102.9646231959448,123.17993214813457,187.6466568829556,A,A,A,3.388156553078988,1
