marital_status,age_group,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Widowed,51-65,No,C,D,E,-64.80668612358544,A,-90.39280034267709,-50.07067512201778,E,C,D,89.4478903878561,C,4.822278469181781,8.913128738563264,87.95288454589395,B,A,E,169.34755193957807,1
Married,36-50,Non-Veteran,D,B,D,163.18683199107778,E,-0.946849225670239,48.25006019964832,D,A,C,73.55085176997346,C,-13.517893369265707,2.479792297366486,35.88935324755542,B,B,A,-30.883579293416403,1
Single,18-25,Yes,B,A,C,-23.115060714669394,E,-199.4739805335314,42.816455955812835,C,C,A,13.693077694441588,A,-41.08372303851786,104.53754743099677,-1.1065318743738053,D,A,D,75.07746863658217,1
Widowed,18-25,Non-Veteran,C,C,D,-51.97287868695349,D,-40.06143161823727,148.78448295558027,D,B,A,-29.281027543464354,D,13.836371457695545,-152.53757427504092,-69.68304323017576,B,C,B,-67.39835782984052,0
Married,36-50,Veteran,B,B,A,-116.40552193512077,D,-90.99650786383627,-80.99251493266037,D,B,A,-72.8691304463964,C,244.9270419079447,84.75986423228947,-0.6059939064995573,E,A,D,70.82664270102595,0
Divorced,36-50,No,A,B,D,120.58788074914779,C,-197.82507024822516,-72.44021418667347,C,E,C,114.17884568766394,D,-109.91868163290515,79.31387819728505,83.8119296700427,B,C,A,-146.67493370029436,0
Widowed,18-25,Yes,A,A,A,-287.4407026437934,A,15.173469161458078,-25.04489532629335,A,E,E,-63.93991716382297,B,29.087902401550604,-55.74198974695073,182.82454530811393,A,A,C,35.36260904437568,1
Married,36-50,Veteran,A,A,B,-11.035926270534041,E,-46.33391368242114,179.68762049106257,B,E,B,-18.28542233735284,B,-34.37770634365304,76.566445217206,4.453082612061381,B,E,D,-1.3181652970072562,0
Divorced,65+,Yes,A,B,C,-53.28366320689106,E,127.36229545540401,-43.40585140429321,A,E,C,50.79584147237561,B,64.8763824048854,-69.46495803795017,140.96245248466658,D,A,C,-46.38158174154761,1
Widowed,65+,Veteran,C,B,C,45.59278247455215,B,75.41378736566125,-20.552701952312937,C,A,E,-43.235138885553255,E,-106.37574676410249,-9.2207763003952,-64.83717602741993,B,A,A,-12.773165080293925,0
Married,51-65,Non-Veteran,E,B,D,30.072772159851706,B,125.46719699886594,74.49655251548477,C,C,B,41.305055272086065,E,-257.12332554682615,126.62988869362377,-120.5431096043589,E,A,D,3.2390904467936403,0
Single,51-65,No,C,C,D,-105.08232452226649,C,-6.759076327470044,34.334582650372056,E,B,E,-5.7060656177567015,C,-50.8438236497641,-218.9950705102345,-135.67678592033513,C,C,B,18.28306735645487,1
Single,26-35,Non-Veteran,A,C,D,11.913318851270068,A,-9.612424682398563,145.0233489664112,C,D,C,12.728657104236937,B,-38.417204400297564,-59.4418309242851,78.26396711511651,E,D,E,31.593044178095163,1
