gender,age_group,veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
F,36-50,No,-23.073463241205094,16.645917976949022,-107.3357798923068,15.936443132681083,34.910949145106336,B,189.43764917639638,B,0
Male,26-35,Yes,-132.75257221550152,-177.2857313435792,-73.27326014800704,-83.15237716388305,264.4912890960294,C,-165.97968111394292,D,1
Non-binary,51-65,Veteran,128.3073544590029,-32.21977585441799,71.19272452711162,-53.09996327028716,7.896729882983046,D,18.935904509718224,C,1
Female,36-50,No,65.35725208569872,6.801378073309941,157.74871140047898,166.9091909338484,-254.5901695560094,B,-129.17057290227862,E,1
M,26-35,Veteran,-100.41369455867495,-34.60915929924316,37.491624664534015,-96.2589692497174,-38.554917956706475,A,-123.25038473208029,C,1
Other,65+,Non-Veteran,30.3177304010472,-30.588167431538277,71.5585988926782,-59.12256678863328,58.37392173634406,A,-88.51883725997729,A,1
Female,65+,Non-Veteran,46.83298081620435,197.7095276094059,190.03632438770168,79.284020168826,-59.184285162380675,C,-96.18439665611473,D,1
F,36-50,No,-295.82248271354223,28.746925252736013,-63.738247509784394,6.4006664655664025,-130.89013023132,A,-42.28266120486911,E,0
Female,26-35,No,-68.60525794008173,85.4542961753979,-55.063309529778756,-145.76892177866898,91.60689678189264,D,-91.47257184563775,A,0
Female,18-25,Veteran,66.44226938188324,-143.30736234259305,-182.59974582831953,2.134405963722307,-102.589559737744,C,-114.94699863834643,E,1
Male,51-65,Non-Veteran,13.582376075388044,78.40833704742268,19.889228409995667,-188.73884837355533,151.60411238583092,C,-87.3592014649438,B,1
Male,51-65,Yes,137.8149206280658,-96.88270391391339,-3.198125521055954,-129.89275092980668,119.18813667936186,A,166.58399367239613,C,0
M,51-65,Veteran,-20.65611631848758,-181.68119765563623,-72.73531207024419,-86.64209805297087,-47.783409411350455,E,-226.3592882265221,C,1
Non-binary,18-25,Veteran,16.876041498943966,-173.3573471743522,-81.54662808684152,63.03456068526013,112.31941992331463,C,-28.23504609547972,C,0
F,65+,Yes,-94.50079017019635,21.983935491688378,-30.768144029551532,-36.32477861460017,13.799341843155846,E,-103.61818816392882,C,0
F,51-65,Non-Veteran,139.344610574622,10.378423890885719,76.50836792073497,108.97974584179772,-176.07477745892538,B,-55.219307851357016,A,1
Non-binary,51-65,No,-38.70094733253595,-25.211752538301486,-109.11671075075284,93.4723996036696,92.83057979819712,E,141.6446204963748,E,1
F,26-35,No,81.91387420909197,-21.799352094830244,42.25571384277265,-26.786852398283166,16.133098900621818,E,-43.69725257364796,D,0
Other,36-50,No,-149.74283511891946,-4.323887188261896,79.39340983187834,171.30368087585407,-107.488355612223,D,-76.79534645883867,C,1
M,26-35,Non-Veteran,-20.58266056598345,3.2098457580296356,41.53861989821201,4.8511499572527015,46.33215525786763,D,-38.73958743884312,E,0
Male,51-65,No,28.374105482298877,44.170567461191496,7.802254728279667,-19.31570175899336,50.66214939842133,B,-94.07567561174173,B,0
F,18-25,No,-81.25705976383495,-34.97680549847903,20.494915410828835,-17.929279174587222,-257.6537809243724,E,259.57871020509634,D,1
Male,18-25,No,22.945438019188845,1.0021724032642592,88.65112945218502,84.45129000119775,53.17793317238171,E,120.15320970902361,B,1
Female,26-35,Veteran,-9.478978828310131,125.34573893131704,-51.49298453690649,-162.13358629446293,-30.9734390975626,E,-178.79446163272186,A,0
Other,36-50,Yes,54.61345041065291,-16.347789850074676,124.0784121563033,-2.7782215900093212,-185.04870414102334,D,-74.92346057265775,C,1
Other,65+,No,20.00213465444369,66.27766999693868,-50.06821770565173,20.16328896191797,129.32835878434585,B,-170.56452678504513,E,0
