disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,target
Both,-121.26855916206686,C,178.52273075253026,B,D,71.19725906357436,153.87758780496333,A,C,90.20447029355083,-68.99177611835117,-56.197753256266324,D,39.368952588260996,C,A,87.27847259100895,-102.17912315587878,-110.53199834061552,1
None,-75.80663667064282,C,-38.387233206893065,D,B,-86.88807237111557,94.77848194987605,B,A,17.567292442723865,-110.80248996530058,11.951059028463709,E,-228.44593452383575,E,E,-198.91416424334588,-78.88787457312736,-166.4853571523337,1
Both,61.27140245212661,B,254.13028203189944,D,E,-224.5500650832808,-28.391609137942492,A,B,83.40793335871287,-51.60819963453467,22.84222107158121,B,155.3692157676558,C,C,-10.285041150030285,168.48621359146904,31.673658429812306,0
None,-36.74735380904176,D,163.54816564745758,B,B,137.94120996251254,56.60836322288208,A,D,25.10783761907004,20.393738453428927,-158.0767614878529,E,58.12832823036407,D,C,-76.6838270968842,-74.85352925939664,-88.99397845580187,1
No,-57.762605618754826,A,-116.66197056129815,D,A,-55.65300533775239,-21.98729487243756,E,B,-14.274711467395193,43.04652315629268,-80.08137831421158,B,69.00728446186092,C,A,101.6020364724167,-6.416198686280369,-46.82038766000581,0
No,70.91881644022958,E,71.61291109749281,D,C,-104.50977833001316,90.44735890933887,C,C,19.408967889096708,-183.5997413423455,45.0438818240686,A,42.67460214759428,C,A,68.9289734445303,56.95077757571356,-73.08536113033898,1
Physical,149.01151234091557,E,-71.37756300046317,D,A,-72.45491880064652,91.78989332940098,E,B,135.94195470283026,-87.27724148363345,-43.55555294485085,A,-144.25656263768965,A,D,26.960490263503615,-18.280091583018603,-52.44360143112454,1
Physical,56.68271558567428,C,17.596788270528588,E,D,103.96327243259562,133.68093377870858,C,E,-6.802782405988516,-225.82254418238205,50.20377240458153,C,-177.78961668187526,A,D,170.62929214857948,-126.50710489481118,-19.565052821698025,0
No,86.98722089133395,A,20.67364734062816,B,C,14.060624583422795,63.81517414777902,B,E,-166.79787124489,55.789994526994136,92.66786017335488,E,-84.11119278567197,A,E,-63.18541331983977,120.38831374493265,-15.994629646105738,1
Yes,-7.286342876576389,C,-70.55344842614339,B,D,-88.10479514225926,58.615345971372804,A,A,119.63558739761231,36.20042364056011,11.578831128815656,B,-83.56699883907486,A,A,-73.81897310012407,-84.57334930687762,33.376696274353215,0
Mental,15.127162595202408,C,-209.56129544511987,D,C,-16.96263132303895,118.0790791058149,E,C,-65.12869733619108,-8.801171099940044,-16.893472618640658,C,-43.59096357405984,A,B,-114.30591271897458,-33.25920452129793,-38.347719516936145,0
Both,86.54142864964808,E,47.62198386198994,D,E,-33.94234049337976,93.16592767570141,B,A,41.33639698225875,-14.283547577726777,74.80438114511485,A,68.3085775780277,D,A,-85.3035359736669,-34.96922200449804,-62.8090202410151,0
None,-96.19957883875693,B,-13.036299228340702,A,A,-99.7967316183198,-226.1319206297621,E,D,161.38838465686095,0.24968277724763335,-51.2879350212077,D,-158.39847949022663,A,B,122.28020507618828,26.18969335651242,108.70083349442119,0
Physical,-48.32553444823551,D,-61.22893829775489,A,B,77.16393070484598,-25.550179711096632,D,E,50.485450839551916,-21.657066893375838,71.2819893478312,A,-81.14546097236078,B,E,-25.012512766033073,40.426575885116165,-29.591415013497883,1
No,-173.23634277754897,A,-28.149523518120212,D,B,-55.01778473874569,43.34534533097402,E,A,165.75139531565668,153.4486883683587,-65.21907468564562,D,225.17366355816813,E,E,-93.77782903413572,64.04503394957072,158.02127948794794,0
Mental,112.33303016122507,B,-73.58358617619649,D,C,85.37498157857303,-47.932295610183935,C,C,-130.5140570884553,-46.09808822833285,15.611329830931556,D,113.22864089657214,A,C,3.11997034891746,-4.442355224762508,38.45714415826327,0
Yes,122.04368395607561,B,-88.91797084622695,B,B,7.852230846228108,21.373060392011922,E,E,-77.14287940253251,10.511556870316213,63.215422947861335,A,120.53139314692842,B,D,-67.44369718620307,12.782924760412387,-14.76819778428273,1
Mental,3.257662755226608,C,-143.7026809208773,C,C,-33.82647997543444,-32.56512948994715,A,A,-90.67401970003797,19.56037466344297,-177.72496175105556,D,41.848336977222374,E,D,-0.2262251027924411,-227.69033788277952,-72.8376283524354,1
No,65.11718404255316,A,-5.46898905318979,C,D,-96.53020497308528,18.37188818360528,E,D,-32.08002806533094,117.69094209370054,-4.614467473957253,E,91.70237338608987,C,B,-103.28463322134091,208.0834498982235,104.29033858896983,0
Both,-95.4474194528359,D,-122.71595944657227,D,D,100.30119755107964,-64.84697491990667,B,D,-73.67575984048366,-142.38528634846023,-29.9827139434234,D,-4.044660110029132,C,E,76.77552264980527,46.67805379389123,105.03645484840784,0
Mental,117.22190667208119,D,36.022161305406,A,E,-70.0071496844082,-150.00807258463897,D,D,67.85017375508971,-25.91983420859661,-4.240425564404904,D,-43.26588919461468,B,B,-90.73800125769714,-61.93548849606812,-28.342510239894253,0
Physical,29.259954674831135,E,187.61724082611073,A,E,-1.47818128084267,124.3883560585048,A,D,34.25218156142768,-1.3112540580899317,10.981971872968192,A,-80.0215183238075,E,B,-2.8410606291172686,116.00157900186451,-51.785492181261226,0
No,48.92552680724601,B,-91.53074943456092,A,C,-122.47377795790102,-4.936961849610822,C,E,49.31396793144605,-176.50344287701927,-112.0680900419226,A,-2.0308619222653497,D,C,21.953751787799277,-71.94438202601481,-79.22380765185773,1
None,45.414615953473906,A,34.463239622707626,D,B,-121.47094683723711,105.12668425595244,B,D,46.766482742884286,-158.6977209630498,172.44859612566987,E,-1.1944272234255093,D,E,-47.876758692189355,-26.480389350266513,248.80793757870688,0
Both,-38.46811316928418,C,-111.60471899489721,B,B,256.1186254018534,222.62199463535404,B,D,3.574964077909764,126.48426737314698,-190.53912564815835,A,-208.02292680971436,A,E,118.86583906664272,46.74474062560437,-103.05486482455004,0
None,-86.06803149010484,A,30.63548281200143,B,C,132.03076212638604,-32.97602301653295,D,A,48.61244376899969,-2.9906842759395977,-61.220848386911484,E,-164.4605930675932,E,E,27.984730214263447,-220.789688431906,61.41152610845013,1
Yes,-21.60174543666678,B,-111.55721291255504,B,E,85.31231675122638,-30.7055326447944,A,E,-192.4785554304625,141.24697791688473,62.72906899226641,C,-24.356836447876976,D,D,-126.24633390334597,21.011253564353247,-226.3364027391439,0
Mental,29.72354683388897,A,-106.85565663911606,C,A,11.304578668086663,180.3361640611524,A,D,-163.3336412865214,147.03803380644004,-100.5885937958353,A,-72.29788846470252,C,E,-31.33054789721011,-16.733543086692823,79.76864427742227,0
Yes,136.48842863797933,D,127.0155317857631,A,B,-38.18426314414045,66.15890640871208,B,B,11.848898728069347,117.58811873623769,-139.68258411527052,E,222.55028458422422,A,C,89.20882531935388,20.234607197872315,154.33510730480805,1
Mental,37.88412757288204,B,-8.262426501718545,D,D,-10.638617560936726,-65.1414863024959,B,D,-66.91375046753363,94.70356078227337,127.7506844813493,D,95.05928454081165,A,B,-126.44240922195694,118.7024971096123,-18.13401283474493,1
Both,-57.597689755189506,B,77.46636867534733,A,E,138.42398465550477,-132.7346263822674,E,C,-42.905584459718135,-62.376569746250155,-19.572572608882286,D,69.60686807985012,E,B,-94.9196633429255,18.268242653239586,-56.79584376269754,1
Physical,27.70792275280556,D,130.39785054219567,B,B,-65.90472352964237,-88.46346146011884,B,C,-72.51284528585516,57.88448532788705,-74.52987758765069,A,-67.92635224558914,D,D,-3.727139209162922,-179.37859542377444,34.09333776394278,1
Both,76.11528910604729,B,22.954326717151766,B,A,14.930988509095359,-214.3231876189103,A,A,6.674926640435744,-93.91678974233142,-123.15784136293017,E,-40.962856820537915,C,C,18.54852586314103,148.7913323006404,-159.60095371580195,1
Both,78.27435266045484,B,102.92485144354065,D,A,-50.775144424235506,-47.289004956749295,D,C,-226.82399158045996,-92.75458525548868,-189.69486635900859,E,85.21708096687887,B,C,-51.314267807667356,-185.4950198379746,166.39911074061644,0
Physical,193.5588179669661,C,6.0827488216972965,E,E,107.46785572855515,-101.8939165179886,C,A,90.45987837163922,-3.6990528515509373,25.210955473683764,A,91.73817967765737,D,E,-72.37354316312062,-61.235822263442955,-64.4150743813599,1
Mental,82.96746742468672,A,-46.94796304872788,C,C,-112.68227129683774,-60.14674736948328,C,C,-31.484039820261696,225.00886995363612,93.72378812444215,C,-160.03157640892107,D,C,116.57873011079982,-44.70569536786359,-17.790825688454216,1
None,143.09966148604698,D,-63.47901872455067,A,C,-29.247719882823525,-121.36160415671584,A,C,12.210668838985377,-129.33707920690247,151.72578966481237,B,112.74531284707376,C,D,-50.62268314478291,-79.1015559288092,-21.47613476367098,1
