nation,age_group,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
US,51-65,57.341757544354856,-68.96171188597272,50.42300270496867,D,-149.7701537261774,-85.68772415164098,B,94.65738325501707,-175.20602296513667,-78.99163622551819,0
US,18-25,-119.89066128165788,73.90997820670422,-63.945429415826396,E,106.847038358238,-10.166585583754854,D,16.043084081416925,-162.94642277871876,27.700954160122905,0
US,65+,209.1380147221463,133.7116691100633,231.42452079080428,D,-55.605876249684336,-29.196957181681732,A,82.93988945794747,25.540236042455373,-40.35021033772628,1
Mexico,36-50,2.459889114174725,61.651525922601316,71.92508495789771,B,24.062441327148118,54.28717220758678,D,-55.89240359235424,-4.235317228884402,51.92072164951129,1
US,26-35,0.554848501359383,-133.9628711107049,25.55360497559568,A,18.493346847345222,98.55716902647926,C,-125.34019400107066,71.23548301270499,24.14201642144728,1
Other,51-65,184.00479947173247,-65.34857430037923,70.49756515890574,C,-34.822373780407936,-82.10662705918259,D,38.977638418432605,-69.7778394368664,-151.55789892791012,0
India,26-35,27.266075506511644,166.50329367633208,26.314697171511543,C,-31.51847128906032,67.23833673404162,A,16.30907525484019,-3.74411276105283,23.31009187483355,0
Germany,26-35,79.0843007482163,61.213914051992354,-33.75055327559943,C,36.776779123311286,-40.660469783274586,A,20.453416973578815,-35.47718710307175,-35.80991326333978,0
UK,65+,360.8314949586554,-44.89390886654537,-4.10933832234347,B,-85.51131498136341,25.677743227176506,E,11.403888624892927,20.603597451897443,191.95456835325297,0
Other,26-35,138.83418881474577,14.681251060472286,-163.0386532015277,B,35.30290511544619,110.54446974974994,C,4.1136531008079364,-101.66491502380318,-252.92838445325518,0
Mexico,36-50,9.700754475277549,-69.37073125159115,274.8847926941022,B,219.7959919286872,196.35688151722647,D,-69.43075943858199,28.35305342439493,14.410469768740947,1
Germany,65+,-101.63292913538287,37.17283121662556,-152.71511475609242,B,-183.2819648100713,-95.78569823358934,D,-229.9453215766743,-45.83398743881147,2.027866075744243,1
Other,18-25,165.77321934317973,187.68503082410942,-72.08234116796767,C,21.255596026716457,155.36525707065033,B,58.784170638602504,-72.0449720285776,-39.98053617716765,1
UK,65+,85.72841343262306,34.28964380640777,-102.87225845191375,B,-68.06262806228166,-71.91769496572203,D,-59.363403541729774,-153.31377404531665,-68.20664962937414,1
Brazil,36-50,-123.77486155487321,-34.19057491354639,49.5316828491559,A,7.409666572669188,-139.38370586294525,B,-72.35195563967956,-137.6583635430988,-49.99093811352455,1
Other,65+,-78.61263232096371,17.146632319983212,-52.93290625661001,D,32.7110360188402,37.7476930240023,E,-6.943269208423118,-121.98193062820606,113.94681819044035,1
Other,18-25,17.983610002316873,140.6779852291002,-32.594358358554246,E,-71.30057895897558,-65.61270811367146,C,165.181449252586,172.17407154330456,-167.16242186926567,0
Other,18-25,-2.5383168756571224,107.26661986729738,-109.537167446869,D,101.57117736200239,-64.56886590472661,B,-59.230794484998015,71.69713904116693,-17.157914624145757,0
Brazil,51-65,-70.88966984692887,7.519979393011263,-64.20064339515186,E,199.99863748281038,-77.05278760680656,E,129.014337092776,-22.682596961723128,-3.782441390228477,1
India,65+,104.22900643583937,19.806722689997393,-42.586629475134195,D,-81.324759928011,45.3564715988269,A,2.0624294667271132,-134.5460257512543,-25.39797357715983,1
China,36-50,54.725527649966935,-187.90089224196927,70.28155660015324,D,111.89173123637764,125.86942583174967,C,31.043434048948406,22.13231366104763,-5.274500250736381,1
Brazil,26-35,-152.44609261137867,-54.279312366119726,-157.48723237627513,C,-87.12600601219387,97.36945843826301,E,-3.8077362778463084,-9.554575071487093,269.98050922212985,1
China,26-35,-4.768544917778184,132.59588957527538,106.27600445553034,E,225.2394651383441,51.29979829013182,D,22.028901351401974,-88.45741712205634,-166.1125204188377,0
UK,65+,-182.88418521518267,-207.05152368025313,-234.58784623937325,D,101.81231563966962,-174.47640656667733,B,118.11001470453735,10.242214497401989,59.71482091139523,0
China,26-35,54.82752816990802,-23.07654899041091,-12.636691325141081,B,-109.49149495196684,207.04631000030943,E,-12.00764972237478,-52.12526176359884,87.41279335658034,0
UK,51-65,76.24342218393568,109.83724736358793,-7.75932704730395,C,-20.986602653120336,-97.75652810158367,A,85.937923720401,-41.358231256378595,-40.163719290359026,1
Mexico,65+,-49.21438564026349,-30.960043989641324,-115.51923516565171,A,-69.9900359738691,39.414512091341244,D,-53.084417621506354,42.03674594690048,-58.26166500127624,1
Other,18-25,-6.775641324256931,-83.54376506815792,-73.76467860040147,A,-96.63777253567206,-54.71714121721429,C,112.23507110666165,144.64258802503963,179.45419155036325,1
Germany,26-35,-75.67303548295362,162.97356939523993,56.88492593649116,B,-72.4906082947771,-150.73628293713392,E,32.591841043196006,-127.84716601131227,107.40543569775089,1
US,18-25,88.00087701310957,37.425409830829,19.208177672221225,C,-72.48057107119445,47.321372119406554,E,9.466547983705427,51.37619584381395,147.27182274199134,0
China,18-25,0.003835985972970779,12.493826731755066,79.10486877223238,E,94.49081886870944,18.85348802013244,C,-59.90301650842342,-82.2467449883366,161.78919034338267,1
China,51-65,47.14375647334607,-65.78427296863468,-204.06536553495977,A,37.09217681825371,-119.60986802165942,E,138.2584538141685,-30.590656383911924,-70.27251307700111,1
US,51-65,267.7534269878835,-37.947905385223315,9.231999572438012,C,-247.1896181197911,-30.142762069432756,D,-24.00508403053915,132.3610308402253,65.1940601459746,1
Brazil,36-50,197.53591762666255,-220.9011804064665,-98.06553302671078,A,59.8652000750869,-14.470264774384042,E,-35.71983924351254,18.100247189530723,179.38748904788403,0
Mexico,18-25,36.67802954556068,59.25449917355824,28.792987526278274,D,1.328947379593823,17.71401797348252,B,-93.92174210927128,26.270069106582984,-64.84664537241521,1
