genero,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Other,-12.754469814603295,26.759818860081282,B,-79.06373527574307,A,-12.224673394475136,D,-48.958692294953984,71.58925122702084,A,199.4645215951001,B,E,D,13.71600269916195,E,0
F,-71.79198263734054,104.0846083483935,A,125.46886184323343,C,38.98889293428014,A,-126.77367545177046,-5.010078905913213,C,61.08595450249873,E,D,B,-18.26658045264768,D,1
M,-51.057310195781405,216.07437219713077,E,91.62987319023347,E,-99.53992318330702,C,-19.266826011929673,-96.93613926006272,C,14.876341070018745,C,B,A,-7.816493760748984,D,0
M,-76.09833555205479,-10.519738487210786,C,-101.14697800121269,E,2.709792050996088,E,107.57913638926011,1.7811970185094839,E,-87.85567703324097,E,C,C,-75.32788293022827,E,0
Male,160.15001918064232,80.47656090222739,B,-160.14908728865066,B,-10.510250741143668,D,-22.867136359544332,-3.978203497693734,E,-226.29825978521265,B,A,E,68.04002155425943,C,0
Other,-215.5938233872314,-91.96528606868154,B,-46.39518633115495,D,291.30584728262494,D,-17.248169366491677,-3.7628225871807213,A,-116.35963924197877,A,C,C,-73.14505490499312,A,1
Male,-178.38265110330576,75.99873056406686,D,-203.26292794982996,C,-0.24281644683897102,C,-1.7394862006415464,85.69199901358131,A,-36.50649787586862,E,E,D,-236.6687709684625,D,1
M,-29.34029236580262,16.24600537931167,E,54.70366548341568,A,65.29813517474594,B,146.38550080647545,-67.6150595685635,D,-5.270453362779146,B,D,D,68.90208923231941,B,1
Male,-123.10869839979122,50.36785428990538,E,-162.64564677526118,E,-138.8907511538651,E,-83.25768660795501,-100.51812750471869,E,-114.85686053395807,D,A,B,-5.672124614610496,E,1
Male,66.99767335680363,-23.63274690674594,C,-3.8667034582380557,E,13.491506909716442,E,37.457779912507036,-46.303269832887324,D,-90.08316228188225,A,D,B,-76.50763895746749,C,1
Non-binary,24.83096988292819,-48.17013409378951,B,28.458892041995448,D,-126.26357955692598,C,-6.059998047223463,-16.575875852394788,A,11.30682451137637,C,C,B,-68.64305700179432,D,0
Female,-112.82117225911712,-54.200071813345865,E,159.27121706298738,A,133.62677050880302,D,-58.098231166856486,-131.11111526739433,B,-143.91752392554596,E,B,D,154.97894741700523,A,0
Female,20.08217086168917,38.22471348453047,D,136.5616782037391,B,-106.83701826759291,E,-85.94697504753981,9.823144345783907,A,-82.74326408398896,C,B,A,85.51351352091285,B,1
M,13.071389762220903,103.76517218873235,D,32.78514268921118,D,53.6452477024146,B,-43.31959029577926,-18.482999357214908,C,134.4425712764371,A,A,A,254.10178503132838,A,1
F,70.46647588220141,179.32174017830826,B,180.48473761630095,D,11.268114965064504,D,-122.72044774115669,-50.16176572796758,A,12.740397784841177,D,E,E,-52.68259077751364,B,0
Male,32.433009458525795,-143.93800504801098,A,64.28522953037472,B,85.28321468235501,A,-59.093740090483685,61.341676817981586,E,0.9933208852250605,E,B,D,141.06420929325577,A,1
F,42.174095950942004,106.43411483179435,C,-74.58233562672663,A,123.589701392005,D,-131.2607185177306,-186.1996045857468,E,79.4550196670685,C,A,E,60.15026366829598,D,1
Non-binary,-110.67292017454018,183.73340740466122,A,-97.2405174034779,B,125.91631974371289,D,84.65002413273427,-39.169854523871074,D,261.60016760966107,C,C,A,205.46942482719842,C,0
F,210.15364210629497,121.54032195656764,D,-101.7522550492816,C,28.32130025161885,E,95.23047872440081,-16.588704945737796,C,57.99608185836333,D,B,A,68.94028565422492,A,1
F,13.149568345602496,-33.42611358579623,D,51.41179389945055,B,80.70867230095521,A,-30.756209661233523,-52.122852062248434,B,8.459931221808272,C,A,D,24.107016661578804,A,1
Female,87.99244917210342,183.4366174276701,C,49.61998791051947,C,87.55182704743763,D,-54.036686637573425,-49.916257663556515,A,-117.5009148946329,B,C,E,-49.590005410669704,B,0
Non-binary,-84.01335797420207,-202.32451017584884,C,49.60634338314935,A,-3.9723484040637254,B,-2.16193758418467,-29.19097972096013,D,-110.32845062754268,E,C,E,-86.55037945969777,C,1
Non-binary,-65.52235825382569,0.32461041375318866,B,-134.59284727852042,B,54.659202556913996,B,-28.830392830369416,54.876469286098285,C,69.27485673825899,D,B,D,-38.46120322492123,A,0
Female,-171.50145278285126,73.5065850380658,C,-79.11509323448543,C,103.43405080545472,B,54.370463153535795,29.774247692183593,E,-46.98431991768699,B,C,E,46.1393509444134,C,0
Other,74.30243557551634,121.78862476074315,E,-79.11935298908085,E,25.238838328040647,C,-5.1752143822182655,111.57885997525503,C,-47.329843824196516,A,B,A,0.8240317117698015,C,1
Female,112.28963437707917,-91.94662465717067,A,-66.50315649219911,A,162.75894918694533,C,35.57432973370228,-56.354214401343114,A,104.44881053223753,C,E,C,-42.87339496387333,C,1
Non-binary,34.901269705698105,-116.46390794748942,C,62.81122083636507,E,-98.3929319531941,A,-91.85255168765995,-8.52547404264297,E,120.92795488414107,D,B,C,220.33901281521676,C,0
Male,-151.52006756668928,98.3596707558771,D,-140.3402027088829,E,-38.943802424907986,E,68.69425205850479,77.86844309406172,B,-4.9145056050995635,E,A,D,-77.55093147663594,B,0
Male,-90.88518651228514,-206.41922267110075,A,94.52765845831512,E,71.01896395870583,C,-78.63613542041489,-115.4613362346872,A,57.140597163366216,C,C,E,-82.1544744832696,D,0
Non-binary,36.270251832002806,47.96134680205999,E,-91.81200392083096,A,44.599111152345664,B,-22.43656764901052,-43.30454029829768,C,-91.95216227956578,A,A,C,-103.8747847306571,C,1
Non-binary,79.3213364492491,-24.137849152315923,C,142.6309103958954,A,219.75812052281952,C,-56.54629936332584,-47.97645088394186,C,-60.610967062499284,A,D,D,125.09780767219215,B,0
M,-109.71159170386493,9.590396194837368,B,12.94463836915461,B,-143.70938065165052,A,-58.29716740221757,172.18180200300236,E,-75.14432143448356,C,B,A,-95.72723149186191,A,1
Non-binary,283.964537380086,-64.84804233119559,B,30.24956991598436,E,-48.44387015661521,B,3.3495215381523002,-69.49135064571867,A,16.68153715572514,C,D,E,-146.22652320054982,D,0
Female,-146.45583415827736,-90.67508640627909,B,80.74910335228391,A,76.4374135157715,D,52.590352058268664,-79.35026387055089,B,-127.19779660707256,B,D,B,38.2582750605334,D,1
Male,11.115515811356195,-18.159880262027116,B,-35.04805561998241,D,-14.537607815675235,B,138.35408146299045,-88.87457964045109,A,-168.65088243359597,C,B,D,-61.63440569274496,D,1
M,96.32450704515826,-99.5489722243716,B,34.34955565353029,B,66.75245758968778,D,-322.4125108516474,-45.95958771917947,B,-97.30324731109884,D,A,B,13.695216071930599,E,0
Female,-173.63610974585796,12.579446914485997,E,41.642605582768304,A,-41.58426914898682,E,-77.19057596928408,11.807444162924922,C,17.20789037629647,E,D,D,-3.768498694898422,C,0
Non-binary,57.1025553502593,-45.91299599889725,E,-20.262281276335713,B,4.243511286953935,D,-256.1531204892399,176.4021828153424,A,165.30346177386542,B,D,B,-22.578201721005573,A,0
F,15.36111000206241,18.255795928857985,C,-2.966926347695733,A,109.52820248437956,A,36.683479527409055,123.65955159849298,D,100.78902731593149,B,B,E,169.0784909562684,C,1
M,-81.86247293321995,18.86543720492019,E,-32.53656495735465,C,-59.16086018737594,D,107.12721293647365,-46.907244288012606,A,54.43519277123923,B,C,E,105.12599226710097,B,0
Other,-126.99960953891656,82.26107567884182,C,31.130066651321727,C,113.5941413845593,E,92.32681677459804,-25.31080232093576,C,-29.934455127683755,D,D,A,25.517616794454863,C,0
Non-binary,78.81688002527994,-98.3576241551098,C,-91.4872237477729,A,41.41731899601061,A,5.829944242388114,-142.68649537556215,E,29.541580625849868,C,A,E,33.87827382033813,A,0
Other,-44.51271357736138,87.29046283428039,B,119.03181703331983,C,-155.73045367487407,D,-8.851360655035569,61.7575542312761,E,33.44334183649455,D,E,C,62.665948938458385,B,0
Male,-37.328975377416626,203.62856716698974,B,-31.87140620209654,B,-144.95937586797106,A,209.18993684162342,101.2417757065456,D,260.578362922788,A,B,B,24.047941222630286,C,0
Female,34.77579311431023,-125.00130569326787,C,-155.9309218834808,C,86.34178891965067,D,122.58009334964682,85.98408186560606,B,-128.5272103186681,A,B,A,-108.53378531095419,A,1
Male,33.36335043027456,87.8397279869727,B,154.20309751703266,D,-42.47790054899773,A,-18.829277638984955,-149.86549986143675,D,-67.19239895960398,E,C,B,110.4679550365125,E,1
Female,152.66805559299178,-97.74810331091453,D,-2.5047665739424354,D,193.16532299405495,E,-101.00777285863225,30.35325572865693,C,82.25632485977442,D,E,C,-119.85223214163202,C,1
Male,-113.44114949917743,-85.62442929548169,E,57.161387374420826,D,49.028046547415165,E,126.25193904933751,65.72033313206599,A,-161.13968389661835,B,B,E,105.36393892321614,B,1
Male,-95.18428220877986,-30.3811326821037,C,54.977079194668974,A,-127.3545923390298,E,-165.57005234998184,57.675256379549076,D,160.93913819932578,A,D,E,-67.55203950823227,E,0
Male,-151.79416252272375,-12.949061542781617,D,-71.02683570663632,B,20.902705940888833,C,-198.73065522137335,29.320974790850325,A,12.508316578712991,D,C,C,37.43495839779437,B,1
Male,-28.425370991752665,-16.725571783803908,C,-234.1877278075721,B,-19.000804432032304,D,93.71480690643021,-13.779693855564096,E,127.89349903144198,C,B,A,127.5465734711363,E,1
Other,73.75181969841758,-30.147243527097046,C,-5.3373641740638655,E,-69.5168642170039,C,75.44059588439181,2.6528236557543785,C,-59.5841971634557,A,A,B,64.96547133341456,E,1
Male,88.18265176237016,52.10358493346331,B,16.147808918192098,D,168.30329279663013,D,-21.014969058777815,-111.00707636498808,D,49.817653792139794,B,A,D,57.81024657667435,D,0
M,84.18814432122976,55.10162486933988,A,-93.18105427728366,A,140.01357399868684,A,57.13342025161822,-17.282415359905183,D,-166.0730056934861,C,D,E,-33.68821793562829,C,1
F,95.5579069881257,45.451949310851006,A,11.497138510784554,E,117.80250833905332,D,65.0883198543074,-152.61766884175577,A,-26.536751781085226,A,B,C,-25.0943004628023,E,0
M,5.324759156747825,2.372527581295383,C,18.10172571825831,E,-66.64939294447268,E,-28.745101116828092,-35.554919716990575,B,-61.55023435554199,A,B,B,-79.0798269853992,D,0
Female,42.67245249929026,-114.95024489087756,D,-1.2620440748057564,D,-122.79216877316503,C,-40.90200081020537,-3.687056447026285,C,-23.004169361359924,A,E,B,0.2235490151166845,C,1
Non-binary,-4.351269948539048,-37.83690896441707,A,-108.54439705208026,C,101.69778078572126,E,-4.152810636982241,-29.623270697217592,A,-113.07032263529034,D,D,D,-152.92729355519992,A,0
F,-99.59197259680882,-38.36378708985046,B,-23.72499905109423,B,141.95518519164082,D,140.08092657156445,-30.945809810408083,B,11.086116872331123,E,A,C,-176.99164167225638,A,1
Other,-143.32991482603006,61.593656220066094,E,-14.092828775099042,C,141.14665022285254,A,184.3964595533717,35.04113474675029,B,-131.3824909142439,B,C,E,12.375565238795005,A,0
Female,34.62227627485805,-52.57779641842397,C,23.487851370914413,D,185.38226396066653,C,57.00888985155675,-141.4600582192018,D,-83.11670002304574,D,E,A,107.65762971532374,A,0
Female,-196.5370077672651,115.70459758322131,B,99.38261140731151,E,-11.588170789298461,D,148.0490496432675,116.31438799248302,A,-120.09831547274614,B,D,B,-63.74467206116654,D,0
M,-34.71912127527024,-89.9373155710889,E,-35.91288904667786,E,18.719574199001883,D,-25.549624145688917,-44.33485734594878,B,-115.30075490696987,C,C,B,79.65686643382197,B,1
M,171.98035651802107,-111.78458190720202,B,-15.320756572826049,A,32.16653657494089,E,78.6832291253795,-21.690798441796534,D,34.486960554818296,C,E,A,-56.54919580441007,A,0
F,-69.77107939876213,-13.440229792850152,D,-204.25274280907595,B,21.343944605892396,E,-61.47071918251979,-93.02760934840659,C,23.898474511413763,A,B,C,-125.54790678948706,D,0
Female,46.00662144794468,-47.60529848133271,C,-0.6795231243486983,C,-76.28393397400195,B,12.616254652588681,-79.49253981014945,E,91.72691522695966,C,D,D,91.48790302706738,C,0
M,-102.86603492123199,-58.09247564004462,D,194.1991362373442,A,-13.426911901099563,A,-58.7424820278161,73.42297199749233,B,-103.18178760212496,E,C,C,-38.096570583601086,A,1
Other,-43.6186298718533,18.140417036307955,A,-100.95181194544331,E,73.25384868848661,D,-213.70992978008238,37.20638981739123,E,-110.80661866404236,A,B,C,137.64746019350073,C,0
M,15.773010410176132,59.65406067133112,D,139.5765597745741,D,92.55060656649829,B,-168.0380922351993,-82.23194990444308,A,-14.971124007221748,A,C,C,-125.29644672243315,B,0
Female,58.786753145059,44.72001497544048,D,63.926695937279106,B,39.174901290681376,B,-257.266425079426,208.9672787915003,E,22.289565112336128,A,E,B,-119.44343384420704,A,1
Non-binary,-48.79813988206048,-20.52511187793308,C,-26.81951904852608,C,-203.18898437901484,B,124.62541030561549,-145.06525592864674,E,52.339896263898034,B,E,B,-139.5873921467212,C,0
M,-104.39492235798278,9.171979118929926,A,51.959674077347415,E,2.4910308571028303,A,62.907510930851984,-14.722132137296551,D,-32.948354649600525,C,D,D,35.01979404557054,E,0
Female,-51.02313829812002,139.29110134847983,A,-186.35784930171002,B,-187.62937053397332,E,-88.68009198017053,-60.58224082850687,C,14.08965595370367,A,C,E,65.15202752764402,B,0
Non-binary,68.42093613798409,-18.78954265570669,E,48.02313855822048,E,223.40448324135997,A,-43.12826350330267,-41.241117024501015,A,27.640639825012304,D,D,A,24.411136251729733,E,1
Male,28.34576761097741,-14.969806641107514,C,-28.229960957858008,A,-7.672929818950461,B,-92.66023716569643,137.28574135313042,A,76.78621667160411,C,D,C,51.48816878266194,C,1
Male,38.63833064923977,152.8452294796437,D,-37.936870083598706,E,119.02077576829826,D,31.321254277643483,-67.06075454671873,D,-107.3051103593685,B,B,B,33.57391899951734,D,0
Non-binary,77.43871952557501,-64.98343720289634,E,141.70861744463582,C,-25.32996547160452,E,10.391218409075096,-27.289724255921477,B,224.61737678157002,D,E,A,9.272865087239044,E,1
M,200.13288002274422,43.5744145174145,D,-114.6827051311182,A,-129.99822002421226,D,-155.66210674863726,33.048006045306295,E,6.32405865119262,A,D,E,-171.63023918438103,B,0
F,-37.725654614277374,93.46989133559823,C,-45.65943735258898,D,-92.17777916963215,C,-1.0174226329835176,-197.1181928296649,B,83.94750781413016,A,A,C,46.30349511852577,B,0
Male,156.67836543767916,28.71056285678598,C,-22.98116183125197,D,115.64845529655534,D,-120.65857696931799,-9.85093972246774,B,-109.80151016194968,A,C,B,-162.410732435844,D,0
F,2.289301553416782,108.13262143121258,A,-272.45112674852584,C,106.22670269968597,D,8.120613286800243,141.96841505298747,A,-37.35072143563233,C,D,D,172.5156316734844,C,1
M,92.80102258902336,11.615788762331805,B,-55.27836001462304,B,11.582464227468478,D,63.238738262981876,-69.52801178330488,E,-75.46779558333576,E,D,A,-50.901134529474014,B,0
Male,145.6089085771318,-206.33992281121456,A,-24.629863364177883,C,-176.23818531481197,D,-158.40209498619043,28.1909943136073,D,-33.223024023931984,E,B,A,10.686737933612457,D,1
Non-binary,-46.744020720856774,60.00510563606366,E,63.758195438985645,C,-123.74295715143097,B,-21.944612667721955,35.44409792385982,D,-103.0784839782447,A,C,C,-42.91820733342349,E,0
M,87.60989055506867,-80.4123801233377,E,212.55289020568298,C,-9.165615434521909,D,-61.47372907680024,45.47904513333066,A,-25.737839908404357,B,D,B,143.7230586326651,E,0
Female,110.05579701528364,-25.153559455610225,A,149.75457240398663,E,7.164167330386001,C,95.14493855068453,147.74575891385183,D,-136.64399762321898,D,A,D,179.53231748568973,B,0
Female,62.76760365387606,107.3025379345378,C,-83.97426059075053,A,-166.12581167185877,C,19.160864821743413,-19.95537506358883,A,70.32237817920364,A,C,C,124.08534976824295,B,1
