sex,marital_status,age_range,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Female,Divorced,26-35,Other,-158.21960803292336,E,E,E,C,E,B,A,-261.68084036388365,E,37.632778370861466,42.00254732379117,1
Male,Divorced,51-65,Buddhist,100.45731051263198,C,E,D,D,A,D,D,-128.55468078403604,B,8.386188994898996,138.72406667450298,0
Other,Divorced,51-65,None,42.56970671412887,B,B,D,A,B,B,D,255.67429762900753,E,0.484019788822005,-117.66888947242468,1
Male,Single,65+,Christian,124.96817788739524,A,E,E,D,E,D,A,-81.04151221616041,E,-22.574077766312524,22.399164877398775,1
Female,Widowed,26-35,None,-5.304552604413941,A,B,A,B,E,D,E,-54.8650933659546,C,86.43022546363349,93.21781906924824,1
Female,Married,18-25,Jewish,179.05175452130862,A,D,C,B,A,E,B,-41.33941802530379,C,-53.4599915371744,-256.46016219633896,0
M,Divorced,26-35,Christian,114.17168831023423,B,D,D,D,C,B,A,65.52227974202414,D,58.32530529032694,-1.5794085737329295,1
Non-binary,Divorced,36-50,Christian,-190.48755472848262,A,C,A,A,E,D,E,57.59706910819952,C,-123.48306884179414,214.22288605645895,0
Male,Single,18-25,Other,-104.26464996812899,D,E,C,D,C,B,A,-337.9964724709258,E,-151.95436183775658,65.61048289346728,1
F,Married,26-35,Hindu,79.53422587040515,E,E,B,B,D,A,E,-20.831717046325224,A,32.12727978042282,-173.07534470230775,0
Non-binary,Married,26-35,Other,46.36164640304415,E,A,D,C,A,C,C,8.419434399390232,D,-129.06797145098102,55.11386884574977,0
Non-binary,Divorced,65+,None,-262.22041128079087,B,E,A,A,B,E,C,128.76211194417124,C,181.33405303728773,-98.48091309229825,1
Other,Widowed,36-50,Other,-132.79248236216878,E,C,E,B,E,A,C,-8.328004443873033,B,21.614571831362472,-38.01210454110095,1
Other,Married,51-65,Buddhist,-180.59640468739966,A,D,C,E,C,A,B,48.19847104407022,A,140.45819357108033,110.79854792074457,0
F,Widowed,18-25,Hindu,169.6587599300457,A,C,C,B,B,E,A,-160.47212057696828,C,-58.74283412641251,67.32799465528471,1
F,Divorced,26-35,Jewish,49.55714371808651,B,C,D,C,B,E,E,8.994975650768387,C,-79.97076760387472,26.319865128775433,1
F,Married,26-35,Other,46.541811220213056,E,B,C,B,C,E,B,120.08099519388922,E,-126.93826140391333,167.24618015497254,0
F,Married,36-50,Jewish,99.27833391054352,E,B,B,A,A,D,E,7.5629187102751985,C,-43.309494099065425,169.56940130135558,1
F,Divorced,36-50,Christian,-43.39144575002541,B,D,D,C,D,C,B,202.52894713616544,E,164.94268467838143,75.94403343842816,1
Non-binary,Widowed,36-50,Buddhist,-8.850699203832049,E,D,A,D,C,C,D,-79.51744089404407,E,98.81414134400617,67.04197326988633,1
Non-binary,Married,18-25,Other,35.48153993820931,C,A,E,C,B,E,D,94.89610069115948,D,45.05343945736825,-84.22194521669506,1
F,Single,65+,Buddhist,157.4186283028189,A,D,D,D,C,E,D,12.092991040957546,B,-78.83259077128922,147.97757193173186,0
M,Widowed,26-35,Muslim,37.29747185109978,B,A,A,B,C,C,E,11.757719435697886,A,-148.2399706882113,102.3536152833036,1
Male,Single,51-65,Other,-39.59823382754281,E,E,C,C,B,E,C,229.24565527169142,E,76.63151066999954,-0.8451656462518137,0
M,Married,51-65,Christian,-89.85991385148459,D,C,B,D,C,B,D,25.565530873075993,B,25.643772008724092,19.603123670246287,0
Female,Single,51-65,Christian,-96.16959577541999,A,D,E,C,A,E,D,73.17827459383507,B,-34.274382431803396,-42.98347136300634,1
F,Widowed,18-25,Muslim,-129.7814345937265,A,A,E,B,B,D,D,0.07481762112206594,D,173.17822687914725,-122.76454191589478,0
Male,Widowed,26-35,Christian,15.844764143949828,E,D,E,C,E,C,A,-217.69847452426072,D,-46.263382275607846,-66.02111174885957,1
M,Widowed,36-50,Buddhist,38.05990439916406,C,D,C,C,A,A,E,-209.90468396803453,B,-25.490806098042146,45.37628629272867,0
M,Divorced,51-65,Jewish,-59.64163041191385,E,C,E,A,A,D,B,-81.01494299687639,C,15.177880549183254,103.21161531940304,0
M,Married,26-35,Jewish,67.83480663597871,E,C,C,A,D,B,D,187.56040081473472,D,-7.827033619740745,13.15418899002037,0
Male,Married,36-50,Christian,27.8391542836226,E,C,A,D,E,E,E,-138.97242159864652,A,47.805143692817545,3.682685448722161,1
Other,Single,51-65,Buddhist,-44.922247461961106,D,D,D,C,E,C,D,-74.19245550371531,A,-136.987760254095,-30.122807209645185,0
F,Divorced,65+,Other,-83.04355681847672,C,B,C,A,D,A,E,115.40966781140168,A,-63.89803352864626,81.79322548096364,1
M,Divorced,26-35,None,-140.72216411077082,A,C,B,C,E,E,E,-33.06773961653977,C,115.20850875184638,-148.31327674323848,1
