Gender,country,birth_year,feature_0,feature_1,feature_2,feature_3,feature_4,target
Non-binary,Mexico,25,-117.19397076833407,B,B,E,E,1
Other,UK,26,33.6616028419928,C,A,C,D,0
Female,Other,80,-57.91435200597803,D,C,E,A,0
Male,UK,96,100.17545878710037,D,D,B,C,0
M,UK,28,146.46842987788037,B,B,D,A,0
M,Brazil,49,-26.672260516650503,A,B,A,E,1
Female,Mexico,25,97.51991411814804,D,E,C,D,0
Other,UK,98,60.31380916790843,A,A,C,A,0
Other,US,65,-58.66869563842055,C,A,D,E,0
Female,US,88,69.63444245995987,A,C,D,B,0
Male,Mexico,87,-45.84386290529521,B,E,A,A,0
Other,US,57,-28.192579847610595,D,B,D,C,0
F,Brazil,86,106.87364877963643,B,B,E,A,1
Male,Brazil,59,104.99703043594542,E,D,A,E,1
Non-binary,UK,39,-163.677250122823,D,D,D,C,0
Other,Brazil,89,-88.95825663544791,D,E,E,A,1
Male,Germany,53,-18.77407015188642,C,A,D,B,1
F,China,80,-54.603510775792905,A,E,B,C,1
Female,China,71,106.4325387765741,C,D,C,D,0
Male,Brazil,45,-170.37490475790443,A,B,A,A,1
M,Other,96,29.57582512392316,E,A,A,B,0
M,China,42,-77.37605747916014,C,B,C,B,0
Non-binary,Other,26,-118.4276826912493,E,B,C,C,1
Other,China,63,-136.7276860814175,E,A,D,C,0
Non-binary,US,42,-72.71846950018471,E,B,E,D,0
Male,Brazil,86,-134.99184414452097,E,A,D,B,1
Female,Mexico,76,-10.202940282984613,A,D,B,D,1
Female,China,49,-39.915859934786376,E,C,B,E,0
F,Brazil,44,-91.7118253900851,E,D,A,C,0
Other,Mexico,79,58.59023408588515,A,B,D,B,1
Male,UK,76,75.76042645727738,B,D,D,D,1
Male,Germany,98,119.50427629895304,E,E,B,A,0
F,US,78,-78.39152246952477,D,C,B,D,1
M,China,52,65.0346800053174,D,A,B,A,0
Other,Germany,36,38.13509731716148,B,D,B,A,0
Non-binary,Mexico,49,7.753714463595039,C,B,E,C,1
Female,China,22,-74.0719856575374,D,A,E,D,1
Other,China,90,-60.722189430162544,A,C,C,D,1
Female,US,19,-93.01976860314765,A,A,A,B,0
F,Germany,98,97.2491438183721,A,D,C,A,0
Non-binary,China,94,-46.58415364127532,C,A,B,A,1
Male,India,36,-181.10100014233046,C,E,E,B,0
Other,China,24,149.24770593689206,D,D,B,B,1
Non-binary,Germany,90,123.27569261193246,C,A,B,C,1
F,Mexico,40,-111.66294837057869,A,D,A,C,0
Female,UK,30,31.386903801432574,C,C,D,E,0
Male,Other,70,-7.749263880780148,E,E,E,A,0
F,India,73,-112.08905308576685,C,D,D,E,1
Female,Mexico,92,221.22266930196793,E,B,D,B,0
M,Germany,43,-120.017678300889,A,A,A,D,0
Female,India,71,-81.06536268620374,C,E,D,E,0
M,China,63,118.49135470750818,A,E,D,D,1
Male,UK,85,-130.18327509002444,A,D,D,D,1
Female,Other,37,-239.1190627423844,A,B,C,B,1
M,Mexico,64,-11.593167632066248,B,C,C,D,1
M,Germany,84,-17.016796430281726,A,C,C,C,1
Male,UK,46,44.59191235321472,E,C,A,C,0
Male,China,98,-21.509200103515763,D,C,C,A,0
Male,India,55,-56.14102961535299,A,C,E,B,0
M,China,73,-5.3005837245274465,B,E,C,B,0
Non-binary,Mexico,76,87.94879232766675,B,E,A,C,1
M,US,74,-44.35056362174355,C,E,E,B,1
Non-binary,India,51,16.63737426283857,A,D,B,A,1
Male,Mexico,41,134.5157860971783,A,B,B,B,0
Female,India,22,-121.89658113903698,C,E,E,D,0
Male,Brazil,76,8.418057712720335,A,C,A,E,1
Non-binary,US,39,147.58927131343054,D,C,C,C,1
Female,China,58,-6.4451808309163265,E,A,A,A,1
M,US,56,-77.26653424887301,E,B,C,C,1
Non-binary,India,51,9.81117072729691,E,B,A,D,0
M,Brazil,62,-172.92527144166115,A,C,C,B,0
Male,Mexico,44,-97.77684131683456,C,C,A,B,1
Female,US,28,-87.60911389444702,D,E,D,A,0
Female,India,65,163.5142920048596,E,C,E,A,0
Female,Brazil,57,-32.01018185430814,A,D,D,A,1
Other,US,31,-168.8076872495058,B,A,C,B,0
M,Germany,63,8.394713354017231,D,C,B,B,1
Other,US,55,160.18329216021675,D,E,E,D,0
Male,Mexico,91,33.33130943723502,B,C,C,B,1
M,Brazil,24,47.301935603234604,A,C,B,A,1
Other,China,92,26.709068074391144,D,D,C,C,1
Other,Germany,88,-57.925533651133975,B,A,E,D,0
F,Germany,56,28.108681097911525,C,A,D,A,1
Female,UK,62,92.21380088717987,D,B,D,A,1
F,UK,51,169.87997513725523,D,B,C,E,1
Male,Brazil,78,68.93354446906422,A,E,E,E,0
F,Mexico,42,-208.33261453098748,E,E,B,D,1
F,Other,84,124.26150793811395,B,A,D,D,1
Non-binary,US,27,21.682576377045116,B,D,B,D,0
F,Mexico,87,-32.901428056385356,B,B,E,A,1
M,China,27,136.49122868409748,A,C,C,D,1
Non-binary,Brazil,56,-7.126818247794341,D,B,B,C,0
M,US,60,10.172313840448517,E,C,B,E,1
Male,Mexico,52,-233.69028600335815,E,D,E,A,1
F,Germany,91,75.44964918790896,B,D,E,D,1
M,Brazil,75,28.26273284474854,A,E,B,A,1
Female,China,75,66.79682229483419,C,E,D,A,0
Other,Brazil,26,-51.718450323049815,A,E,C,C,1
Other,US,26,-20.441796525699875,B,D,C,C,0
Female,Brazil,23,-180.7227801911715,E,C,A,B,1
Non-binary,India,60,81.61349247149396,E,D,B,E,1
Other,China,56,-7.008595752156147,D,E,D,C,1
F,India,65,-37.41414777674456,A,D,C,B,1
Male,UK,24,-65.0634020587467,E,E,C,D,1
Non-binary,UK,73,74.254730940321,A,E,A,C,1
Male,Mexico,52,11.267855390795738,B,E,E,E,1
Female,Brazil,61,141.4519281578067,C,C,B,D,0
Non-binary,India,44,-19.609437315341044,C,B,E,E,0
Other,Brazil,97,8.370433982370642,E,B,E,D,0
M,Mexico,22,128.53136494264626,E,A,E,C,0
Non-binary,China,52,-27.048810474919794,D,E,A,E,0
F,Brazil,20,132.3239684085989,A,C,E,E,0
Non-binary,Brazil,99,170.78376925006302,A,C,D,A,0
Male,Mexico,67,-39.8371921477229,B,B,B,D,0
Non-binary,UK,36,-6.0592037896659745,B,A,B,C,0
Male,Brazil,71,-105.91979823481364,A,D,D,E,1
Male,UK,84,-10.235468150869508,E,D,C,D,1
M,Brazil,34,-220.87437840170617,B,B,B,B,1
M,Brazil,48,-175.34676051978963,D,B,B,A,1
Non-binary,Germany,98,-39.09227019683962,D,E,B,E,0
M,Brazil,18,-98.53068748788539,E,C,A,C,1
Female,UK,50,57.86145893948807,A,C,E,D,1
Female,Brazil,94,-141.52451904143197,D,E,D,C,0
Other,India,93,48.77004375402883,B,D,E,B,0
M,India,49,-85.77154685191469,B,A,A,D,0
F,US,88,50.378547999237,E,D,D,B,0
M,UK,33,-129.6133772966065,E,B,D,C,0
M,Other,89,174.2308239366348,B,C,A,B,0
Male,Brazil,30,52.54207107761162,D,B,B,D,0
Male,US,60,109.26736930831318,E,E,D,B,1
Non-binary,Mexico,23,149.17385992402006,E,E,E,B,0
Other,US,58,-73.62147554959536,D,B,E,E,0
M,India,18,31.589604906077284,A,C,E,B,1
Female,US,88,89.11679343339567,A,A,D,C,1
Male,China,52,115.04729059417092,E,E,B,B,0
Non-binary,China,25,113.34394958687007,B,A,B,B,1
Non-binary,Mexico,34,121.27160390518247,B,B,A,E,1
Other,Germany,52,71.87194516915378,C,A,C,C,0
F,China,26,71.22536031347427,E,D,B,A,0
Non-binary,India,43,-228.26059785785998,D,C,D,B,1
M,India,37,60.6057763296733,B,E,D,C,0
Female,Other,62,31.33273392367241,E,A,C,D,0
F,UK,85,-31.951204425556927,D,B,C,C,1
Other,China,23,88.62893681049118,D,A,E,E,0
Other,Mexico,94,73.55535688898507,B,D,D,D,1
Male,Germany,89,-12.72383548537773,C,A,B,D,1
F,Other,72,-67.12739503672276,D,D,E,D,0
F,Mexico,79,113.97863210002453,A,A,A,D,0
F,China,90,64.12779774687574,C,D,C,B,0
M,UK,59,-58.7951878957798,E,B,E,B,0
F,Brazil,27,72.4743692501556,D,D,D,B,1
Non-binary,India,48,-56.297619966574786,A,E,E,C,0
Other,Other,47,157.7932735054662,E,B,C,E,0
Female,Germany,91,17.04327959446821,A,C,D,C,0
