faith,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Buddhist,40.293570541371,20.18796928700662,-10.842813350770712,B,-24.895840777381885,A,C,64.71178140746305,D,A,C,-37.411635836786424,C,D,16.510391657219316,E,18.53982113895438,1
Christian,-86.4277629256907,-117.34322540173645,115.29604155472009,D,157.99687906499037,D,D,-65.5788380302152,A,D,A,100.76708449774856,C,D,22.56722677403385,C,157.50397986614146,0
Other,-135.94469615658605,-57.63050859614188,-132.32219665357698,C,-4.2085842180390305,C,C,241.54008355822913,B,E,D,24.075866742605232,B,A,-68.14685662105073,E,68.97811265156462,0
Muslim,63.724008660086064,68.01937177279623,123.67354152733408,D,-8.540093359020002,A,B,162.54807632781544,E,B,D,-89.6052659210372,D,A,32.611927549084704,E,-12.859645808853825,0
Jewish,-29.73836714778453,6.352264444762566,-139.80329852524486,E,-98.44389271391024,B,D,-23.628753713534092,D,A,D,-28.087730006157745,C,D,-43.30650623396819,B,130.3233460741771,0
Hindu,-157.1010707084408,82.60316970889205,28.19375023704427,E,86.63734636731681,E,C,55.772616125727104,A,E,E,104.20342941873668,C,E,25.823460167824287,E,-167.1962301626366,1
Jewish,-63.50939678270534,19.092734161483744,40.642725171461606,D,-48.55196111872722,C,C,-91.29943540307505,C,B,C,4.230611441084981,D,A,-35.71372797928631,D,-60.68343693128823,0
None,-12.192320490909585,-23.659470784584688,21.082451745001872,C,-104.06352176519245,A,C,180.6955151496498,B,D,E,-219.72476974015947,A,E,128.51379257676925,A,1.780253347304468,1
Christian,-21.45684012423193,23.677870905270424,19.11918240897819,D,-78.09072604427067,E,D,7.8870581347047315,A,A,D,-45.2484818308142,D,C,120.61616531793528,B,40.86912266432157,0
Buddhist,-28.448070677214922,-179.8586486440903,34.6543213545419,C,-90.68695405974908,A,D,-130.33071178247434,C,B,D,-11.94821847437063,C,A,30.239985525158936,B,-85.85809525166714,1
Jewish,-71.78653794756917,-138.15606003513133,-0.07029323491138308,D,-135.70611625271164,D,D,49.08217066032243,C,B,C,-61.482175282366335,C,D,45.06548758611798,B,108.92316654882595,1
Jewish,20.584258578858815,-97.60447050242783,103.65126586186597,D,28.140983550407206,D,A,-96.47054300795475,B,D,A,-27.212078726806098,C,E,46.2806610208116,A,31.297899975321915,0
None,63.985084033129446,-59.583511614606735,124.28253119543152,C,-148.91287308773565,E,A,-104.8070294045047,D,C,B,-15.081180033498578,B,A,-252.70448611058077,E,78.94006730797956,1
Hindu,-101.26355140207887,-21.03564464077308,-33.838396119434954,B,-62.38296484657394,C,A,3.589049138396826,B,B,A,-87.29643372511954,A,C,-172.5352816404443,C,75.49753296472733,1
Jewish,93.6358032585408,39.20170333689498,14.450068252089531,C,32.08088420635049,C,D,18.864565145987633,B,C,D,98.28756981484275,D,B,-97.48316028416588,C,22.37331509186611,1
Christian,-84.8765675945878,21.413920951488794,-28.017864171462197,B,32.81807813739344,A,C,-110.30602286413466,B,B,C,73.04550436579048,D,B,-62.58892128226938,A,100.54557195835517,0
Other,-58.47289991192092,-1.2563691107076747,-70.15047256651786,D,75.9255911027287,D,C,16.13441148421041,D,B,B,9.723061376376343,A,C,15.212531913749228,B,-19.657175137673573,1
Buddhist,40.49773230207343,-28.401365768007803,-26.15259465156738,B,-13.031267778985425,A,C,-20.252491779487507,A,A,D,-1.8719505555526477,E,D,89.51063610832965,D,210.6539601689375,1
None,-31.292865343717285,25.25528942117315,226.09135316079812,A,-52.99763320029754,B,C,84.40696871832367,B,B,D,-137.3812558406876,C,C,45.006706458419764,B,-72.8617379770632,0
Buddhist,-91.23635203848708,26.751309451932148,-29.063614825344196,E,-107.10494098914943,D,D,-23.695210972554143,D,D,D,-118.52283934990055,E,E,-34.459361133889,D,6.153902123075007,1
Jewish,44.51019473180067,69.64757000653255,37.68134642433903,D,148.3198337659531,A,B,-94.13514142964364,E,D,D,91.60555051650596,E,B,16.658460149956962,D,-41.1775346971331,0
Other,29.317007079474557,69.81716254325944,-100.07501317693801,B,5.525711349406109,B,E,24.32300379384919,D,D,B,166.5618141692964,B,D,12.497720028545857,E,-15.883848671292375,1
Other,-9.171412928341802,104.67801476369492,-75.81408728925528,B,17.557469433138703,D,E,203.9920431608101,A,E,D,43.19609033031509,A,A,-6.902471582935611,D,239.46464915245082,1
Jewish,41.83102627249809,-34.489633510924044,-89.17609660242908,D,-51.84682056298418,A,B,-15.908339230966767,B,D,B,-23.95754454443176,B,B,202.7322835808067,A,66.75673991508584,1
None,57.2998237007464,-145.3878077030733,-275.6168850047109,A,124.11451410983932,D,D,85.55842423542629,A,C,B,103.19895781187243,B,E,-14.04915907510699,E,41.93781124232736,0
None,-39.05646073896717,100.01257440319662,-21.19781271694231,A,71.92942432560353,C,A,39.68123167191253,C,C,E,-140.32437042967854,B,D,129.94918664399205,C,-75.96938105894976,1
Muslim,-140.80937400917287,119.30164400832182,-8.400726461209747,C,-50.738257970946854,E,E,149.2541661010918,C,D,E,-0.19066028055744771,B,A,150.33211356101503,E,152.51080738965044,0
Buddhist,-207.4946268984796,-21.348505934818995,-8.238504853802041,E,23.020857727110684,E,E,42.002640243669816,A,D,C,39.946932677693866,C,A,137.15795027524874,A,6.328805899379213,0
Christian,-174.53940872819905,49.92060231310882,3.96744926179469,D,11.758603926842671,C,B,-35.08347299303957,D,B,A,129.4321453609304,C,A,-116.28397030136952,E,-29.380311329877866,0
Jewish,32.06948059362083,129.82537686783385,-5.4431744798075545,A,158.7215393635462,A,C,-92.63205918032868,D,B,C,93.93017393586692,D,B,-151.80514931494423,B,-114.35286328831451,0
Christian,-46.971053983306206,-42.25268881511121,60.888970476490854,E,87.02665449806378,C,D,41.41822118591929,D,B,B,-86.81828990147791,D,C,205.70140603587873,D,-83.22335786433727,1
Christian,19.41004846644053,24.433116969863686,39.763157779157424,C,-67.24502343418983,B,B,26.209971653585228,E,C,D,106.83411603070844,B,C,14.78954804362545,A,19.795458405660916,1
Muslim,146.14059935003482,103.67038004877469,-60.33732562856409,C,268.3178464996955,C,E,-163.14415680128266,A,B,E,128.23783678522062,D,C,42.562253378938344,A,-51.51015327316109,1
Jewish,150.4603189047171,-40.35382896250546,-6.278469824347967,A,-265.52570905131154,E,B,125.82501343863449,B,E,E,180.87771188655412,E,D,126.79790002009115,B,146.79870646824253,1
Other,-41.11356605172808,-75.31193729448064,51.288523603277625,D,49.645997605717824,E,C,35.35830360493326,A,B,B,36.91402934049155,E,C,-28.46217097755374,E,-102.31668270575949,0
Muslim,34.728764089687566,91.28981571981757,11.827108964000297,E,70.23556031565171,C,E,-83.81547025877865,A,E,E,-85.05324363230314,D,A,29.808766689420334,A,-29.990978832128874,1
None,4.400251098359005,-79.68467415514672,96.78884178977046,E,99.89776371223513,E,E,-20.88042702385038,C,E,B,-52.21097083052659,D,B,-20.987616081314638,B,31.111267073193176,1
Other,-8.17767161379958,28.675223577481958,183.78567459251528,A,22.32738843534353,A,A,100.34955979312186,C,E,B,-119.24875883415386,E,B,-7.189335826268964,E,29.599141478900098,1
Other,92.16265402017252,-78.07914343066875,17.376993524910507,D,-8.799864874773496,E,A,57.573773502380156,A,E,C,-90.1480819114916,D,D,-44.46517298952334,C,4.162306985260207,1
Other,30.91098873929299,-99.37274639525977,-62.129115359240984,D,84.1669687075091,D,D,-248.42586422445984,B,D,A,-64.36044427225272,B,C,20.206475010733126,D,50.75434911077098,0
Hindu,-100.10808905947641,139.7357159110162,-110.02609819803955,E,-56.68657895997464,B,C,42.57895856736944,E,A,D,91.61923922414262,C,E,-73.12729972038399,E,86.05067726350578,0
Buddhist,163.0183666364462,154.43569845828432,83.91112944282985,B,-34.0938676196801,D,C,-62.0227533592316,C,E,A,-20.590443830947258,E,B,-142.55570600940356,E,-116.58991938988032,1
Christian,16.14334192646809,-114.65722669871754,-5.619317919853205,E,-15.862268659636305,D,D,33.22098745421315,C,D,D,-16.126905499894484,A,A,-49.91795960613495,E,-0.10742906082008895,1
Christian,72.22140579777921,-134.00867485790423,81.13288214171489,D,-81.87719592149226,C,A,-173.0758472932186,E,B,B,-205.67023176879454,E,C,339.36032202250755,A,-155.49336817838991,0
Christian,-101.46710463223867,-173.7771624917018,-41.15253390617401,B,-3.257506151847018,B,E,-209.4640725835213,C,D,C,-205.90898459296105,D,B,-236.60651458255145,C,-22.68748319423855,1
Buddhist,-129.14458137617427,20.399053540255913,22.402351853754045,B,114.57843180645524,D,B,-124.24885252922688,A,E,B,-130.46589953266442,D,E,62.81963680405228,E,-44.86705675924734,0
Christian,29.994794789025597,-135.5955995598643,255.1511327647865,E,27.5515879320979,A,B,-58.97825511277299,A,B,D,26.623485442479062,D,D,-30.354019692425993,A,-48.56588967646627,1
Buddhist,124.89726550029698,119.40435116965011,-53.19402006923912,A,-92.52762243471537,E,A,-66.58249419198852,A,B,B,-111.63387365903243,E,D,171.85268758758423,A,138.73079514483757,1
Jewish,-101.97579694335688,71.40658766954836,-115.53611226879592,A,-86.24877814727378,A,A,117.4340929059402,C,A,A,172.95267893270673,E,C,12.12087448651746,A,195.02464270065096,0
Hindu,24.00827663799879,-71.68422750994984,94.17718254267369,B,-122.32100570872146,B,A,105.94024492293985,B,A,E,-165.32295610611715,E,C,-220.79536657700945,E,-135.264378500191,1
Christian,-179.31961613859656,-92.52411451328793,-138.91832367399797,B,-30.38870836195492,E,B,-109.10944433198107,D,C,A,180.54673184751326,B,A,-99.28890329363863,E,164.65159924419592,0
Hindu,-99.16270452489574,38.913147830272585,17.99236711884221,D,-232.8927701439683,A,E,136.0956141377564,A,B,C,113.55794097789065,C,C,-57.37116312488395,A,24.969111508971142,1
Buddhist,-3.092204311184293,30.560229863250715,80.70864760616254,E,130.77011135317693,E,B,-52.36840636410148,A,B,A,65.49179333695078,A,C,-79.11937267324876,A,102.45047036012662,1
Buddhist,-104.21097994437991,-14.645504729984685,58.44498206135932,A,158.6313809616212,C,C,-20.647637608826166,D,B,C,28.777589170510126,E,A,35.0555604744242,A,-17.40452896280541,1
Hindu,42.93885498628351,126.64374394313175,8.106094240552085,E,-92.26855349329361,B,B,105.02204364005566,D,E,C,-94.4119600505594,D,E,-53.271497871955084,A,-6.455481926951802,1
Hindu,31.919832142806893,-106.58827917634753,50.49316701193477,E,-142.957220895113,B,A,136.15077233651957,C,C,D,48.08744509683463,B,E,-117.12530174550837,C,-35.61146045824744,0
