AgeGroup,civil_status,faith,disability,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
65+,Divorced,Buddhist,Both,59.19658734989691,-9.171615785993366,E,D,39.86914666185288,D,164.2250356400441,1.3403607199090841,-18.754072943588167,68.69431341604496,D,D,36.26319640851887,B,54.36476619429713,1
18-25,Married,Buddhist,No,-81.40612494545762,31.590514084804372,C,D,-122.29381668649009,D,165.22313985436224,5.493986101958804,106.36559757876896,94.73895945966066,B,D,-45.99835048644101,E,-42.152729387843365,0
18-25,Married,Jewish,None,-162.75955665531933,-109.65735228963578,E,A,-78.20157787320606,C,33.847438804070826,-28.077819287093845,-43.94804410409743,-53.93428858874167,A,C,60.81633513801392,A,37.93562030427566,1
51-65,Single,Hindu,Mental,-30.362483165687955,-1.5826830545713126,B,D,98.77367322687365,A,-90.17634426671084,-47.780213954167685,162.01965835480738,95.86573920482353,D,A,18.195483610771507,A,32.63370718122721,1
65+,Divorced,Jewish,No,-163.35672586406403,7.456313347148931,D,C,-92.3379721950765,C,132.5721638634543,25.537277126005847,23.76763026328477,-10.539673276130364,D,A,-25.48445087634929,C,108.64818423665116,0
51-65,Married,Hindu,Yes,15.15443655145755,-2.5280989463952093,A,A,93.45132505252985,B,65.43570610834257,-2.820837392477608,-16.042096180045974,-137.2905600986546,E,E,-2.458345915065356,E,75.36406443660616,1
51-65,Single,Muslim,Yes,-136.1412721131527,0.4289298098132112,B,E,114.58024320788115,D,117.14612955975431,-59.11934297715404,-104.10969873426276,69.90932684461698,E,E,93.18959432104235,B,-149.82051057743428,1
36-50,Single,Buddhist,Both,-47.5116297549522,104.93491873477903,B,D,135.13484596599557,D,48.98319313937963,41.59617355271569,-5.428099689064587,40.741063929512435,E,B,49.868698014027395,C,-47.66588086826493,1
65+,Single,Buddhist,No,-22.07918049169476,-38.37762010838928,B,A,43.63257936641079,A,135.65664847940548,56.492206930519615,18.45187116447454,13.777629235953764,B,C,174.0673666396753,C,-38.00623415999835,0
65+,Divorced,Christian,No,33.497283840964656,-136.51042648432144,B,A,185.03179278699977,E,136.70188159230776,-132.860097773654,82.52952052883741,-18.05698343140217,B,D,-120.98302638600211,D,-142.78160124146413,0
26-35,Married,Hindu,Physical,39.80963717972414,106.34528130765293,D,A,3.7025622313617315,B,-10.50444645964933,79.23911290908833,16.008170646489095,25.69013462580727,E,A,-165.40143940889578,A,-59.39993067739796,1
36-50,Married,Hindu,No,31.18435918383235,-18.80930159940656,D,B,-100.9798962316412,D,-31.913388967565414,-122.99109922803322,-105.95467616087797,102.83387569051419,A,C,-27.749135641798773,C,-101.4993606092122,1
18-25,Married,Muslim,None,20.433200758080858,91.04835956107927,E,D,-97.24521697310175,A,-114.24609042376545,96.34031958296367,-57.40483657656792,-3.0344937994716292,A,B,-41.413650554039336,D,-38.33653517597328,0
26-35,Divorced,Buddhist,No,42.61931139864821,35.33145125166051,A,B,117.15215713885489,A,24.063264540199132,20.845974299783634,-5.921915556253174,13.821500370067364,E,E,-8.276126128445734,E,114.43653193244066,1
36-50,Married,None,Yes,-34.38638797452359,13.425897690982216,B,A,-17.674954067987112,B,-135.14771434242715,-127.39552803900558,-43.30115049024328,-63.17523605494315,C,A,-153.88827774312085,E,-7.90792668967168,0
36-50,Widowed,Muslim,Yes,93.52379657586343,30.828232458753103,A,E,8.490098715989737,C,-53.09284916803701,-25.51214082394719,183.89305846102695,-46.07895469712832,D,B,19.440231299086445,E,32.319619859375074,0
65+,Single,Muslim,Both,130.77275396123028,13.72673411038479,B,C,183.41390141758208,D,70.02165399445343,-197.1623635492871,-46.28867659932009,-13.756469917972936,E,A,-64.9937576246132,E,184.29072100215006,0
