sexuality,Veteran,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
Other,Non-Veteran,Mental,55.80939092464929,A,C,D,51.237403314376095,D,B,-61.36729535106065,B,46.383025874662174,D,-162.70596490466107,D,D,84.7682876429961,A,C,0
Homosexual,No,None,-2.3175501119280715,C,E,D,0.07405491548823176,E,D,99.27998747957906,B,41.53631179749704,C,-106.23201242750248,C,C,-73.07980223438109,E,E,0
Other,Yes,None,-106.7635905242482,E,E,C,-88.27853678788638,E,A,-48.99875443992022,A,-84.68873238877315,B,22.877824146185183,C,E,-33.25933539962555,B,D,1
Heterosexual,No,No,62.040824505459824,C,C,D,135.2117964195577,B,A,-5.229192540616863,D,27.41928666352449,E,12.316468077212384,D,E,-13.790089305602466,E,C,1
Bisexual,No,Yes,-119.06126681068012,A,E,B,-19.63718688246356,E,C,-31.02712015712561,B,-112.89525498016089,A,-123.73508336481372,E,C,23.74222543232505,D,C,1
Homosexual,Veteran,None,143.26058301500132,A,D,C,-42.335744194048715,D,A,111.71667279615751,E,-7.604419897941769,C,-107.53803912076548,C,A,-15.353479251495985,D,B,1
Heterosexual,Veteran,No,83.92438438634174,E,E,C,73.55226138285876,D,D,-51.36793281713322,B,36.44422524908202,C,-77.42439184879892,E,D,90.2746218841971,D,E,1
Homosexual,No,None,145.60312944740195,B,B,A,-121.51857817725784,B,A,13.034941847517262,E,-279.5594420526371,B,110.82243504271763,D,A,79.2675331934961,C,B,0
Other,Yes,Both,-44.74318800036565,C,D,E,25.811593169523917,C,D,-90.013173045045,D,-65.70773334668326,E,-65.2110028105621,A,C,67.76480744751885,C,E,1
Homosexual,Yes,None,-9.184777111889057,B,C,E,-54.92446236204085,E,C,-129.22185185225362,B,210.89104140950076,A,-34.01653151591727,A,C,67.911040292213,D,C,1
Bisexual,Non-Veteran,Yes,83.36604288064188,C,C,B,118.87136580767432,B,B,175.14306070600324,D,-15.691391903295266,A,24.978038934320193,D,D,-12.89296513028969,D,A,1
Other,No,Yes,-5.35232915729366,A,C,E,-61.00091660164084,B,D,-258.9624865537715,C,-24.86782714955136,A,-169.59641945477165,A,A,0.3228975334641201,D,C,1
Other,No,No,-60.52829458344886,C,E,A,-56.66205199935808,A,D,-240.8250274449832,D,-156.79004929684618,B,-5.4450492785518385,E,E,26.716001301406422,C,B,1
Homosexual,Yes,None,-54.08396904173536,D,B,B,4.074139768546548,B,C,-9.091586463606713,D,-28.97760433532039,C,-1.7361769164398897,C,A,-132.79924615070522,D,C,0
Homosexual,Veteran,None,-50.2276575152925,D,E,B,79.92473198427149,B,D,-53.39638790212427,B,77.76502364585353,C,-58.25817846837806,E,E,-140.28426972081667,E,D,0
Heterosexual,Veteran,Mental,-13.64730246136227,A,B,E,-31.735889272950434,B,E,45.216170042005075,D,26.891250320440278,A,-195.66402818309012,E,E,29.41031204347061,A,B,0
Homosexual,Non-Veteran,No,-144.49305908651112,A,B,E,0.25190736965500593,E,D,142.44769661926736,E,25.64936165460591,D,167.42546215454894,E,E,-48.86620970856455,C,D,0
Homosexual,Veteran,Physical,-156.08040966815227,C,C,A,121.48821210505243,C,A,219.65482397377957,A,-46.08270250976233,A,-52.36980689817866,A,E,-316.0104810991895,C,B,0
Homosexual,No,Physical,319.06169521619927,A,C,A,111.69926656692355,A,E,-110.20108359280938,B,-15.441557872456002,D,-60.59999415430436,B,C,-189.91853373524967,E,C,0
Heterosexual,Non-Veteran,Physical,-29.295609577430415,B,C,A,-17.716029061264354,A,D,108.88434797621123,B,-139.66459431742624,B,-54.56196801888685,A,A,-175.21927561060895,E,C,1
Bisexual,No,None,49.25240211755462,C,C,B,133.29443586292967,B,B,42.175990392537074,E,-17.696468255048583,E,34.85655926604517,C,C,22.715490792656745,E,B,0
Other,No,Mental,-105.70338091179583,C,E,E,-12.827376758035744,C,A,10.327236305416811,C,-6.073403391103152,C,64.56225809276445,D,E,34.55749014516196,C,C,0
Other,Veteran,Physical,-21.86945765275093,C,A,E,-51.726850614259746,E,E,36.990483169939154,B,23.38954554230453,C,-63.35155253371971,C,E,27.626226900183337,B,C,1
Heterosexual,Veteran,No,107.79517924435274,C,B,B,80.39766683883238,E,D,-48.17564166452895,B,161.28201738129636,B,79.3927983998745,C,B,-56.08754920706501,E,C,1
Other,No,Both,-137.054509680904,E,D,B,-40.79769067817823,B,D,206.57151526604633,C,-62.029367487972124,A,-45.993990319256426,C,D,24.841760520131945,A,B,0
Bisexual,Yes,Yes,9.766544184702166,A,D,D,-125.24358865036906,B,A,-66.14648703105868,B,134.02422199265555,B,-127.00982712191578,E,C,-41.812183289329155,D,E,1
Other,No,Both,-95.36688761478462,E,C,D,97.02811487308203,C,A,9.079579078055335,B,-24.202973110852366,B,-39.40295942996223,C,D,-70.70953556471544,C,B,1
Other,No,Both,-83.62377414631442,C,A,C,78.14539480322131,A,E,32.96459183112607,A,-97.95604135595586,C,-101.56654024957761,C,B,24.617686061069215,A,B,0
Other,Non-Veteran,Physical,-47.30835424407186,B,D,B,-73.56584180062445,A,B,78.3034006633739,A,143.15535087691953,D,-28.133402237867532,E,E,118.55693364516407,B,B,1
Bisexual,No,No,232.78857423527967,E,C,D,77.60144702813021,E,B,-48.32348385162111,A,-6.597910033955076,A,-50.03474382876588,D,B,95.93374559418545,B,A,1
Heterosexual,Yes,Both,177.3740255219544,C,C,E,-17.372328253652995,D,C,58.991656174318926,B,-196.2621124404243,E,-46.98602045917265,C,C,48.84167119928376,E,B,0
Heterosexual,Non-Veteran,No,1.1141906447273133,D,E,B,37.99435469473546,C,A,-51.44922404955171,C,26.43920021455422,D,-50.271662278640996,A,C,-4.5140468068305974,C,D,0
Heterosexual,Yes,None,-143.59644894595831,E,D,C,-142.95535530216645,D,D,129.17167465471923,B,14.188602734793418,B,-89.12576917679344,A,C,46.643006838827986,C,B,0
Bisexual,Non-Veteran,No,30.96460219497769,C,A,A,58.239165044081254,A,D,-2.3778966312070757,B,-44.41267374348184,C,136.27857582444042,C,E,-82.10741373394609,A,B,1
Other,Veteran,Yes,-151.74680891167472,A,B,A,20.70577175330061,E,B,-56.590614049626886,E,67.40259303636994,D,-45.20989502424505,D,B,195.64492968731057,B,D,1
Heterosexual,Veteran,Mental,48.5497304751728,A,C,D,3.1308214700777452,C,E,46.390668111329866,C,-17.198719492156954,B,-9.341409498035096,C,B,-15.165138442690992,E,B,0
Other,Veteran,No,64.37796537140801,D,D,D,-8.750948853502626,B,C,48.66116941071343,E,149.5891438584281,E,-68.55095570453244,E,A,-158.66324786612518,E,D,0
Other,No,Physical,157.21445148150957,E,A,D,-45.669144347914866,A,E,-272.1928081197583,C,25.225565468168774,B,10.887445251345914,C,E,35.242859567851674,D,B,1
Homosexual,Yes,Both,129.7394168309667,B,C,C,-87.09443362493792,C,D,-80.5236861503723,E,-61.70895218977221,C,70.81563748598299,B,A,202.73159251269698,E,B,1
Other,Veteran,Yes,-26.09904194107507,A,C,E,-8.756216405728269,E,E,-18.76759609722906,E,-1.7540422230646953,B,4.145675144160442,C,C,37.76702016592988,D,A,0
Bisexual,Non-Veteran,None,33.20051108806473,D,D,D,-114.44502815056464,D,B,-161.70507623679873,D,-42.62141305090216,D,-61.01259624291762,D,E,-44.0508133050586,A,D,0
Other,Yes,Both,41.84987986544654,B,E,B,177.19669210244197,A,B,-65.2195354793509,E,63.14904543138875,C,-68.68986176759825,A,B,167.91935987033017,C,C,0
Bisexual,Yes,Both,147.23143948637954,B,A,C,12.389188843443533,A,B,-25.327804483719373,C,63.06282191315435,B,-110.66674464325908,E,C,81.59102766873075,A,E,0
Other,Yes,Mental,116.6593650058832,C,B,C,57.598941707630566,B,C,-24.651398386103473,D,-23.165860146670607,C,117.31013035127802,B,D,-79.54720431294544,D,A,1
Bisexual,Non-Veteran,Both,46.879022203626604,E,D,D,-132.36323309631436,D,C,89.8459194689891,B,55.81844424199402,B,156.9300977191406,C,B,46.5717066299798,D,C,0
Homosexual,Veteran,Mental,-0.9147647039242509,A,B,D,-87.65639250374714,E,A,-17.563011772410178,A,-172.5605675496371,C,52.39039098038201,D,A,24.566964109876643,D,B,0
Heterosexual,No,Both,159.48240691256535,E,B,A,-96.60794605085722,A,C,-51.74085962728772,D,5.356817160455397,A,-176.45536891617505,B,E,-153.4911116563528,D,E,1
Heterosexual,No,Both,2.6247847338413557,E,A,E,60.68728884232218,B,D,14.479211667870462,D,136.81666914165746,E,-33.89712370342178,C,C,-13.864410992369056,C,B,0
