age_range,civil_status,Veteran,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
65+,Married,Veteran,Homosexual,B,B,26.07922066376674,-35.723887900768794,D,C,C,-85.45793687498264,136.94092609123143,D,30.808817258459992,E,121.37575758785353,76.02338769762613,29.242736166049305,-77.35675627618099,0
65+,Widowed,Non-Veteran,Heterosexual,D,E,3.212841991436419,11.357578089399594,D,A,B,137.4386584266263,-74.42347637949963,B,281.92619355755664,D,-15.493944914182448,98.88475014551024,-126.16413409889131,-212.2405934559331,1
65+,Single,Non-Veteran,Homosexual,C,C,78.38604980987728,-9.237599359008017,B,D,A,-112.13179456098723,-33.63140158567301,A,-8.993087258086266,B,-117.01644485690952,146.80711351370772,130.32458219254428,-114.15384668260549,0
51-65,Widowed,Non-Veteran,Heterosexual,B,C,44.31429847104331,67.31450748991624,D,B,B,-68.05269977836006,-153.33325291799858,A,19.34132358114749,B,-121.75940730539084,252.71964782220846,-21.35240369872856,71.39440125420336,1
36-50,Divorced,Veteran,Heterosexual,D,C,-36.706141111045234,58.93501538144452,C,C,D,87.43310502240759,4.818700738321702,D,146.41372213925342,B,-57.08917899956172,-5.3484953359226015,75.18715024574082,-86.82319340616618,0
36-50,Single,Veteran,Bisexual,A,E,177.37153123978754,-56.146464363898005,D,D,B,-6.673204634452901,101.62211605483714,D,35.40260262885072,E,9.644682529597802,113.03740721129655,-2.7786752214787,-7.611579512481756,1
51-65,Married,Yes,Bisexual,B,C,-107.47936545058685,-188.9923622734797,D,C,C,-121.14871162793833,-98.92224676347858,A,71.59388059450735,D,91.87972120706542,92.08142406070036,117.26050105960965,-61.93316818160064,0
51-65,Single,Veteran,Bisexual,D,C,-82.96386147232194,19.43741100270222,A,A,D,-143.33941528758294,72.58104341963787,D,143.59706069924695,B,-171.18232903124232,95.77004980093623,-99.2560828371871,-20.720655901519557,0
51-65,Divorced,No,Bisexual,A,C,96.07670456651583,-49.31903819161639,B,A,C,2.6521578269353934,-58.09541020663708,A,130.25836916333463,B,-94.99327711790171,-97.25837987942451,-96.26788294806269,64.38341746882735,1
36-50,Widowed,Veteran,Heterosexual,E,C,177.22464924333644,-59.65631346479622,E,B,A,216.076856355871,-18.538475008697038,C,229.72785131158457,C,-87.02525308200822,1.7325734289502313,53.960411322153334,-46.961475094341495,1
18-25,Single,Non-Veteran,Other,D,A,26.70903117610985,-21.77169482209845,D,A,E,-21.061303939327185,-58.07371090884036,C,-22.603527171700573,B,29.294458216310204,-74.58487473752909,39.10513407202379,93.64819578574668,0
36-50,Single,Yes,Homosexual,C,A,-25.242439184478748,102.32378195918986,B,C,B,85.65380506694227,-128.32197987562927,E,-93.74547474914239,A,36.786256492777305,41.68249499246809,155.54623441465912,147.7034566737555,0
51-65,Divorced,Veteran,Bisexual,B,A,98.39743572318731,-96.56596767845,B,D,B,-52.011007810362585,-181.6550611093589,E,119.32402273857836,B,-0.9448577921319387,-60.159811684677656,49.877505886029056,-112.12844594162878,1
51-65,Widowed,Yes,Homosexual,C,C,4.886299796335333,-62.680910352299435,E,D,C,-142.7887563188383,-8.605033741246546,E,-206.12930108504676,C,1.6199681365121608,-74.40723695271755,-72.90490626827417,47.01899613790904,0
36-50,Widowed,Non-Veteran,Other,E,A,-31.556027600442338,-29.13770745612856,A,A,B,45.05217611530118,-66.39030961537654,E,-170.01499886101655,A,9.964829573298724,70.40683317991224,135.69424033327044,24.683955659288568,1
36-50,Divorced,Non-Veteran,Other,B,A,145.55163249510358,-36.9443231021258,A,B,A,4.655042086360113,-140.47695364070768,D,-54.62199452202046,B,-39.77502262682354,46.40699023835246,64.90389976564488,-127.6740784914856,1
