disability,marital_status,military,Race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
No,Divorced,Yes,Other,B,-112.61960521947263,C,-18.30346172648942,C,92.65826234616797,-45.32003171742272,D,C,A,92.56915347771631,77.35093157375704,36.53777645353534,-99.1399558756348,0
Both,Divorced,No,Black,D,63.35987611670721,B,55.79238507070144,B,-126.34007731254606,-54.82977358608174,A,C,C,-84.5785151086582,90.0086169390518,113.53372871354736,-12.577422637203286,0
Both,Married,Veteran,Black,B,10.178386200526873,A,-241.8812009699027,C,66.40983279766152,108.36695091516289,A,B,C,-20.57173515414797,18.721531530654026,144.59848662808466,4.0836528209094265,1
Yes,Widowed,No,Other,A,168.5535711366841,B,-49.15113055048029,C,108.75853678798234,-124.48897988931287,E,C,C,27.77777206650595,228.189062074892,43.754685712875045,-27.561663962994874,1
No,Widowed,Non-Veteran,Other,B,186.60556043737768,A,61.318759494157845,B,203.6545996115885,-194.7739722427147,E,C,D,47.96943013952002,-26.33325221586751,-126.85294546045789,-72.32020670860811,0
No,Divorced,Non-Veteran,Hispanic,D,-51.53295758529607,E,54.69607888048925,C,-139.63176944836704,-62.32028042888865,C,A,E,136.69479383888154,-23.939527910162475,58.62470568982582,-17.46064116421168,0
None,Married,Yes,African American,C,11.088803617140218,D,31.348055873140552,D,186.95025678307042,47.9375844427983,E,A,A,63.20972665585528,-79.74546895191381,-88.09093126653059,-152.04359068531684,1
No,Widowed,Non-Veteran,Hispanic,E,2.188005969872489,D,-1.1711568675110144,C,59.580275441971345,-93.19604090913468,D,C,A,-53.72747841309406,-138.30174512014267,-14.277915642145297,53.270519743758435,0
Yes,Divorced,Veteran,Other,B,85.32151545919855,C,49.85529154718614,A,55.97500371492797,-29.65200778397787,A,E,E,45.53660348357532,-62.50784988272707,-14.430759379619792,-39.05972298416964,0
Yes,Widowed,No,African American,B,-213.72845269105002,D,180.13766664818684,D,-156.43426877838053,153.83595070356466,A,B,D,-245.40260515540996,-147.63851636565178,122.02617996798746,170.09931910668817,1
Yes,Widowed,Veteran,Black,A,-61.36990114465989,C,-180.48105722191832,E,26.389666246813366,-24.1917540328672,B,C,B,38.59562367790306,-16.94421933901432,-21.10847161865133,-18.048178435119606,0
Yes,Widowed,No,White,D,31.17828603588958,C,33.62371167633332,B,37.19074457906796,76.19466305037986,B,D,E,-41.91802471539861,-6.218396072353538,-126.18849822121045,-57.41213124184718,1
Yes,Widowed,Non-Veteran,White,C,62.49278764792516,B,86.22629803400194,E,-178.00210291763707,182.4167434464595,A,D,E,123.9299637236473,-0.9990840230506686,20.912024212820075,2.4392519415477563,0
None,Married,Yes,White,D,81.15814332999555,D,30.459365265765705,A,-89.95628456450692,39.743994015213765,E,A,C,-24.809638340027927,-101.81493063193201,-127.75715342512211,177.8244664624285,1
Both,Divorced,No,Other,D,-122.93685104311389,A,85.82435754064815,B,152.32334930796648,-64.66282741570124,A,E,D,147.51777549052642,59.4041957707907,15.06967646487901,58.10562618664847,1
No,Married,Veteran,African American,A,-43.61098491013084,D,-143.08698599963512,D,145.3239130090516,37.281672168246864,B,C,D,-106.47922917382853,-3.250324311058795,-2.5617105656573944,-77.36527089443727,1
Physical,Single,Veteran,Hispanic,D,-62.59057898957975,B,74.47091849245243,C,54.97274631784541,16.16884268177285,E,B,B,-126.12864596117232,-80.61450974879975,8.18770174622114,-104.13486026077624,0
No,Single,Non-Veteran,Hispanic,C,181.9544742797424,A,-24.034159433265785,C,169.57335606277002,-17.70632387919165,C,C,A,-67.0972956665867,74.43055747698854,48.21141760574078,-93.87833320841247,0
Yes,Divorced,Veteran,Hispanic,D,97.81434569408115,E,5.5102843446845435,D,17.641737263298822,106.2552003296123,D,A,A,49.9811041574394,13.92920671921819,155.47645996385643,-174.72245837825093,1
None,Married,Yes,Black,A,-135.18488633533664,A,54.309657427395365,D,-10.088965839192271,3.7593010350229785,C,E,C,-61.37647442335897,20.483689319591143,90.91714064471891,-104.10772895983598,1
None,Single,Non-Veteran,Black,C,24.209785096682147,A,-54.32800122382198,C,-48.376381126134504,99.34300205544278,A,C,B,-78.22981733355262,140.52192870308352,-20.08462876276055,-7.768408963413304,0
Physical,Divorced,Veteran,Asian,E,-87.76150137408582,A,-150.56511941069402,C,103.12240369033007,-146.07238686116452,A,D,D,26.67534232596213,99.57877914828258,204.66354788596286,-191.5691735313713,1
Mental,Married,Veteran,Asian,D,-13.783642115558767,C,113.01353810798372,D,0.35414579118094164,185.91502490945794,E,B,A,56.00249623837681,80.29508046951463,97.39530770835707,-138.32921063799606,0
Physical,Divorced,No,White,B,-130.6445856907575,E,140.8932427667426,E,-178.27764178152984,-55.55788298689046,E,D,B,-131.56999867042552,134.576705825868,-122.34858129675712,20.129425120851387,1
Physical,Married,Yes,White,B,-116.58527311819842,A,91.17781859044635,B,20.926569944073247,-16.570851830150705,D,C,A,27.732700381804083,50.794698680938055,22.827098756030143,50.760575301029974,1
Mental,Widowed,Yes,Asian,D,74.6866756834039,A,-85.12745689035759,C,5.032321335783533,52.285064025292485,D,E,C,15.536626221904415,58.157142675341866,31.972892436987493,4.187035584041331,1
Both,Widowed,No,Asian,B,-35.44639626812355,A,85.33404206489924,D,110.38653163747409,161.47082611048583,C,D,B,93.9907327193004,19.11565996218345,-229.45545772936882,51.16187405540753,1
Physical,Divorced,Non-Veteran,Black,A,88.60699228561676,B,-43.0690333851192,C,100.6377892730534,45.73441511854032,A,D,A,-93.15421490106314,-72.66327378471419,196.70358112163157,8.822723601278188,0
Physical,Widowed,Veteran,Black,A,-47.96301025397397,E,4.6527915184971205,D,86.52248508775682,67.09715270845997,C,E,D,54.43295031565896,109.73174935136083,-115.12129625295825,-16.093568116734787,0
Both,Married,No,Black,C,-80.89012371397737,C,-83.27158800671712,E,92.38272056110881,19.766979908849045,E,A,C,-150.86881549692293,65.69847118176672,28.571526412986124,-20.227426234515615,1
None,Divorced,Yes,Other,D,-87.58532690921959,D,-97.15608052814284,B,-12.567184900889613,-98.70702976772996,A,A,E,-81.64107522401804,62.337971937438354,216.83121147037903,15.88471425091832,0
Yes,Single,No,African American,D,-21.780757145481004,B,-198.37039123422363,E,7.134427280133411,-44.05927509208228,B,A,D,359.15684840182564,-199.7693650212779,1.8858401531923494,82.52961681290482,1
Both,Married,No,Other,C,-130.5101458719874,A,-202.4338573874851,E,-141.6606845196771,-101.60831866269892,B,B,B,-70.57536915605887,-232.9189138507494,79.69413673028289,75.0954720327606,0
Physical,Married,Veteran,White,E,-16.886161412611557,B,-83.37754635755034,C,-1.1183708444357132,-6.023089084685044,E,D,C,0.2881373379165114,49.28639488154219,-154.51421455668802,27.193894982082302,1
Both,Single,No,Other,D,44.96587198207106,D,-32.334403502165166,B,-139.21132440666696,-100.69830847132395,A,D,B,-156.62838551714395,74.59167672444373,-17.439285533345743,24.25606534581394,0
Both,Single,Yes,Black,A,-9.119782442518778,B,-4.424684932972099,B,-43.082032568172494,-90.9474069950307,D,A,A,-26.621528588880462,-23.808873068779096,167.79045949212576,-45.393057362900116,1
Both,Married,Non-Veteran,African American,E,-58.359147395826675,C,-33.79219881463042,D,-40.825498661883216,24.483348296969748,C,D,B,-77.03434722276988,-103.50790911870816,31.092966962183365,100.78670647656497,0
Both,Widowed,No,Black,C,111.80447647131105,B,193.91242198213246,D,61.10027278516456,54.12780310283082,C,C,C,8.682949599887307,-56.52577601758956,-34.954370739027496,125.18313880236704,1
Yes,Widowed,No,Asian,D,-80.07381772454336,C,211.88989620699732,D,37.445695286770366,-43.54148608077033,C,E,C,103.1278676121325,-98.60009101434743,-92.28328246182744,-72.04735944476491,1
Yes,Single,Veteran,Other,D,128.54865580312457,D,98.52230220258174,C,-3.074078834622713,96.28560379631747,E,B,A,-27.620180271277672,28.050537523592755,-21.308177330065643,-197.67152213286238,1
No,Married,No,Other,A,86.01140042820829,E,-79.69930337287106,C,254.86137801440384,127.43688927075034,B,C,D,50.59586793243831,19.655157274944514,65.11285304186394,-152.0201156971093,0
Mental,Widowed,No,White,D,-36.165547431354504,B,-75.47232844721812,D,-39.81647092731848,-29.97234555123449,A,B,C,-126.1890726293323,-54.61045986464864,-98.94178714743923,204.86579598762646,1
Mental,Divorced,No,African American,B,31.91934547297095,D,20.08677139077508,B,-119.08708316372396,-1.0920640937463044,D,B,A,101.26561699626888,138.17514390293925,221.81342409862745,37.0622801468269,0
No,Widowed,Veteran,Asian,A,-214.1010912858516,E,70.43602556792261,D,-174.3043015726068,-3.50509398508432,A,A,D,-154.63926205823864,14.87127622083389,-0.8657406167066733,112.38007661618987,1
None,Divorced,Yes,Hispanic,D,-59.61899107232702,A,147.91770525986098,E,17.1031630718271,114.18159143977431,C,A,C,128.94956918193736,234.87566049661822,101.1256704041366,154.86899681208195,0
No,Widowed,Veteran,White,C,-25.626541334219333,D,58.222058923345855,A,113.16278485010336,-48.71133012431644,E,A,B,-93.47371103207269,-86.93061676473452,59.41717266170586,156.47533525535994,0
No,Married,Veteran,Hispanic,D,-34.89144858067422,E,-58.99807479060408,C,97.07577672357415,168.08069050156524,B,E,A,70.25576845678842,-19.12298028575225,156.72181136974527,24.337718242989414,1
Physical,Single,Non-Veteran,Black,B,215.31867353861668,D,78.21691861364548,E,-126.09789416990616,161.3201649843169,B,C,C,91.56833940009429,74.14736760994987,-96.57251145699797,143.08128685493799,0
Both,Married,Non-Veteran,Black,C,-22.91159613916418,E,-29.662604742776,C,-69.64331063738555,58.72170979692457,E,B,D,-122.97011301714338,-51.8015951634748,23.495862791826482,95.45292424121841,1
No,Widowed,Veteran,Asian,B,30.130241362669725,B,89.38334106878676,B,236.24365201203227,-90.87325642518216,E,C,C,102.04367722290924,80.12201227030494,85.60641954425117,-64.29349063733257,0
Mental,Widowed,Yes,Black,E,-0.45811641705895717,C,86.83909498167502,A,109.90262744137782,97.48584669961284,A,A,D,-154.05537623775922,26.64539821643661,-41.62561389909931,-168.38587281982285,1
Physical,Married,Veteran,White,A,113.85762855212742,D,95.97595327450894,C,-126.3171213084857,-93.72991985620665,D,A,B,-31.997084026605865,-53.41036942916314,-73.75618209848263,-36.377500482808514,1
No,Divorced,No,Hispanic,D,7.599289093261506,E,-63.70683992961273,C,113.08855249495737,3.512419591305882,E,D,B,-37.13650179403592,-28.348353639434976,-48.169431353884605,-89.434817938175,1
Physical,Widowed,Veteran,Black,A,2.754738710670279,B,91.9516396378836,D,-39.01146433605551,124.42145281439807,D,B,A,-13.36328019456877,-18.53391424655834,-116.56201736216352,-62.03493072836618,1
No,Married,No,Asian,C,61.823948350218494,E,76.13272680191405,A,59.5720897802098,-46.53298179067992,C,A,D,77.05365405779241,-67.64470288699482,-38.5190982103495,-40.62759563129008,0
Yes,Single,Veteran,Hispanic,D,-67.92979800099863,A,-33.84145229579495,E,-27.34076660150225,89.8277306665934,D,C,C,-94.06768733435453,45.517241586123525,-49.31591460215238,-209.6183790275645,0
Mental,Divorced,Veteran,Hispanic,E,-93.31291726582522,C,-75.43542138277046,A,41.301243174568164,90.74640098420802,E,E,C,60.15005429034876,46.612985788201954,-212.9236114475622,-25.88455332247854,1
Both,Married,Yes,Asian,D,82.15275985156707,C,-173.10244327874028,B,42.83755144933162,-103.23116633077231,C,B,B,-15.071885608133195,-81.90737084450973,30.955062984862213,-42.07200797148047,1
