genero,AGE,sexuality,handicap,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
M,85,Homosexual,Physical,-61.20492118189639,B,C,56.82613318985492,19.063657961561674,B,-21.56254097241022,D,C,9.955068173481505,A,1
F,74,Heterosexual,None,60.04632924441594,D,B,-92.05320531297781,121.07956464982827,D,-30.75248546235215,A,C,-110.28884066382352,A,1
Female,46,Other,None,-203.0868938208923,E,C,21.959324070216805,132.77419919868294,D,146.3726325899544,E,D,-156.7122747736729,D,1
F,50,Heterosexual,No,52.37322628030091,B,A,-120.52639387928936,-199.2016073454489,D,-47.83629235166273,D,A,119.12882069785913,D,0
Other,83,Bisexual,Mental,-60.216841390625206,C,C,-6.242193047861174,16.304475339563233,E,-5.846560621327305,E,C,178.01002907266715,A,0
Male,87,Homosexual,Yes,-26.743248338688648,B,C,112.5775060607358,-162.4809019981064,D,-138.20704093561886,C,D,68.16927534411204,C,1
Male,51,Bisexual,Both,28.23706112784826,A,D,27.3126013772777,-21.7360561087501,C,-39.62457196746912,E,C,19.21764568438838,B,0
Female,65,Heterosexual,Physical,52.657472277368235,A,A,-51.1516619247213,32.942003895995384,B,29.777244885419584,E,E,124.7223287187619,B,1
Female,76,Bisexual,Physical,15.421327642735832,A,E,6.2024117189123675,12.854256900932368,A,147.16030359715865,B,D,-74.88232419836585,E,1
M,24,Heterosexual,Both,-97.45355812464844,C,E,-52.98078605034845,62.70644162723209,C,-80.52737035257081,A,A,-195.7974517793477,B,0
M,82,Other,No,23.15343694058947,D,A,49.68958272894001,-0.4250080160978835,E,-113.78476024431936,D,E,154.42977415896863,C,0
F,91,Heterosexual,None,18.099746042625615,E,D,72.21601330591064,-89.58501885143104,D,-41.95692901254194,A,E,-50.50337052517722,B,1
Female,92,Homosexual,None,60.393239258017495,D,D,39.6973286704818,-191.04360108940497,D,130.68423084082735,A,C,-69.56885009857491,C,1
Female,33,Heterosexual,None,-113.60419281426553,E,B,-27.194022784204584,-2.730583932376667,C,-7.371358951594812,B,D,-52.59465092955104,B,0
Female,96,Other,No,-166.83516290070932,E,A,-56.1407414642458,8.350789904610705,C,44.56514206610515,E,E,99.11170748600372,D,1
F,84,Other,Yes,26.96080360301827,C,C,-109.6713932604599,0.08493096152922204,D,15.002721022075566,E,D,-108.03438823629679,C,0
Non-binary,26,Homosexual,Both,-25.974688189313465,D,A,-124.43416148190991,75.20472515177667,A,109.05684029307447,D,B,2.0082632891019117,A,0
F,75,Other,Physical,82.94306729208203,B,C,27.035199680250948,-332.2666968542219,C,-254.32880455314807,E,C,8.400850206573097,A,1
Non-binary,97,Other,No,-16.948654432851647,D,D,-220.65401976494456,97.27176717087485,A,-52.11779394180668,D,D,18.502059186856336,A,1
Male,98,Bisexual,No,110.75642577823481,E,A,127.50858719124143,99.80113130230613,B,76.33253089558164,B,A,79.18110199746756,B,0
Non-binary,32,Other,Both,-83.60629045964046,D,B,157.82349946093325,147.24452887841792,D,128.1778630522845,B,C,-123.71022016014655,B,0
Non-binary,34,Other,No,-114.43800512685247,C,D,-175.91997990849816,28.990265595952263,E,-108.86877974410784,B,D,-73.32261234922552,A,1
Other,50,Other,Yes,41.86175022465564,C,B,-74.8514768976398,144.50729501776004,C,-132.78778164978215,A,B,171.47432208230163,C,0
Other,84,Other,Mental,-5.462075868844598,A,D,9.301315180127864,262.07134598852224,B,24.526083461473323,C,C,7.928500303030241,D,1
Female,93,Bisexual,Physical,-76.8076679290333,C,D,-8.135047139844891,52.047720043334465,C,-85.01884107593385,D,E,-24.49090834163664,E,1
M,34,Bisexual,Mental,121.00818963356829,A,A,-164.05393399555058,-24.920651472005716,D,-6.260479575890384,C,E,-22.30188961573454,C,0
Other,24,Bisexual,Physical,-41.60560903034071,A,A,-53.691286945866715,-30.40606083093453,A,32.804714375859426,B,B,-71.29374425884254,D,1
Other,92,Homosexual,Mental,-45.89578336986808,C,D,-102.00828856415222,-28.162248403184943,B,-48.24836358636301,C,E,50.32944578018231,C,0
Female,22,Other,No,139.54832667100015,C,E,18.975510864662393,64.90566398448108,B,-161.3041636026226,D,C,-93.03599950557974,B,0
Male,98,Bisexual,Both,77.95967593143924,E,D,-28.622685393847398,21.882504556749126,A,111.36601594878854,A,A,3.679752062334638,C,0
Other,66,Other,None,-203.77100360304365,E,B,76.83376765254266,-3.035246531816104,D,-34.332446571128564,D,C,26.328714018898157,D,1
Male,88,Other,No,-17.67595884800374,B,A,-14.050269746119993,-81.5559390613184,E,-154.68715592074722,D,C,-46.66532478477192,C,0
Male,23,Other,Both,48.75455478082544,A,D,-27.19590184133741,87.63207407050024,A,29.087936018578887,D,E,82.92528588433409,B,1
M,30,Bisexual,Mental,81.05332595189981,A,B,0.7293437353053003,-123.9930115538213,C,174.1085812479069,A,A,103.27120894910927,C,0
F,43,Other,Physical,-66.40999407837162,B,E,43.2408559321872,243.84994033715776,D,-110.92563204609236,D,C,-75.42944995027105,C,0
Non-binary,50,Other,None,-14.94094213407548,E,B,-46.05438381153256,-176.39117141864966,D,-85.61436676790903,A,B,-26.507751056580766,A,1
Female,19,Heterosexual,No,-14.980764338184411,A,D,132.65137360039793,73.7661264486548,C,-35.671526848917104,A,C,-141.28500798992224,A,1
M,97,Other,Both,-29.243260046861742,B,B,-60.57040604102677,143.3737729197023,D,-7.803672414276518,B,C,-64.29136629287203,B,1
Other,43,Heterosexual,Both,149.429476586997,C,A,-63.784387986032364,4.515048908884194,C,-76.40087351535509,A,B,24.690839910341225,D,1
M,34,Other,Yes,-73.40491474723659,A,C,191.99382392832754,6.154527931234556,B,-58.906636106023555,E,D,-69.71674378981744,E,0
M,77,Homosexual,No,-193.43283443504777,D,A,206.9820399189356,-95.57571949419871,E,-30.189949146086516,C,A,20.763538711736643,E,1
M,72,Bisexual,Both,-46.538511438165855,A,D,-74.1310011256854,244.67531074928513,C,-73.94862150873021,B,D,0.6856398811668228,C,0
Female,67,Homosexual,None,54.91354359493481,C,D,-40.411509617084654,-75.17314795800631,C,59.87696132836042,C,E,34.821181611800725,B,0
Non-binary,42,Other,No,-137.18450931268467,D,B,69.32923695652082,218.8478143265479,A,-107.04684655845591,A,D,-161.35330049920753,E,1
M,23,Heterosexual,None,-153.1065716024553,D,B,-44.45566444245533,48.09941717647433,E,11.67794113982659,C,A,89.07527132704726,E,0
Male,59,Heterosexual,Mental,-247.42483765695403,D,B,100.12508065197629,98.5245198504356,C,42.68381297505895,B,B,-70.83447109612146,D,1
Other,65,Heterosexual,Both,23.77648718076483,D,C,-103.36228265319471,14.148236981149461,D,66.77393916051787,A,B,-54.222646170886,C,0
Female,43,Homosexual,None,-72.54677284930209,A,D,3.578911441541189,-35.88089259769755,E,-26.97861768466777,C,B,98.0550443560802,B,1
Other,87,Other,Mental,-103.88029890703353,E,B,193.33262862539368,-31.45465156097254,A,-71.510481466994,E,D,59.47345958720278,A,1
F,56,Heterosexual,Both,78.34580858066117,E,C,48.630560402894915,-74.63431855792827,C,-24.248553763711374,A,E,-13.027972395885742,D,0
Male,51,Bisexual,None,-13.127059649940373,D,D,121.58142811963539,58.89795014366182,B,0.9431493480878801,A,B,201.46627197138037,A,0
Female,38,Bisexual,Mental,-9.53282662193042,C,B,96.37878886951341,-114.06353671706975,C,-54.71826890319237,B,D,-7.719714931993236,A,1
Male,64,Other,None,-165.5073359798932,A,A,26.070873008208483,-7.0315311407537,C,-154.60387545895395,C,E,128.64166737371394,B,0
