Age,disabled,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,target
29,No,A,-118.69040307625225,B,C,C,D,A,A,B,-68.76487976232606,34.22925519928294,-7.180989360356653,B,B,B,B,93.48654072988055,0
68,None,C,-20.14978319999178,B,B,A,D,C,B,D,-58.45922205327769,67.46791372734384,11.326994976644942,C,B,A,E,71.22708708217174,0
36,Mental,B,19.930289289076224,A,A,E,C,B,D,B,-29.7607925562555,-197.65126253742636,106.3524369251861,D,B,D,C,25.646323817910872,0
72,None,A,62.28841175548611,E,C,B,B,C,D,A,-86.92681002950434,172.74926639256407,7.852585475776108,E,C,B,A,24.138503868803486,1
22,Both,A,61.50002784932902,B,C,C,E,B,E,A,19.57054973868612,282.13539667540545,24.99164903202461,B,D,A,D,-24.50176392115375,0
44,Yes,E,156.80891647609113,B,B,C,A,E,C,C,-80.80952578592093,21.38402619115733,-27.25558643221278,E,D,C,D,137.47354838513286,0
68,Physical,D,-159.11021190081865,C,E,A,B,C,B,E,115.16084819910897,118.84797429590652,-51.18853715597568,E,A,E,C,-16.736267815408514,0
32,Mental,D,-38.49300013265243,C,C,E,D,E,A,A,-296.04019011404273,65.89275079922602,-57.346910159227726,B,B,A,A,-55.7977846939994,0
44,Both,C,8.513753975084311,E,C,B,B,C,B,E,95.84002145779594,23.113336235256966,141.21766624572234,B,A,B,A,27.934183205163897,0
57,None,D,77.17543548614715,C,B,A,B,C,B,C,47.3687123680255,-147.6855126594966,-65.71593947756182,E,A,C,C,111.03915585787848,0
80,Physical,A,3.9420711971816504,B,D,D,B,A,B,C,118.68011868169184,-18.380540373487513,89.09401653177723,B,B,D,E,167.4899743098268,1
57,Mental,D,14.940589923644154,D,E,A,B,D,B,B,-110.01025782944363,146.6395744654599,98.55498035849752,B,D,C,B,46.88245334809139,0
68,No,C,82.29122383696996,A,C,E,B,C,B,E,94.19489891681391,119.7098424635552,81.40879211088898,A,A,B,B,27.205976368463165,0
63,Yes,E,151.23653122458836,B,B,E,B,D,A,A,-96.26341532531367,-62.20805808185672,9.704644812829944,A,B,C,B,-138.91338099498756,1
69,Yes,B,-36.405359795759225,D,C,C,B,E,D,A,-20.080573488062196,43.52551506274807,268.27273841352786,A,B,E,C,57.043695468701884,0
79,Mental,A,40.43562519252888,D,C,C,B,B,B,D,-73.48758106428193,-0.8665488009727169,254.26449237192625,A,B,C,D,177.90658145263404,0
59,Mental,A,-105.915450901113,E,B,C,E,A,B,A,30.585826249391296,37.90730993823842,-127.26699796961101,E,C,B,C,-93.75983144986041,1
98,Physical,B,-85.11473909497373,D,C,D,B,D,C,E,73.9238840910957,-181.5525616939353,169.00524675781472,C,C,C,A,37.6855763055781,0
74,Yes,E,58.35091336408068,A,A,B,E,C,D,C,-127.07405092420876,-102.56224314039275,132.79686943843848,B,B,E,D,76.89880633204463,0
84,Both,E,110.12949283088025,B,D,C,E,B,C,D,-164.72413568504163,-83.27971880544578,86.53769502525066,A,C,D,A,90.38812554434023,1
75,None,E,-43.32360546427347,C,B,A,A,C,B,A,-6.485755404042156,74.69129299258488,63.30820325612325,E,D,A,D,104.8226013573345,0
51,Both,B,-73.19622147239933,B,C,D,B,C,C,D,-31.829782490715758,108.78667491276903,-36.630241808149464,C,B,A,C,70.84649493409913,1
54,Mental,A,36.41921715547296,A,B,C,A,B,C,B,165.82219246985258,-46.544714186512806,-261.04192733247993,A,A,E,D,-56.642123838656964,0
84,Physical,A,92.12925893767428,B,B,D,B,E,E,C,-98.57994479717497,-173.90712098441358,45.10501524407987,C,B,E,B,123.65980513744364,0
40,Mental,E,96.8743023294273,B,E,E,A,A,A,E,-130.15863852863353,-21.637560885764724,192.83384000538362,E,C,C,E,26.871723969543655,1
43,Mental,D,172.1328225565133,C,A,B,C,C,E,D,156.90611057979598,-0.06584311279192498,196.6179536435589,C,B,E,C,100.17198745964531,0
27,None,A,83.12385180720239,B,E,C,E,D,A,A,10.758498983564351,21.96174401264754,-4.79000363211124,E,B,D,E,56.35193274827998,1
49,Both,B,-76.97520894620791,C,D,A,C,A,D,A,46.25569092626788,58.88821172298682,-35.59666092552372,A,E,A,C,-375.66565024616585,0
26,None,C,-32.38214108030583,E,A,E,A,B,E,B,-52.88622988642917,279.0630873112373,14.31470531066528,B,A,B,C,-66.76315620395786,1
35,Yes,A,-68.21735979192655,A,B,E,D,D,D,E,-91.98920246588057,76.72511501558829,-136.16048050516793,A,C,D,D,-108.15782049369784,1
79,Yes,A,-123.1857320570672,A,E,A,D,A,B,E,-48.69193292536689,-46.02206222784094,-128.2485368206693,A,B,C,B,-95.08654032798837,0
24,No,B,-64.89803837987364,E,A,C,A,D,D,C,-176.2560544489947,152.04881295526286,60.17465394772159,A,D,E,A,-13.13548874384782,0
21,Mental,A,197.71021058020497,C,E,B,C,A,A,D,96.64410377547009,-115.93261193199366,-6.494735675015735,B,B,D,B,74.0683277711372,0
23,Yes,A,114.23296677112384,A,E,C,C,C,A,A,59.93041623423616,-114.59620094294016,62.46935480276922,A,C,C,E,-56.067365156590675,0
51,None,B,-174.6733224042364,D,B,E,C,D,D,C,-8.605319148521753,87.64702333125484,25.32121932584779,A,A,B,E,74.72960152299703,0
46,Both,B,17.905172066256096,A,E,B,C,C,B,A,12.349934580626613,-60.402210969380974,32.3695581160735,B,C,D,C,-57.49045405336024,1
70,Yes,C,54.46987694363299,E,D,D,E,E,E,B,-37.360073210380605,-13.52567606449517,-153.50327973778187,B,E,E,B,-55.62082213028662,1
23,None,C,177.94342318008302,A,A,B,B,B,C,E,44.20881119184476,-58.99655035442001,10.242034452134687,E,D,C,B,-82.64805877911729,1
96,Both,D,-9.314300963876997,B,C,D,E,E,D,D,-101.51067545302035,-6.907060509529547,-10.718014618370344,D,D,D,A,-85.78047147913517,0
64,Physical,D,-46.565998129387566,B,A,A,B,E,B,D,-84.03356022909928,35.944039549632826,45.3748335596165,C,A,A,B,-50.404227676283206,0
20,Physical,B,-5.107700108780466,E,A,C,A,E,D,C,190.95367601361323,5.6475887848301,-119.28850895924965,C,E,C,B,145.7484119609899,1
18,Both,B,-29.91128543758582,E,A,D,A,C,B,E,70.4252770943325,-103.23106997944174,-93.74375237663611,A,A,A,A,-103.19819693362975,0
31,Mental,A,-38.72421097025012,C,A,E,C,A,B,C,139.85897268196547,-68.9436818191737,-104.47416744682548,D,D,D,C,6.524982465238318,0
72,Physical,C,49.58830173722368,B,E,D,D,C,A,C,122.41103695099788,-9.969798944648888,-48.12656093843455,B,A,D,C,40.24796333800051,1
22,Mental,C,9.368842530190811,B,B,C,D,B,D,A,9.369075404702205,-15.407722917537583,50.70411044718669,A,D,C,D,-188.40343449982004,1
58,Mental,E,50.21553217147476,E,C,D,E,A,D,E,20.727546948112792,-71.32984931123168,-23.91834574546777,E,B,A,D,146.86300438478267,0
44,Physical,E,66.58381658734568,A,B,C,B,D,D,D,67.1553116721069,-59.79608101056751,72.00839865594763,B,B,D,A,119.53835997034936,1
66,No,D,52.87827309887842,A,C,B,A,B,A,E,132.01905205579612,-9.361547274236202,42.93174261945283,A,E,A,C,-3.500244152029111,1
67,No,E,33.64132476233495,C,A,B,D,A,A,C,-0.9856850368173459,88.05491330007371,158.08348394934978,E,B,E,B,24.43151832948356,1
93,Both,D,-90.35300712386051,D,A,C,E,E,D,E,109.51667946019667,-15.120787771946958,78.88160436674576,E,B,B,E,-30.93006888030483,1
82,No,E,-124.22951638755579,E,B,C,D,B,C,A,6.494959553909407,38.38299882481822,-12.175053893621884,E,C,E,A,-96.40467086755541,0
82,Physical,C,36.245370883781156,A,A,D,D,B,E,B,10.795111410222056,99.88229093493929,41.40313570515026,C,C,D,C,256.2572277022082,1
90,Physical,C,-160.0941510490855,B,E,A,B,D,A,A,-121.98958534383834,85.93812977121897,29.67285192816263,C,C,A,C,106.45390511422981,0
67,None,E,-14.429505124541366,B,B,E,C,C,C,B,-18.928974639578794,-96.09472858550988,-57.40004393753081,E,C,E,C,27.633462089272637,1
36,No,D,81.9410250114299,D,A,E,A,C,D,C,33.7309716998209,-60.301171587044564,-64.68020381992007,C,D,E,D,43.10192020057923,1
91,Mental,B,-6.773656908461328,E,B,A,D,B,E,D,-112.99188571203025,109.97884958577397,20.810917570449625,B,B,C,A,49.01672239586999,0
67,No,E,-243.5550089982882,C,D,C,A,E,E,D,43.295827550736355,-10.82292804258118,128.9959907992262,C,B,C,A,-5.795227568836138,0
80,Yes,E,146.7592935422199,C,A,C,C,D,D,B,-96.01224442444929,-226.63485760957207,101.76157033464983,B,D,A,D,-18.04658393541106,0
46,Mental,C,-182.2516691871944,E,A,A,C,A,C,E,-37.31055374753443,-34.549757197228885,-57.10546525575987,E,E,B,C,-167.45187959425337,0
59,Mental,B,-57.866222701659176,E,C,D,B,C,E,D,-36.3672181914021,-83.78626195968405,-23.742462909422695,B,B,E,A,20.942368904188577,1
50,Mental,E,46.00366826679051,B,B,E,A,E,A,C,-47.830910008630084,-130.9275753696098,114.81217578167335,C,B,B,D,9.67496376325164,0
64,Yes,B,191.07010534548132,B,B,B,E,C,C,A,-117.01795242631181,-106.62990478218666,-156.6258943775684,C,B,A,B,-21.434206241970408,0
67,Both,A,12.002551437563623,C,E,B,A,C,D,E,-123.12817828767383,-46.56069546032709,1.202112034281946,E,D,C,B,6.844261395898296,0
28,None,B,18.93787523311999,E,A,A,D,B,E,A,-93.10567532253347,28.272245283383775,47.43480998068858,E,E,E,E,61.13901083877648,1
96,Physical,D,-59.98587371376923,D,D,E,E,C,B,C,14.524690203686921,-67.22669901573717,-67.95998008936549,B,A,E,B,-13.184951957323776,0
59,Yes,B,-32.58212459096688,E,E,A,E,B,B,C,18.277120706326198,84.70538591780765,-43.97620897361176,C,A,C,A,-128.9735998721505,1
78,Yes,E,127.283252539501,D,B,D,C,D,C,A,159.77123097801967,-21.37169853805925,131.5156083262636,D,D,D,C,23.716446512128382,1
76,None,B,-17.20427776243042,E,C,E,C,A,E,E,-18.525045640523878,54.299696814162424,175.63750207145884,C,D,B,C,182.335603848611,1
95,Both,A,-101.2493618634025,C,A,E,B,A,E,C,109.66145351999677,174.68273143245278,-80.31617910471876,A,C,D,B,-1.9063153031286826,0
84,None,B,79.34635444170736,E,C,B,E,C,E,D,-83.97978047912305,-75.15748037304306,-98.9900457650106,A,C,A,E,15.891899391794755,0
77,Mental,D,-284.5129428426825,C,D,A,E,B,D,B,-1.5353255207492524,31.593623754441847,5.839855480795165,D,C,A,D,15.681511269660753,0
97,Yes,E,-125.38481395867412,E,B,B,D,B,E,C,-194.77399718018188,-61.15496937559204,98.26510576944986,A,E,D,C,-86.64745843041705,1
65,Yes,A,8.047672345942628,A,A,D,A,C,A,A,-37.42369947963303,-1.7069230501587755,62.66018287425186,E,E,A,D,55.85122170269196,1
89,Mental,A,-55.11018177303123,D,E,A,B,E,E,E,-8.645020138284162,95.49551526082192,-43.52873473370086,B,A,B,B,120.83349145860095,1
84,Physical,B,62.051043140410286,A,D,D,D,C,E,E,-133.5652030400413,-91.88288662608437,-29.703456443852016,E,E,D,E,42.65817140292952,1
33,None,E,-12.411890933389024,A,C,E,B,E,E,A,-49.42027468958617,-14.861417000709315,0.40752535170066617,C,B,C,B,32.77300056117085,1
62,No,C,7.120358800580355,C,D,C,D,E,B,A,-13.338526341086936,-157.25432975153777,118.30649414965593,A,E,D,E,-71.35550680171353,0
82,Both,D,-7.188129123533038,E,A,E,C,A,E,E,2.807068705577122,24.141885971498493,-70.63134705866943,D,A,B,A,-16.523206426997948,0
43,None,E,285.6331039755743,D,D,E,A,B,E,D,86.96119217274581,-63.70451544544077,68.8503803570814,C,C,C,D,-144.0035126650416,0
34,Yes,B,37.45581609812593,C,D,B,A,D,D,B,-5.4711940720767975,-29.53865255518186,83.06290867784764,A,D,E,D,121.69876357465866,0
69,No,E,31.31513221308795,C,C,C,D,C,C,C,58.62288437604216,25.507207490403154,-106.4306073873835,C,E,E,D,195.1845493894532,0
55,Physical,A,36.90187803007049,E,D,A,E,E,A,C,29.849677123084096,49.49545427435414,-172.80645578501833,B,C,A,A,-28.102804571640817,1
41,Both,A,-108.14916914439875,A,C,C,B,D,D,E,-230.98668940464702,46.71545935928259,70.51938988759386,B,B,E,B,1.8061630668953257,0
61,None,D,-114.01817559963116,D,C,B,C,B,D,B,61.09426553040781,64.81825275089842,-86.95539186225012,C,B,A,C,21.511808779354684,1
63,Yes,C,-95.31645993874858,D,B,A,D,E,D,D,75.50138629516947,139.43799964881407,124.99486782563021,A,E,A,D,-108.73977898730587,0
90,Both,E,63.995738703783026,B,B,C,C,A,C,A,55.027757425846346,-157.0828553134102,79.28083304508785,B,D,A,D,-94.83546080713899,0
34,Yes,D,-97.20655434501225,D,A,D,C,E,A,C,26.90745203568182,4.674239422486091,62.60958806623138,C,E,B,B,-77.60277918820199,1
84,Yes,E,-32.80921678031611,E,B,B,C,E,A,B,64.84110798181379,-80.24454500727295,150.8062949074021,C,E,C,C,-258.50393218888405,0
26,Physical,B,79.81055984611402,B,D,D,C,D,C,C,98.69895330479245,132.88787221940237,146.68910951824765,C,D,D,A,112.05765822674338,1
88,No,E,78.04054613131727,B,E,D,A,C,B,A,-82.5501961023983,-273.7840168237762,31.81870861126097,E,C,A,E,35.522822755355946,0
30,None,D,107.25162457848852,B,B,B,B,B,D,E,-55.31665786916597,25.720437968004312,-186.3307367847138,A,C,A,C,116.10263207955258,1
32,Both,B,-148.18686841665146,B,C,B,C,E,E,C,-32.63663512616905,-91.74630604500867,-1.7750517504266805,E,B,C,D,27.006943010579853,1
87,Both,E,-1.0075583600365863,B,C,C,A,D,D,E,115.03833279188662,-63.87640464945452,85.40537384808029,C,A,E,C,122.25399372190209,1
61,Physical,B,-99.58862278109079,D,C,E,C,C,E,E,41.81314108941046,-165.73252217792162,-30.80346385303435,C,D,D,B,-119.0015516273541,1
61,No,C,-114.75957579727654,B,E,E,B,D,E,C,-41.46597230136338,55.64496750166804,-178.52769865714592,B,C,A,C,-30.698564664564227,0
97,Both,C,52.05010586021509,D,C,C,D,E,B,B,57.569792413663535,49.51332518771197,123.09865390447719,E,A,D,B,-7.135946061551511,0
99,Mental,B,-126.2106551380272,E,C,B,A,C,E,C,-53.423298275682676,-18.603443345263393,98.78427702294964,B,C,D,A,121.37906941313692,0
61,Physical,D,-121.4149836208644,C,A,B,C,D,C,C,-83.7076320486017,33.393570499359235,36.73755959609477,D,A,A,D,43.98983829571456,0
69,No,D,-34.36580547045078,B,E,A,C,A,B,D,53.45989834016408,13.951193828908265,-141.60307255618164,D,C,A,A,-55.86757951090996,0
70,Both,D,-3.2602054869521107,B,C,B,E,D,C,C,44.049610711176115,-83.45778243678275,-110.2911867099225,A,E,D,C,94.93703722778896,1
