disabled,Nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
Yes,Brazil,-112.0866981099088,100.46645440254818,101.21412480070897,D,B,77.52112152962528,0
No,UK,65.9011037456651,-116.18261733663722,15.701189925699124,B,D,20.490372919211083,0
Physical,Mexico,107.89390190016644,-70.91719263191537,-59.99681747604868,C,E,278.8942455615363,1
Mental,Mexico,-35.19221193119958,-45.62883265262309,5.99689917997744,B,A,-116.62318644247765,0
No,UK,6.0602063406908195,32.91863415853346,131.57440080255046,B,A,-3.6082999620061775,1
Physical,India,-122.48242374594315,124.07127620135479,234.41610223075804,D,B,-63.412326816490705,1
Both,India,-46.56178166003688,-12.737005486098047,-17.49917393462342,A,D,100.3456204800403,0
None,Mexico,93.45264307595471,112.75117074816356,83.80277235614298,C,D,168.07428444345862,0
No,US,-57.56808145717747,-4.813498510948635,84.56448592761365,C,E,25.880867911560145,1
Mental,UK,-36.609245421504205,-82.43524700543281,149.19205138498734,D,B,-41.50912342927075,0
Yes,US,185.09391453512436,12.852039273698978,141.38402293328326,B,C,10.907645717373967,1
Yes,India,195.7824103155833,-23.966478435540985,-197.51778362969688,A,E,-216.6791554341657,0
Physical,UK,122.85915009183115,65.26225562675748,121.49461477398285,C,B,-23.531704907214923,0
Mental,US,171.11547807261402,-227.54983345337024,-24.124864096620218,C,C,16.008717844582925,1
Both,Other,-47.8679109402527,-67.77831271396386,176.57481870837066,C,B,-36.90387598864967,1
Both,US,41.366290349903366,-139.06975082153292,0.971823759868289,C,D,58.25352904266723,0
Mental,Other,319.2860635447947,-64.6943794719705,6.746497534443455,E,A,-125.7484935682543,1
Physical,Germany,-103.57933813102187,75.55117230826937,-178.85464661245294,B,D,105.59666848383884,1
No,Brazil,28.593937077409898,-115.05069235211467,-63.08026992698175,E,A,96.20748885700488,1
Physical,US,-135.34334627703367,30.246903557610082,60.91640745657227,D,B,66.66152365004915,0
Both,US,-15.797101936617445,-66.73085352618092,-144.06154958924276,D,C,26.099368641843444,1
Both,China,50.17128874058561,-146.43425930914242,32.91679961730646,B,B,-61.896601396397045,0
None,Brazil,1.895992851424756,-29.412402831697932,88.55539060914106,D,C,-42.47166588950392,0
Yes,Other,171.23281254016982,-27.594514779310554,38.371605045505504,A,B,-18.699709875981757,1
Both,Germany,20.200856584131316,-16.381698821996164,-125.2426235766517,C,E,-33.320987466193706,0
Physical,India,46.64499310677863,-116.80790014234033,118.81575763449956,E,D,64.5362897783787,0
None,US,48.62821035725927,-119.14677247408187,-32.41278355672797,D,B,90.22458634540487,1
No,India,35.54343386099752,-32.177471938742045,-28.24111576185745,E,B,-197.60207467040883,1
Both,Other,-16.207025011632354,177.00540341553216,191.234350676939,D,A,109.57694551794559,1
No,Other,64.70862600630166,56.96171897104138,-69.55916998545909,D,B,-101.80338503854043,0
Yes,China,-101.07455030851888,-71.86622870006187,125.936209767027,E,B,-103.64405504364336,1
Physical,China,-85.53776963884908,-2.646300896889941,22.010725873513213,B,D,125.76894923751038,1
No,US,-16.15746364968348,-33.68482563353577,-41.29781366991638,D,A,-26.799376426067468,0
Both,Brazil,0.18930010685648066,21.673221800607077,-74.9440146854671,B,E,-166.9499156409771,0
Yes,US,-61.85717656615303,26.340420410386113,-188.1521245978958,E,C,56.9356693829171,0
Yes,Other,15.541610717756047,42.983575707115705,86.59020467874554,E,A,49.13218503381862,1
Physical,China,70.6687592994524,-127.64930450890841,54.30191967077518,E,B,177.60599739416543,1
Yes,Other,-32.4581207018619,24.162708329444676,-10.357093495998312,D,A,-91.23868121568397,0
Physical,Mexico,-237.4574361423225,-147.6259956380139,-100.57112556181458,E,A,158.54675629498843,1
No,US,50.017497308011684,162.00828485658138,-52.18900151976696,E,C,-12.97160191250179,0
Yes,US,10.215277554480762,39.19548416509224,-28.078383575441414,E,E,105.90458988811886,0
None,China,-67.48190585970086,-23.89748932427941,-147.65035478655116,C,D,-9.972511738429798,1
No,Mexico,23.495345014937975,91.54657572887818,208.82424958723766,D,B,19.312281478476898,0
Yes,Germany,101.53245941661918,128.97868862771958,-233.17596768719184,E,C,184.89351006314234,0
Yes,Other,99.2657390017747,15.288848854840356,73.7794120834115,A,B,218.32025487056845,1
Mental,UK,63.56153614275394,44.69393571551104,54.746437050154974,C,B,1.7456568211363175,0
Yes,China,95.95920738501214,59.23684070934432,-3.2949852053149176,A,C,-107.41062164874013,1
Mental,India,-11.021571229313974,181.80166434080408,150.2264852133554,A,D,-217.44847579941697,1
Both,US,48.405372439407444,-137.26200919675375,-78.6043490501963,D,A,57.90912152893177,0
Both,Germany,-188.0595203178718,-56.163182614925375,-147.871992821132,E,C,202.36396670196112,1
Yes,UK,34.581985607971816,-10.474221333496052,-28.440179935109235,E,B,62.331111444671684,0
Mental,Germany,-45.60249525136836,-103.59258389698189,-116.23926144862003,B,E,-15.584922203650198,0
Both,China,-2.3821587665064476,-84.70709559631909,30.718356785339417,A,D,18.154550743998026,1
Both,India,35.4213236466314,-167.15346685271803,16.089106966100495,A,B,83.32034150356162,1
Both,US,-80.64085906906267,-52.30159541588546,-37.64746153145019,B,B,67.15279315923401,1
No,Other,47.27626241732947,-7.6706714282720485,-62.87725605349296,A,E,141.15540347484492,1
